iter,games,wins,losses,draws,decisions,samples,pi_loss,v_loss,entropy,clip_frac,time_s,eval_win_rate,eval_games
1,16,9,7,0,2246,2055,-0.040117,0.095688,0.822212,0.0637,1.51,,
2,16,11,5,0,1780,1479,-0.003439,0.101953,0.809698,0.0433,1.12,,
3,16,9,7,0,2143,1496,-0.004051,0.097374,0.826041,0.0220,1.25,,
4,16,8,8,0,1799,1445,-0.004694,0.127032,0.817082,0.0221,1.07,,
5,16,5,11,0,2169,1408,0.000242,0.109320,0.848907,0.0330,1.22,,
6,16,6,10,0,1950,1374,-0.004500,0.113063,0.810983,0.0141,1.17,,
7,16,6,10,0,2084,1609,-0.010295,0.103195,0.788457,0.0238,1.27,,
8,16,6,10,0,2168,1585,0.006604,0.096828,0.797354,0.0280,1.30,,
9,16,6,10,0,1892,1369,-0.007114,0.131362,0.783410,0.0429,1.14,,
10,16,7,9,0,2696,1933,-0.007017,0.099179,0.776641,0.0387,1.51,1.0000,20
11,16,8,8,0,2010,1512,-0.004749,0.107208,0.751269,0.0241,1.18,,
12,16,5,11,0,1913,1226,-0.004073,0.096969,0.794751,0.0071,1.10,,
13,16,11,5,0,2060,1519,-0.004780,0.102919,0.745111,0.0337,1.29,,
14,16,8,8,0,2206,1393,-0.003268,0.114662,0.768201,0.0266,1.25,,
15,16,6,10,0,1920,1423,-0.008605,0.126058,0.774065,0.0170,1.14,,
16,16,9,6,1,5796,4036,-0.003774,0.028861,0.761950,0.0480,2.79,,
17,16,10,6,0,2071,1646,-0.011493,0.076523,0.753111,0.0353,1.28,,
18,16,8,7,1,4881,2271,-0.004046,0.065690,0.658256,0.0283,2.17,,
19,16,9,6,1,4850,3695,-0.005102,0.045824,0.778956,0.0596,2.61,,
20,16,8,8,0,2178,1608,-0.009868,0.076807,0.801549,0.0241,1.34,1.0000,20
21,16,5,11,0,1979,1440,0.001298,0.089511,0.819835,0.0225,1.21,,
22,16,8,8,0,2084,1459,-0.007343,0.094378,0.851641,0.0302,1.27,,
23,16,8,8,0,1937,1313,-0.002138,0.092142,0.793267,0.0216,1.61,,
24,16,5,11,0,2014,1581,-0.010018,0.075757,0.863878,0.0531,1.30,,
25,16,11,5,0,1993,1261,-0.003882,0.142430,0.827316,0.0188,1.18,,
26,16,10,6,0,2252,1614,0.011038,0.069003,0.852564,0.0630,1.38,,
27,16,6,10,0,1940,1491,-0.004381,0.111333,0.811921,0.0414,1.22,,
28,16,9,7,0,2168,1658,-0.003599,0.096548,0.821565,0.0291,1.33,,
29,16,6,8,2,7857,5474,-0.002645,0.022153,0.661121,0.0594,3.60,,
30,16,7,9,0,2046,1576,-0.012819,0.090216,0.837008,0.0489,1.32,1.0000,20
31,16,7,9,0,4135,2796,-0.007655,0.040487,0.776816,0.0535,2.16,,
32,16,10,5,1,6438,2937,-0.003965,0.049615,0.758272,0.0403,2.88,,
33,16,7,9,0,1942,1355,-0.009984,0.074121,0.741775,0.0402,1.19,,
34,16,8,8,0,2210,1459,-0.005946,0.126455,0.752451,0.0565,1.38,,
35,16,8,8,0,3409,2385,-0.000117,0.059511,0.606848,0.0285,1.88,,
36,16,8,8,0,2016,1338,-0.008189,0.087402,0.706661,0.0198,1.25,,
37,16,7,9,0,1948,1217,-0.003786,0.157937,0.682858,0.0050,1.16,,
38,16,7,8,1,5147,2506,-0.002288,0.056893,0.656328,0.0415,2.34,,
39,16,9,7,0,2505,1961,-0.008797,0.088964,0.704853,0.0444,1.55,,
40,16,8,8,0,2913,2153,-0.006959,0.064058,0.668682,0.0279,1.77,1.0000,20
41,16,10,6,0,2073,1354,-0.006053,0.123230,0.681060,0.0285,1.25,,
42,16,8,7,1,5004,3225,-0.001782,0.030875,0.637325,0.0310,2.59,,
43,16,9,7,0,2158,1730,-0.005448,0.091846,0.696864,0.0313,1.38,,
44,16,9,7,0,2211,1441,-0.003837,0.090594,0.715333,0.0299,1.30,,
45,16,11,4,1,5052,3365,0.008313,0.033014,0.660590,0.0424,2.57,,
46,16,11,5,0,2471,1720,-0.003351,0.092927,0.728548,0.0191,1.53,,
47,16,4,11,1,4998,3156,-0.004492,0.045117,0.670676,0.0249,2.42,,
48,16,5,11,0,2212,1685,-0.005403,0.107684,0.806720,0.0273,1.42,,
49,16,9,7,0,2141,1727,-0.003868,0.096121,0.780734,0.0368,1.39,,
50,16,7,9,0,1825,1279,-0.003762,0.129234,0.771004,0.0190,1.15,1.0000,20
