iter,games,wins,losses,draws,decisions,samples,pi_loss,v_loss,entropy,clip_frac,time_s,eval_win_rate,eval_games
1,16,9,7,0,3884,3637,-0.005886,0.070692,0.517141,0.0398,2.06,,
2,16,6,9,1,3895,3052,-0.003704,0.049225,0.536016,0.0284,1.93,,
3,16,12,4,0,3260,2460,0.000365,0.044584,0.498187,0.0235,1.60,,
4,16,7,9,0,3580,3130,-0.009019,0.065980,0.500590,0.0254,1.89,,
5,16,8,8,0,2925,2017,-0.008068,0.055097,0.514351,0.0242,1.39,,
6,16,9,7,0,3071,2237,-0.003210,0.055139,0.554232,0.0289,1.52,,
7,16,9,7,0,3729,2990,-0.005839,0.057519,0.542740,0.0321,1.84,,
8,16,9,7,0,3063,2399,-0.006242,0.068180,0.531336,0.0174,1.54,,
9,16,11,5,0,3384,2530,-0.004232,0.060312,0.516721,0.0252,1.71,,
10,16,9,7,0,2733,2132,-0.001078,0.069939,0.531240,0.0152,1.37,1.0000,20
11,16,6,10,0,3578,2680,-0.005063,0.063586,0.500577,0.0420,1.76,,
12,16,9,7,0,3398,2665,-0.008107,0.085336,0.557115,0.0228,1.67,,
13,16,10,5,1,3106,1969,-0.003402,0.039992,0.505156,0.0165,1.47,,
14,16,8,8,0,2647,2216,-0.002762,0.059089,0.502377,0.0228,1.42,,
15,16,8,8,0,3410,2595,0.000699,0.045768,0.564751,0.0326,1.75,,
16,16,8,8,0,2930,2196,-0.007605,0.067157,0.533719,0.0268,1.47,,
17,16,10,6,0,3352,2599,-0.023466,0.042186,0.573442,0.0286,1.75,,
18,16,9,7,0,3221,2198,-0.001288,0.096086,0.477314,0.0096,1.57,,
19,16,9,7,0,3445,2704,-0.003744,0.051208,0.547883,0.0276,1.75,,
20,16,7,9,0,3219,2223,-0.005689,0.057075,0.522112,0.0255,1.58,1.0000,20
21,16,6,10,0,3445,2571,0.003861,0.061009,0.517407,0.0240,1.78,,
22,16,7,9,0,3611,2863,-0.002781,0.057563,0.526389,0.0236,1.87,,
