iter,games,wins,losses,draws,samples,pi_loss,v_loss,entropy,clip_frac,archetype_loss,eval_win_rate,eval_games
1,52,32,20,0,3771,-0.007577,0.113884,0.777459,0.0989,0.000000,,
2,52,39,13,0,4033,-0.009528,0.113944,0.743986,0.0761,0.000000,,
3,52,28,24,0,4050,-0.007488,0.125633,0.776641,0.0701,0.000000,,
4,52,35,17,0,4303,-0.010926,0.107452,0.777843,0.0781,0.000000,,
5,52,31,21,0,4141,-0.003952,0.111208,0.807108,0.0841,0.000000,,
6,52,38,14,0,4186,-0.003585,0.119663,0.789850,0.0745,0.000000,,
7,52,31,21,0,4017,-0.008844,0.116329,0.746847,0.0901,0.000000,,
8,52,31,21,0,3800,-0.007974,0.118388,0.767976,0.0729,0.000000,,
9,52,31,21,0,3987,-0.010022,0.117598,0.789845,0.0732,0.000000,,
10,52,36,16,0,3869,-0.010451,0.126088,0.761860,0.0770,0.000000,1.0000,20
11,52,34,18,0,3947,-0.001291,0.095515,0.791225,0.1037,0.000000,,
12,52,31,21,0,4079,-0.007814,0.123173,0.779680,0.0729,0.000000,,
13,52,30,22,0,3869,-0.009829,0.109024,0.782221,0.0749,0.000000,,
14,52,35,17,0,4173,-0.011331,0.109515,0.789953,0.0878,0.000000,,
15,52,32,20,0,4086,-0.006764,0.108207,0.796712,0.0784,0.000000,,
16,52,37,15,0,3969,-0.004513,0.143516,0.779467,0.0850,0.000000,,
17,52,30,22,0,4073,-0.008915,0.103730,0.790456,0.0877,0.000000,,
18,52,30,22,0,4091,-0.007498,0.122282,0.816800,0.0893,0.000000,,
19,52,35,17,0,4215,-0.008462,0.092414,0.814278,0.0785,0.000000,,
20,52,39,13,0,3875,-0.004868,0.106376,0.772487,0.0863,0.000000,1.0000,20
21,52,31,21,0,3847,-0.027463,0.117550,0.841112,0.1012,0.000000,,
22,52,36,16,0,4091,-0.008592,0.101632,0.799785,0.0801,0.000000,,
23,52,31,21,0,4245,-0.010811,0.124475,0.819915,0.0932,0.000000,,
24,52,32,19,1,3942,-0.008401,0.113795,0.794894,0.0879,0.000000,,
25,52,29,23,0,4011,-0.006032,0.100665,0.824859,0.0878,0.000000,,
26,52,33,19,0,4313,-0.009650,0.104834,0.805177,0.0761,0.000000,,
27,52,25,27,0,3984,-0.008712,0.086569,0.797637,0.0856,0.000000,,
28,52,35,17,0,3846,-0.003535,0.091073,0.847325,0.0862,0.000000,,
29,52,26,26,0,3879,-0.012414,0.121456,0.825596,0.0826,0.000000,,
30,52,35,17,0,4132,-0.007780,0.110970,0.840903,0.0826,0.000000,1.0000,20
31,52,33,19,0,4138,-0.006674,0.110805,0.818088,0.1044,0.000000,,
32,52,36,16,0,3964,-0.007275,0.108703,0.816518,0.0758,0.000000,,
33,52,29,23,0,4023,-0.008622,0.099588,0.833769,0.0936,0.000000,,
34,52,32,20,0,4255,-0.010579,0.125771,0.837170,0.0951,0.000000,,
35,52,34,18,0,3956,-0.008956,0.098309,0.851229,0.0912,0.000000,,
36,52,35,17,0,4059,-0.009684,0.105878,0.850675,0.0964,0.000000,,
37,52,36,16,0,4188,-0.008798,0.111016,0.857201,0.0984,0.000000,,
38,52,34,18,0,3818,-0.010332,0.107284,0.869951,0.0773,0.000000,,
39,52,29,23,0,4033,-0.008947,0.130070,0.819784,0.0968,0.000000,,
40,52,32,20,0,3969,-0.007785,0.116289,0.878433,0.0918,0.000000,0.9000,20
41,52,23,29,0,4145,-0.009496,0.142382,0.870760,0.0897,0.000000,,
42,52,29,23,0,4339,-0.011481,0.093165,0.827819,0.0928,0.000000,,
43,52,27,25,0,4144,-0.006988,0.108621,0.801255,0.1005,0.000000,,
44,52,30,22,0,4372,0.001513,0.108564,0.797229,0.1032,0.000000,,
45,52,27,25,0,4156,-0.000413,0.117730,0.799902,0.0756,0.000000,,
46,52,30,22,0,3891,-0.008468,0.103039,0.771749,0.0928,0.000000,,
47,52,31,21,0,3997,-0.009982,0.106406,0.771031,0.0899,0.000000,,
48,52,30,22,0,3984,-0.009541,0.117251,0.781076,0.0858,0.000000,,
49,52,31,21,0,4249,-0.010282,0.105589,0.797212,0.0906,0.000000,,
50,52,30,22,0,4349,-0.010982,0.103498,0.840986,0.0863,0.000000,0.9500,20
51,52,33,19,0,4255,-0.006009,0.105702,0.785462,0.0873,0.000000,,
52,52,36,16,0,4280,-0.008826,0.102934,0.800836,0.0851,0.000000,,
53,52,31,21,0,4221,-0.007633,0.092141,0.846708,0.0944,0.000000,,
54,52,34,18,0,4281,-0.008517,0.104929,0.801169,0.0970,0.000000,,
55,52,31,21,0,4475,-0.007271,0.111719,0.836531,0.0854,0.000000,,
56,52,28,24,0,4278,-0.009078,0.106510,0.846866,0.0984,0.000000,,
57,52,36,16,0,4211,-0.012129,0.088352,0.799991,0.0922,0.000000,,
58,52,37,15,0,4353,-0.017736,0.088877,0.799758,0.1186,0.000000,,
59,52,36,16,0,4180,-0.014183,0.134268,0.831159,0.0889,0.000000,,
60,52,26,26,0,3946,-0.009907,0.116369,0.819294,0.0961,0.000000,1.0000,20
61,52,31,21,0,3950,-0.004242,0.106867,0.843967,0.0981,0.000000,,
62,52,29,23,0,4532,-0.007799,0.117652,0.833720,0.0973,0.000000,,
63,52,33,19,0,4239,-0.004316,0.096149,0.839572,0.0883,0.000000,,
