iter,games,wins,losses,draws,decisions,samples,pi_loss,v_loss,entropy,clip_frac,archetype_loss,time_s,eval_win_rate,eval_games
1,8,4,4,0,1695,1380,-0.001645,0.137398,1.448298,0.0000,0.694397,5.43,,
2,8,4,4,0,1581,1220,0.002342,0.134308,1.512518,0.0000,0.065082,2.13,,
3,8,5,3,0,1710,1218,-0.000952,0.138726,1.489036,0.0000,0.008838,2.32,,
4,8,4,4,0,1597,1010,-0.001349,0.115768,1.446171,0.0000,0.002823,2.34,,
5,8,5,3,0,1661,1055,0.009793,0.132359,1.470336,0.0000,0.002232,2.25,0.9000,20
6,8,4,4,0,1489,1042,-0.022872,0.123102,1.486742,0.0000,0.002762,2.01,,
7,8,3,5,0,1460,1026,0.067393,0.140626,1.433019,0.0000,0.001842,1.98,,
8,8,5,3,0,1672,1165,-0.002461,0.127096,1.540414,0.0000,0.001812,2.16,,
9,8,4,4,0,1619,1064,0.013118,0.084127,1.513196,0.0000,0.001541,2.36,,
10,8,2,6,0,1667,819,0.015714,0.109958,1.512345,0.0000,0.001451,2.12,1.0000,20
11,8,5,3,0,1615,932,0.000233,0.116491,1.540006,0.0000,0.000951,2.02,,
12,8,6,2,0,1569,959,0.000650,0.126670,1.516110,0.0000,0.001372,1.97,,
13,8,3,5,0,1595,1111,-0.004107,0.114814,1.482231,0.0021,0.001135,2.08,,
14,8,5,3,0,1577,892,-0.003016,0.094211,1.512380,0.0056,0.000877,2.06,,
15,8,3,5,0,1637,1172,-0.000230,0.124704,1.432887,0.0080,0.000608,2.58,0.9500,20
16,8,3,5,0,1585,1004,-0.002399,0.092658,1.528498,0.0000,0.000576,2.11,,
17,8,4,4,0,1595,1010,-0.004718,0.087337,1.564308,0.0024,0.000687,2.10,,
18,8,2,6,0,1667,1128,-0.011824,0.104551,1.491256,0.0076,0.000630,2.22,,
19,8,6,2,0,1624,1049,-0.015201,0.090105,1.488216,0.0180,0.000412,2.18,,
20,8,3,5,0,1523,1047,0.003596,0.093691,1.474394,0.0684,0.000262,2.05,0.9500,20
21,8,6,2,0,1583,982,-0.003478,0.134287,1.498907,0.0032,0.000302,2.07,,
22,8,6,2,0,1571,734,-0.001061,0.074888,1.516132,0.0034,0.000252,2.19,,
23,8,6,2,0,1687,1038,-0.073038,0.139623,1.427563,0.0182,0.000209,2.67,,
24,8,4,4,0,1626,985,-0.003527,0.082395,1.406116,0.0081,0.000133,2.89,,
25,8,5,3,0,1665,1245,-0.002236,0.078590,1.487452,0.0167,0.000180,3.02,0.8500,20
26,8,4,4,0,1637,872,-0.006598,0.098460,1.522936,0.0123,0.000201,2.24,,
27,8,4,4,0,1578,1259,-0.001216,0.082375,1.567027,0.0441,0.000332,2.25,,
28,8,2,6,0,1786,1156,0.002482,0.081243,1.628231,0.0075,0.000373,2.53,,
29,8,4,4,0,1668,1100,-0.004316,0.096535,1.553261,0.0041,0.000402,2.29,,
30,8,5,3,0,1653,1344,-0.002552,0.080940,1.479237,0.0204,0.000330,2.32,0.8000,20
31,8,2,6,0,1713,1194,-0.004148,0.095205,1.474619,0.0101,0.000298,2.45,,
32,8,1,7,0,1498,1011,-0.005016,0.104682,1.429903,0.0308,0.000242,2.55,,
33,8,6,2,0,1600,1101,0.006649,0.106219,1.379175,0.0041,0.000165,2.58,,
34,8,4,4,0,1706,1083,0.008094,0.086561,1.388278,0.0107,0.000293,2.63,,
35,8,6,2,0,1589,1029,-0.017358,0.102711,1.213806,0.0135,0.000214,2.47,0.8500,20
36,8,8,0,0,1713,1394,-0.002740,0.075728,1.338637,0.0079,0.000118,2.67,,
37,8,3,5,0,1841,1400,-0.001241,0.089127,1.350871,0.0452,0.000098,3.02,,
38,8,5,3,0,1665,1083,0.014364,0.070515,1.362324,0.0093,0.000094,2.51,,
39,8,4,4,0,1492,865,-0.001954,0.104471,1.355266,0.0196,0.000062,2.14,,
40,8,2,6,0,1620,952,-0.001688,0.082257,1.533067,0.0279,0.000049,2.37,0.9000,20
41,8,3,5,0,1528,1035,-0.020759,0.082904,1.427507,0.0452,0.000078,2.45,,
42,8,0,8,0,1667,1058,-0.014021,0.110747,1.386355,0.0136,0.000111,2.55,,
43,8,3,5,0,1618,1181,-0.003171,0.097296,1.402888,0.0029,0.000132,2.70,,
44,8,3,5,0,1666,1080,0.000575,0.084627,1.391870,0.0058,0.000143,2.46,,
45,8,5,3,0,1590,1112,-0.008185,0.109700,1.372181,0.0185,0.000054,2.46,0.8500,20
46,8,4,4,0,1688,1153,0.002068,0.096994,1.332905,0.0164,0.000052,2.57,,
47,8,5,3,0,1659,890,-0.004522,0.071238,1.480557,0.0447,0.000116,2.49,,
48,8,4,4,0,1628,1216,-0.005791,0.092658,1.375056,0.0206,0.000083,2.35,,
49,8,4,4,0,1564,923,-0.002289,0.072400,1.444861,0.0268,0.000072,2.30,,
50,8,2,6,0,1576,1070,-0.023721,0.077170,1.373526,0.0231,0.000048,2.44,0.7500,20
51,8,3,5,0,1490,1008,-0.004516,0.119944,1.464396,0.0311,0.000066,2.39,,
52,8,3,5,0,1586,1072,-0.027922,0.144153,1.374011,0.0391,0.000070,2.20,,
53,8,2,6,0,1630,1038,0.037068,0.078345,1.491867,0.0296,0.000125,2.31,,
54,8,1,7,0,1416,1106,-0.012942,0.154425,1.366613,0.0420,0.000069,1.98,,
55,8,4,4,0,1587,1045,-0.023753,0.090237,1.358458,0.0078,0.000081,2.13,0.9500,20
56,8,2,6,0,1612,1032,0.015073,0.139337,1.334880,0.0513,0.000048,2.29,,
57,8,5,3,0,1642,760,-0.006227,0.148285,1.305973,0.0071,0.000031,2.12,,
58,8,4,4,0,1543,1052,0.008173,0.150275,1.166490,0.0629,0.000030,2.21,,
59,8,6,2,0,1599,904,-0.009031,0.128895,1.383409,0.0917,0.000026,2.33,,
60,8,3,5,0,1506,1177,-0.010724,0.137323,1.284215,0.0277,0.000067,2.33,0.9500,20
61,8,2,6,0,1501,865,-0.003592,0.090218,1.230785,0.0302,0.000087,2.09,,
62,8,6,2,0,1543,936,-0.006782,0.125303,1.252163,0.0679,0.000085,2.29,,
63,8,4,4,0,1438,973,-0.001419,0.108311,1.234137,0.0000,0.000187,2.30,,
64,8,7,1,0,1685,1107,0.011607,0.104332,1.188602,0.0284,0.000125,2.55,,
65,8,2,6,0,1493,1085,0.006599,0.117934,1.184663,0.0202,0.000074,2.29,0.9500,20
66,8,5,3,0,1443,701,-0.008814,0.152710,1.164570,0.0595,0.000044,2.02,,
67,8,3,5,0,1546,906,-0.000462,0.148989,1.232711,0.0528,0.000013,2.21,,
68,8,5,3,0,1335,928,-0.007870,0.159064,1.224309,0.0264,0.000017,1.85,,
69,8,5,3,0,1322,962,-0.002713,0.116723,1.142202,0.0106,0.000007,1.87,,
70,8,5,3,0,1473,924,-0.000555,0.122533,1.122429,0.0174,0.000006,2.16,0.9500,20
71,8,4,4,0,1191,815,-0.014647,0.149205,1.141699,0.0185,0.000002,1.83,,
72,8,5,3,0,1101,725,-0.000480,0.136846,1.057330,0.0056,0.000001,1.62,,
73,8,5,3,0,1227,774,0.036358,0.185600,1.179201,0.0207,0.000001,1.72,,
74,8,3,5,0,1026,516,-0.093781,0.150144,1.141746,0.0009,0.000010,1.45,,
75,8,5,3,0,1210,746,-0.004274,0.127475,1.094932,0.0132,0.000007,1.79,0.9500,20
76,8,3,5,0,1257,807,-0.025636,0.165532,1.117989,0.0381,0.000003,1.75,,
77,8,7,1,0,1429,1139,-0.002107,0.201612,1.190368,0.0198,0.000003,1.92,,
78,8,5,3,0,1244,793,-0.009907,0.167583,1.152612,0.0029,0.000006,1.71,,
79,8,1,7,0,1315,887,-0.012527,0.164219,1.168561,0.0146,0.000003,1.76,,
80,8,6,2,0,1397,1092,-0.003940,0.155706,1.202333,0.0312,0.000004,1.93,0.9000,20
81,8,3,5,0,1319,794,-0.023154,0.193422,1.164026,0.0048,0.000001,2.00,,
82,8,3,5,0,1316,734,-0.004834,0.182851,1.062567,0.0000,0.000005,1.93,,
83,8,5,3,0,1373,934,-0.001567,0.107393,1.122231,0.0311,0.000004,1.92,,
84,8,5,3,0,1204,883,0.006639,0.234082,1.145052,0.0042,0.000007,1.71,,
85,8,3,5,0,1240,721,0.001829,0.195349,1.113018,0.0021,0.000004,1.71,0.9500,20
86,8,4,4,0,1272,811,0.000647,0.173709,1.137589,0.0007,0.000005,1.72,,
87,8,4,4,0,1236,843,0.002780,0.140664,1.034885,0.0245,0.000002,1.82,,
88,8,4,4,0,1086,545,-0.011981,0.102791,1.073873,0.0035,0.000002,1.41,,
89,8,2,6,0,1218,875,-0.007123,0.155781,1.102199,0.0138,0.000001,1.71,,
90,8,4,4,0,1432,899,-0.003632,0.158445,1.031842,0.0013,0.000002,1.94,1.0000,20
91,8,3,5,0,1312,952,-0.002620,0.170837,1.017085,0.0138,0.000001,1.82,,
92,8,3,5,0,1183,834,0.015671,0.135400,1.014661,0.0737,0.000001,1.75,,
93,8,5,3,0,1413,943,-0.003961,0.153044,0.961872,0.0168,0.000002,2.12,,
94,8,5,3,0,1105,561,-0.020131,0.133885,1.039651,0.0045,0.000001,1.43,,
95,8,4,4,0,1320,876,0.007651,0.163681,0.966248,0.0178,0.000003,1.80,1.0000,20
96,8,6,2,0,1560,1122,-0.016245,0.150593,0.909352,0.0282,0.000005,2.16,,
97,8,2,6,0,1199,820,0.017133,0.133004,0.929484,0.0210,0.000000,1.57,,
98,8,3,5,0,1277,840,0.007991,0.161572,0.962761,0.0062,0.000001,1.74,,
99,8,4,4,0,1313,862,-0.005476,0.132926,0.893390,0.0189,0.000003,1.79,,
100,8,6,2,0,1281,906,0.003870,0.137287,0.872515,0.0326,0.000001,1.81,0.9500,20
101,8,7,1,0,1011,582,-0.013759,0.137028,0.912341,0.0165,0.000001,1.30,,
102,8,6,2,0,1292,784,-0.001240,0.149610,0.959814,0.0400,0.000001,1.64,,
103,8,5,3,0,1434,989,-0.002172,0.180907,0.945778,0.0021,0.000001,1.91,,
104,8,5,3,0,1297,750,-0.000087,0.234527,0.994191,0.0054,0.000002,1.79,,
105,8,5,3,0,1294,658,-0.005060,0.128953,0.913440,0.0012,0.000000,1.73,1.0000,20
106,8,3,5,0,1348,949,-0.004120,0.193646,0.978788,0.0256,0.000002,1.91,,
107,8,5,3,0,1274,846,0.005550,0.195448,0.967019,0.0246,0.000002,1.69,,
108,8,4,4,0,1394,589,-0.003698,0.205174,0.928330,0.0100,0.000004,1.73,,
109,8,3,5,0,1202,861,-0.007796,0.240319,0.901357,0.0238,0.000004,1.56,,
110,8,6,2,0,1501,974,-0.004427,0.168695,0.924358,0.0455,0.000008,1.97,0.8000,20
111,8,1,7,0,1346,751,-0.001234,0.134447,0.932582,0.0027,0.000001,1.71,,
112,8,3,5,0,1474,1044,-0.016939,0.186746,0.925813,0.0728,0.000002,1.94,,
113,8,5,3,0,1459,932,-0.002825,0.140235,0.878260,0.0334,0.000002,1.93,,
114,8,5,3,0,1110,782,-0.018198,0.196752,0.936653,0.0036,0.000001,1.39,,
115,8,4,4,0,1357,955,-0.003749,0.148258,0.915343,0.0134,0.000002,1.78,0.7500,20
116,8,4,4,0,1486,778,-0.002805,0.152152,0.878611,0.0026,0.000002,1.95,,
117,8,3,5,0,1256,818,-0.016893,0.161375,0.858963,0.0039,0.000001,1.60,,
118,8,6,2,0,1252,839,0.009608,0.166519,0.879113,0.0033,0.000002,1.54,,
119,8,4,4,0,1372,889,-0.018748,0.306760,0.840695,0.0020,0.000002,1.77,,
120,8,3,5,0,1121,657,-0.005729,0.245588,0.791550,0.0032,0.000001,1.34,0.7500,20
121,8,4,4,0,1251,760,-0.002071,0.152340,0.852767,0.0022,0.000001,1.64,,
122,8,6,2,0,1439,930,-0.004865,0.162358,0.831996,0.0233,0.000007,1.93,,
123,8,3,5,0,1322,881,-0.006940,0.144417,0.776360,0.0070,0.000006,1.65,,
