iter,games,wins,losses,draws,decisions,samples,pi_loss,v_loss,entropy,clip_frac,archetype_loss,time_s,eval_win_rate,eval_games
1,16,8,8,0,3103,2656,-0.006249,0.100349,1.497105,0.0000,0.506763,5.29,,
2,16,4,12,0,3023,1946,-0.001341,0.099646,1.498731,0.0000,0.008733,4.94,,
3,16,7,9,0,3075,2282,-0.002014,0.083922,1.448666,0.0000,0.003099,5.25,,
4,16,5,11,0,2568,1479,-0.001613,0.133048,1.464370,0.0000,0.001744,3.98,,
5,16,6,10,0,2884,1787,-0.001801,0.093261,1.535653,0.0002,0.002670,4.57,,
6,16,6,10,0,3264,1950,-0.005242,0.109812,1.455427,0.0004,0.001791,5.05,,
7,16,5,11,0,2792,1582,0.008518,0.100267,1.462127,0.0006,0.001598,4.29,,
8,16,8,8,0,2805,1717,-0.002018,0.102909,1.441823,0.0189,0.000946,4.51,,
9,16,8,8,0,2718,1777,-0.004816,0.087062,1.465004,0.0017,0.001705,4.32,,
10,16,9,7,0,2918,1886,-0.006713,0.091598,1.380232,0.0161,0.000659,4.89,0.5500,20
11,16,6,10,0,2168,1347,-0.001113,0.086774,1.400682,0.0325,0.000870,3.40,,
12,16,7,9,0,3123,1776,-0.001460,0.074327,1.400666,0.0032,0.000623,5.02,,
13,16,6,10,0,2821,1625,-0.010882,0.081374,1.327067,0.0359,0.000470,4.40,,
14,16,9,7,0,2454,1479,-0.004831,0.135825,1.326881,0.0049,0.000319,3.93,,
15,16,5,11,0,2596,1699,-0.006450,0.084023,1.300599,0.0466,0.000418,4.21,,
16,16,9,7,0,2676,1381,-0.003798,0.120360,1.283332,0.0143,0.000162,4.00,,
17,16,3,13,0,2487,1615,0.010808,0.111429,1.307203,0.0354,0.000328,4.05,,
18,16,4,12,0,2243,1266,-0.003586,0.112271,1.285155,0.0018,0.000442,3.62,,
19,16,7,9,0,2571,1508,-0.001759,0.115714,1.302908,0.0047,0.000245,4.17,,
20,16,6,10,0,2690,1804,-0.012493,0.094933,1.342802,0.0392,0.000273,4.41,0.7500,20
21,16,7,9,0,2675,1490,-0.002701,0.104562,1.358614,0.0084,0.000194,4.24,,
22,16,6,10,0,2639,1621,-0.018377,0.125368,1.288509,0.0171,0.000242,4.18,,
23,16,6,10,0,2885,1829,-0.015887,0.090296,1.300146,0.0156,0.000298,4.77,,
24,16,6,10,0,2574,1562,-0.002089,0.118624,1.229887,0.0436,0.000153,4.42,,
25,16,9,7,0,2594,1743,-0.002757,0.092607,1.215761,0.0299,0.000184,4.23,,
26,16,9,7,0,2749,1638,-0.010994,0.092838,1.189126,0.0417,0.000100,4.42,,
27,16,5,11,0,2647,1656,-0.004681,0.115094,1.191568,0.0401,0.000122,4.38,,
28,16,5,11,0,2668,1606,-0.006246,0.137999,1.139679,0.0042,0.000162,4.30,,
29,16,2,14,0,2295,1526,-0.004533,0.132937,1.124789,0.0218,0.000276,3.80,,
30,16,6,10,0,2439,1444,-0.004887,0.121487,1.113739,0.0265,0.000111,3.79,0.7500,20
31,16,5,11,0,2573,1684,-0.006878,0.084279,1.078015,0.0545,0.000044,4.23,,
32,16,8,8,0,2370,1261,-0.002982,0.147515,1.090546,0.0361,0.000044,3.91,,
33,16,4,12,0,2489,1574,-0.014490,0.115947,1.033645,0.0364,0.000072,4.39,,
34,16,7,9,0,2236,1262,-0.002973,0.196265,1.042991,0.0038,0.000062,3.47,,
35,16,9,7,0,2403,1416,-0.004287,0.112191,1.039344,0.0190,0.000080,4.00,,
36,16,9,7,0,2270,1474,-0.002410,0.097853,1.013214,0.0218,0.000097,3.70,,
37,16,9,7,0,2565,1664,0.009282,0.145958,0.966740,0.0327,0.000052,4.41,,
38,16,4,12,0,2405,1386,0.006352,0.182791,0.991369,0.0321,0.000056,3.87,,
39,16,8,8,0,2724,1807,-0.025089,0.111255,0.993317,0.0189,0.000060,4.64,,
40,16,5,11,0,2740,1868,0.004874,0.107754,1.007799,0.0404,0.000118,4.51,0.6000,20
41,16,8,8,0,2470,1338,-0.016485,0.121293,1.003505,0.0277,0.000025,3.95,,
42,16,6,10,0,2406,1537,0.004036,0.102312,1.009801,0.0227,0.000008,3.89,,
43,16,6,10,0,2353,1380,-0.006023,0.136559,0.943369,0.0265,0.000023,3.76,,
44,16,7,9,0,2533,1508,-0.002515,0.127196,0.942303,0.0162,0.000061,4.00,,
45,16,3,13,0,2529,1583,-0.008723,0.118802,0.962656,0.0095,0.000019,4.16,,
46,16,2,14,0,2302,1284,0.002723,0.124122,0.943449,0.0291,0.000032,3.54,,
47,16,7,9,0,2486,1752,-0.004093,0.133370,0.971912,0.0163,0.000045,4.22,,
48,16,3,13,0,2632,1725,-0.004845,0.107159,0.936012,0.0333,0.000039,4.25,,
49,16,4,12,0,2745,1938,-0.006260,0.118820,0.949597,0.0274,0.000061,4.58,,
50,16,6,10,0,2914,1994,-0.006258,0.116410,0.963716,0.0370,0.000065,4.71,0.6500,20
51,16,8,8,0,2601,1697,-0.005550,0.129675,0.949668,0.0348,0.000063,4.38,,
52,16,7,9,0,2754,1943,0.000468,0.099551,0.951304,0.0350,0.000065,4.57,,
53,16,8,8,0,2686,1910,-0.005924,0.127436,0.922862,0.0259,0.000035,4.43,,
54,16,7,9,0,2644,1691,-0.007024,0.083327,0.923134,0.0284,0.000030,4.44,,
55,16,10,6,0,2718,1776,-0.004361,0.108146,0.852247,0.0279,0.000015,4.33,,
56,16,6,10,0,2568,1639,0.001508,0.117113,0.844716,0.0238,0.000025,4.29,,
57,16,6,10,0,2618,1704,-0.001822,0.185153,0.853522,0.0435,0.000008,4.27,,
58,16,8,8,0,2778,1413,-0.007917,0.121923,0.875805,0.0235,0.000024,4.35,,
59,16,5,11,0,2860,1838,-0.017879,0.130179,0.806879,0.0236,0.000017,4.45,,
60,16,8,8,0,2702,1749,-0.006013,0.100253,0.781057,0.0468,0.000034,4.41,0.7000,20
61,16,7,9,0,2401,1351,-0.010387,0.108534,0.826456,0.0325,0.000017,3.71,,
62,16,9,7,0,2411,1384,0.002382,0.096227,0.866786,0.0400,0.000012,3.90,,
63,16,5,11,0,2395,1372,-0.000800,0.152653,0.859070,0.0302,0.000001,3.87,,
64,16,11,5,0,2329,1457,-0.002810,0.142950,0.892442,0.0254,0.000003,3.75,,
65,16,2,14,0,2568,1527,-0.004540,0.155118,0.831666,0.0260,0.000003,3.97,,
66,16,6,10,0,2529,1267,-0.006359,0.172598,0.895659,0.0318,0.000005,4.01,,
67,16,8,8,0,2658,1654,-0.002146,0.136489,0.868800,0.0323,0.000004,4.46,,
68,16,7,9,0,2515,1617,-0.003744,0.113177,0.865062,0.0241,0.000001,4.10,,
69,16,10,6,0,2524,1630,0.013606,0.119720,0.870413,0.0372,0.000001,4.14,,
70,16,6,10,0,2383,1399,0.001453,0.136187,0.846029,0.0090,0.000000,4.04,0.7500,20
71,16,5,11,0,2800,1857,-0.004147,0.141186,0.791586,0.0441,0.000000,4.69,,
72,16,5,11,0,2747,1595,-0.003678,0.113205,0.839457,0.0420,0.000001,4.39,,
73,16,7,9,0,2629,1555,-0.002330,0.090360,0.829842,0.0457,0.000001,4.19,,
74,16,8,8,0,2631,1631,-0.010486,0.128460,0.859153,0.0145,0.000000,4.27,,
75,16,5,11,0,2428,1563,-0.008538,0.117418,0.826164,0.0338,0.000000,3.94,,
76,16,8,8,0,2789,1950,-0.001198,0.108553,0.819069,0.0252,0.000000,4.76,,
77,16,4,12,0,2593,1680,-0.002755,0.117557,0.776955,0.0416,0.000001,4.14,,
78,16,5,11,0,2837,1773,-0.003536,0.093761,0.777840,0.0387,0.000001,4.49,,
79,16,7,9,0,2618,1628,-0.007109,0.134844,0.794651,0.0425,0.000002,4.25,,
80,16,6,10,0,2660,1584,-0.011950,0.080028,0.767885,0.0286,0.000000,4.19,0.7000,20
81,16,8,8,0,2925,1931,-0.001960,0.117697,0.773343,0.0271,0.000001,4.84,,
82,16,7,9,0,2578,1685,-0.003918,0.109914,0.848561,0.0342,0.000001,4.20,,
83,16,12,4,0,2438,1606,0.010366,0.099509,0.804686,0.0107,0.000000,4.00,,
84,16,9,7,0,2597,1469,-0.002726,0.181569,0.806807,0.0073,0.000001,4.15,,
85,16,4,12,0,2581,1577,-0.003227,0.157627,0.813369,0.0253,0.000000,4.14,,
86,16,8,8,0,2392,1543,-0.011800,0.118622,0.798777,0.0270,0.000000,3.79,,
87,16,8,8,0,2875,1919,-0.007106,0.114992,0.813514,0.0355,0.000000,4.81,,
88,16,8,8,0,2793,1886,-0.011835,0.098581,0.772108,0.0292,0.000001,4.64,,
89,16,11,5,0,2967,1973,-0.002359,0.096193,0.766586,0.0393,0.000001,5.00,,
90,16,9,7,0,2496,1618,-0.004378,0.112912,0.772978,0.0305,0.000000,4.30,0.7500,20
91,16,7,9,0,2920,1715,-0.004893,0.133640,0.818217,0.0308,0.000001,4.60,,
