iter,games,wins,losses,draws,decisions,samples,pi_loss,v_loss,entropy,clip_frac,archetype_loss,time_s,eval_win_rate,eval_games
1,16,9,7,0,2716,2442,-0.014880,0.097300,0.690329,0.1136,0.000000,9.19,,
2,16,11,5,0,2674,1857,-0.015166,0.136487,0.777243,0.0635,0.000000,1.47,,
3,16,8,8,0,2876,2082,0.002038,0.116080,0.719386,0.0926,0.000000,1.42,,
4,16,7,9,0,2488,1373,-0.006249,0.125556,0.728588,0.0617,0.000000,1.16,,
5,16,5,11,0,2332,1518,-0.009386,0.119218,0.727592,0.0630,0.000000,1.11,,
6,16,9,6,1,5395,1599,-0.016794,0.137996,0.737742,0.0664,0.000000,4.28,,
7,16,13,3,0,2482,1299,-0.024867,0.176485,0.722222,0.0584,0.000000,1.17,,
8,16,11,5,0,2515,1595,-0.007175,0.105318,0.694328,0.0733,0.000000,1.26,,
9,16,8,8,0,2662,1840,0.014572,0.133412,0.730238,0.0541,0.000000,1.39,,
10,16,9,7,0,2778,1879,-0.011208,0.168466,0.730672,0.0523,0.000000,1.49,0.9500,20
11,16,4,12,0,2667,1706,-0.011709,0.122776,0.704960,0.0343,0.000000,1.19,,
12,16,13,3,0,2392,1396,-0.006367,0.128064,0.684950,0.0466,0.000000,1.09,,
13,16,8,8,0,2751,1661,-0.012866,0.111956,0.702461,0.0572,0.000000,1.35,,
14,16,10,6,0,2826,1799,-0.014528,0.123708,0.718221,0.0645,0.000000,1.36,,
15,16,7,9,0,2790,1885,-0.013661,0.108588,0.720931,0.0786,0.000000,1.42,,
16,16,7,9,0,2514,1422,-0.004051,0.157145,0.656503,0.0644,0.000000,1.14,,
17,16,8,8,0,2681,1952,-0.010223,0.132679,0.747418,0.0768,0.000000,1.50,,
18,16,7,9,0,2459,1433,-0.008822,0.121385,0.698033,0.0481,0.000000,1.14,,
19,16,6,10,0,2356,1457,-0.003773,0.140296,0.693035,0.0608,0.000000,1.21,,
20,16,9,7,0,3028,2107,-0.025963,0.141480,0.695624,0.0714,0.000000,1.38,1.0000,20
21,16,6,9,1,5502,1398,-0.011965,0.141004,0.688996,0.0503,0.000000,4.60,,
22,16,12,4,0,2790,1938,-0.006160,0.124731,0.678731,0.0549,0.000000,1.34,,
23,16,8,8,0,2398,1617,-0.007063,0.112077,0.681483,0.0540,0.000000,1.14,,
24,16,6,10,0,2704,1614,-0.020601,0.130136,0.665704,0.0671,0.000000,1.31,,
25,16,9,6,1,5922,2164,-0.010319,0.107938,0.699267,0.0611,0.000000,4.65,,
26,16,8,8,0,2773,1652,-0.014954,0.117664,0.742181,0.0737,0.000000,1.33,,
27,16,7,9,0,2339,1611,-0.014992,0.137200,0.664044,0.0448,0.000000,1.24,,
28,16,11,5,0,2717,1741,-0.013620,0.104997,0.684543,0.0763,0.000000,1.33,,
29,16,8,8,0,2837,1825,0.009328,0.115702,0.714678,0.0764,0.000000,1.46,,
30,16,10,6,0,2708,1708,-0.009565,0.103376,0.693344,0.0825,0.000000,1.23,1.0000,20
31,16,6,9,1,5399,1675,-0.005709,0.114988,0.720593,0.0707,0.000000,4.40,,
32,16,6,10,0,2693,1527,-0.011362,0.143807,0.618362,0.0570,0.000000,1.34,,
33,16,5,11,0,2935,1833,-0.013231,0.192901,0.701721,0.0703,0.000000,1.47,,
34,16,9,7,0,2724,1547,-0.032464,0.140036,0.681888,0.0340,0.000000,1.32,,
35,16,10,6,0,2725,1755,-0.010444,0.125290,0.712327,0.0645,0.000000,1.40,,
36,16,6,10,0,2795,1803,0.012133,0.111570,0.680059,0.0746,0.000000,1.37,,
37,16,5,10,1,5936,1982,-0.009578,0.125173,0.736715,0.0621,0.000000,4.56,,
38,16,8,8,0,2592,1641,-0.011769,0.089137,0.665154,0.0804,0.000000,1.23,,
39,16,9,6,1,5480,1930,-0.011832,0.136463,0.674134,0.0706,0.000000,4.75,,
40,16,10,5,1,5263,1595,-0.006736,0.131816,0.644215,0.0713,0.000000,4.44,0.9500,20
41,16,10,5,1,5669,1524,-0.010086,0.076759,0.718663,0.0670,0.000000,4.30,,
42,16,9,7,0,2527,1715,-0.009867,0.111404,0.695587,0.0660,0.000000,1.30,,
43,16,8,7,1,5770,1789,-0.010085,0.102090,0.708869,0.0671,0.000000,4.85,,
44,16,7,9,0,2688,1754,-0.010555,0.126572,0.665139,0.0709,0.000000,1.27,,
45,16,13,3,0,2592,1673,-0.012405,0.117039,0.701814,0.0716,0.000000,1.21,,
46,16,6,10,0,2740,1669,-0.012042,0.125702,0.735738,0.0777,0.000000,1.29,,
47,16,8,8,0,2670,1951,-0.011184,0.141709,0.714224,0.0644,0.000000,1.34,,
48,16,6,10,0,2676,1692,-0.013465,0.107219,0.699809,0.0712,0.000000,1.24,,
49,16,10,6,0,2780,2122,-0.009325,0.117714,0.725608,0.0823,0.000000,1.46,,
50,16,8,7,1,5746,2018,-0.009263,0.089057,0.710585,0.0629,0.000000,4.59,1.0000,20
51,16,10,5,1,5620,1857,-0.011444,0.117197,0.734068,0.0756,0.000000,4.27,,
52,16,8,8,0,2670,2009,-0.010899,0.097788,0.724198,0.0684,0.000000,1.53,,
53,16,10,6,0,2698,1978,-0.012228,0.135331,0.715668,0.0821,0.000000,1.44,,
54,16,5,11,0,2371,1579,-0.029775,0.090286,0.746885,0.0700,0.000000,1.27,,
55,16,11,5,0,2701,1920,-0.011978,0.092319,0.713793,0.0687,0.000000,1.43,,
56,16,8,8,0,2475,1741,-0.010627,0.174092,0.709158,0.0667,0.000000,1.26,,
57,16,8,8,0,2571,1494,-0.012016,0.103055,0.718900,0.0722,0.000000,1.23,,
58,16,7,9,0,2459,1457,-0.011658,0.111798,0.721393,0.0534,0.000000,1.10,,
59,16,9,7,0,3403,1863,-0.009018,0.075454,0.746779,0.0813,0.000000,1.82,,
60,16,11,5,0,2487,1643,-0.014612,0.124140,0.742430,0.0577,0.000000,1.20,1.0000,20
61,16,4,12,0,2437,1457,-0.012213,0.125051,0.726222,0.0505,0.000000,1.14,,
62,16,8,8,0,2721,1611,-0.008018,0.160868,0.760938,0.0584,0.000000,1.37,,
63,16,9,7,0,2633,1578,-0.014069,0.110214,0.743262,0.0619,0.000000,1.30,,
64,16,10,6,0,2775,1991,-0.011311,0.151220,0.744726,0.0589,0.000000,1.56,,
65,16,9,7,0,2437,1556,-0.015844,0.121789,0.732406,0.0382,0.000000,1.26,,
66,16,6,8,2,8175,1243,-0.010687,0.159493,0.720149,0.0474,0.000000,4.49,,
67,16,9,7,0,2813,1745,-0.008888,0.124748,0.760686,0.0664,0.000000,1.35,,
68,16,5,11,0,2850,2006,-0.011378,0.117029,0.755247,0.0679,0.000000,1.31,,
69,16,10,6,0,2220,1466,-0.009181,0.123670,0.729468,0.0498,0.000000,1.10,,
70,16,6,10,0,2426,1483,-0.010623,0.114635,0.725161,0.0601,0.000000,1.04,1.0000,20
71,16,5,11,0,2750,1883,-0.013553,0.090629,0.721737,0.0752,0.000000,1.40,,
72,16,9,6,1,5488,1377,-0.005864,0.114987,0.756222,0.0642,0.000000,4.11,,
73,16,8,8,0,2711,1632,-0.006668,0.120830,0.680117,0.0600,0.000000,1.31,,
74,16,12,4,0,2765,1681,-0.010970,0.135472,0.699372,0.0527,0.000000,1.24,,
75,16,6,10,0,2864,1810,-0.005299,0.109469,0.698342,0.0646,0.000000,1.42,,
76,16,6,10,0,2988,2264,-0.012247,0.127423,0.748552,0.0773,0.000000,1.64,,
77,16,9,7,0,2659,1758,-0.009632,0.111353,0.706741,0.0604,0.000000,1.34,,
78,16,4,12,0,2534,1747,-0.010107,0.139511,0.733743,0.0478,0.000000,1.33,,
79,16,8,8,0,2613,1743,-0.008775,0.138061,0.717888,0.0557,0.000000,1.24,,
80,16,7,9,0,2488,1661,-0.011606,0.118628,0.677160,0.0519,0.000000,1.20,1.0000,20
81,16,9,7,0,2601,1791,-0.007909,0.163205,0.705380,0.0491,0.000000,1.36,,
82,16,9,7,0,2371,1515,-0.009433,0.124090,0.696485,0.0527,0.000000,1.16,,
83,16,8,8,0,2835,2074,-0.019079,0.115134,0.710585,0.0676,0.000000,1.47,,
84,16,11,5,0,2320,1369,-0.008236,0.126090,0.716230,0.0728,0.000000,1.11,,
85,16,6,10,0,2568,1752,-0.010796,0.117421,0.726888,0.0652,0.000000,1.28,,
86,16,9,7,0,2766,1850,-0.006669,0.128285,0.722165,0.0620,0.000000,1.50,,
87,16,13,3,0,2432,1624,-0.005929,0.118161,0.761929,0.0764,0.000000,1.20,,
88,16,6,9,1,5375,1615,-0.012714,0.131670,0.681152,0.0475,0.000000,4.35,,
89,16,7,9,0,2749,1967,-0.009753,0.182421,0.726430,0.0776,0.000000,1.47,,
90,16,9,7,0,2549,1725,-0.013500,0.129513,0.741113,0.0814,0.000000,1.29,1.0000,20
91,16,11,4,1,5678,1678,-0.015887,0.117090,0.735918,0.0843,0.000000,4.52,,
92,16,5,11,0,2899,1806,-0.023473,0.094554,0.727323,0.0893,0.000000,1.33,,
93,16,4,12,0,2563,1634,-0.018078,0.134395,0.764892,0.0658,0.000000,1.25,,
94,16,13,3,0,2447,1526,-0.011292,0.139675,0.699005,0.0584,0.000000,1.21,,
95,16,6,10,0,2626,1745,-0.013123,0.158731,0.739087,0.0665,0.000000,1.43,,
96,16,6,10,0,2736,1975,-0.010323,0.140774,0.728832,0.0753,0.000000,1.42,,
97,16,10,6,0,2744,1933,-0.010261,0.120176,0.735386,0.0709,0.000000,1.39,,
98,16,8,8,0,2496,1389,-0.017469,0.105534,0.741316,0.0584,0.000000,1.18,,
99,16,6,9,1,5458,1583,-0.016277,0.120319,0.749467,0.0906,0.000000,4.52,,
100,16,10,5,1,5629,1886,-0.005706,0.102608,0.749562,0.0840,0.000000,4.67,1.0000,20
101,16,8,8,0,2585,1612,-0.011093,0.116609,0.749041,0.0760,0.000000,1.31,,
102,16,6,10,0,2455,1303,-0.025992,0.092181,0.759122,0.0428,0.000000,1.05,,
103,16,6,10,0,2737,1703,-0.013780,0.116119,0.797966,0.0641,0.000000,1.23,,
104,16,8,8,0,2665,1919,-0.009747,0.152783,0.705454,0.0601,0.000000,1.43,,
105,16,7,9,0,2727,1735,-0.013348,0.100800,0.714700,0.0511,0.000000,1.27,,
106,16,9,7,0,2654,1704,-0.004917,0.154313,0.739647,0.0696,0.000000,1.30,,
107,16,10,6,0,2692,1800,-0.030033,0.125783,0.743377,0.0791,0.000000,1.28,,
108,16,9,7,0,2872,1964,-0.010623,0.106255,0.753876,0.0728,0.000000,1.42,,
109,16,8,8,0,2387,1623,-0.011758,0.131946,0.737664,0.0562,0.000000,1.37,,
110,16,4,11,1,5278,1675,-0.016775,0.117926,0.724978,0.0647,0.000000,4.30,1.0000,20
