iter,games,wins,losses,draws,decisions,samples,pi_loss,v_loss,entropy,clip_frac,time_s,eval_win_rate,eval_games,eval_vs_agent_win_rate
1,16,9,7,0,1286,1167,-0.003276,0.195114,0.805401,0.0509,1.30,,,
2,16,9,7,0,1351,1142,-0.009112,0.174040,0.843692,0.0453,1.22,,,
3,16,11,5,0,1249,897,-0.012537,0.200998,0.827989,0.0150,1.12,,,
4,16,12,4,0,1594,1359,-0.015891,0.161448,0.837322,0.0276,1.49,,,
5,16,6,10,0,1926,1218,-0.002904,0.166914,0.845844,0.0230,1.75,,,
6,16,10,6,0,1546,1026,0.133395,0.173346,0.802596,0.0229,1.42,,,
7,16,5,11,0,1439,1052,-0.003416,0.216324,0.850259,0.0188,1.31,,,
8,16,11,5,0,1472,1025,-0.029437,0.124253,0.748734,0.0203,1.38,,,
9,16,8,8,0,1658,1131,-0.011543,0.147242,0.851914,0.0328,1.49,,,
10,16,11,5,0,1381,1058,0.010262,0.189189,0.890543,0.0358,1.30,0.9500,20,0.9000
11,16,11,5,0,1704,1090,-0.003086,0.150137,0.864921,0.0334,1.49,,,
12,16,9,7,0,1794,1262,-0.005025,0.150981,0.823131,0.0328,1.61,,,
13,16,8,8,0,1517,1038,0.015418,0.168348,0.847294,0.0265,1.42,,,
14,16,10,6,0,1434,972,-0.003704,0.154271,0.875860,0.0308,1.33,,,
15,16,8,8,0,1608,1284,0.028337,0.179118,0.763812,0.0438,1.45,,,
16,16,9,7,0,1697,1156,-0.008957,0.169942,0.861583,0.0354,1.61,,,
17,16,6,10,0,1705,1152,-0.003480,0.157798,0.830954,0.0305,1.68,,,
18,16,7,9,0,1797,1405,0.004023,0.130374,0.824361,0.0447,1.68,,,
19,16,9,7,0,1620,1129,0.007925,0.148100,0.810913,0.0387,1.45,,,
20,16,6,10,0,1649,1115,-0.012120,0.158671,0.812968,0.0461,1.45,1.0000,20,0.7500
21,16,9,7,0,1563,1081,-0.011984,0.187099,0.828345,0.0387,1.37,,,
22,16,10,6,0,1424,1068,-0.030393,0.175993,0.836639,0.0399,1.27,,,
23,16,7,9,0,1385,984,-0.006017,0.185079,0.826511,0.0268,1.28,,,
24,16,9,7,0,1509,1026,-0.007332,0.159297,0.811405,0.0586,1.30,,,
25,16,11,5,0,1635,1199,-0.006625,0.129715,0.868940,0.0407,1.46,,,
26,16,9,7,0,1419,960,-0.009252,0.148583,0.865509,0.0306,1.27,,,
27,16,5,11,0,1721,1425,-0.009674,0.153339,0.832133,0.0418,1.64,,,
28,16,8,8,0,1328,822,0.011124,0.245761,0.859293,0.0252,1.19,,,
29,16,12,4,0,1359,810,-0.014250,0.164605,0.838677,0.0339,1.27,,,
30,16,9,7,0,1380,1019,-0.005925,0.189626,0.869503,0.0301,1.23,0.9500,20,0.7000
31,16,7,9,0,1443,886,-0.009743,0.160630,0.862555,0.0320,1.22,,,
32,16,12,4,0,1454,1109,-0.012081,0.195231,0.864792,0.0441,1.36,,,
33,16,6,10,0,1233,716,-0.005683,0.170224,0.855243,0.0316,1.06,,,
34,16,11,5,0,1664,1273,-0.004658,0.175079,0.837745,0.0298,1.51,,,
35,16,11,5,0,1487,1068,-0.006716,0.131037,0.871079,0.0497,1.29,,,
36,16,7,9,0,1558,1201,-0.006349,0.166814,0.801983,0.0360,1.45,,,
37,16,10,6,0,1604,959,-0.001786,0.167267,0.823820,0.0394,1.37,,,
38,16,9,7,0,1208,949,-0.004496,0.163509,0.862583,0.0313,1.13,,,
39,16,9,7,0,1604,1296,-0.019671,0.145115,0.920958,0.0378,1.48,,,
40,16,8,8,0,1670,1248,-0.007228,0.124453,0.861684,0.0484,1.55,0.9500,20,0.7000
41,16,10,6,0,1450,928,-0.011531,0.155422,0.840946,0.0327,1.31,,,
42,16,10,6,0,1437,1137,-0.007547,0.170972,0.829372,0.0265,1.27,,,
43,16,10,6,0,1542,1118,0.003401,0.176206,0.854823,0.0439,1.44,,,
44,16,10,6,0,1608,1057,0.001467,0.149537,0.831322,0.0436,1.37,,,
45,16,8,8,0,1688,1272,-0.005301,0.117105,0.818014,0.0339,1.58,,,
46,16,8,8,0,1669,1328,-0.008825,0.226505,0.841717,0.0332,1.59,,,
47,16,6,10,0,1488,917,-0.003392,0.158108,0.834202,0.0382,1.30,,,
48,16,9,7,0,1467,1127,-0.002321,0.150556,0.868683,0.0374,1.34,,,
49,16,9,7,0,1333,932,-0.005045,0.196593,0.835236,0.0224,1.22,,,
