iter,games,wins,losses,draws,samples,pi_loss,v_loss,entropy,clip_frac,archetype_loss,eval_win_rate,eval_games
1,2,1,1,0,,,,,,,,
2,2,0,2,0,,,,,,,,
3,2,1,1,0,408,-0.005407,0.085950,0.803015,0.0605,0.000003,,
4,2,1,1,0,,,,,,,,
5,2,1,1,0,,,,,,,,
6,2,0,2,0,470,-0.005072,0.102191,0.810828,0.0058,0.000003,,
7,2,0,2,0,,,,,,,,
8,2,1,1,0,,,,,,,,
9,2,0,2,0,253,-0.001419,0.131780,0.851731,0.0000,0.000000,,
10,2,0,2,0,,,,,,,0.9000,20
11,2,1,1,0,,,,,,,,
12,2,0,2,0,224,-0.000841,0.105189,0.850927,0.0000,0.000000,,
13,2,0,2,0,,,,,,,,
14,2,0,2,0,,,,,,,,
15,2,0,2,0,371,-0.000447,0.057033,0.844514,0.0079,0.000000,,
16,2,0,2,0,,,,,,,,
17,2,1,1,0,,,,,,,,
18,2,0,2,0,345,-0.015220,0.053484,0.979960,0.0037,0.000027,,
19,2,0,2,0,,,,,,,,
20,2,0,2,0,,,,,,,1.0000,20
21,2,1,1,0,392,-0.002947,0.038012,0.943780,0.0038,0.000007,,
22,2,1,1,0,,,,,,,,
23,2,1,1,0,,,,,,,,
24,2,1,1,0,407,0.005157,0.126090,0.891857,0.0000,0.000007,,
25,2,0,2,0,,,,,,,,
26,2,1,1,0,,,,,,,,
27,2,2,0,0,366,-0.009640,0.101444,0.977679,0.0007,0.000084,,
28,2,0,2,0,,,,,,,,
29,2,0,2,0,,,,,,,,
30,2,1,1,0,453,0.002841,0.133576,1.012114,0.0025,0.000050,1.0000,20
31,2,0,2,0,,,,,,,,
32,2,0,2,0,,,,,,,,
33,2,1,1,0,342,0.013228,0.077424,0.976711,0.0000,0.000002,,
34,2,2,0,0,,,,,,,,
35,2,1,1,0,,,,,,,,
36,2,0,2,0,358,0.009081,0.097568,1.015941,0.0023,0.000105,,
37,2,1,1,0,,,,,,,,
38,2,0,2,0,,,,,,,,
39,2,2,0,0,403,0.001799,0.121215,0.899597,0.0000,0.000010,,
40,2,0,2,0,,,,,,,1.0000,20
41,2,0,2,0,,,,,,,,
42,2,0,2,0,452,-0.005612,0.099724,1.022106,0.0045,0.000002,,
43,2,0,2,0,,,,,,,,
44,2,1,1,0,,,,,,,,
45,2,0,2,0,343,-0.003096,0.069221,0.949146,0.0000,0.000004,,
46,2,0,2,0,,,,,,,,
47,2,0,2,0,,,,,,,,
48,2,0,2,0,334,0.006017,0.019295,1.067607,0.0034,0.000000,,
49,2,0,2,0,,,,,,,,
50,2,1,1,0,,,,,,,1.0000,20
51,2,0,2,0,402,-0.014864,0.078547,1.083802,0.0147,0.000000,,
52,2,1,1,0,,,,,,,,
53,2,0,2,0,,,,,,,,
54,2,0,2,0,394,-0.001547,0.073496,1.098589,0.0012,0.000009,,
55,2,0,2,0,,,,,,,,
56,2,1,1,0,,,,,,,,
57,2,1,1,0,351,-0.020118,0.103560,1.019764,0.0020,0.000015,,
58,2,0,2,0,,,,,,,,
59,2,1,1,0,,,,,,,,
60,2,0,2,0,452,-0.002766,0.049427,1.146122,0.0000,0.000087,0.9500,20
61,2,1,1,0,,,,,,,,
62,2,1,1,0,,,,,,,,
63,2,0,2,0,359,-0.008038,0.116694,1.034376,0.0000,0.000007,,
64,2,1,1,0,,,,,,,,
