iter,games,wins,losses,draws,decisions,samples,pi_loss,v_loss,entropy,clip_frac,archetype_loss,time_s,eval_win_rate,eval_games
1,16,7,9,0,3449,3098,0.014897,0.064970,1.535280,0.0000,0.332851,15.24,,
2,16,7,9,0,3347,2620,0.003331,0.059938,1.551463,0.0000,0.002473,15.13,,
3,16,8,8,0,3409,2377,0.002650,0.075944,1.516513,0.0000,0.001382,15.53,,
4,16,6,10,0,3059,2463,0.000228,0.073933,1.552536,0.0000,0.000656,14.42,,
5,16,10,6,0,3184,2036,-0.000687,0.056253,1.582077,0.0000,0.000447,14.56,,
6,16,7,9,0,3489,2401,-0.005860,0.052014,1.548949,0.0000,0.000387,15.15,,
7,16,7,9,0,3084,2301,-0.001306,0.072432,1.583054,0.0000,0.000233,14.30,,
8,16,9,7,0,3146,2197,-0.000727,0.044838,1.535946,0.0001,0.000155,13.98,,
9,16,7,9,0,3289,2255,-0.002748,0.070536,1.547855,0.0030,0.000178,13.95,,
10,16,8,8,0,3475,2692,-0.006699,0.063559,1.537988,0.0106,0.000184,15.76,0.7000,20
11,16,9,7,0,3171,1831,-0.013513,0.061899,1.537988,0.0116,0.000165,13.08,,
12,16,11,5,0,3609,2565,-0.026671,0.036458,1.531998,0.0753,0.000040,15.66,,
13,16,10,6,0,3465,2451,-0.002533,0.045116,1.525260,0.0120,0.000043,14.95,,
14,16,9,7,0,3489,2527,-0.003145,0.052946,1.524600,0.0151,0.000030,16.01,,
15,16,10,6,0,3887,3252,-0.000401,0.056452,1.479855,0.0084,0.000039,19.19,,
16,16,10,6,0,3903,2900,-0.002896,0.054500,1.508517,0.0150,0.000049,17.93,,
17,16,11,5,0,3767,2656,-0.012354,0.044446,1.446274,0.0805,0.000032,17.28,,
18,16,8,8,0,3644,2967,-0.001761,0.035286,1.403215,0.0194,0.000039,17.64,,
19,16,9,7,0,3762,2760,-0.002810,0.035602,1.379005,0.0295,0.000028,16.15,,
20,16,14,2,0,3532,2351,-0.000443,0.038423,1.458205,0.0859,0.000025,15.37,0.7500,20
21,16,10,6,0,3808,2691,-0.001369,0.045674,1.339410,0.0217,0.000030,16.78,,
22,16,7,9,0,3711,2861,0.001744,0.039481,1.360490,0.0579,0.000028,18.01,,
23,16,8,8,0,3337,2404,-0.002819,0.062924,1.350131,0.0357,0.000025,15.36,,
24,16,6,10,0,3589,2408,-0.008086,0.051806,1.342707,0.0267,0.000038,15.37,,
25,16,10,6,0,3816,2827,0.003357,0.057291,1.293150,0.0279,0.000057,17.37,,
26,16,8,8,0,3864,2800,-0.003195,0.039646,1.266042,0.0235,0.000029,17.49,,
27,16,9,7,0,3521,3075,-0.040917,0.052729,1.323284,0.0209,0.000021,17.16,,
28,16,6,10,0,3258,2022,-0.004458,0.045412,1.251175,0.0362,0.000017,12.98,,
29,16,7,9,0,3724,2333,-0.003645,0.059737,1.218246,0.0206,0.000023,16.33,,
30,16,9,7,0,3691,2756,-0.002246,0.058878,1.195066,0.0196,0.000032,17.24,0.7500,20
31,16,6,10,0,3820,2570,-0.017736,0.034371,1.208689,0.0365,0.000031,16.87,,
32,16,9,7,0,3969,3252,-0.003085,0.042126,1.179169,0.0127,0.000027,17.78,,
33,16,11,5,0,3809,2492,-0.004732,0.037128,1.211057,0.0269,0.000013,16.32,,
34,16,8,8,0,3969,2823,0.000665,0.057061,1.165557,0.0184,0.000014,18.14,,
35,16,8,8,0,3181,2499,-0.004611,0.052286,1.191441,0.0425,0.000019,14.64,,
36,16,10,6,0,3624,2966,-0.006774,0.056291,1.112587,0.0171,0.000013,16.93,,
37,16,10,6,0,3843,2448,-0.002626,0.066593,1.158789,0.0149,0.000023,15.63,,
38,16,10,6,0,3599,2870,-0.004667,0.055986,1.125189,0.0420,0.000020,16.43,,
39,16,7,9,0,3575,3064,-0.002868,0.052351,1.155033,0.0199,0.000015,16.46,,
40,16,11,5,0,3235,2372,0.003531,0.074262,1.098943,0.0156,0.000014,14.72,0.8000,20
41,16,8,8,0,3363,2220,-0.005332,0.056973,1.131627,0.0165,0.000024,14.22,,
42,16,7,9,0,3166,2580,0.007340,0.056202,1.170714,0.0338,0.000009,13.84,,
43,16,10,6,0,2858,2006,-0.002471,0.071140,1.083423,0.0144,0.000001,12.26,,
44,16,9,7,0,3449,2482,-0.007134,0.065067,1.019884,0.0813,0.000002,14.84,,
45,16,7,9,0,3364,2369,-0.008926,0.055144,1.136836,0.0411,0.000002,15.38,,
46,16,8,8,0,3204,2494,-0.004316,0.071006,1.118490,0.0348,0.000003,14.14,,
47,16,11,5,0,3043,2007,-0.001254,0.071024,1.149919,0.0213,0.000001,13.37,,
48,16,11,5,0,3366,2719,-0.001653,0.063126,1.124556,0.0422,0.000002,15.02,,
49,16,10,6,0,2708,2063,-0.011421,0.059182,1.097698,0.0245,0.000001,11.52,,
50,16,5,11,0,3557,2704,-0.001287,0.059989,1.180471,0.0362,0.000001,15.11,0.9500,20
51,16,9,7,0,3201,2177,-0.008845,0.064784,1.087559,0.0444,0.000018,14.55,,
52,16,6,10,0,3538,2792,-0.003047,0.051960,1.059931,0.0260,0.000001,16.08,,
53,16,7,9,0,2849,1983,-0.003653,0.069081,1.069063,0.0732,0.000001,13.07,,
54,16,12,4,0,3432,2210,-0.004417,0.054287,0.972754,0.0190,0.000002,14.63,,
55,16,11,5,0,2799,2182,-0.009107,0.077847,1.059948,0.0634,0.000002,11.78,,
56,16,7,9,0,2917,1866,-0.004052,0.065679,0.987627,0.0146,0.000001,12.16,,
57,16,6,10,0,3342,2858,-0.010125,0.057820,0.987802,0.0284,0.000001,15.80,,
58,16,7,9,0,2928,1859,-0.002887,0.073974,0.958501,0.0170,0.000001,12.93,,
59,16,9,7,0,3578,3069,-0.005409,0.065494,0.967822,0.0531,0.000003,16.70,,
60,16,8,8,0,2665,1835,0.006870,0.072052,0.984158,0.0314,0.000004,11.87,0.9000,20
61,16,4,12,0,2856,2208,-0.004084,0.063906,1.029518,0.0257,0.000004,12.02,,
62,16,8,8,0,2580,2220,-0.005705,0.069408,0.981852,0.0529,0.000002,10.07,,
63,16,6,10,0,2924,2232,-0.004566,0.076467,1.013404,0.0445,0.000077,11.23,,
64,16,6,10,0,2505,2061,-0.000304,0.062071,0.945805,0.0527,0.000009,9.37,,
65,16,7,9,0,2147,1408,-0.001065,0.108433,1.044932,0.0575,0.000005,7.64,,
66,16,10,6,0,2957,1968,-0.003125,0.060544,0.951579,0.0311,0.000035,9.97,,
67,16,6,10,0,2864,2303,-0.003036,0.059620,1.009357,0.0184,0.000025,9.73,,
68,16,7,9,0,2468,1922,-0.009877,0.056726,1.048584,0.0286,0.000025,6.80,,
69,16,7,9,0,2304,1753,-0.005266,0.085192,0.971515,0.0589,0.000007,6.37,,
70,16,7,9,0,3090,2211,-0.007368,0.053426,0.947000,0.0632,0.000003,8.53,0.9000,20
71,16,11,5,0,2624,1885,-0.008699,0.072962,0.950470,0.0302,0.000020,7.28,,
72,16,7,9,0,2629,2137,-0.003593,0.069194,0.883065,0.0173,0.000006,7.38,,
73,16,9,7,0,2802,1823,-0.020508,0.089469,0.927141,0.0298,0.000043,7.41,,
74,16,9,7,0,2364,2191,-0.002858,0.073290,0.960687,0.0260,0.000030,6.69,,
75,16,12,4,0,2296,1858,-0.009266,0.100980,0.946110,0.0684,0.000007,6.87,,
76,16,8,8,0,3055,2287,-0.005156,0.066824,0.941049,0.0549,0.000006,8.65,,
77,16,5,11,0,2614,2150,-0.006422,0.071941,0.932993,0.0200,0.000002,7.34,,
78,16,11,5,0,2633,2162,-0.009505,0.061676,0.953260,0.0350,0.000002,6.50,,
79,16,10,6,0,2292,1527,-0.004062,0.078598,0.963287,0.0258,0.000006,5.39,,
80,16,8,8,0,2810,2137,0.012545,0.071288,0.993767,0.0250,0.000000,6.74,1.0000,20
81,16,8,8,0,2184,1741,-0.004724,0.075704,0.939680,0.0371,0.000001,5.30,,
82,16,6,10,0,3010,2266,-0.005144,0.084232,0.973753,0.0337,0.000002,7.52,,
83,16,5,11,0,2905,2617,-0.000211,0.044762,0.961036,0.0611,0.000001,7.80,,
84,16,9,7,0,2658,2234,-0.006924,0.056181,0.976966,0.0337,0.000000,6.60,,
85,16,6,10,0,2789,2266,-0.003469,0.084859,0.930222,0.0275,0.000000,6.83,,
86,16,9,7,0,2437,1802,0.002352,0.081605,0.990922,0.0294,0.000004,5.69,,
87,16,7,9,0,2247,1979,-0.005511,0.068515,0.974174,0.0298,0.000000,5.79,,
88,16,9,7,0,2631,1852,0.005767,0.072383,0.963105,0.0391,0.000000,6.24,,
89,16,8,8,0,2611,2009,-0.002980,0.087821,0.893399,0.0201,0.000000,6.29,,
90,16,9,7,0,2610,2061,0.028102,0.063111,0.922919,0.0104,0.000000,6.80,0.9500,20
91,16,8,8,0,2921,2085,-0.006116,0.058661,0.861934,0.0248,0.000000,7.32,,
92,16,9,7,0,2815,2213,-0.002955,0.052556,0.856399,0.0313,0.000000,6.54,,
93,16,9,7,0,2477,1452,-0.002507,0.061845,0.864631,0.0195,0.000000,5.62,,
94,16,8,8,0,3002,2187,-0.002699,0.056257,0.910322,0.0543,0.000000,6.97,,
95,16,10,6,0,2978,2285,-0.002910,0.066943,0.883034,0.0373,0.000000,7.18,,
96,16,9,7,0,2415,1697,-0.000277,0.064972,0.828699,0.0279,0.000000,5.28,,
97,16,8,8,0,2358,1707,-0.003089,0.066379,0.916845,0.0599,0.000000,5.21,,
98,16,8,8,0,2474,1643,-0.002539,0.053265,0.919248,0.0353,0.000000,5.10,,
99,16,13,3,0,2472,1759,-0.003340,0.087860,0.817255,0.0170,0.000000,4.83,,
100,16,4,12,0,2619,1753,-0.003356,0.089174,0.848957,0.0208,0.000000,5.06,0.9000,20
