iter,games,wins,losses,draws,samples,pi_loss,v_loss,entropy,clip_frac,archetype_loss,eval_win_rate,eval_games
1,2,0,2,0,,,,,,,,
2,2,1,1,0,,,,,,,,
3,2,1,1,0,462,-0.009638,0.062050,1.043524,0.0084,0.000001,,
4,2,0,2,0,,,,,,,,
5,2,0,2,0,,,,,,,,
6,2,0,2,0,478,-0.001075,0.060882,1.043321,0.0013,0.000000,,
7,2,0,2,0,,,,,,,,
8,2,0,2,0,,,,,,,,
9,2,0,2,0,337,-0.003902,0.031738,1.045361,0.0021,0.000000,,
10,2,0,2,0,,,,,,,0.8500,20
11,2,1,1,0,,,,,,,,
12,2,0,2,0,459,0.001365,0.067896,1.051352,0.0000,0.000000,,
13,2,0,2,0,,,,,,,,
14,2,0,2,0,,,,,,,,
15,2,0,2,0,423,-0.001194,0.012642,0.995947,0.0000,0.000001,,
16,2,1,1,0,,,,,,,,
17,2,0,2,0,,,,,,,,
18,2,0,2,0,442,-0.008332,0.049224,0.983359,0.0024,0.000001,,
19,2,1,1,0,,,,,,,,
20,2,0,2,0,,,,,,,0.7000,20
21,2,0,2,0,450,0.000319,0.051567,0.973984,0.0007,0.000001,,
22,2,0,2,0,,,,,,,,
23,2,0,2,0,,,,,,,,
24,2,0,2,0,489,-0.000854,0.027944,1.002542,0.0007,0.000000,,
25,2,0,2,0,,,,,,,,
26,2,1,1,0,,,,,,,,
27,2,1,1,0,545,-0.012591,0.036514,0.918571,0.0004,0.000001,,
28,2,1,1,0,,,,,,,,
29,2,1,1,0,,,,,,,,
30,2,0,2,0,560,0.028143,0.070619,0.839852,0.0023,0.000001,0.6000,20
31,2,0,2,0,,,,,,,,
32,2,0,2,0,,,,,,,,
33,2,1,1,0,345,0.010558,0.097337,0.948605,0.0000,0.000001,,
34,2,0,2,0,,,,,,,,
35,2,0,2,0,,,,,,,,
36,2,0,2,0,541,0.029211,0.040684,0.948610,0.0043,0.000000,,
37,2,0,2,0,,,,,,,,
38,2,0,2,0,,,,,,,,
39,2,1,1,0,522,0.118357,0.047584,1.011049,0.0004,0.000000,,
40,2,0,2,0,,,,,,,0.5500,20
41,2,2,0,0,,,,,,,,
42,2,1,1,0,458,0.001060,0.084345,0.926574,0.0000,0.000000,,
43,2,0,2,0,,,,,,,,
44,2,0,2,0,,,,,,,,
45,2,0,2,0,495,-0.003232,0.038104,1.094910,0.0034,0.000000,,
46,2,0,2,0,,,,,,,,
47,2,0,2,0,,,,,,,,
48,2,1,1,0,473,-0.000348,0.039394,1.014692,0.0027,0.000000,,
49,2,1,1,0,,,,,,,,
50,2,1,1,0,,,,,,,0.8500,20
51,2,0,2,0,567,-0.030177,0.034031,1.012496,0.0071,0.000000,,
52,2,0,2,0,,,,,,,,
53,2,1,1,0,,,,,,,,
54,2,1,1,0,520,-0.068635,0.035164,1.011024,0.0022,0.000000,,
55,2,1,1,0,,,,,,,,
56,2,1,1,0,,,,,,,,
57,2,1,1,0,531,0.016376,0.065711,0.971316,0.0013,0.000000,,
58,2,0,2,0,,,,,,,,
59,2,0,2,0,,,,,,,,
60,2,1,1,0,417,0.011490,0.101052,1.028881,0.0000,0.000000,0.6500,20
61,2,0,2,0,,,,,,,,
62,2,0,2,0,,,,,,,,
63,2,0,2,0,346,0.003715,0.066327,0.944249,0.0019,0.000000,,
64,2,0,2,0,,,,,,,,
65,2,0,2,0,,,,,,,,
66,2,0,2,0,455,-0.005596,0.014139,0.993488,0.0091,0.000000,,
67,2,0,2,0,,,,,,,,
68,2,1,1,0,,,,,,,,
69,2,1,1,0,463,-0.001470,0.077574,1.012607,0.0041,0.000000,,
70,2,0,2,0,,,,,,,0.8000,20
71,2,0,2,0,,,,,,,,
72,2,1,1,0,529,0.024969,0.047159,1.083475,0.0026,0.000000,,
73,2,0,2,0,,,,,,,,
74,2,1,1,0,,,,,,,,
75,2,0,2,0,514,-0.227141,0.051234,1.012101,0.0013,0.000000,,
76,2,0,2,0,,,,,,,,
77,2,0,2,0,,,,,,,,
78,2,1,1,0,535,-0.026879,0.059285,1.007281,0.0118,0.000000,,
79,2,0,2,0,,,,,,,,
80,2,0,2,0,,,,,,,0.7500,20
81,2,0,2,0,443,-0.007395,0.017475,1.007184,0.0007,0.000000,,
82,2,1,1,0,,,,,,,,
83,2,1,1,0,,,,,,,,
84,2,0,2,0,472,0.000345,0.096651,1.054937,0.0000,0.000000,,
85,2,0,2,0,,,,,,,,
86,2,0,2,0,,,,,,,,
87,2,0,2,0,443,0.001364,0.024978,1.074795,0.0000,0.000000,,
88,2,0,2,0,,,,,,,,
89,2,1,1,0,,,,,,,,
90,2,1,1,0,430,-0.013551,0.084129,1.089949,0.0000,0.000000,0.8000,20
91,2,0,2,0,,,,,,,,
92,2,0,2,0,,,,,,,,
93,2,0,2,0,522,-0.038039,0.028368,1.004924,0.0022,0.000001,,
94,2,0,2,0,,,,,,,,
95,2,0,2,0,,,,,,,,
96,2,0,2,0,531,0.045920,0.021415,1.112369,0.0026,0.000000,,
97,2,1,1,0,,,,,,,,
98,2,0,2,0,,,,,,,,
99,2,0,2,0,508,-0.001427,0.032717,1.008488,0.0000,0.000000,,
100,2,1,1,0,,,,,,,0.6500,20
101,2,0,2,0,,,,,,,,
102,2,0,2,0,467,-0.001151,0.040750,1.046450,0.0000,0.000000,,
103,2,1,1,0,,,,,,,,
104,2,1,1,0,,,,,,,,
105,2,0,2,0,408,-0.005553,0.044295,0.971183,0.0000,0.000000,,
106,2,1,1,0,,,,,,,,
107,2,0,2,0,,,,,,,,
108,2,0,2,0,461,0.001601,0.040095,0.955377,0.0000,0.000000,,
109,2,1,1,0,,,,,,,,
110,2,1,1,0,,,,,,,0.6500,20
111,2,0,2,0,520,0.012484,0.055575,1.071323,0.0000,0.000000,,
112,2,0,2,0,,,,,,,,
113,2,0,2,0,,,,,,,,
114,2,0,2,0,462,0.001472,0.072187,0.994165,0.0000,0.000000,,
115,2,0,2,0,,,,,,,,
116,2,1,1,0,,,,,,,,
117,2,0,2,0,426,0.003957,0.055141,1.015328,0.0000,0.000000,,
118,2,1,1,0,,,,,,,,
119,2,0,2,0,,,,,,,,
120,2,0,2,0,547,-0.033246,0.030363,0.939936,0.0053,0.000000,0.8000,20
121,2,0,2,0,,,,,,,,
122,2,0,2,0,,,,,,,,
123,2,0,2,0,403,0.000443,0.050207,0.997101,0.0000,0.000000,,
124,2,0,2,0,,,,,,,,
125,2,0,2,0,,,,,,,,
126,2,0,2,0,530,0.013941,0.046885,1.032640,0.0017,0.000000,,
127,2,0,2,0,,,,,,,,
128,2,0,2,0,,,,,,,,
129,2,1,1,0,456,-0.001608,0.038921,0.934332,0.0000,0.000000,,
130,2,1,1,0,,,,,,,0.8000,20
131,2,1,1,0,,,,,,,,
132,2,1,1,0,637,-0.014029,0.054338,0.933364,0.0048,0.000000,,
133,2,2,0,0,,,,,,,,
134,2,0,2,0,,,,,,,,
135,2,0,2,0,493,-0.004570,0.075364,0.909914,0.0007,0.000000,,
136,2,0,2,0,,,,,,,,
137,2,0,2,0,,,,,,,,
138,2,0,2,0,333,-0.019638,0.028536,0.894539,0.0022,0.000000,,
139,2,1,1,0,,,,,,,,
140,2,0,2,0,,,,,,,0.8500,20
141,2,0,2,0,505,-0.000965,0.058049,0.880837,0.0013,0.000000,,
142,2,0,2,0,,,,,,,,
143,2,0,2,0,,,,,,,,
144,2,1,1,0,530,0.112888,0.032813,0.942086,0.0136,0.000000,,
145,2,1,1,0,,,,,,,,
146,2,0,2,0,,,,,,,,
147,2,0,2,0,490,0.000741,0.031172,0.906905,0.0000,0.000000,,
148,2,1,1,0,,,,,,,,
149,2,0,2,0,,,,,,,,
150,2,0,2,0,381,0.006192,0.026248,0.904098,0.0000,0.000000,0.8000,20
151,2,0,2,0,,,,,,,,
152,2,1,1,0,,,,,,,,
153,2,1,1,0,492,-0.001774,0.077986,0.899546,0.0000,0.000000,,
154,2,0,2,0,,,,,,,,
155,2,0,2,0,,,,,,,,
156,2,1,1,0,562,0.047153,0.077594,0.953697,0.0084,0.000000,,
157,2,0,2,0,,,,,,,,
158,2,0,2,0,,,,,,,,
