iter,games,wins,losses,draws,decisions,samples,pi_loss,v_loss,entropy,clip_frac,archetype_loss,time_s,eval_win_rate,eval_games
1,16,9,7,0,3300,3090,-0.002261,0.062274,1.557642,0.0000,0.405167,14.04,,
2,16,6,10,0,3175,2573,-0.006545,0.060508,1.508885,0.0000,0.006158,13.38,,
3,16,8,8,0,3114,2208,-0.003017,0.058459,1.533061,0.0000,0.001740,12.95,,
4,16,6,10,0,3279,2812,-0.003382,0.064073,1.519209,0.0116,0.001360,13.96,,
5,16,11,5,0,3090,1964,-0.006220,0.050051,1.534195,0.0420,0.000604,12.33,,
6,16,12,4,0,2760,1956,-0.000549,0.074859,1.578553,0.0000,0.000326,11.52,,
7,16,8,8,0,3239,2625,-0.005120,0.057667,1.566899,0.0320,0.000826,14.10,,
8,16,10,6,0,3343,2600,-0.004725,0.053915,1.615645,0.0057,0.000413,14.65,,
9,16,9,7,0,3043,2191,-0.002336,0.062220,1.566682,0.0005,0.000343,12.56,,
10,16,11,5,0,3016,2345,-0.016449,0.056476,1.596826,0.0409,0.000367,13.33,0.5000,20
11,16,9,7,0,3226,1996,-0.004795,0.047133,1.647748,0.0123,0.000279,13.56,,
12,16,9,7,0,3431,2620,-0.004445,0.069394,1.556979,0.0276,0.000421,15.42,,
13,16,10,6,0,3441,2398,-0.000352,0.061440,1.570141,0.0121,0.000271,14.63,,
14,16,10,6,0,3440,2409,-0.002083,0.058926,1.612460,0.0308,0.000374,14.57,,
15,16,8,7,1,3093,2645,-0.002839,0.058601,1.655058,0.0152,0.000203,14.41,,
16,16,7,9,0,3222,2435,-0.007608,0.042078,1.548846,0.0381,0.000125,13.51,,
17,16,10,6,0,3260,2309,-0.007593,0.053423,1.591017,0.0177,0.000091,14.19,,
18,16,7,9,0,3314,2764,-0.001521,0.059127,1.569131,0.0275,0.000098,14.49,,
19,16,10,6,0,3303,2470,-0.003145,0.050116,1.579623,0.0089,0.000081,14.65,,
20,16,8,8,0,3315,2308,-0.015951,0.047941,1.580572,0.0142,0.000043,15.09,0.4000,20
21,16,11,5,0,3469,2572,-0.006050,0.053254,1.622017,0.0413,0.000108,15.02,,
22,16,13,3,0,3559,2726,-0.001635,0.056552,1.470666,0.0358,0.000034,16.37,,
