iter,games,wins,losses,draws,samples,pi_loss,v_loss,entropy,clip_frac,archetype_loss,eval_win_rate,eval_games
1,2,1,1,0,,,,,,,,
2,2,0,2,0,,,,,,,,
3,2,0,2,0,374,-0.007351,0.101703,0.759819,0.0143,0.000005,,
4,2,1,1,0,,,,,,,,
5,2,0,2,0,,,,,,,,
6,2,0,2,0,383,0.007914,0.094859,0.819185,0.0026,0.000003,,
7,2,1,1,0,,,,,,,,
8,2,1,1,0,,,,,,,,
9,2,2,0,0,400,0.002573,0.142025,0.810123,0.0012,0.000014,,
10,2,2,0,0,,,,,,,0.9500,20
11,2,0,2,0,,,,,,,,
12,2,1,1,0,393,-0.015514,0.091371,0.791451,0.0012,0.000003,,
13,2,0,2,0,,,,,,,,
14,2,1,1,0,,,,,,,,
15,2,0,2,0,350,-0.008582,0.080906,0.745720,0.0055,0.000025,,
16,2,0,2,0,,,,,,,,
17,2,1,1,0,,,,,,,,
18,2,1,1,0,327,0.008306,0.131770,0.828565,0.0000,0.000001,,
19,2,0,2,0,,,,,,,,
20,2,1,1,0,,,,,,,0.9000,20
21,2,0,2,0,421,-0.008095,0.145223,0.890640,0.0030,0.000009,,
22,2,0,2,0,,,,,,,,
23,2,1,1,0,,,,,,,,
24,2,1,1,0,351,-0.008991,0.113424,0.788872,0.0018,0.000001,,
25,2,0,2,0,,,,,,,,
26,2,0,2,0,,,,,,,,
27,2,2,0,0,435,-0.008681,0.103100,0.909924,0.0066,0.000003,,
28,2,0,2,0,,,,,,,,
29,2,0,2,0,,,,,,,,
30,2,0,2,0,377,-0.007020,0.050245,0.894148,0.0014,0.000013,0.9500,20
31,2,1,1,0,,,,,,,,
32,2,0,2,0,,,,,,,,
33,2,2,0,0,311,-0.001997,0.119348,1.007654,0.0050,0.000010,,
34,2,1,1,0,,,,,,,,
35,2,0,2,0,,,,,,,,
36,2,1,1,0,331,-0.027029,0.112838,0.830521,0.0007,0.000021,,
37,2,1,1,0,,,,,,,,
38,2,2,0,0,,,,,,,,
39,2,1,1,0,343,0.008938,0.124024,0.993705,0.0019,0.000013,,
40,2,0,2,0,,,,,,,0.9500,20
41,2,1,1,0,,,,,,,,
42,2,1,1,0,285,-0.049265,0.109781,0.909274,0.0000,0.000000,,
43,2,1,1,0,,,,,,,,
44,2,1,1,0,,,,,,,,
45,2,1,1,0,458,0.003090,0.066156,0.945831,0.0013,0.000021,,
46,2,1,1,0,,,,,,,,
47,2,1,1,0,,,,,,,,
48,2,1,1,0,313,0.028166,0.108401,0.787342,0.0000,0.000000,,
49,2,2,0,0,,,,,,,,
50,2,0,2,0,,,,,,,1.0000,20
51,2,2,0,0,345,-0.021272,0.061748,0.929693,0.0019,0.000000,,
52,2,0,2,0,,,,,,,,
53,2,1,1,0,,,,,,,,
54,2,1,1,0,419,-0.000052,0.132281,0.920397,0.0023,0.000000,,
55,2,1,1,0,,,,,,,,
56,2,1,1,0,,,,,,,,
57,2,1,1,0,344,0.011027,0.149707,0.988161,0.0019,0.000000,,
58,2,1,1,0,,,,,,,,
59,2,0,2,0,,,,,,,,
60,2,2,0,0,343,0.024067,0.157555,0.877114,0.0007,0.000000,0.9000,20
61,2,2,0,0,,,,,,,,
62,2,1,1,0,,,,,,,,
63,2,0,2,0,420,0.002026,0.074490,0.905352,0.0020,0.000000,,
64,2,0,2,0,,,,,,,,
