iter,games,wins,losses,draws,decisions,samples,pi_loss,v_loss,entropy,clip_frac,archetype_loss,time_s,eval_win_rate,eval_games
1,16,7,9,0,2636,2375,-0.001733,0.075303,1.611389,0.0000,0.403148,11.73,,
2,16,4,12,0,3398,2801,-0.001589,0.068711,1.625880,0.0001,0.007396,14.67,,
3,16,8,8,0,3476,2533,-0.002856,0.070338,1.602006,0.0027,0.002391,14.71,,
4,16,10,6,0,3084,2426,-0.001414,0.068331,1.550347,0.0000,0.001136,12.95,,
5,16,7,9,0,2868,1702,-0.002898,0.091352,1.609450,0.0000,0.000907,11.41,,
6,16,8,8,0,3123,2269,-0.003330,0.071549,1.581094,0.0027,0.000767,12.94,,
7,16,7,9,0,3724,2766,-0.001235,0.063083,1.568619,0.0000,0.000736,15.74,,
8,16,12,4,0,2909,2029,-0.002262,0.073214,1.540426,0.0020,0.000462,12.06,,
9,16,7,9,0,3298,2308,0.013737,0.052251,1.576757,0.0074,0.000559,13.59,,
10,16,7,9,0,2113,1602,-0.015106,0.096478,1.589764,0.0197,0.000422,9.47,0.7000,20
11,16,8,8,0,3238,1798,0.010028,0.067016,1.537384,0.0454,0.000383,13.30,,
12,16,6,10,0,2265,1878,-0.003312,0.074301,1.635264,0.0072,0.000360,11.10,,
13,16,9,7,0,2484,1925,-0.001423,0.061915,1.624425,0.0033,0.000331,11.03,,
14,16,8,8,0,3228,2220,-0.002232,0.052067,1.630152,0.0080,0.000265,13.78,,
15,16,9,7,0,2905,2461,-0.001600,0.073828,1.655433,0.0064,0.000259,13.25,,
16,16,7,9,0,3496,2609,0.001611,0.042963,1.631591,0.0196,0.000193,15.47,,
17,16,6,10,0,2591,1936,-0.005187,0.064883,1.633991,0.0187,0.000079,10.88,,
18,16,7,9,0,3242,2646,0.002616,0.063737,1.650598,0.0381,0.000082,14.58,,
19,16,6,10,0,3123,2208,0.000018,0.049537,1.589815,0.0032,0.000049,12.92,,
20,16,7,9,0,2728,1923,0.000860,0.069690,1.615867,0.0006,0.000038,12.67,0.9000,20
21,16,7,9,0,2399,1755,-0.001289,0.062407,1.540196,0.0067,0.000017,11.04,,
22,16,7,9,0,2472,1959,-0.004203,0.057771,1.496956,0.0261,0.000017,11.20,,
23,16,8,8,0,2364,1704,0.000784,0.074302,1.451749,0.0009,0.000031,9.59,,
24,16,9,7,0,2177,1357,-0.009875,0.125681,1.492468,0.0069,0.000031,9.94,,
25,16,11,5,0,2503,1708,-0.006518,0.075187,1.454143,0.0631,0.000010,11.03,,
26,16,7,9,0,2118,1387,-0.007427,0.107314,1.375067,0.0196,0.000018,8.77,,
27,16,5,11,0,2227,1939,-0.002896,0.063633,1.362718,0.0446,0.000008,10.28,,
28,16,7,9,0,2096,1278,-0.004475,0.095106,1.340702,0.0185,0.000011,8.57,,
29,16,10,6,0,2627,1606,0.011983,0.091375,1.282819,0.0046,0.000011,10.88,,
30,16,8,8,0,2010,1473,-0.008790,0.108064,1.350340,0.0179,0.000015,8.51,0.8000,20
31,16,7,9,0,1394,850,0.008300,0.153375,1.311182,0.0016,0.000007,6.01,,
32,16,6,10,0,2096,1682,-0.003203,0.117292,1.288279,0.0007,0.000017,8.71,,
33,16,12,4,0,1996,1305,0.001017,0.096965,1.288308,0.0257,0.000009,8.14,,
