iter,games,wins,losses,draws,samples,pi_loss,v_loss,entropy,clip_frac,archetype_loss,eval_win_rate,eval_games
1,2,0,2,0,,,,,,,,
2,2,0,2,0,,,,,,,,
3,2,0,2,0,416,-0.023991,0.108452,0.725406,0.0388,0.000002,,
4,2,0,2,0,,,,,,,,
5,2,1,1,0,,,,,,,,
6,2,0,2,0,531,0.002069,0.066952,0.742070,0.0026,0.000002,,
7,2,0,2,0,,,,,,,,
8,2,2,0,0,,,,,,,,
9,2,0,2,0,534,-0.019762,0.087216,0.784562,0.0243,0.000003,,
10,2,0,2,0,,,,,,,1.0000,20
11,2,0,2,0,,,,,,,,
12,2,0,2,0,237,-0.000642,0.052255,0.749293,0.0000,0.000000,,
13,2,0,2,0,,,,,,,,
14,2,0,2,0,,,,,,,,
15,2,0,2,0,328,0.003194,0.025322,0.878744,0.0125,0.000000,,
16,2,0,2,0,,,,,,,,
17,2,1,1,0,,,,,,,,
18,2,1,1,0,436,0.005803,0.066906,0.804268,0.0000,0.000000,,
19,2,0,2,0,,,,,,,,
20,2,0,2,0,,,,,,,1.0000,20
21,2,0,2,0,308,0.010028,0.080783,0.874603,0.0032,0.000000,,
22,2,0,2,0,,,,,,,,
23,2,0,2,0,,,,,,,,
24,2,0,2,0,379,-0.004526,0.038159,0.749696,0.0013,0.000000,,
25,2,1,1,0,,,,,,,,
26,2,1,1,0,,,,,,,,
27,2,0,2,0,401,0.003741,0.092396,0.726302,0.0023,0.000000,,
28,2,0,2,0,,,,,,,,
29,2,1,1,0,,,,,,,,
30,2,0,2,0,370,-0.020457,0.064871,0.794396,0.0036,0.000000,1.0000,20
31,2,1,1,0,,,,,,,,
32,2,0,2,0,,,,,,,,
33,2,0,2,0,444,0.000957,0.042949,0.744042,0.0121,0.000000,,
34,2,0,2,0,,,,,,,,
35,2,1,1,0,,,,,,,,
36,2,1,1,0,472,0.000104,0.075128,0.747682,0.0000,0.000000,,
37,2,0,2,0,,,,,,,,
38,2,0,2,0,,,,,,,,
39,2,0,2,0,363,-0.013672,0.043009,0.853144,0.0060,0.000000,,
