iter,games,wins,losses,draws,decisions,samples,pi_loss,v_loss,entropy,clip_frac,archetype_loss,time_s,eval_win_rate,eval_games
1,16,5,11,0,2748,2574,0.010647,0.063436,1.704098,0.0000,0.438224,12.72,,
2,16,8,8,0,3059,2564,0.013618,0.061847,1.695213,0.0000,0.009345,13.80,,
3,16,10,6,0,3170,2297,-0.001223,0.072391,1.673808,0.0000,0.002743,13.68,,
4,16,11,5,0,2832,2339,-0.008115,0.069188,1.676703,0.0015,0.001495,12.80,,
5,16,7,9,0,3291,2132,-0.006451,0.055220,1.681699,0.0013,0.000767,13.49,,
6,16,8,8,0,3262,2331,-0.001462,0.062578,1.664269,0.0137,0.000916,14.45,,
7,16,7,9,0,3502,2704,-0.010083,0.047009,1.678330,0.0423,0.000757,16.55,,
8,16,10,6,0,3172,2419,0.002594,0.061153,1.705867,0.0105,0.000515,15.16,,
9,16,10,6,0,3561,2431,-0.005742,0.044108,1.609353,0.0093,0.000358,16.33,,
10,16,11,5,0,3332,2640,-0.003299,0.063121,1.608052,0.0471,0.000206,16.00,0.5000,20
11,16,10,6,0,3266,2016,-0.004743,0.065673,1.620168,0.0288,0.000145,14.08,,
12,16,11,5,0,3527,2554,-0.005025,0.045851,1.594176,0.0438,0.000114,15.84,,
13,16,12,4,0,3343,2329,-0.000237,0.058131,1.651540,0.0069,0.000123,14.72,,
14,16,10,6,0,3485,2420,-0.008106,0.034431,1.612602,0.0037,0.000073,15.49,,
15,16,8,8,0,3460,2903,-0.008539,0.050658,1.617861,0.0618,0.000034,15.83,,
16,16,10,6,0,3525,2635,0.001368,0.042037,1.523549,0.0061,0.000023,15.88,,
17,16,10,6,0,2821,1904,-0.010776,0.070845,1.594090,0.0043,0.000013,11.98,,
18,16,8,8,0,3303,2822,-0.031635,0.061892,1.558436,0.0286,0.000020,16.28,,
19,16,9,7,0,3689,2802,-0.001403,0.070479,1.575993,0.0024,0.000011,17.28,,
20,16,8,8,0,3380,2300,-0.005811,0.048496,1.623224,0.0409,0.000005,14.23,0.8000,20
21,16,9,7,0,3519,2526,-0.005175,0.045545,1.656659,0.0389,0.000006,16.07,,
22,16,4,12,0,3139,2399,-0.003491,0.075530,1.621617,0.0319,0.000003,14.58,,
23,16,8,8,0,2880,2118,-0.008839,0.060807,1.586767,0.0296,0.000002,13.22,,
24,16,7,9,0,3749,2485,-0.004734,0.040788,1.534511,0.0395,0.000001,17.09,,
25,16,6,10,0,3520,2763,-0.005054,0.060737,1.467235,0.0335,0.000001,16.94,,
26,16,7,9,0,3215,2214,-0.008162,0.050628,1.494867,0.0931,0.000002,13.82,,
27,16,6,10,0,2855,2454,-0.004749,0.077115,1.484359,0.0384,0.000000,14.33,,
28,16,9,7,0,3356,2249,-0.002093,0.055217,1.439096,0.0166,0.000001,15.18,,
29,16,7,9,0,2566,1720,-0.001461,0.049670,1.416512,0.0228,0.000001,11.00,,
30,16,6,10,0,2851,2281,-0.003790,0.082227,1.409216,0.0121,0.000000,12.70,0.8500,20
31,16,8,8,0,2587,1757,-0.000877,0.067966,1.395659,0.0026,0.000001,11.11,,
32,16,8,8,0,2976,2305,0.012620,0.065547,1.330862,0.0771,0.000001,13.88,,
33,16,6,10,0,2661,1635,-0.000655,0.061841,1.303644,0.0148,0.000001,11.32,,
34,16,9,7,0,3017,2263,-0.003781,0.061433,1.305039,0.0346,0.000001,13.94,,
35,16,7,9,0,2873,2193,-0.006758,0.082995,1.297400,0.0528,0.000000,12.61,,
36,16,7,9,0,2843,2385,-0.000243,0.052387,1.339721,0.0438,0.000001,13.53,,
37,16,7,9,0,2936,1959,-0.001931,0.062386,1.292527,0.0276,0.000001,13.22,,
38,16,10,6,0,2835,2193,-0.007883,0.063123,1.300118,0.0174,0.000001,13.57,,
39,16,4,12,0,2949,2451,-0.005757,0.061181,1.245912,0.0237,0.000001,14.01,,
40,16,7,9,0,2754,2014,-0.002506,0.064133,1.286005,0.0235,0.000000,13.28,0.9500,20
41,16,7,9,0,2682,1954,-0.000116,0.065458,1.225468,0.0365,0.000001,11.24,,
42,16,8,8,0,3017,2402,-0.000066,0.082413,1.204038,0.0275,0.000001,13.76,,
43,16,8,8,0,2525,1903,-0.006066,0.067552,1.182007,0.0177,0.000002,11.61,,
44,16,10,6,0,2933,2079,-0.018782,0.049911,1.139369,0.0497,0.000001,13.25,,
45,16,10,6,0,2879,2240,-0.003503,0.042910,1.144312,0.0120,0.000001,13.68,,
