iter,games,wins,losses,draws,samples,pi_loss,v_loss,entropy,clip_frac,archetype_loss,eval_win_rate,eval_games
1,2,0,2,0,,,,,,,,
2,2,0,2,0,,,,,,,,
3,2,1,1,0,461,-0.004804,0.063945,0.780986,0.0179,0.000000,,
4,2,0,2,0,,,,,,,,
5,2,0,2,0,,,,,,,,
6,2,1,1,0,403,-0.011938,0.131914,0.784148,0.0000,0.000000,,
7,2,0,2,0,,,,,,,,
8,2,1,1,0,,,,,,,,
9,2,0,2,0,401,0.006653,0.057073,0.778564,0.0029,0.000000,,
10,2,0,2,0,,,,,,,1.0000,20
11,2,0,2,0,,,,,,,,
12,2,1,1,0,394,-0.004959,0.059679,0.818232,0.0031,0.000000,,
13,2,0,2,0,,,,,,,,
14,2,0,2,0,,,,,,,,
15,2,0,2,0,409,0.009912,0.032875,0.812769,0.0052,0.000000,,
16,2,0,2,0,,,,,,,,
17,2,0,2,0,,,,,,,,
18,2,1,1,0,483,0.000101,0.087799,0.866067,0.0061,0.000000,,
19,2,0,2,0,,,,,,,,
20,2,1,1,0,,,,,,,1.0000,20
21,2,0,2,0,344,0.043548,0.053453,0.933179,0.0025,0.000000,,
22,2,0,2,0,,,,,,,,
23,2,1,1,0,,,,,,,,
24,2,2,0,0,444,-0.003141,0.119615,0.772585,0.0018,0.000000,,
25,2,0,2,0,,,,,,,,
26,2,0,2,0,,,,,,,,
27,2,0,2,0,403,-0.006772,0.042045,0.900819,0.0000,0.000000,,
28,2,1,1,0,,,,,,,,
29,2,0,2,0,,,,,,,,
30,2,1,1,0,346,-0.008374,0.089587,0.885141,0.0000,0.000000,1.0000,20
31,2,1,1,0,,,,,,,,
32,2,0,2,0,,,,,,,,
33,2,2,0,0,429,0.005626,0.151927,0.868938,0.0000,0.000000,,
34,2,1,1,0,,,,,,,,
35,2,1,1,0,,,,,,,,
36,2,1,1,0,623,-0.000832,0.088987,0.808624,0.0096,0.000000,,
37,2,0,2,0,,,,,,,,
38,2,0,2,0,,,,,,,,
39,2,0,2,0,396,-0.014311,0.026237,0.855523,0.0000,0.000000,,
