iter,games,wins,losses,draws,decisions,samples,pi_loss,v_loss,entropy,clip_frac,archetype_loss,time_s,eval_win_rate,eval_games
1,16,9,7,0,4239,3815,-0.002067,0.048059,1.485418,0.0005,0.343282,21.02,,
2,16,7,9,0,5039,4044,-0.002570,0.043045,1.446603,0.0265,0.002797,22.63,,
3,16,9,7,0,4583,3122,0.003472,0.056314,1.472210,0.0012,0.000875,19.67,,
4,16,6,10,0,5473,4349,-0.003309,0.024169,1.352358,0.0252,0.001148,24.90,,
5,16,12,4,0,6133,3551,-0.004840,0.026631,1.270518,0.0442,0.000430,24.39,,
6,16,10,6,0,5476,3426,-0.002378,0.024645,1.247594,0.0194,0.000235,21.96,,
7,16,10,6,0,6445,4430,-0.003127,0.021131,1.181211,0.0302,0.000191,27.02,,
8,16,9,7,0,7988,5086,-0.003510,0.019051,1.108368,0.0233,0.000249,30.75,,
9,16,8,8,0,7529,4613,-0.002865,0.020757,1.128157,0.0317,0.000109,29.26,,
10,16,11,5,0,8802,5683,-0.003286,0.021725,1.008195,0.0096,0.000128,32.71,1.0000,20
11,16,11,5,0,8975,4221,-0.003931,0.017728,1.068146,0.0314,0.000074,32.14,,
12,16,10,6,0,11001,6902,-0.002474,0.014074,1.003899,0.0250,0.000118,41.01,,
13,16,10,6,0,16520,9154,-0.003191,0.012745,0.866712,0.0355,0.000109,58.04,,
14,16,10,6,0,17176,9448,-0.003505,0.009568,0.890762,0.0333,0.000074,60.74,,
15,16,7,8,1,18147,11615,-0.002473,0.008984,0.874940,0.0314,0.000029,65.15,,
16,16,10,2,4,24975,15495,-0.003020,0.005824,0.802646,0.0424,0.000026,89.79,,
17,16,4,8,4,21322,12026,-0.001660,0.005249,0.828025,0.0199,0.000016,73.53,,
18,16,8,3,5,32077,19061,-0.002113,0.004087,0.715145,0.0280,0.000025,109.04,,
19,16,7,3,6,26886,12345,-0.000544,0.005335,0.740725,0.0270,0.000032,86.42,,
20,16,8,4,4,24809,12664,-0.002056,0.006125,0.689817,0.0239,0.000022,79.20,0.9000,20
21,16,5,8,3,13836,6376,-0.001664,0.011799,0.660992,0.0188,0.000029,35.96,,
