iter,games,wins,losses,draws,samples,pi_loss,v_loss,entropy,clip_frac,archetype_loss,eval_win_rate,eval_games
1,2,1,1,0,,,,,,,,
2,2,0,2,0,,,,,,,,
3,2,1,1,0,331,-0.049143,0.186499,0.607831,0.0022,0.000030,,
4,2,1,1,0,,,,,,,,
5,2,0,2,0,,,,,,,,
6,2,1,1,0,386,0.002548,0.134089,0.671422,0.0051,0.000009,,
7,2,2,0,0,,,,,,,,
8,2,1,1,0,,,,,,,,
9,2,1,1,0,415,0.002411,0.114592,0.659869,0.0013,0.000014,,
10,2,0,2,0,,,,,,,1.0000,20
11,2,0,2,0,,,,,,,,
12,2,2,0,0,289,0.017448,0.127891,0.692488,0.0000,0.000003,,
13,2,2,0,0,,,,,,,,
14,2,2,0,0,,,,,,,,
15,2,1,1,0,249,-0.000045,0.224782,0.600438,0.0000,0.000001,,
16,2,1,1,0,,,,,,,,
17,2,0,2,0,,,,,,,,
18,2,1,1,0,305,-0.087171,0.142965,0.583488,0.0000,0.000003,,
19,2,1,1,0,,,,,,,,
20,2,0,2,0,,,,,,,0.9500,20
21,2,2,0,0,306,-0.012285,0.109847,0.610027,0.0000,0.000000,,
22,2,2,0,0,,,,,,,,
23,2,1,1,0,,,,,,,,
24,2,0,2,0,380,-0.015945,0.085300,0.716587,0.0013,0.000001,,
25,2,2,0,0,,,,,,,,
26,2,1,1,0,,,,,,,,
27,2,2,0,0,315,0.013881,0.134319,0.572729,0.0000,0.000000,,
28,2,1,1,0,,,,,,,,
29,2,1,1,0,,,,,,,,
30,2,0,2,0,305,0.002750,0.144963,0.667660,0.0000,0.000000,1.0000,20
31,2,2,0,0,,,,,,,,
32,2,1,1,0,,,,,,,,
33,2,2,0,0,313,-0.043927,0.140457,0.620997,0.0000,0.000000,,
34,2,0,2,0,,,,,,,,
35,2,0,2,0,,,,,,,,
36,2,2,0,0,304,-0.019690,0.142518,0.674271,0.0000,0.000000,,
37,2,1,1,0,,,,,,,,
38,2,1,1,0,,,,,,,,
39,2,0,2,0,223,-0.000282,0.200159,0.640204,0.0000,0.000000,,
40,2,1,1,0,,,,,,,1.0000,20
41,2,1,1,0,,,,,,,,
42,2,0,2,0,229,-0.000632,0.184115,0.630154,0.0000,0.000000,,
43,2,1,1,0,,,,,,,,
44,2,2,0,0,,,,,,,,
45,2,0,2,0,389,0.016528,0.106092,0.709813,0.0000,0.000000,,
46,2,0,2,0,,,,,,,,
47,2,1,1,0,,,,,,,,
48,2,0,2,0,273,0.060767,0.127988,0.572043,0.0000,0.000000,,
49,2,2,0,0,,,,,,,,
50,2,2,0,0,,,,,,,0.9500,20
51,2,1,1,0,234,-0.000195,0.357730,0.633939,0.0000,0.000000,,
52,2,2,0,0,,,,,,,,
53,2,2,0,0,,,,,,,,
54,2,0,2,0,243,0.000154,0.249423,0.676012,0.0000,0.000000,,
55,2,0,2,0,,,,,,,,
56,2,1,1,0,,,,,,,,
57,2,1,1,0,328,-0.009477,0.091097,0.658163,0.0053,0.000000,,
58,2,0,2,0,,,,,,,,
59,2,0,2,0,,,,,,,,
60,2,2,0,0,295,-0.034321,0.096656,0.682161,0.0184,0.000001,1.0000,20
61,2,1,1,0,,,,,,,,
62,2,2,0,0,,,,,,,,
63,2,2,0,0,425,0.003049,0.113147,0.654832,0.0036,0.000002,,
64,2,2,0,0,,,,,,,,
