iter,games,wins,losses,draws,decisions,samples,pi_loss,v_loss,entropy,clip_frac,archetype_loss,time_s,eval_win_rate,eval_games
1,16,7,9,0,3329,2985,-0.000403,0.066549,1.473988,0.0000,0.361857,14.97,,
2,16,7,9,0,3401,2623,0.000454,0.066925,1.475200,0.0000,0.002443,15.23,,
3,16,9,7,0,3518,2574,0.001906,0.079346,1.501382,0.0000,0.001872,16.59,,
4,16,8,8,0,3717,3073,0.006671,0.060645,1.492830,0.0003,0.002080,16.91,,
5,16,10,6,0,3239,1952,0.001282,0.063312,1.478400,0.0000,0.000913,13.45,,
6,16,8,8,0,3346,2324,-0.009409,0.071832,1.485179,0.0000,0.000955,14.19,,
7,16,6,10,0,3434,2523,-0.002047,0.046995,1.479387,0.0012,0.000637,14.85,,
8,16,5,11,0,3288,2461,-0.001943,0.046283,1.446512,0.0022,0.000820,14.02,,
9,16,10,6,0,3315,2140,0.000280,0.052412,1.384976,0.0289,0.000414,13.96,,
10,16,5,11,0,3312,2505,-0.003185,0.062115,1.356520,0.0030,0.000273,14.67,0.9000,20
11,16,9,7,0,3520,1989,-0.004488,0.078272,1.322948,0.0298,0.000361,14.32,,
12,16,13,3,0,2910,1973,-0.005922,0.044470,1.306356,0.0231,0.000353,12.20,,
13,16,9,7,0,2827,1803,0.007668,0.070683,1.272375,0.0210,0.000161,11.58,,
14,16,7,9,0,2606,1592,-0.007149,0.065768,1.255867,0.0319,0.000127,11.63,,
15,16,10,6,0,3197,2505,-0.002466,0.088914,1.237028,0.0188,0.000257,14.68,,
16,16,9,7,0,2613,1608,0.003646,0.097026,1.197847,0.0086,0.000146,11.02,,
17,16,12,4,0,3072,2028,-0.003705,0.061578,1.196275,0.0118,0.000281,13.34,,
18,16,3,13,0,2272,1705,-0.001644,0.086988,1.222679,0.0097,0.000136,9.83,,
19,16,7,9,0,2561,1773,-0.003908,0.069679,1.211731,0.0617,0.000057,11.06,,
20,16,12,4,0,2322,1459,-0.000545,0.121000,1.220213,0.0132,0.000115,10.42,0.9500,20
21,16,10,6,0,2770,1849,0.008472,0.092104,1.266444,0.0080,0.000187,12.22,,
22,16,7,9,0,2496,1944,-0.000997,0.073173,1.274732,0.0043,0.000151,12.28,,
23,16,6,10,0,2686,1871,-0.003038,0.070569,1.242426,0.0124,0.000107,11.30,,
24,16,10,6,0,2645,1667,-0.005792,0.088001,1.208459,0.0246,0.000227,11.46,,
25,16,11,5,0,2065,1538,0.003724,0.101789,1.131278,0.0385,0.000026,8.88,,
26,16,13,3,0,2193,1343,0.006232,0.089812,1.110443,0.0161,0.000028,9.14,,
27,16,6,10,0,2200,1774,-0.003903,0.109204,1.049890,0.0093,0.000042,9.84,,
28,16,7,9,0,1869,1169,-0.006882,0.127335,1.061507,0.0182,0.000017,7.90,,
29,16,11,5,0,2194,1354,0.009637,0.122311,1.099507,0.0500,0.000027,9.38,,
30,16,10,6,0,1962,1419,0.003513,0.087454,1.048626,0.0327,0.000041,8.74,1.0000,20
31,16,12,4,0,2033,1300,0.002881,0.109697,1.074702,0.0573,0.000034,8.50,,
32,16,7,9,0,1754,1369,0.002796,0.117954,0.997001,0.0587,0.000015,7.61,,
33,16,9,7,0,1824,1093,0.010595,0.104578,0.985910,0.0092,0.000017,7.93,,
34,16,11,5,0,1645,1195,-0.004037,0.138231,0.988794,0.0000,0.000019,6.90,,
35,16,7,9,0,1685,1180,0.000194,0.113937,1.037599,0.0058,0.000012,7.61,,
36,16,9,7,0,1676,1340,-0.003719,0.118445,0.952354,0.0195,0.000015,8.40,,
37,16,11,5,0,1489,941,-0.006262,0.169921,0.949345,0.0013,0.000007,6.28,,
38,16,10,6,0,1588,1222,-0.002527,0.150632,0.942856,0.0298,0.000022,6.66,,
39,16,12,4,0,1645,1322,0.004423,0.162983,0.939391,0.0072,0.000072,7.33,,
40,16,8,8,0,1767,1346,0.003188,0.150276,0.982934,0.0060,0.000075,8.20,1.0000,20
41,16,6,10,0,1624,1087,-0.018293,0.138785,1.016666,0.0654,0.000048,7.39,,
