iter,games,wins,losses,draws,samples,pi_loss,v_loss,entropy,clip_frac,archetype_loss,eval_win_rate,eval_games
1,2,1,1,0,,,,,,,,
2,2,1,1,0,,,,,,,,
3,2,2,0,0,423,-0.009978,0.101541,0.856825,0.0136,0.000000,,
4,2,2,0,0,,,,,,,,
5,2,1,1,0,,,,,,,,
6,2,1,1,0,447,-0.002984,0.124722,0.878099,0.0000,0.000002,,
7,2,1,1,0,,,,,,,,
8,2,2,0,0,,,,,,,,
9,2,2,0,0,311,-0.012482,0.116930,0.864291,0.0000,0.000000,,
10,2,0,2,0,,,,,,,0.9500,20
11,2,1,1,0,,,,,,,,
12,2,0,2,0,424,-0.006141,0.216561,0.832158,0.0000,0.000004,,
13,2,1,1,0,,,,,,,,
14,2,2,0,0,,,,,,,,
15,2,2,0,0,421,-0.008841,0.074474,0.848238,0.0020,0.000000,,
16,2,1,1,0,,,,,,,,
17,2,1,1,0,,,,,,,,
18,2,2,0,0,371,-0.002833,0.134249,0.811122,0.0000,0.000001,,
19,2,1,1,0,,,,,,,,
20,2,1,1,0,,,,,,,0.7750,20
21,2,2,0,0,371,-0.000531,0.077848,0.812459,0.0021,0.000000,,
22,2,1,1,0,,,,,,,,
23,2,2,0,0,,,,,,,,
24,2,0,1,1,424,0.000149,0.070209,0.771874,0.0020,0.000001,,
25,2,1,1,0,,,,,,,,
26,2,1,1,0,,,,,,,,
27,2,1,1,0,368,0.000952,0.137626,0.851981,0.0000,0.000000,,
28,2,0,2,0,,,,,,,,
29,2,1,1,0,,,,,,,,
30,2,1,1,0,415,-0.009360,0.133807,0.838822,0.0010,0.000000,0.9500,20
31,2,2,0,0,,,,,,,,
32,2,1,1,0,,,,,,,,
33,2,1,1,0,443,-0.002184,0.147393,0.772165,0.0007,0.000000,,
34,2,0,2,0,,,,,,,,
35,2,2,0,0,,,,,,,,
36,2,2,0,0,262,0.054090,0.136527,0.713152,0.0000,0.000000,,
37,2,1,1,0,,,,,,,,
