iter,games,wins,losses,draws,decisions,samples,pi_loss,v_loss,entropy,clip_frac,archetype_loss,time_s,eval_win_rate,eval_games
1,16,8,7,1,3551,3143,-0.000034,0.062576,1.613726,0.0005,0.351712,13.89,,
2,16,9,7,0,3370,2701,0.000568,0.064286,1.598446,0.0000,0.003275,15.77,,
3,16,8,8,0,3683,2628,-0.001453,0.055836,1.560080,0.0083,0.001747,17.14,,
4,16,10,6,0,3469,2762,-0.000648,0.065631,1.554544,0.0000,0.000628,15.40,,
5,16,8,5,3,3596,2189,-0.001912,0.048391,1.498758,0.0007,0.000459,14.28,,
6,16,8,6,2,3628,2416,-0.006124,0.057503,1.465099,0.0014,0.000373,14.72,,
7,16,9,7,0,3705,2735,-0.001560,0.059516,1.556286,0.0009,0.000266,15.44,,
8,16,11,5,0,3513,2376,-0.010094,0.068520,1.507723,0.0016,0.000253,15.17,,
9,16,6,9,1,3637,2402,-0.000168,0.061024,1.460062,0.0012,0.000221,16.82,,
10,16,9,5,2,3613,2687,-0.001985,0.052210,1.491404,0.0000,0.000208,15.80,0.4500,20
11,16,6,10,0,3693,2112,0.002533,0.063315,1.492129,0.0226,0.000264,14.87,,
12,16,4,12,0,3911,2857,-0.002211,0.069567,1.498251,0.0160,0.000284,17.26,,
13,16,11,5,0,3630,2415,0.001695,0.053835,1.510979,0.0000,0.000134,14.95,,
14,16,7,8,1,3519,2403,0.003324,0.055903,1.487297,0.0043,0.000068,15.04,,
15,16,5,11,0,3642,2905,-0.006772,0.058652,1.440126,0.0032,0.000078,16.17,,
16,16,8,8,0,3543,2491,-0.004331,0.046812,1.447916,0.0273,0.000065,15.03,,
17,16,5,11,0,2993,2013,-0.005044,0.047359,1.449088,0.0054,0.000030,12.74,,
18,16,9,6,1,3733,2766,-0.001807,0.056615,1.440059,0.0208,0.000107,15.79,,
19,16,7,8,1,3468,2327,-0.019550,0.046264,1.422436,0.0176,0.000050,14.97,,
20,16,7,7,2,3241,2030,-0.002483,0.074434,1.377532,0.0005,0.000059,13.70,0.5000,20
21,16,11,4,1,3106,2000,-0.001132,0.068043,1.373917,0.0003,0.000017,13.52,,
22,16,6,9,1,3428,2317,0.005419,0.047389,1.373965,0.0412,0.000020,14.41,,
23,16,4,12,0,3013,2027,-0.001442,0.063776,1.422445,0.0003,0.000030,12.27,,
24,16,9,7,0,3243,1996,-0.001900,0.061694,1.403121,0.0156,0.000046,13.66,,
25,16,7,8,1,3223,2108,-0.004432,0.065238,1.343587,0.0121,0.000040,13.73,,
26,16,7,9,0,2996,1837,-0.005974,0.047779,1.349988,0.0155,0.000031,12.41,,
27,16,8,8,0,3104,2528,-0.003639,0.052859,1.339868,0.0270,0.000052,14.08,,
28,16,8,7,1,3501,2049,0.036747,0.072381,1.354256,0.0126,0.000018,14.94,,
29,16,8,7,1,3544,2137,0.001632,0.047878,1.314828,0.0240,0.000031,14.18,,
30,16,9,7,0,3672,2688,-0.002747,0.060214,1.313519,0.0343,0.000054,16.39,0.8500,20
31,16,10,6,0,3338,2086,0.006360,0.048314,1.270475,0.0230,0.000014,13.89,,
32,16,8,7,1,3066,2138,-0.005421,0.047573,1.275094,0.0244,0.000004,13.01,,
33,16,10,6,0,2763,1630,-0.003173,0.067204,1.244557,0.0146,0.000004,11.22,,
34,16,10,6,0,2924,1927,-0.001627,0.075604,1.285504,0.0090,0.000003,12.62,,
35,16,7,9,0,2932,2135,0.003949,0.064051,1.281762,0.0050,0.000006,13.16,,
36,16,8,8,0,2681,2147,0.004644,0.083818,1.273020,0.0113,0.000002,12.41,,
37,16,12,4,0,3144,1842,-0.010630,0.072445,1.326772,0.0208,0.000007,12.80,,
38,16,8,7,1,3089,2292,-0.001226,0.056256,1.286806,0.0103,0.000007,13.93,,
39,16,7,7,2,3150,2389,-0.014375,0.069247,1.286878,0.0431,0.000001,13.63,,
40,16,9,7,0,2821,1897,0.001606,0.096711,1.272295,0.0027,0.000003,12.59,0.8000,20
41,16,10,6,0,2730,1822,0.005778,0.047981,1.241427,0.0217,0.000003,11.44,,
42,16,9,7,0,2979,2283,-0.003485,0.083384,1.255319,0.0332,0.000005,12.70,,
43,16,8,8,0,2410,1456,-0.003272,0.106685,1.243668,0.0133,0.000001,9.72,,
44,16,9,7,0,2593,1683,-0.007252,0.063988,1.235516,0.0499,0.000001,10.95,,
45,16,5,11,0,2591,1905,-0.002176,0.072312,1.205731,0.0268,0.000005,11.93,,
46,16,10,6,0,2463,1903,-0.012834,0.067243,1.249283,0.0597,0.000003,11.67,,
47,16,6,9,1,2780,1699,-0.004702,0.092485,1.226635,0.0170,0.000001,11.30,,
