iter,games,wins,losses,draws,samples,pi_loss,v_loss,entropy,clip_frac,archetype_loss,eval_win_rate,eval_games
1,2,2,0,0,,,,,,,,
2,2,1,1,0,,,,,,,,
3,2,2,0,0,476,-0.008467,0.073958,0.931448,0.0212,0.000000,,
4,2,2,0,0,,,,,,,,
5,2,0,2,0,,,,,,,,
6,2,1,1,0,521,-0.109249,0.058973,0.937614,0.0570,0.000006,,
7,2,2,0,0,,,,,,,,
8,2,1,1,0,,,,,,,,
9,2,1,1,0,472,-0.005051,0.129246,0.965393,0.0013,0.000001,,
10,2,1,1,0,,,,,,,0.9000,20
11,2,0,2,0,,,,,,,,
12,2,1,1,0,520,-0.079505,0.085031,0.935331,0.0039,0.000042,,
13,2,2,0,0,,,,,,,,
14,2,1,1,0,,,,,,,,
15,2,2,0,0,512,-0.000827,0.095968,0.998463,0.0000,0.000003,,
16,2,0,2,0,,,,,,,,
17,2,1,1,0,,,,,,,,
18,2,1,1,0,512,-0.001090,0.080967,0.968764,0.0000,0.000005,,
19,2,1,1,0,,,,,,,,
20,2,0,2,0,,,,,,,0.9500,20
21,2,1,1,0,457,-0.004675,0.087706,1.001518,0.0008,0.000000,,
22,2,0,2,0,,,,,,,,
23,2,2,0,0,,,,,,,,
24,2,1,1,0,523,0.107371,0.100173,0.947623,0.0139,0.000001,,
25,2,2,0,0,,,,,,,,
26,2,0,2,0,,,,,,,,
27,2,1,1,0,418,0.003444,0.076775,1.145437,0.0010,0.000000,,
28,2,0,2,0,,,,,,,,
29,2,1,1,0,,,,,,,,
30,2,2,0,0,433,0.003355,0.106612,0.937574,0.0000,0.000000,0.9500,20
31,2,1,1,0,,,,,,,,
32,2,0,2,0,,,,,,,,
33,2,1,1,0,443,0.001929,0.080896,1.016555,0.0000,0.000001,,
34,2,1,1,0,,,,,,,,
35,2,0,2,0,,,,,,,,
36,2,0,2,0,447,0.000865,0.063637,0.937113,0.0007,0.000000,,
37,2,1,1,0,,,,,,,,
38,2,0,2,0,,,,,,,,
39,2,2,0,0,502,-0.003946,0.084494,0.988552,0.0007,0.000000,,
40,2,2,0,0,,,,,,,1.0000,20
41,2,1,1,0,,,,,,,,
42,2,2,0,0,552,-0.024405,0.074109,0.944377,0.0148,0.000000,,
43,2,1,1,0,,,,,,,,
44,2,1,1,0,,,,,,,,
45,2,2,0,0,536,-0.104990,0.045832,0.875875,0.0017,0.000000,,
46,2,2,0,0,,,,,,,,
47,2,2,0,0,,,,,,,,
48,2,2,0,0,445,0.000982,0.060289,0.942018,0.0009,0.000000,,
49,2,1,1,0,,,,,,,,
50,2,2,0,0,,,,,,,0.8500,20
51,2,1,1,0,447,-0.003189,0.141629,0.953010,0.0118,0.000000,,
52,2,2,0,0,,,,,,,,
53,2,1,1,0,,,,,,,,
54,2,1,1,0,381,0.013481,0.094874,0.928988,0.0020,0.000000,,
55,2,0,2,0,,,,,,,,
56,2,1,1,0,,,,,,,,
57,2,1,1,0,511,-0.000719,0.119234,0.951989,0.0072,0.000000,,
58,2,1,1,0,,,,,,,,
59,2,0,2,0,,,,,,,,
60,2,2,0,0,423,0.004571,0.079044,0.933710,0.0000,0.000000,1.0000,20
61,2,1,1,0,,,,,,,,
62,2,0,2,0,,,,,,,,
63,2,0,2,0,440,-0.006225,0.104356,0.913530,0.0000,0.000000,,
64,2,2,0,0,,,,,,,,
65,2,0,2,0,,,,,,,,
66,2,1,1,0,452,-0.001557,0.118125,0.947805,0.0007,0.000000,,
67,2,1,1,0,,,,,,,,
68,2,1,1,0,,,,,,,,
69,2,0,2,0,408,0.005210,0.075156,0.871812,0.0011,0.000000,,
70,2,0,2,0,,,,,,,1.0000,20
71,2,1,1,0,,,,,,,,
72,2,1,1,0,299,-0.029813,0.106401,0.920751,0.0097,0.000000,,
73,2,1,1,0,,,,,,,,
74,2,1,1,0,,,,,,,,
75,2,0,2,0,471,-0.001025,0.070893,0.966955,0.0016,0.000000,,
76,2,1,1,0,,,,,,,,
77,2,1,1,0,,,,,,,,
78,2,2,0,0,530,0.059342,0.061354,0.902062,0.0070,0.000000,,
79,2,2,0,0,,,,,,,,
80,2,0,2,0,,,,,,,0.9000,20
81,2,1,1,0,500,-0.001006,0.073470,0.910426,0.0000,0.000000,,
82,2,1,1,0,,,,,,,,
83,2,1,1,0,,,,,,,,
84,2,1,1,0,428,-0.008031,0.059160,0.892998,0.0000,0.000000,,
85,2,1,1,0,,,,,,,,
86,2,2,0,0,,,,,,,,
87,2,2,0,0,525,-0.055341,0.103561,0.924589,0.0000,0.000000,,
88,2,1,1,0,,,,,,,,
89,2,1,1,0,,,,,,,,
90,2,1,1,0,495,0.000474,0.102306,0.866716,0.0000,0.000000,0.9500,20
91,2,1,1,0,,,,,,,,
92,2,1,1,0,,,,,,,,
93,2,0,2,0,476,-0.003279,0.071913,0.840637,0.0065,0.000000,,
94,2,0,2,0,,,,,,,,
95,2,0,2,0,,,,,,,,
96,2,0,2,0,468,-0.001012,0.065686,0.844670,0.0000,0.000000,,
97,2,2,0,0,,,,,,,,
98,2,1,1,0,,,,,,,,
99,2,1,1,0,478,-0.002882,0.092884,0.884653,0.0068,0.000000,,
100,2,2,0,0,,,,,,,1.0000,20
101,2,2,0,0,,,,,,,,
102,2,1,1,0,450,0.004241,0.050747,0.886065,0.0076,0.000000,,
103,2,1,1,0,,,,,,,,
104,2,2,0,0,,,,,,,,
105,2,1,1,0,543,0.047178,0.061733,0.885763,0.0255,0.000000,,
106,2,0,2,0,,,,,,,,
107,2,1,1,0,,,,,,,,
108,2,2,0,0,390,0.034477,0.095894,0.886770,0.0000,0.000000,,
109,2,2,0,0,,,,,,,,
110,2,0,2,0,,,,,,,0.8000,20
111,2,0,2,0,326,-0.003628,0.137123,0.741915,0.0000,0.000000,,
112,2,2,0,0,,,,,,,,
113,2,1,1,0,,,,,,,,
114,2,1,1,0,507,-0.001864,0.095394,0.801321,0.0000,0.000000,,
115,2,2,0,0,,,,,,,,
116,2,2,0,0,,,,,,,,
117,2,0,2,0,422,-0.007928,0.068358,0.872311,0.0176,0.000000,,
118,2,2,0,0,,,,,,,,
119,2,1,1,0,,,,,,,,
120,2,0,2,0,404,-0.014705,0.105073,0.896772,0.0087,0.000000,0.9000,20
121,2,1,1,0,,,,,,,,
122,2,0,2,0,,,,,,,,
123,2,1,1,0,497,-0.002458,0.106746,0.741137,0.0034,0.000000,,
124,2,2,0,0,,,,,,,,
125,2,0,2,0,,,,,,,,
126,2,1,1,0,336,0.014356,0.099797,0.790981,0.0000,0.000000,,
127,2,1,1,0,,,,,,,,
128,2,1,1,0,,,,,,,,
129,2,0,2,0,523,-0.000208,0.059647,0.810423,0.0087,0.000000,,
130,2,1,1,0,,,,,,,0.8000,20
131,2,2,0,0,,,,,,,,
132,2,1,1,0,450,-0.000420,0.100317,0.732368,0.0007,0.000000,,
133,2,1,1,0,,,,,,,,
134,2,1,1,0,,,,,,,,
135,2,1,1,0,446,-0.008790,0.101312,0.804909,0.0009,0.000000,,
136,2,0,2,0,,,,,,,,
137,2,1,1,0,,,,,,,,
138,2,2,0,0,418,-0.009371,0.054827,0.819418,0.0010,0.000000,,
139,2,2,0,0,,,,,,,,
140,2,2,0,0,,,,,,,0.9000,20
141,2,1,1,0,469,0.000768,0.063206,0.808225,0.0008,0.000000,,
142,2,2,0,0,,,,,,,,
143,2,1,1,0,,,,,,,,
144,2,2,0,0,382,-0.006279,0.082532,0.799367,0.0053,0.000000,,
145,2,1,1,0,,,,,,,,
146,2,1,1,0,,,,,,,,
147,2,1,1,0,504,-0.001954,0.097977,0.749743,0.0020,0.000000,,
148,2,1,1,0,,,,,,,,
149,2,0,2,0,,,,,,,,
150,2,2,0,0,511,-0.002561,0.047060,0.703684,0.0020,0.000000,0.9500,20
151,2,1,1,0,,,,,,,,
152,2,0,2,0,,,,,,,,
153,2,1,1,0,485,0.000693,0.064339,0.730223,0.0015,0.000000,,
154,2,1,1,0,,,,,,,,
155,2,1,1,0,,,,,,,,
156,2,1,1,0,319,-0.017069,0.315674,0.713951,0.0000,0.000000,,
157,2,2,0,0,,,,,,,,
158,2,1,1,0,,,,,,,,
159,2,0,2,0,346,-0.015058,0.145925,0.751139,0.0000,0.000000,,
160,2,0,2,0,,,,,,,0.8500,20
161,2,2,0,0,,,,,,,,
162,2,2,0,0,453,-0.000756,0.138766,0.784911,0.0045,0.000000,,
163,2,2,0,0,,,,,,,,
164,2,0,2,0,,,,,,,,
165,2,1,1,0,406,-0.001240,0.119466,0.739451,0.0011,0.000000,,
166,2,2,0,0,,,,,,,,
167,2,1,1,0,,,,,,,,
168,2,0,2,0,344,0.003628,0.149319,0.750833,0.0007,0.000000,,
169,2,2,0,0,,,,,,,,
170,2,1,1,0,,,,,,,0.9000,20
171,2,1,1,0,490,0.000341,0.076581,0.731191,0.0007,0.000000,,
172,2,2,0,0,,,,,,,,
173,2,1,1,0,,,,,,,,
174,2,0,2,0,417,-0.004033,0.097013,0.763502,0.0038,0.000002,,
175,2,2,0,0,,,,,,,,
176,2,1,1,0,,,,,,,,
177,2,2,0,0,432,0.005742,0.051472,0.735945,0.0071,0.000000,,
178,2,1,1,0,,,,,,,,
179,2,1,1,0,,,,,,,,
180,2,2,0,0,393,-0.019526,0.105008,0.733970,0.0007,0.000000,1.0000,20
181,2,0,2,0,,,,,,,,
182,2,0,2,0,,,,,,,,
183,2,2,0,0,305,0.004864,0.135095,0.673422,0.0000,0.000000,,
184,2,1,1,0,,,,,,,,
185,2,1,1,0,,,,,,,,
186,2,0,2,0,479,-0.005388,0.087774,0.698272,0.0094,0.000000,,
187,2,0,2,0,,,,,,,,
188,2,2,0,0,,,,,,,,
189,2,0,2,0,436,0.002573,0.097191,0.694716,0.0007,0.000000,,
190,2,0,2,0,,,,,,,0.9500,20
191,2,1,1,0,,,,,,,,
192,2,0,2,0,306,0.021895,0.147368,0.752000,0.0040,0.000000,,
193,2,1,1,0,,,,,,,,
194,2,2,0,0,,,,,,,,
195,2,1,1,0,329,-0.005895,0.080621,0.766868,0.0000,0.000000,,
196,2,1,1,0,,,,,,,,
197,2,0,2,0,,,,,,,,
198,2,2,0,0,397,-0.013711,0.095144,0.705987,0.0000,0.000000,,
199,2,0,2,0,,,,,,,,
200,2,1,1,0,,,,,,,0.9500,20
201,2,2,0,0,363,0.027269,0.111869,0.723537,0.0000,0.000000,,
202,2,0,2,0,,,,,,,,
203,2,0,2,0,,,,,,,,
204,2,2,0,0,576,0.013022,0.099452,0.690216,0.0174,0.000000,,
205,2,1,1,0,,,,,,,,
206,2,2,0,0,,,,,,,,
207,2,0,2,0,403,-0.003170,0.097528,0.672884,0.0054,0.000000,,
208,2,0,2,0,,,,,,,,
209,2,2,0,0,,,,,,,,
210,2,1,1,0,437,-0.003614,0.111166,0.691150,0.0009,0.000000,0.9000,20
211,2,1,1,0,,,,,,,,
212,2,1,1,0,,,,,,,,
213,2,0,2,0,436,-0.001198,0.079270,0.653108,0.0070,0.000000,,
214,2,1,1,0,,,,,,,,
215,2,1,1,0,,,,,,,,
216,2,0,2,0,555,-0.012847,0.091353,0.649262,0.0320,0.000000,,
217,2,0,2,0,,,,,,,,
218,2,0,2,0,,,,,,,,
219,2,1,1,0,409,0.002425,0.099176,0.667703,0.0000,0.000000,,
220,2,1,1,0,,,,,,,0.9500,20
221,2,0,2,0,,,,,,,,
222,2,2,0,0,591,0.008932,0.088667,0.700850,0.0180,0.000000,,
223,2,1,1,0,,,,,,,,
224,2,1,1,0,,,,,,,,
225,2,2,0,0,567,-0.044857,0.089724,0.666334,0.0064,0.000000,,
226,2,1,1,0,,,,,,,,
227,2,0,2,0,,,,,,,,
228,2,2,0,0,402,-0.005579,0.098505,0.665067,0.0000,0.000000,,
229,2,2,0,0,,,,,,,,
