iter,games,wins,losses,draws,decisions,samples,pi_loss,v_loss,entropy,clip_frac,archetype_loss,time_s,eval_win_rate,eval_games
1,16,8,8,0,3348,3056,-0.002184,0.069222,1.576626,0.0008,0.328684,12.59,,
2,16,8,8,0,3086,2533,-0.002139,0.058733,1.570546,0.0001,0.004509,12.75,,
3,16,11,5,0,3413,2456,-0.002707,0.067334,1.569841,0.0050,0.001651,13.52,,
4,16,7,9,0,3381,2848,0.001455,0.064603,1.597001,0.0002,0.001126,14.55,,
5,16,12,4,0,3151,1893,-0.002605,0.060227,1.583829,0.0025,0.000370,12.88,,
6,16,9,7,0,3207,2145,-0.004847,0.077139,1.533078,0.0053,0.000362,13.22,,
7,16,9,7,0,3752,2910,-0.003530,0.071462,1.477537,0.0548,0.000390,15.96,,
8,16,5,11,0,2734,2038,-0.005439,0.078348,1.534546,0.0400,0.000222,11.29,,
9,16,7,9,0,2893,1996,-0.001974,0.082837,1.511340,0.0002,0.000233,11.73,,
10,16,4,12,0,3310,2584,0.001735,0.065864,1.531773,0.0273,0.000203,13.86,0.5500,20
11,16,4,12,0,3730,2326,-0.001085,0.049129,1.571797,0.0083,0.000163,15.84,,
12,16,10,6,0,3018,2168,-0.004246,0.066609,1.493305,0.0216,0.000068,12.68,,
13,16,6,10,0,3193,2238,-0.004780,0.062910,1.507902,0.0438,0.000054,12.81,,
14,16,5,11,0,2271,1621,0.003235,0.099534,1.429856,0.0002,0.000051,9.02,,
15,16,7,9,0,2864,2343,0.000236,0.063307,1.485854,0.0111,0.000065,12.09,,
16,16,9,7,0,3175,2313,0.037719,0.074664,1.447123,0.0036,0.000090,12.72,,
17,16,6,10,0,3161,2061,0.021792,0.058204,1.426645,0.0043,0.000045,12.64,,
18,16,4,12,0,2135,1651,-0.007908,0.098987,1.416891,0.0050,0.000014,8.67,,
19,16,15,1,0,2401,1801,0.026103,0.084010,1.363241,0.0175,0.000046,10.03,,
20,16,11,5,0,3022,2099,0.007436,0.059717,1.311262,0.0059,0.000050,12.07,0.6500,20
21,16,10,6,0,2206,1547,-0.005290,0.079996,1.319234,0.0037,0.000032,8.87,,
22,16,7,9,0,2505,1937,-0.001361,0.096175,1.263249,0.0108,0.000022,10.71,,
23,16,10,6,0,2253,1710,-0.003774,0.099339,1.322778,0.0226,0.000015,8.88,,
24,16,9,7,0,2201,1447,-0.002514,0.093164,1.308638,0.0167,0.000028,8.86,,
25,16,12,4,0,1655,1236,-0.002003,0.134232,1.238898,0.0033,0.000014,6.52,,
26,16,9,7,0,2257,1403,-0.007039,0.103784,1.203158,0.0292,0.000030,8.87,,
27,16,9,7,0,2171,1731,-0.003814,0.115651,1.250637,0.0041,0.000022,9.74,,
28,16,11,5,0,1856,1283,0.059867,0.077238,1.321049,0.0072,0.000012,7.55,,
29,16,7,9,0,2065,1378,-0.017446,0.076731,1.216942,0.0293,0.000015,8.19,,
30,16,5,11,0,1931,1529,-0.001384,0.116414,1.259257,0.0138,0.000036,8.61,0.8000,20
31,16,6,10,0,2287,1442,0.004338,0.099459,1.245545,0.0003,0.000013,9.22,,
32,16,7,9,0,2061,1623,-0.000965,0.068696,1.242277,0.0113,0.000018,9.12,,
33,16,10,6,0,2445,1434,-0.003374,0.057754,1.263688,0.0145,0.000012,9.48,,
34,16,12,4,0,2549,1856,-0.007971,0.104206,1.163578,0.0446,0.000023,10.73,,
35,16,7,9,0,2085,1448,0.003290,0.102220,1.219877,0.0242,0.000035,8.38,,
36,16,11,5,0,1945,1589,0.001755,0.075611,1.183285,0.0195,0.000030,8.52,,
37,16,8,8,0,1908,1210,-0.005793,0.090803,1.188520,0.0077,0.000010,7.49,,
38,16,9,7,0,2089,1665,0.001899,0.099212,1.194431,0.0269,0.000010,8.98,,
39,16,9,7,0,2785,2211,-0.001309,0.094386,1.150115,0.0174,0.000022,11.55,,
40,16,9,7,0,2171,1725,-0.002474,0.108913,1.166226,0.0109,0.000025,9.12,1.0000,20
41,16,8,8,0,1764,1216,-0.000844,0.100450,1.173113,0.0033,0.000012,7.31,,
42,16,6,10,0,2135,1691,-0.001266,0.065310,1.145018,0.0155,0.000029,8.64,,
43,16,7,9,0,2401,1729,-0.002888,0.090363,1.143060,0.0032,0.000008,10.05,,
44,16,7,9,0,1894,1266,-0.002790,0.079059,1.087995,0.0077,0.000005,7.34,,
45,16,7,9,0,1737,1319,-0.000111,0.099769,1.108832,0.0185,0.000003,7.11,,
46,16,9,7,0,2480,1941,-0.000712,0.080925,1.134603,0.0172,0.000012,10.75,,
47,16,9,7,0,2349,1532,-0.004864,0.097333,1.095237,0.0322,0.000011,9.38,,
48,16,7,9,0,2339,1903,-0.005104,0.083887,1.129503,0.0203,0.000017,10.52,,
49,16,10,6,0,2439,1872,-0.000867,0.113891,1.085279,0.0180,0.000009,10.69,,
50,16,7,9,0,2113,1527,-0.003618,0.079678,1.145586,0.0162,0.000000,8.19,0.9500,20
51,16,8,8,0,2030,1270,-0.003277,0.117484,1.103833,0.0129,0.000000,8.33,,
52,16,9,7,0,2503,1788,-0.001751,0.091692,1.071981,0.0116,0.000000,10.28,,
53,16,4,12,0,2281,1535,-0.003483,0.065420,1.116181,0.0115,0.000000,9.52,,
54,16,10,6,0,2412,1662,-0.004493,0.109057,1.095842,0.0325,0.000000,10.38,,
55,16,11,5,0,2322,1831,-0.015844,0.064803,1.079036,0.0357,0.000000,10.58,,
56,16,9,7,0,1769,1166,-0.002884,0.108345,1.133845,0.0015,0.000000,7.25,,
57,16,5,11,0,2179,1774,-0.005194,0.097428,1.087403,0.0404,0.000000,8.92,,
58,16,8,8,0,2157,1353,-0.000383,0.084834,1.089926,0.0348,0.000000,8.62,,
59,16,12,4,0,2728,2276,-0.002887,0.084545,1.108691,0.0318,0.000000,11.43,,
60,16,4,12,0,2565,1837,-0.003263,0.074502,1.073672,0.0350,0.000000,10.40,0.6000,20
61,16,7,9,0,2361,1683,-0.000116,0.081202,1.074555,0.0530,0.000000,10.41,,
62,16,9,7,0,2345,1923,-0.003486,0.088562,1.115899,0.0613,0.000000,10.47,,
63,16,7,9,0,2394,1621,-0.009897,0.062954,1.075420,0.0990,0.000000,10.05,,
64,16,10,6,0,2651,2120,-0.005847,0.077785,1.050322,0.0237,0.000000,11.52,,
65,16,6,10,0,2345,1559,-0.016453,0.088269,1.051260,0.0155,0.000000,9.59,,
66,16,5,11,0,2885,1833,0.009593,0.066544,1.077229,0.0043,0.000000,11.96,,
67,16,7,9,0,2676,2065,0.000412,0.062948,1.033623,0.0391,0.000001,11.25,,
68,16,12,4,0,2736,1893,0.001121,0.060800,1.013511,0.0418,0.000001,11.12,,
69,16,9,7,0,2519,1671,-0.000592,0.105531,0.962603,0.0216,0.000000,10.35,,
70,16,10,6,0,2591,1877,0.013208,0.078732,1.016886,0.0166,0.000000,10.62,0.6500,20
71,16,10,6,0,2454,1732,-0.002421,0.066523,1.062412,0.0146,0.000000,10.11,,
72,16,7,9,0,2791,2194,-0.003576,0.106719,0.991743,0.0197,0.000000,12.77,,
73,16,8,8,0,2749,1886,-0.004996,0.083889,0.992644,0.0142,0.000000,11.32,,
74,16,9,7,0,2470,2059,0.008202,0.065282,0.954792,0.0503,0.000000,10.50,,
75,16,11,5,0,2710,2075,-0.010543,0.071944,0.924808,0.0367,0.000000,11.75,,
76,16,6,10,0,2676,1930,-0.002448,0.073676,0.924196,0.0255,0.000000,11.45,,
77,16,11,5,0,2766,2142,-0.006015,0.067210,0.905117,0.0557,0.000000,10.78,,
78,16,8,8,0,2657,2037,-0.002909,0.110281,0.927843,0.0223,0.000000,9.62,,
79,16,9,7,0,2415,1668,0.000027,0.100763,0.926906,0.0307,0.000000,8.74,,
80,16,5,11,0,2585,1890,-0.005171,0.106421,0.949109,0.0173,0.000001,9.07,0.9500,20
81,16,10,6,0,2673,2002,-0.003870,0.073923,0.901106,0.0133,0.000001,9.34,,
82,16,11,5,0,2445,1701,-0.004777,0.073189,0.923871,0.0376,0.000001,8.37,,
83,16,11,5,0,2463,2216,-0.001178,0.076935,0.907433,0.0244,0.000001,9.07,,
84,16,5,11,0,2871,2354,-0.011565,0.087553,0.876293,0.0379,0.000004,10.28,,
85,16,10,6,0,2668,1946,-0.003023,0.072319,0.882854,0.0106,0.000001,9.22,,
86,16,6,10,0,3012,2153,-0.004748,0.079107,0.832149,0.0252,0.000001,10.92,,
87,16,7,9,0,2854,2373,-0.007825,0.066431,0.895486,0.0293,0.000000,10.95,,
88,16,9,7,0,2497,1636,-0.003329,0.063857,0.888421,0.0366,0.000000,8.98,,
89,16,10,6,0,2598,2011,-0.001751,0.059953,0.905597,0.0169,0.000000,8.89,,
90,16,9,7,0,2351,1818,-0.018237,0.080705,0.974050,0.0266,0.000000,8.26,0.8000,20
