iter,games,wins,losses,draws,samples,pi_loss,v_loss,entropy,clip_frac,archetype_loss,eval_win_rate,eval_games
1,2,1,1,0,,,,,,,,
2,2,0,2,0,,,,,,,,
3,2,1,1,0,364,0.014807,0.113958,0.817037,0.0215,0.000008,,
4,2,1,1,0,,,,,,,,
5,2,0,2,0,,,,,,,,
6,2,1,1,0,410,0.000836,0.118678,0.725963,0.0043,0.000004,,
7,2,0,2,0,,,,,,,,
8,2,1,1,0,,,,,,,,
9,2,0,2,0,404,-0.012518,0.097263,0.821180,0.0011,0.000005,,
10,2,0,2,0,,,,,,,1.0000,20
11,2,0,2,0,,,,,,,,
12,2,1,1,0,412,-0.004829,0.090164,0.770524,0.0021,0.000009,,
13,2,2,0,0,,,,,,,,
14,2,1,1,0,,,,,,,,
15,2,1,1,0,436,0.000563,0.156729,0.721657,0.0028,0.000002,,
16,2,1,1,0,,,,,,,,
17,2,0,2,0,,,,,,,,
18,2,1,1,0,343,0.006174,0.100663,0.734968,0.0115,0.000000,,
19,2,0,2,0,,,,,,,,
20,2,0,2,0,,,,,,,0.9500,20
21,2,0,2,0,415,-0.004743,0.054179,0.754943,0.0031,0.000000,,
22,2,1,1,0,,,,,,,,
23,2,0,2,0,,,,,,,,
24,2,0,2,0,370,-0.006096,0.101488,0.735193,0.0000,0.000004,,
25,2,1,1,0,,,,,,,,
26,2,0,2,0,,,,,,,,
27,2,0,2,0,436,-0.002311,0.057829,0.699750,0.0037,0.000000,,
28,2,2,0,0,,,,,,,,
29,2,1,1,0,,,,,,,,
30,2,1,1,0,377,0.007761,0.187217,0.779196,0.0014,0.000000,0.9500,20
31,2,2,0,0,,,,,,,,
32,2,1,1,0,,,,,,,,
33,2,0,2,0,277,0.000845,0.098696,0.785777,0.0033,0.000000,,
34,2,0,2,0,,,,,,,,
35,2,0,2,0,,,,,,,,
36,2,0,2,0,454,-0.005938,0.066862,0.787777,0.0023,0.000000,,
37,2,0,2,0,,,,,,,,
38,2,0,2,0,,,,,,,,
39,2,0,2,0,481,-0.000746,0.040644,0.771493,0.0000,0.000000,,
40,2,1,1,0,,,,,,,0.9500,20
41,2,1,1,0,,,,,,,,
42,2,1,1,0,449,-0.005993,0.153187,0.774260,0.0000,0.000000,,
43,2,2,0,0,,,,,,,,
44,2,1,1,0,,,,,,,,
45,2,1,1,0,436,-0.001826,0.122403,0.783764,0.0019,0.000001,,
46,2,1,1,0,,,,,,,,
47,2,0,2,0,,,,,,,,
48,2,2,0,0,323,0.010281,0.160574,0.725448,0.0038,0.000001,,
49,2,0,2,0,,,,,,,,
50,2,1,1,0,,,,,,,1.0000,20
51,2,0,2,0,433,-0.003441,0.072998,0.725844,0.0079,0.000000,,
52,2,0,2,0,,,,,,,,
53,2,1,1,0,,,,,,,,
54,2,0,2,0,436,0.005005,0.054093,0.747663,0.0070,0.000000,,
55,2,0,2,0,,,,,,,,
56,2,1,1,0,,,,,,,,
57,2,0,2,0,452,-0.002050,0.055848,0.757992,0.0009,0.000000,,
58,2,0,2,0,,,,,,,,
59,2,0,2,0,,,,,,,,
60,2,2,0,0,458,-0.001002,0.075780,0.760324,0.0015,0.000000,0.8500,20
61,2,1,1,0,,,,,,,,
62,2,2,0,0,,,,,,,,
63,2,1,1,0,402,-0.005100,0.133259,0.748455,0.0000,0.000000,,
64,2,1,1,0,,,,,,,,
