iter,games,wins,losses,draws,decisions,samples,pi_loss,v_loss,entropy,clip_frac,archetype_loss,time_s,eval_win_rate,eval_games
1,16,4,12,0,3133,2907,0.003401,0.065833,1.540693,0.0004,0.366355,11.89,,
2,16,7,9,0,3159,2560,-0.001697,0.058109,1.497580,0.0000,0.006012,14.02,,
3,16,7,9,0,3195,2212,-0.001611,0.056562,1.545623,0.0001,0.001862,13.21,,
4,16,8,8,0,3354,2903,-0.008915,0.079752,1.528290,0.0056,0.001970,15.69,,
5,16,11,5,0,3467,2209,-0.003011,0.044590,1.521367,0.0013,0.001213,15.88,,
6,16,7,9,0,3113,2068,-0.000792,0.061075,1.511541,0.0117,0.000642,14.15,,
7,16,11,5,0,3137,2413,0.001518,0.058562,1.445879,0.0172,0.000681,14.10,,
8,16,7,9,0,2491,1826,0.004226,0.085831,1.450393,0.0304,0.000592,11.04,,
9,16,6,10,0,2392,1564,-0.006725,0.111654,1.410289,0.0009,0.000252,10.09,,
10,16,12,4,0,2876,2255,-0.004683,0.066337,1.379829,0.0465,0.000467,12.51,0.7500,20
11,16,7,9,0,2401,1399,-0.003767,0.100863,1.378583,0.0082,0.000297,9.54,,
12,16,12,4,0,2597,1790,-0.001298,0.080094,1.296900,0.0026,0.000141,11.10,,
13,16,8,8,0,2414,1683,0.001135,0.073218,1.296484,0.0005,0.000096,10.41,,
14,16,8,8,0,2450,1573,-0.000646,0.074517,1.307480,0.0354,0.000077,10.05,,
15,16,8,8,0,2123,1658,-0.004649,0.100963,1.268278,0.0500,0.000027,8.89,,
16,16,13,3,0,1716,1242,-0.004460,0.115242,1.230870,0.0221,0.000029,7.18,,
17,16,9,7,0,2358,1654,0.000161,0.101593,1.256633,0.0053,0.000251,10.56,,
18,16,11,5,0,1865,1420,-0.002117,0.091007,1.255259,0.0017,0.000016,7.89,,
19,16,5,11,0,2128,1443,-0.004603,0.084565,1.243968,0.0475,0.000043,9.29,,
20,16,9,7,0,2519,1682,-0.004171,0.097740,1.222269,0.0083,0.000135,10.15,0.7500,20
21,16,7,9,0,2154,1563,-0.009941,0.118267,1.217310,0.0303,0.000186,9.47,,
22,16,8,8,0,2329,1630,-0.006425,0.102893,1.133165,0.0485,0.000072,9.58,,
23,16,10,6,0,2602,1830,-0.022860,0.081011,1.165463,0.0062,0.000085,11.41,,
24,16,10,6,0,2148,1488,-0.004098,0.083766,1.193762,0.0184,0.000039,9.51,,
25,16,10,6,0,2464,1780,-0.001821,0.081173,1.233910,0.0006,0.000094,9.95,,
26,16,8,8,0,2160,1332,-0.002463,0.089159,1.221451,0.0130,0.000058,9.17,,
27,16,9,7,0,2173,1701,-0.000573,0.070636,1.212373,0.0054,0.000029,9.75,,
28,16,8,8,0,2428,1516,-0.002619,0.095688,1.179196,0.0031,0.000032,10.20,,
29,16,12,4,0,2036,1239,-0.003594,0.101649,1.199695,0.0086,0.000036,8.91,,
30,16,11,5,0,2376,1693,-0.006543,0.073359,1.201059,0.0117,0.000020,10.63,0.7500,20
31,16,13,3,0,2644,1585,0.006861,0.056905,1.129304,0.0363,0.000134,11.59,,
32,16,7,9,0,2129,1570,-0.004765,0.084253,1.156421,0.0294,0.000015,9.41,,
33,16,7,9,0,2397,1332,0.020497,0.106823,1.076865,0.0041,0.000020,10.41,,
34,16,7,9,0,1974,1478,-0.003281,0.087699,1.109173,0.0256,0.000016,8.73,,
35,16,9,7,0,2300,1667,-0.008166,0.081004,1.107179,0.0192,0.000028,9.92,,
36,16,10,6,0,2413,1861,-0.010272,0.105165,1.116128,0.0172,0.000025,11.00,,
37,16,11,5,0,2453,1430,-0.003755,0.077048,1.117657,0.0058,0.000025,10.33,,
38,16,7,9,0,2658,1995,-0.003406,0.081160,1.125946,0.0186,0.000039,11.80,,
39,16,11,5,0,2141,1671,-0.003126,0.092539,1.111247,0.0147,0.000026,9.43,,
40,16,10,6,0,2260,1625,-0.005754,0.093602,1.098565,0.0212,0.000027,9.73,0.9000,20
41,16,7,9,0,2487,1709,-0.000984,0.082468,1.129443,0.0165,0.000075,10.95,,
42,16,9,7,0,2776,2162,-0.005305,0.054142,1.092669,0.0179,0.000050,13.74,,
43,16,10,6,0,2597,1759,-0.002560,0.076361,1.090962,0.0173,0.000020,11.02,,
44,16,4,12,0,2194,1448,-0.000086,0.084013,1.077745,0.0025,0.000037,9.83,,
45,16,7,9,0,2357,1686,-0.006288,0.061657,1.078684,0.0232,0.000023,10.51,,
46,16,10,6,0,2573,2012,-0.002292,0.084939,1.088068,0.0202,0.000035,11.63,,
47,16,10,6,0,2375,1595,-0.006197,0.081994,1.112086,0.0197,0.000039,10.63,,
48,16,7,9,0,2523,1924,-0.004026,0.076702,1.117910,0.0451,0.000033,11.32,,
49,16,9,7,0,2530,1830,0.004630,0.084954,1.050872,0.0325,0.000016,11.61,,
50,16,8,8,0,2193,1638,-0.002641,0.101585,1.027533,0.0117,0.000007,9.70,0.9000,20
51,16,6,10,0,2328,1541,-0.023277,0.055173,1.007320,0.0123,0.000008,10.64,,
52,16,10,6,0,2170,1549,-0.000828,0.073705,1.016777,0.0421,0.000005,9.44,,
53,16,7,9,0,2361,1517,-0.003872,0.101821,0.988683,0.0212,0.000020,10.14,,
54,16,10,6,0,1806,1162,0.004794,0.086022,0.972804,0.0114,0.000009,7.78,,
