iter,games,wins,losses,draws,samples,pi_loss,v_loss,entropy,clip_frac,archetype_loss,eval_win_rate,eval_games
1,2,0,2,0,,,,,,,,
2,2,1,1,0,,,,,,,,
3,2,0,2,0,317,-0.089374,0.114677,0.685200,0.0053,0.000000,,
4,2,0,2,0,,,,,,,,
5,2,0,2,0,,,,,,,,
6,2,0,2,0,350,-0.023899,0.051583,0.740380,0.0000,0.000000,,
7,2,1,1,0,,,,,,,,
8,2,0,2,0,,,,,,,,
9,2,0,2,0,363,0.018971,0.062194,0.693170,0.0000,0.000000,,
10,2,0,2,0,,,,,,,0.9000,20
11,2,1,1,0,,,,,,,,
12,2,1,1,0,377,0.005984,0.109199,0.795365,0.0020,0.000000,,
13,2,1,1,0,,,,,,,,
14,2,1,1,0,,,,,,,,
15,2,0,2,0,382,0.017942,0.105695,0.773453,0.0013,0.000000,,
16,2,1,1,0,,,,,,,,
17,2,1,1,0,,,,,,,,
18,2,0,2,0,321,0.025794,0.120449,0.788650,0.0013,0.000000,,
19,2,0,2,0,,,,,,,,
20,2,1,1,0,,,,,,,0.9500,20
21,2,1,1,0,388,0.005650,0.088084,0.712240,0.0019,0.000003,,
22,2,0,2,0,,,,,,,,
23,2,0,2,0,,,,,,,,
24,2,1,1,0,402,-0.007766,0.076459,0.815885,0.0023,0.000005,,
25,2,0,2,0,,,,,,,,
26,2,1,1,0,,,,,,,,
27,2,1,1,0,383,-0.004411,0.097871,0.722219,0.0026,0.000000,,
28,2,1,1,0,,,,,,,,
29,2,1,1,0,,,,,,,,
30,2,1,1,0,252,-0.001053,0.119303,0.721024,0.0000,0.000000,0.9500,20
31,2,1,1,0,,,,,,,,
32,2,1,1,0,,,,,,,,
33,2,0,2,0,475,-0.006170,0.070779,0.811126,0.0065,0.000001,,
34,2,2,0,0,,,,,,,,
35,2,1,1,0,,,,,,,,
36,2,1,1,0,309,0.012175,0.114052,0.719932,0.0000,0.000000,,
37,2,0,2,0,,,,,,,,
38,2,0,2,0,,,,,,,,
39,2,1,1,0,427,-0.003558,0.086989,0.708100,0.0010,0.000000,,
40,2,0,2,0,,,,,,,1.0000,20
41,2,1,1,0,,,,,,,,
42,2,0,2,0,353,-0.020649,0.113546,0.674991,0.0000,0.000000,,
43,2,1,1,0,,,,,,,,
44,2,0,2,0,,,,,,,,
45,2,2,0,0,301,-0.003476,0.115901,0.667795,0.0000,0.000000,,
46,2,0,2,0,,,,,,,,
47,2,1,1,0,,,,,,,,
48,2,1,1,0,344,-0.012072,0.084814,0.737049,0.0000,0.000000,,
49,2,0,2,0,,,,,,,,
50,2,0,2,0,,,,,,,0.9500,20
51,2,0,2,0,381,-0.004312,0.036039,0.716118,0.0066,0.000000,,
52,2,1,1,0,,,,,,,,
53,2,0,2,0,,,,,,,,
54,2,0,2,0,432,-0.003443,0.098652,0.763420,0.0152,0.000000,,
55,2,2,0,0,,,,,,,,
56,2,1,1,0,,,,,,,,
57,2,0,2,0,311,-0.001694,0.130519,0.670590,0.0000,0.000000,,
58,2,0,2,0,,,,,,,,
59,2,1,1,0,,,,,,,,
60,2,0,2,0,345,0.013380,0.061582,0.769948,0.0000,0.000000,0.9000,20
61,2,0,2,0,,,,,,,,
62,2,1,1,0,,,,,,,,
63,2,0,2,0,319,-0.015674,0.051639,0.722743,0.0020,0.000000,,
64,2,0,2,0,,,,,,,,
65,2,0,2,0,,,,,,,,
66,2,0,2,0,368,0.010051,0.042736,0.754801,0.0000,0.000001,,
67,2,1,1,0,,,,,,,,
68,2,0,2,0,,,,,,,,
69,2,0,2,0,441,-0.002091,0.032752,0.662322,0.0071,0.000002,,
70,2,1,1,0,,,,,,,0.9500,20
71,2,1,1,0,,,,,,,,
72,2,1,1,0,348,-0.033171,0.132490,0.682636,0.0000,0.000001,,
73,2,0,2,0,,,,,,,,
74,2,2,0,0,,,,,,,,
75,2,1,1,0,424,-0.006527,0.073923,0.749428,0.0066,0.000000,,
76,2,0,2,0,,,,,,,,
77,2,1,1,0,,,,,,,,
78,2,1,1,0,420,0.000211,0.103157,0.761567,0.0077,0.000004,,
79,2,1,1,0,,,,,,,,
80,2,0,2,0,,,,,,,1.0000,20
81,2,1,1,0,330,-0.014610,0.099314,0.785627,0.0000,0.000000,,
82,2,1,1,0,,,,,,,,
83,2,1,1,0,,,,,,,,
84,2,0,2,0,335,-0.001427,0.074304,0.706340,0.0000,0.000000,,
85,2,0,2,0,,,,,,,,
86,2,0,2,0,,,,,,,,
87,2,0,2,0,339,0.039082,0.039286,0.647195,0.0007,0.000000,,
88,2,1,1,0,,,,,,,,
89,2,0,2,0,,,,,,,,
90,2,1,1,0,321,0.026028,0.114068,0.713769,0.0000,0.000000,0.9000,20
91,2,1,1,0,,,,,,,,
92,2,0,2,0,,,,,,,,
93,2,1,1,0,324,-0.016512,0.071783,0.681624,0.0000,0.000000,,
94,2,0,2,0,,,,,,,,
95,2,1,1,0,,,,,,,,
96,2,0,2,0,310,-0.009292,0.116722,0.662982,0.0000,0.000000,,
97,2,0,2,0,,,,,,,,
98,2,1,1,0,,,,,,,,
99,2,0,2,0,303,-0.031507,0.053129,0.630180,0.0000,0.000000,,
100,2,0,2,0,,,,,,,0.9500,20
101,2,2,0,0,,,,,,,,
102,2,0,2,0,336,0.009801,0.053761,0.693110,0.0048,0.000000,,
103,2,0,2,0,,,,,,,,
104,2,0,2,0,,,,,,,,
105,2,0,2,0,375,-0.002400,0.094451,0.696614,0.0069,0.000000,,
106,2,0,2,0,,,,,,,,
107,2,0,2,0,,,,,,,,
108,2,1,1,0,461,-0.000998,0.080656,0.722668,0.0015,0.000000,,
109,2,1,1,0,,,,,,,,
110,2,0,2,0,,,,,,,1.0000,20
111,2,1,1,0,354,0.010419,0.069614,0.730256,0.0034,0.000000,,
112,2,1,1,0,,,,,,,,
113,2,1,1,0,,,,,,,,
114,2,0,2,0,432,0.000197,0.089032,0.740799,0.0009,0.000000,,
115,2,1,1,0,,,,,,,,
116,2,1,1,0,,,,,,,,
117,2,1,1,0,358,-0.012648,0.115004,0.754546,0.0088,0.000001,,
118,2,2,0,0,,,,,,,,
119,2,0,2,0,,,,,,,,
120,2,0,2,0,358,0.011995,0.089645,0.849605,0.0000,0.000004,1.0000,20
121,2,1,1,0,,,,,,,,
122,2,0,2,0,,,,,,,,
123,2,1,1,0,459,-0.002669,0.080867,0.767252,0.0028,0.000002,,
124,2,0,2,0,,,,,,,,
125,2,2,0,0,,,,,,,,
126,2,0,2,0,497,-0.001778,0.052108,0.835655,0.0027,0.000000,,
127,2,0,2,0,,,,,,,,
128,2,0,2,0,,,,,,,,
129,2,0,2,0,385,0.003798,0.032428,0.788493,0.0000,0.000000,,
130,2,1,1,0,,,,,,,1.0000,20
131,2,1,1,0,,,,,,,,
132,2,1,1,0,323,0.006449,0.162523,0.799925,0.0000,0.000000,,
133,2,1,1,0,,,,,,,,
134,2,1,1,0,,,,,,,,
135,2,2,0,0,301,0.014468,0.123246,0.773560,0.0037,0.000000,,
136,2,1,1,0,,,,,,,,
137,2,0,2,0,,,,,,,,
138,2,0,2,0,325,-0.003358,0.075110,0.646058,0.0000,0.000000,,
139,2,0,2,0,,,,,,,,
140,2,2,0,0,,,,,,,1.0000,20
141,2,0,2,0,536,-0.070955,0.065424,0.762369,0.0188,0.000000,,
142,2,1,1,0,,,,,,,,
143,2,2,0,0,,,,,,,,
144,2,1,1,0,338,-0.052586,0.070503,0.708304,0.0000,0.000000,,
145,2,0,2,0,,,,,,,,
146,2,1,1,0,,,,,,,,
147,2,1,1,0,416,-0.003585,0.098400,0.715235,0.0010,0.000000,,
148,2,0,2,0,,,,,,,,
149,2,1,1,0,,,,,,,,
150,2,1,1,0,311,-0.042616,0.086653,0.664736,0.0007,0.000000,0.8500,20
151,2,0,2,0,,,,,,,,
152,2,2,0,0,,,,,,,,
153,2,1,1,0,339,-0.024445,0.075525,0.732735,0.0020,0.000000,,
154,2,0,2,0,,,,,,,,
155,2,0,2,0,,,,,,,,
156,2,2,0,0,384,0.013290,0.060899,0.697835,0.0026,0.000000,,
157,2,0,2,0,,,,,,,,
158,2,1,1,0,,,,,,,,
