iter,games,wins,losses,draws,decisions,samples,pi_loss,v_loss,entropy,clip_frac,archetype_loss,time_s,eval_win_rate,eval_games
1,16,8,8,0,3088,2797,-0.003293,0.072594,1.543563,0.0000,0.472262,12.15,,
2,16,6,10,0,2799,2243,0.001172,0.077776,1.591090,0.0000,0.004832,12.46,,
3,16,10,6,0,3219,2295,-0.001446,0.074676,1.556686,0.0000,0.002948,13.15,,
4,16,13,3,0,2920,2392,-0.001321,0.085882,1.536991,0.0000,0.001231,12.75,,
5,16,8,8,0,3112,1986,0.000123,0.077462,1.559544,0.0000,0.001432,12.65,,
6,16,8,8,0,3019,2062,0.023318,0.066177,1.570420,0.0014,0.000898,12.65,,
7,16,9,7,0,2908,2214,-0.004234,0.069227,1.525709,0.0232,0.000427,12.83,,
8,16,9,7,0,2828,1981,-0.000758,0.087622,1.506909,0.0030,0.000590,12.13,,
9,16,9,7,0,2648,1691,-0.001572,0.105712,1.496855,0.0052,0.000415,11.02,,
10,16,6,10,0,2794,2105,-0.006586,0.085667,1.492891,0.0164,0.000308,12.91,0.8000,20
11,16,9,7,0,2849,1643,0.006194,0.103861,1.493785,0.0000,0.000307,12.32,,
12,16,8,8,0,2682,1945,-0.000262,0.077731,1.483366,0.0138,0.000347,11.47,,
13,16,11,5,0,2875,1871,-0.005644,0.086195,1.506802,0.0463,0.000387,12.30,,
14,16,5,11,0,2814,1867,0.002373,0.101166,1.470034,0.0086,0.000317,11.66,,
15,16,9,7,0,2375,2017,-0.001974,0.084243,1.467411,0.0005,0.000211,11.59,,
16,16,8,8,0,2070,1497,-0.001203,0.093084,1.422705,0.0037,0.000080,8.42,,
17,16,8,8,0,1975,1295,-0.001735,0.097858,1.426743,0.0124,0.000190,8.93,,
18,16,11,5,0,2545,1963,-0.005195,0.093344,1.456166,0.0162,0.000166,11.54,,
19,16,10,6,0,2095,1424,-0.001618,0.092434,1.448721,0.0083,0.000088,9.12,,
20,16,9,7,0,2099,1343,0.005765,0.099523,1.440912,0.0042,0.000086,9.18,0.9500,20
21,16,10,6,0,2379,1676,-0.010702,0.096433,1.391371,0.0180,0.000092,10.78,,
22,16,10,6,0,2359,1740,-0.001389,0.079091,1.373696,0.0119,0.000056,11.35,,
23,16,6,10,0,1933,1435,-0.002687,0.132400,1.351373,0.0033,0.000132,8.40,,
24,16,9,7,0,1406,999,-0.002728,0.124772,1.340245,0.0014,0.000011,6.03,,
25,16,9,7,0,1770,1274,-0.001729,0.125961,1.300219,0.0032,0.000074,6.95,,
26,16,7,9,0,2183,1363,-0.002889,0.103444,1.239516,0.0180,0.000131,9.11,,
27,16,9,7,0,1762,1490,-0.005340,0.110729,1.281693,0.0147,0.000019,7.74,,
28,16,13,3,0,1936,1169,-0.006423,0.112659,1.192620,0.0134,0.000021,7.77,,
29,16,11,5,0,1921,1157,-0.009308,0.122866,1.148887,0.0054,0.000032,7.74,,
30,16,8,8,0,1690,1205,0.000277,0.141774,1.088443,0.0086,0.000018,7.37,0.8500,20
31,16,10,6,0,1848,1092,0.007272,0.118706,1.123389,0.0113,0.000029,7.28,,
32,16,8,8,0,2052,1406,-0.005447,0.125831,1.128189,0.0022,0.000084,9.04,,
33,16,7,9,0,2077,1138,-0.011747,0.082642,1.112951,0.0435,0.000052,8.63,,
34,16,11,5,0,1832,1209,-0.004761,0.096052,1.081596,0.0136,0.000020,7.57,,
35,16,11,5,0,1658,1190,-0.003717,0.112043,1.044689,0.0278,0.000026,7.20,,
36,16,8,8,0,1663,1284,0.057036,0.120392,0.983663,0.0306,0.000059,7.09,,
37,16,10,6,0,1649,978,-0.005639,0.161289,0.959636,0.0269,0.000057,6.84,,
38,16,5,11,0,1933,1325,0.011776,0.139010,1.019969,0.0086,0.000067,8.45,,
39,16,8,8,0,1607,1224,-0.003980,0.128960,1.026831,0.0032,0.000004,6.85,,
40,16,9,7,0,1692,1164,0.001541,0.100320,0.996751,0.0356,0.000018,7.30,0.8500,20
41,16,9,7,0,1981,1328,-0.018323,0.136116,0.906724,0.0294,0.000015,8.61,,
42,16,12,4,0,1619,1233,-0.002358,0.113590,0.931737,0.0051,0.000010,6.91,,
43,16,6,10,0,1770,1246,-0.002157,0.132233,1.011451,0.0057,0.000002,7.12,,
44,16,11,5,0,1737,1208,-0.007554,0.142863,0.969372,0.0261,0.000001,7.81,,
45,16,9,7,0,1554,1119,-0.006571,0.136639,0.924019,0.0235,0.000001,6.81,,
46,16,9,7,0,1577,1110,0.003739,0.141598,0.889224,0.0122,0.000003,6.86,,
47,16,10,6,0,1374,860,-0.013735,0.093665,0.862090,0.0249,0.000000,5.32,,
48,16,11,5,0,1612,1191,-0.003680,0.148528,0.808012,0.0126,0.000000,7.16,,
49,16,4,12,0,1680,1237,-0.003696,0.154384,0.844710,0.0187,0.000001,6.95,,
50,16,10,6,0,1170,861,-0.012718,0.164319,0.822341,0.0144,0.000000,5.27,0.9000,20
51,16,6,10,0,1637,1016,-0.002605,0.133947,0.865434,0.0020,0.000000,6.24,,
52,16,8,8,0,1605,1138,-0.003054,0.132719,0.780109,0.0278,0.000001,6.82,,
53,16,7,9,0,1592,1028,-0.045114,0.113945,0.870372,0.0086,0.000000,6.76,,
54,16,12,4,0,1327,827,0.018331,0.152276,0.763960,0.0251,0.000001,5.33,,
55,16,9,7,0,1797,1309,0.028382,0.144390,0.776834,0.0220,0.000002,7.52,,
56,16,8,8,0,1381,828,0.008078,0.128101,0.760604,0.0084,0.000000,5.39,,
57,16,8,8,0,1750,1348,0.003647,0.124755,0.748551,0.0148,0.000001,7.63,,
58,16,6,10,0,1391,770,-0.049099,0.153779,0.765347,0.0013,0.000000,5.47,,
59,16,8,8,0,1523,1213,-0.002785,0.106743,0.754184,0.0101,0.000000,6.59,,
60,16,8,8,0,1809,1188,-0.005484,0.158273,0.790010,0.0037,0.000001,7.29,1.0000,20
61,16,8,8,0,1349,974,-0.002999,0.141047,0.801859,0.0069,0.000001,5.94,,
62,16,7,9,0,1625,1264,-0.003204,0.141167,0.743893,0.0189,0.000002,6.79,,
63,16,8,8,0,1661,1090,0.008398,0.100962,0.774277,0.0093,0.000001,7.23,,
64,16,9,7,0,1471,1193,-0.001313,0.127929,0.780171,0.0074,0.000000,6.35,,
65,16,9,7,0,1796,1149,-0.010534,0.149261,0.811954,0.0189,0.000000,7.21,,
66,16,4,12,0,1301,761,-0.001847,0.131100,0.756485,0.0026,0.000000,5.09,,
67,16,8,8,0,1504,1113,0.010486,0.158559,0.720759,0.0115,0.000001,6.40,,
68,16,10,6,0,1549,988,-0.003625,0.130584,0.742765,0.0049,0.000001,6.20,,
69,16,9,7,0,1462,927,-0.007640,0.132802,0.750728,0.0395,0.000000,5.75,,
70,16,7,9,0,1773,1238,-0.004170,0.135512,0.752099,0.0149,0.000000,7.32,0.9500,20
71,16,11,5,0,1445,984,0.000690,0.141045,0.745243,0.0028,0.000000,6.18,,
72,16,5,11,0,1318,939,-0.004443,0.174068,0.702441,0.0059,0.000001,5.29,,
73,16,9,7,0,1541,1030,-0.031356,0.120251,0.741958,0.0278,0.000001,6.65,,
74,16,9,7,0,1541,1240,-0.002418,0.102829,0.754596,0.0203,0.000000,6.73,,
75,16,13,3,0,1450,1091,-0.017789,0.118541,0.782077,0.0126,0.000000,6.36,,
76,16,5,11,0,1530,1115,0.001057,0.126768,0.846769,0.0099,0.000000,6.50,,
77,16,9,7,0,1711,1225,-0.003982,0.134174,0.800612,0.0081,0.000000,6.88,,
78,16,8,8,0,1649,1252,-0.001411,0.133926,0.798544,0.0091,0.000000,7.39,,
