iter,games,wins,losses,draws,samples,pi_loss,v_loss,entropy,clip_frac,archetype_loss,eval_win_rate,eval_games
1,2,0,2,0,,,,,,,,
2,2,1,1,0,,,,,,,,
3,2,1,1,0,466,-0.008080,0.082631,0.960199,0.0121,0.000008,,
4,2,1,1,0,,,,,,,,
5,2,1,1,0,,,,,,,,
6,2,1,1,0,331,0.022696,0.133570,0.905774,0.0089,0.000011,,
7,2,1,1,0,,,,,,,,
8,2,0,2,0,,,,,,,,
9,2,1,1,0,359,0.016000,0.116219,0.805696,0.0032,0.000006,,
10,2,2,0,0,,,,,,,0.7000,20
11,2,0,2,0,,,,,,,,
12,2,0,2,0,453,-0.003157,0.127558,0.899358,0.0000,0.000001,,
13,2,2,0,0,,,,,,,,
14,2,1,1,0,,,,,,,,
15,2,1,1,0,363,-0.001693,0.126510,0.866043,0.0016,0.000000,,
16,2,1,1,0,,,,,,,,
17,2,0,2,0,,,,,,,,
18,2,1,1,0,385,0.009482,0.080709,0.850120,0.0013,0.000001,,
19,2,0,2,0,,,,,,,,
20,2,0,2,0,,,,,,,0.9000,20
21,2,1,1,0,396,0.006796,0.099167,0.851749,0.0012,0.000003,,
22,2,0,2,0,,,,,,,,
23,2,1,1,0,,,,,,,,
24,2,0,2,0,439,-0.009213,0.092582,0.963546,0.0034,0.000007,,
25,2,1,1,0,,,,,,,,
26,2,0,2,0,,,,,,,,
27,2,1,1,0,381,0.002311,0.103906,0.931002,0.0100,0.000006,,
28,2,1,1,0,,,,,,,,
29,2,1,1,0,,,,,,,,
30,2,1,1,0,498,-0.001439,0.081866,0.905857,0.0000,0.000007,0.8000,20
31,2,0,2,0,,,,,,,,
32,2,0,2,0,,,,,,,,
33,2,0,2,0,394,-0.006469,0.047497,0.972206,0.0000,0.000001,,
34,2,0,2,0,,,,,,,,
35,2,1,1,0,,,,,,,,
36,2,0,2,0,389,-0.006430,0.082769,0.915673,0.0000,0.000001,,
37,2,1,1,0,,,,,,,,
38,2,1,1,0,,,,,,,,
39,2,1,1,0,442,0.001884,0.103317,0.936533,0.0009,0.000001,,
40,2,1,1,0,,,,,,,1.0000,20
41,2,1,1,0,,,,,,,,
42,2,1,1,0,386,0.000641,0.114695,1.012880,0.0013,0.000000,,
43,2,0,2,0,,,,,,,,
44,2,2,0,0,,,,,,,,
45,2,1,1,0,410,-0.006748,0.088485,0.889525,0.0007,0.000000,,
46,2,1,1,0,,,,,,,,
47,2,0,2,0,,,,,,,,
48,2,1,1,0,365,0.013053,0.153258,0.898953,0.0000,0.000000,,
49,2,0,2,0,,,,,,,,
50,2,0,2,0,,,,,,,0.8000,20
51,2,1,1,0,476,-0.003610,0.087068,0.935552,0.0000,0.000001,,
52,2,1,1,0,,,,,,,,
53,2,1,1,0,,,,,,,,
54,2,0,2,0,438,0.009119,0.097845,0.942961,0.0009,0.000001,,
55,2,1,1,0,,,,,,,,
56,2,0,2,0,,,,,,,,
57,2,1,1,0,394,-0.016102,0.097631,0.915862,0.0012,0.000002,,
58,2,1,1,0,,,,,,,,
59,2,2,0,0,,,,,,,,
60,2,2,0,0,424,0.000056,0.179866,0.941703,0.0010,0.000003,0.7500,20
61,2,1,1,0,,,,,,,,
62,2,0,2,0,,,,,,,,
63,2,0,2,0,307,-0.006895,0.119249,0.905226,0.0007,0.000002,,
64,2,0,2,0,,,,,,,,
65,2,1,1,0,,,,,,,,
66,2,0,2,0,414,0.011172,0.088745,0.965729,0.0000,0.000001,,
67,2,1,1,0,,,,,,,,
68,2,1,1,0,,,,,,,,
69,2,1,1,0,381,0.005442,0.123942,0.915505,0.0000,0.000000,,
70,2,1,1,0,,,,,,,0.9000,20
71,2,1,1,0,,,,,,,,
72,2,0,2,0,418,0.006395,0.081257,0.884804,0.0031,0.000002,,
73,2,1,1,0,,,,,,,,
74,2,1,1,0,,,,,,,,
75,2,0,2,0,427,-0.002813,0.063677,0.922682,0.0019,0.000000,,
76,2,1,1,0,,,,,,,,
77,2,0,2,0,,,,,,,,
78,2,2,0,0,409,0.002470,0.078222,1.001361,0.0000,0.000001,,
79,2,0,2,0,,,,,,,,
80,2,2,0,0,,,,,,,0.9500,20
81,2,1,1,0,337,0.032731,0.136747,0.973864,0.0048,0.000001,,
82,2,1,1,0,,,,,,,,
83,2,1,1,0,,,,,,,,
84,2,1,1,0,357,0.012384,0.101824,0.834945,0.0007,0.000000,,
85,2,1,1,0,,,,,,,,
86,2,0,2,0,,,,,,,,
87,2,2,0,0,317,-0.001344,0.137083,0.922758,0.0034,0.000000,,
88,2,1,1,0,,,,,,,,
89,2,1,1,0,,,,,,,,
90,2,2,0,0,310,0.000063,0.147986,0.804282,0.0013,0.000001,0.9000,20
91,2,1,1,0,,,,,,,,
92,2,2,0,0,,,,,,,,
93,2,2,0,0,360,-0.013419,0.210331,0.797271,0.0000,0.000000,,
94,2,0,2,0,,,,,,,,
95,2,0,2,0,,,,,,,,
96,2,1,1,0,369,0.009125,0.111924,0.926341,0.0007,0.000000,,
97,2,1,1,0,,,,,,,,
98,2,1,1,0,,,,,,,,
99,2,1,1,0,328,-0.010706,0.116080,0.881652,0.0000,0.000000,,
100,2,1,1,0,,,,,,,0.9500,20
101,2,1,1,0,,,,,,,,
102,2,1,1,0,406,-0.016495,0.112407,0.832683,0.0029,0.000000,,
103,2,1,1,0,,,,,,,,
104,2,1,1,0,,,,,,,,
105,2,0,2,0,502,-0.002294,0.098925,0.894681,0.0047,0.000000,,
106,2,0,2,0,,,,,,,,
107,2,1,1,0,,,,,,,,
108,2,2,0,0,400,0.005328,0.125176,0.917090,0.0012,0.000000,,
109,2,1,1,0,,,,,,,,
110,2,2,0,0,,,,,,,0.8500,20
111,2,1,1,0,436,-0.006945,0.127465,0.890910,0.0028,0.000000,,
112,2,0,2,0,,,,,,,,
113,2,1,1,0,,,,,,,,
114,2,1,1,0,417,0.002134,0.082414,0.801513,0.0021,0.000002,,
115,2,1,1,0,,,,,,,,
116,2,0,2,0,,,,,,,,
117,2,0,2,0,353,-0.002223,0.088545,0.859912,0.0013,0.000000,,
118,2,1,1,0,,,,,,,,
119,2,1,1,0,,,,,,,,
120,2,1,1,0,434,-0.006541,0.084040,0.854078,0.0016,0.000000,0.9500,20
121,2,0,2,0,,,,,,,,
122,2,0,2,0,,,,,,,,
123,2,2,0,0,467,-0.003621,0.097532,0.741051,0.0047,0.000000,,
124,2,1,1,0,,,,,,,,
125,2,0,2,0,,,,,,,,
126,2,2,0,0,340,-0.039608,0.122627,0.852669,0.0040,0.000000,,
127,2,2,0,0,,,,,,,,
128,2,2,0,0,,,,,,,,
129,2,1,1,0,344,-0.009657,0.107617,0.728207,0.0000,0.000000,,
130,2,2,0,0,,,,,,,0.8500,20
131,2,1,1,0,,,,,,,,
132,2,1,1,0,419,-0.012859,0.059337,0.791518,0.0010,0.000000,,
133,2,0,2,0,,,,,,,,
134,2,1,1,0,,,,,,,,
135,2,1,1,0,432,-0.000272,0.069118,0.852857,0.0009,0.000000,,
136,2,1,1,0,,,,,,,,
137,2,1,1,0,,,,,,,,
138,2,1,1,0,460,0.000471,0.155903,0.828360,0.0000,0.000000,,
139,2,2,0,0,,,,,,,,
140,2,1,1,0,,,,,,,0.9000,20
141,2,1,1,0,364,0.007425,0.137853,0.734272,0.0000,0.000000,,
142,2,0,2,0,,,,,,,,
143,2,1,1,0,,,,,,,,
144,2,0,2,0,412,-0.006165,0.067244,0.776350,0.0000,0.000000,,
145,2,1,1,0,,,,,,,,
146,2,1,1,0,,,,,,,,
147,2,0,2,0,422,0.000557,0.114177,0.769877,0.0010,0.000000,,
148,2,0,2,0,,,,,,,,
149,2,1,1,0,,,,,,,,
150,2,1,1,0,375,-0.005568,0.088361,0.771468,0.0013,0.000000,0.9000,20
151,2,1,1,0,,,,,,,,
152,2,0,2,0,,,,,,,,
153,2,1,1,0,430,-0.002041,0.093795,0.747214,0.0010,0.000000,,
154,2,0,2,0,,,,,,,,
155,2,1,1,0,,,,,,,,
156,2,1,1,0,472,-0.001015,0.072736,0.804617,0.0000,0.000000,,
157,2,1,1,0,,,,,,,,
158,2,1,1,0,,,,,,,,
