iter,games,wins,losses,draws,decisions,samples,pi_loss,v_loss,entropy,clip_frac,archetype_loss,time_s,eval_win_rate,eval_games
1,16,10,6,0,3210,2896,-0.003981,0.070858,1.611572,0.0000,0.414348,12.51,,
2,16,9,7,0,2879,2283,-0.000620,0.079135,1.663927,0.0000,0.005025,12.39,,
3,16,9,7,0,3068,2172,-0.000499,0.079078,1.617306,0.0000,0.001286,12.60,,
4,16,10,6,0,2995,2443,-0.001492,0.068934,1.629840,0.0000,0.001164,12.88,,
5,16,8,8,0,3300,2099,0.003987,0.068695,1.581106,0.0000,0.000790,13.19,,
6,16,8,8,0,3217,2164,-0.000186,0.059655,1.607028,0.0000,0.000629,13.02,,
7,16,8,8,0,3312,2518,-0.002061,0.057684,1.554795,0.0000,0.000243,13.87,,
8,16,7,9,0,3287,2470,-0.002381,0.069081,1.596933,0.0000,0.000291,14.31,,
9,16,9,7,0,3151,2081,0.014395,0.074006,1.601592,0.0139,0.000272,13.31,,
10,16,7,9,0,2831,2242,-0.001046,0.094342,1.639665,0.0075,0.000211,12.27,0.6500,20
11,16,12,4,0,3120,1882,-0.000854,0.050031,1.652626,0.0035,0.000163,12.66,,
12,16,11,5,0,3445,2519,-0.003861,0.048107,1.609527,0.0372,0.000109,15.26,,
13,16,9,7,0,3189,2262,-0.002589,0.059753,1.601208,0.0202,0.000096,14.37,,
14,16,12,4,0,2906,1923,-0.004743,0.054782,1.593248,0.0373,0.000057,11.77,,
15,16,11,5,0,3286,2776,-0.005182,0.060065,1.596443,0.0701,0.000156,14.94,,
16,16,7,9,0,3274,2579,0.008170,0.044928,1.546119,0.0184,0.000109,15.52,,
17,16,5,11,0,3308,2308,0.009043,0.062280,1.526868,0.0397,0.000123,13.71,,
18,16,11,4,1,3129,2483,-0.002097,0.052522,1.568342,0.0061,0.000109,13.78,,
19,16,9,7,0,2590,1840,-0.010224,0.072573,1.615693,0.0195,0.000046,10.83,,
20,16,8,8,0,2655,1737,-0.000109,0.088244,1.537015,0.0038,0.000047,10.70,0.3500,20
21,16,8,8,0,2918,2028,-0.002548,0.074664,1.576411,0.0046,0.000064,12.69,,
22,16,8,7,1,2685,2126,-0.003644,0.073275,1.578504,0.0633,0.000040,12.49,,
23,16,8,8,0,2861,2081,-0.009591,0.055365,1.529742,0.0184,0.000063,12.19,,
24,16,8,8,0,2567,1597,-0.007138,0.081701,1.546294,0.0546,0.000091,10.96,,
25,16,6,10,0,2613,2010,-0.002610,0.079107,1.559054,0.0055,0.000052,11.35,,
26,16,10,6,0,2170,1523,-0.003056,0.065239,1.568324,0.0038,0.000010,8.97,,
27,16,6,10,0,2274,1909,-0.007508,0.089371,1.522011,0.0437,0.000013,10.40,,
28,16,8,8,0,2573,1702,-0.002625,0.081547,1.460332,0.0106,0.000048,10.65,,
29,16,10,6,0,2159,1462,-0.006180,0.103695,1.460327,0.0112,0.000038,9.26,,
30,16,8,8,0,2491,1893,-0.005192,0.079073,1.413866,0.0658,0.000023,10.67,0.5500,20
31,16,9,7,0,1962,1258,-0.003321,0.092342,1.444648,0.0184,0.000028,7.59,,
32,16,10,6,0,1862,1478,-0.002255,0.092266,1.418670,0.0409,0.000020,8.14,,
33,16,11,5,0,1664,1056,0.038120,0.126645,1.374759,0.0115,0.000007,6.83,,
34,16,11,5,0,1932,1275,-0.003100,0.111217,1.351744,0.0021,0.000008,7.74,,
35,16,10,6,0,1783,1324,0.003663,0.134399,1.370266,0.0103,0.000029,8.03,,
36,16,8,8,0,1909,1568,0.005611,0.095488,1.364644,0.0234,0.000054,8.91,,
37,16,11,5,0,2095,1355,0.004273,0.060784,1.373316,0.0289,0.000058,9.09,,
38,16,9,7,0,1949,1462,-0.002840,0.113208,1.376467,0.0265,0.000015,8.49,,
39,16,8,8,0,2053,1631,0.002833,0.112535,1.278835,0.0630,0.000014,9.18,,
40,16,7,9,0,2168,1667,-0.013344,0.090193,1.282230,0.0468,0.000034,9.17,0.8000,20
41,16,6,10,0,2307,1623,-0.005946,0.104773,1.223128,0.0337,0.000021,10.46,,
42,16,11,5,0,2051,1701,-0.005426,0.107014,1.241133,0.0365,0.000037,8.90,,
43,16,9,7,0,1845,1321,-0.021670,0.103622,1.243416,0.0053,0.000018,7.77,,
44,16,10,6,0,2208,1452,-0.004044,0.092398,1.151253,0.0405,0.000007,8.99,,
45,16,8,8,0,1741,1340,0.000746,0.144357,1.169780,0.0325,0.000030,7.96,,
46,16,7,9,0,2235,1627,0.004475,0.099841,1.165785,0.0477,0.000014,9.84,,
47,16,6,10,0,2167,1371,-0.004342,0.090737,1.205689,0.0571,0.000014,8.95,,
48,16,7,9,0,2467,1895,0.002046,0.091383,1.156569,0.0441,0.000013,11.16,,
49,16,10,6,0,2335,1698,-0.003761,0.102406,1.226500,0.0142,0.000037,10.56,,
50,16,10,6,0,2044,1531,-0.003576,0.119317,1.178333,0.0103,0.000009,8.50,0.9000,20
51,16,7,9,0,2206,1415,-0.007877,0.087094,1.209010,0.0184,0.000070,9.23,,
52,16,11,5,0,2453,1884,-0.005483,0.075169,1.260767,0.0285,0.000044,10.50,,
53,16,9,7,0,2471,1661,-0.006229,0.077855,1.246327,0.0161,0.000028,10.94,,
54,16,10,6,0,2490,1631,-0.005867,0.073215,1.174555,0.0389,0.000007,10.21,,
55,16,7,9,0,2158,1555,-0.009996,0.089093,1.199100,0.0230,0.000002,8.99,,
56,16,11,5,0,2269,1381,-0.002873,0.090989,1.162539,0.0290,0.000006,9.56,,
57,16,7,9,0,2300,1711,-0.002614,0.078835,1.120406,0.0318,0.000002,10.12,,
58,16,7,9,0,2563,1511,-0.000746,0.082317,1.088849,0.0065,0.000004,10.77,,
59,16,6,10,0,2197,1762,-0.003835,0.092248,1.094113,0.0323,0.000001,9.81,,
60,16,15,1,0,2281,1610,-0.009256,0.083608,1.090951,0.0290,0.000001,10.24,1.0000,20
61,16,8,8,0,2718,1874,0.006170,0.071835,1.110096,0.0446,0.000001,11.34,,
62,16,7,9,0,2425,1944,-0.007018,0.072806,1.147184,0.0578,0.000004,10.91,,
63,16,5,11,0,2119,1382,-0.009533,0.087392,1.073332,0.0199,0.000002,8.63,,
64,16,9,7,0,2398,1910,0.001653,0.105411,1.070843,0.0328,0.000006,10.62,,
65,16,10,6,0,2270,1370,0.005359,0.086449,1.065125,0.0171,0.000004,9.65,,
66,16,9,7,0,2513,1435,-0.002845,0.108063,1.053067,0.0428,0.000007,11.36,,
67,16,5,11,0,2130,1518,-0.002617,0.121024,1.059731,0.0138,0.000009,9.53,,
68,16,8,8,0,1937,1306,0.004785,0.110833,1.073677,0.0218,0.000009,9.19,,
69,16,9,7,0,2618,1720,-0.006796,0.079147,1.043650,0.0361,0.000013,12.22,,
70,16,10,6,0,2320,1562,-0.011034,0.083501,1.036033,0.0256,0.000004,10.62,0.9000,20
71,16,9,7,0,2543,1764,-0.002233,0.095877,1.052904,0.0217,0.000005,11.16,,
72,16,8,8,0,2145,1642,-0.012046,0.060513,1.042912,0.0472,0.000002,9.44,,
73,16,11,5,0,2221,1458,-0.006686,0.077685,1.043192,0.0384,0.000001,9.64,,
74,16,6,10,0,2443,1964,-0.005509,0.086376,1.026900,0.0506,0.000001,11.76,,
75,16,8,8,0,2033,1504,-0.004454,0.104484,1.042574,0.0142,0.000001,9.91,,
76,16,10,6,0,2441,1753,-0.002958,0.080414,1.044765,0.0128,0.000002,8.99,,
77,16,6,10,0,2249,1676,-0.010135,0.087062,1.008430,0.0383,0.000002,8.48,,
78,16,7,9,0,2329,1761,-0.003043,0.078441,0.983888,0.0268,0.000001,8.45,,
79,16,13,3,0,2254,1527,-0.004824,0.069073,0.935323,0.0409,0.000000,8.23,,
80,16,8,8,0,2270,1556,-0.017530,0.074821,0.938478,0.0385,0.000000,8.45,0.8500,20
81,16,10,6,0,2487,1755,-0.005838,0.094496,0.941874,0.0360,0.000001,9.19,,
82,16,6,10,0,2271,1557,-0.006910,0.092410,0.920197,0.0271,0.000001,8.30,,
83,16,8,8,0,2200,1825,0.002713,0.100764,0.954227,0.0583,0.000008,8.15,,
