iter,games,wins,losses,draws,samples,pi_loss,v_loss,entropy,clip_frac,archetype_loss,eval_win_rate,eval_games
1,2,1,1,0,,,,,,,,
2,2,1,1,0,,,,,,,,
3,2,0,2,0,266,-0.220850,0.167289,0.764695,0.0104,0.000001,,
4,2,1,1,0,,,,,,,,
5,2,2,0,0,,,,,,,,
6,2,1,1,0,363,0.019087,0.110714,0.680412,0.0029,0.000002,,
7,2,2,0,0,,,,,,,,
8,2,0,2,0,,,,,,,,
9,2,1,1,0,324,0.013124,0.096775,0.678273,0.0000,0.000000,,
10,2,1,1,0,,,,,,,1.0000,20
11,2,1,1,0,,,,,,,,
12,2,2,0,0,320,0.022000,0.071374,0.676277,0.0059,0.000001,,
13,2,2,0,0,,,,,,,,
14,2,0,2,0,,,,,,,,
15,2,1,1,0,364,-0.004115,0.091967,0.641150,0.0057,0.000000,,
16,2,0,2,0,,,,,,,,
17,2,1,1,0,,,,,,,,
18,2,1,1,0,278,0.012238,0.218331,0.686471,0.0082,0.000000,,
19,2,0,2,0,,,,,,,,
20,2,1,1,0,,,,,,,1.0000,20
21,2,2,0,0,449,0.001928,0.154188,0.692439,0.0000,0.000002,,
22,2,0,2,0,,,,,,,,
23,2,2,0,0,,,,,,,,
24,2,0,2,0,297,0.041353,0.183703,0.655584,0.0000,0.000000,,
25,2,2,0,0,,,,,,,,
26,2,1,1,0,,,,,,,,
27,2,2,0,0,267,0.066714,0.159890,0.677991,0.0000,0.000000,,
28,2,0,2,0,,,,,,,,
29,2,2,0,0,,,,,,,,
30,2,0,2,0,295,-0.052691,0.141807,0.840868,0.0000,0.000000,1.0000,20
31,2,0,2,0,,,,,,,,
32,2,2,0,0,,,,,,,,
33,2,2,0,0,299,0.019586,0.137869,0.794130,0.0000,0.000000,,
34,2,0,2,0,,,,,,,,
35,2,1,1,0,,,,,,,,
36,2,0,2,0,345,0.050439,0.176860,0.706961,0.0000,0.000000,,
37,2,1,1,0,,,,,,,,
