iter,games,wins,losses,draws,decisions,samples,pi_loss,v_loss,entropy,clip_frac,archetype_loss,time_s,eval_win_rate,eval_games
1,16,7,9,0,3705,3317,-0.000642,0.058593,1.564041,0.0000,0.336267,16.33,,
2,16,8,8,0,3865,2977,-0.000222,0.056574,1.540836,0.0000,0.002001,18.17,,
3,16,10,6,0,3180,2212,0.001089,0.077457,1.576018,0.0000,0.002055,13.52,,
4,16,9,7,0,3877,3189,-0.002940,0.050224,1.532096,0.0000,0.001642,16.79,,
5,16,8,8,0,3568,2274,-0.002096,0.061861,1.586466,0.0001,0.001258,14.80,,
6,16,9,7,0,3627,2436,-0.006710,0.047308,1.545792,0.0520,0.000830,15.25,,
7,16,8,8,0,3743,2876,-0.005167,0.040910,1.568286,0.0030,0.000597,16.50,,
8,16,9,7,0,3532,2718,-0.003263,0.054214,1.581596,0.0000,0.000499,16.71,,
9,16,11,5,0,3959,2702,-0.007923,0.048344,1.491012,0.0044,0.000452,16.61,,
10,16,12,4,0,3898,2998,-0.005133,0.054915,1.573831,0.0411,0.000359,17.66,0.8000,20
11,16,10,6,0,3480,2049,0.067358,0.037199,1.499928,0.0003,0.000230,15.08,,
12,16,10,6,0,3335,2356,-0.007092,0.045442,1.565235,0.0029,0.000165,14.50,,
13,16,12,4,0,3684,2441,-0.007021,0.058676,1.520218,0.0430,0.000228,14.98,,
14,16,10,6,0,3552,2412,-0.003967,0.054901,1.515004,0.0324,0.000212,14.98,,
15,16,6,10,0,3190,2571,0.015790,0.049084,1.439688,0.0183,0.000113,14.39,,
16,16,9,7,0,3676,2603,0.007950,0.049570,1.417523,0.0309,0.000127,14.96,,
17,16,9,7,0,3640,2496,-0.003457,0.050366,1.395050,0.0195,0.000093,15.66,,
18,16,11,5,0,3191,2511,-0.004806,0.071955,1.444233,0.0303,0.000055,13.69,,
19,16,9,7,0,3266,2197,-0.001560,0.061735,1.415899,0.0244,0.000008,14.09,,
20,16,8,8,0,3089,1989,-0.002687,0.072866,1.364380,0.0058,0.000010,12.50,0.9500,20
21,16,10,6,0,2977,2033,-0.002780,0.061673,1.382853,0.0045,0.000017,12.45,,
22,16,8,8,0,2549,1894,-0.001578,0.057811,1.337707,0.0238,0.000007,11.04,,
23,16,8,8,0,2750,1926,-0.011246,0.063443,1.381549,0.0339,0.000050,11.55,,
24,16,8,8,0,2631,1519,-0.002660,0.094688,1.300689,0.0093,0.000045,10.07,,
25,16,9,7,0,3191,2295,-0.004106,0.074234,1.328055,0.0243,0.000035,13.59,,
26,16,6,10,0,2435,1486,-0.002997,0.064110,1.332239,0.0156,0.000025,10.17,,
27,16,6,10,0,2923,2350,-0.005220,0.070637,1.307140,0.0254,0.000013,12.73,,
28,16,8,8,0,2891,1696,-0.002043,0.049511,1.247752,0.0038,0.000008,12.05,,
29,16,6,10,0,3686,2241,-0.000661,0.052850,1.294445,0.0096,0.000007,14.54,,
30,16,10,6,0,2864,2158,-0.005892,0.069083,1.303634,0.0425,0.000002,12.35,1.0000,20
31,16,12,4,0,2480,1543,-0.027544,0.075035,1.290241,0.0399,0.000004,10.85,,
32,16,12,4,0,3034,2072,-0.006253,0.072696,1.277033,0.0333,0.000003,11.85,,
33,16,11,5,0,2571,1484,-0.003511,0.088397,1.261104,0.0067,0.000003,10.53,,
34,16,7,9,0,2581,1672,-0.001744,0.070955,1.273488,0.0014,0.000002,10.39,,
35,16,8,8,0,3048,2161,-0.001799,0.065147,1.288147,0.0264,0.000008,12.51,,
36,16,7,9,0,1919,1508,-0.001422,0.115633,1.193114,0.0094,0.000002,8.06,,
37,16,9,7,0,2355,1284,0.006431,0.077716,1.105632,0.0286,0.000001,8.86,,
38,16,11,5,0,3127,2240,-0.002332,0.072662,1.148494,0.0122,0.000005,12.80,,
39,16,8,8,0,2523,1898,-0.007070,0.058606,1.105914,0.0539,0.000002,9.93,,
40,16,7,9,0,2032,1368,-0.018446,0.072694,1.099061,0.0515,0.000002,8.26,1.0000,20
41,16,9,7,0,2004,1234,-0.002549,0.094281,1.057272,0.0006,0.000000,7.52,,
42,16,8,8,0,2090,1532,-0.003803,0.111420,1.046541,0.0412,0.000001,9.68,,
43,16,7,9,0,2466,1624,-0.014755,0.094753,1.167382,0.0417,0.000001,10.33,,
44,16,8,8,0,1843,1153,-0.003091,0.116393,1.097097,0.0078,0.000001,7.09,,
45,16,10,6,0,1935,1385,-0.001976,0.119728,1.115429,0.0404,0.000000,8.04,,
46,16,10,6,0,2265,1661,-0.006323,0.103335,1.072921,0.0331,0.000001,9.85,,
47,16,11,5,0,2266,1478,-0.002189,0.076227,1.035063,0.0066,0.000000,9.48,,
48,16,5,11,0,2096,1585,0.002324,0.071491,1.005999,0.0224,0.000002,9.60,,
49,16,12,4,0,2193,1608,-0.015311,0.082566,1.034794,0.0150,0.000000,10.08,,
50,16,12,4,0,2144,1514,-0.001302,0.134516,1.022118,0.0015,0.000000,9.12,1.0000,20
51,16,11,5,0,2124,1192,-0.004015,0.100288,1.010659,0.0130,0.000001,8.32,,
52,16,10,6,0,2064,1499,-0.000607,0.088012,0.956844,0.0164,0.000000,8.59,,
53,16,12,4,0,2025,1262,-0.003344,0.097376,0.959088,0.0184,0.000001,8.49,,
54,16,7,9,0,1907,1293,0.014230,0.120438,1.004198,0.0410,0.000000,8.58,,
55,16,9,7,0,1820,1347,-0.016824,0.108702,0.913754,0.0340,0.000000,8.03,,
56,16,9,7,0,1711,1096,-0.006208,0.132132,0.993537,0.0171,0.000000,7.30,,
57,16,4,12,0,1747,1365,0.000275,0.092216,0.921876,0.0415,0.000000,7.41,,
58,16,9,7,0,1849,1182,-0.002533,0.113826,0.977564,0.0257,0.000000,7.77,,
59,16,12,4,0,1939,1583,-0.004851,0.114765,0.929311,0.0285,0.000004,8.77,,
60,16,5,11,0,1982,1448,-0.005771,0.097140,0.933599,0.0688,0.000001,8.36,0.9500,20
61,16,7,9,0,2075,1468,-0.001795,0.087426,0.915042,0.0266,0.000001,9.06,,
62,16,7,9,0,1852,1478,-0.002156,0.105167,0.898903,0.0107,0.000001,8.01,,
63,16,7,9,0,1980,1380,0.002872,0.102533,0.865070,0.0409,0.000000,8.45,,
64,16,12,4,0,1728,1301,0.019080,0.092700,0.890697,0.0710,0.000001,7.59,,
65,16,7,9,0,1949,1311,0.003124,0.120723,0.910484,0.0298,0.000001,8.36,,
66,16,9,7,0,1849,1168,0.002690,0.096163,0.869741,0.0180,0.000001,7.39,,
67,16,8,8,0,1986,1515,-0.002077,0.125469,0.922421,0.0245,0.000001,8.55,,
68,16,8,8,0,1958,1368,0.006176,0.079172,0.935753,0.0556,0.000006,8.77,,
69,16,5,11,0,2088,1366,-0.006103,0.071411,0.906936,0.0208,0.000003,9.29,,
70,16,6,10,0,1679,1152,-0.012997,0.115201,0.823727,0.0138,0.000000,6.94,1.0000,20
71,16,7,9,0,1907,1330,-0.010775,0.104577,0.820543,0.0597,0.000002,7.98,,
72,16,11,5,0,1987,1455,-0.003253,0.103971,0.837913,0.0204,0.000014,7.77,,
73,16,11,5,0,2074,1273,-0.004108,0.117498,0.776184,0.0155,0.000004,6.97,,
74,16,8,8,0,2170,1767,-0.001618,0.086735,0.801825,0.0295,0.000009,7.84,,
75,16,9,7,0,1721,1306,-0.013894,0.113431,0.762972,0.0302,0.000002,6.20,,
76,16,10,6,0,1759,1267,-0.003324,0.112113,0.835741,0.0085,0.000003,6.15,,
77,16,5,11,0,2374,1817,0.015549,0.126713,0.875605,0.0211,0.000007,9.95,,
78,16,8,8,0,1857,1480,-0.001031,0.114430,0.892205,0.0433,0.000022,6.71,,
79,16,11,5,0,1900,1366,0.009762,0.077978,0.834409,0.0475,0.000002,6.57,,
80,16,8,8,0,2053,1435,-0.003911,0.113017,0.834174,0.0316,0.000010,7.33,0.9000,20
81,16,4,12,0,1687,1252,-0.002499,0.095673,0.783621,0.0104,0.000005,5.90,,
82,16,8,8,0,2180,1620,-0.003687,0.089045,0.790248,0.0095,0.000003,7.96,,
83,16,11,5,0,1951,1728,-0.004415,0.084392,0.802014,0.0428,0.000002,7.47,,
84,16,11,5,0,1872,1534,-0.004566,0.098808,0.779274,0.0280,0.000003,6.72,,
85,16,11,5,0,2335,1589,0.006836,0.122101,0.767447,0.0268,0.000002,8.08,,
86,16,8,8,0,2017,1418,-0.000089,0.103220,0.816941,0.0431,0.000003,7.30,,
