iter,games,wins,losses,draws,samples,pi_loss,v_loss,entropy,clip_frac,archetype_loss,eval_win_rate,eval_games
1,2,1,1,0,,,,,,,,
2,2,0,2,0,,,,,,,,
3,2,2,0,0,385,0.000050,0.087394,0.693903,0.0065,0.000007,,
4,2,1,1,0,,,,,,,,
5,2,2,0,0,,,,,,,,
6,2,0,2,0,416,0.005882,0.138230,0.709069,0.0092,0.000011,,
7,2,1,1,0,,,,,,,,
8,2,1,1,0,,,,,,,,
9,2,2,0,0,308,-0.014695,0.081806,0.697307,0.0020,0.000001,,
10,2,1,1,0,,,,,,,1.0000,20
11,2,2,0,0,,,,,,,,
12,2,2,0,0,297,0.028889,0.065953,0.720556,0.0000,0.000000,,
13,2,2,0,0,,,,,,,,
14,2,1,1,0,,,,,,,,
15,2,2,0,0,255,-0.000573,0.087352,0.675193,0.0000,0.000000,,
16,2,2,0,0,,,,,,,,
17,2,2,0,0,,,,,,,,
18,2,1,1,0,325,0.023362,0.087416,0.636918,0.0000,0.000000,,
19,2,2,0,0,,,,,,,,
20,2,2,0,0,,,,,,,1.0000,20
21,2,1,1,0,354,0.015951,0.084167,0.687507,0.0000,0.000000,,
22,2,2,0,0,,,,,,,,
23,2,1,1,0,,,,,,,,
24,2,2,0,0,275,-0.014550,0.076825,0.605364,0.0000,0.000000,,
25,2,2,0,0,,,,,,,,
26,2,2,0,0,,,,,,,,
27,2,2,0,0,231,-0.001214,0.019502,0.592456,0.0000,0.000000,,
28,2,2,0,0,,,,,,,,
29,2,2,0,0,,,,,,,,
30,2,2,0,0,272,0.054972,0.039157,0.671317,0.0026,0.000000,0.8500,20
31,2,2,0,0,,,,,,,,
32,2,1,1,0,,,,,,,,
33,2,1,1,0,356,-0.028077,0.098338,0.660942,0.0000,0.000001,,
34,2,2,0,0,,,,,,,,
35,2,2,0,0,,,,,,,,
36,2,1,1,0,252,-0.000977,0.081841,0.606796,0.0000,0.000000,,
37,2,2,0,0,,,,,,,,
38,2,1,1,0,,,,,,,,
39,2,0,2,0,353,0.007215,0.112744,0.702249,0.0000,0.000000,,
40,2,2,0,0,,,,,,,1.0000,20
41,2,2,0,0,,,,,,,,
42,2,2,0,0,284,0.022154,0.066845,0.678933,0.0000,0.000000,,
43,2,2,0,0,,,,,,,,
44,2,1,1,0,,,,,,,,
45,2,2,0,0,213,-0.001870,0.072093,0.583448,0.0000,0.000000,,
46,2,2,0,0,,,,,,,,
47,2,2,0,0,,,,,,,,
48,2,2,0,0,301,0.009088,0.123790,0.609794,0.0063,0.000000,,
49,2,2,0,0,,,,,,,,
50,2,2,0,0,,,,,,,1.0000,20
51,2,2,0,0,297,0.004855,0.018570,0.557884,0.0148,0.000000,,
52,2,2,0,0,,,,,,,,
53,2,2,0,0,,,,,,,,
54,2,2,0,0,329,-0.013939,0.041715,0.571740,0.0033,0.000000,,
55,2,2,0,0,,,,,,,,
56,2,2,0,0,,,,,,,,
57,2,1,1,0,235,-0.001046,0.075150,0.545717,0.0000,0.000000,,
58,2,2,0,0,,,,,,,,
59,2,1,1,0,,,,,,,,
60,2,2,0,0,239,-0.001485,0.068203,0.508229,0.0000,0.000001,0.9500,20
61,2,2,0,0,,,,,,,,
62,2,2,0,0,,,,,,,,
63,2,2,0,0,302,0.038194,0.013225,0.512314,0.0036,0.000000,,
64,2,2,0,0,,,,,,,,
