iter,games,wins,losses,draws,decisions,samples,pi_loss,v_loss,entropy,clip_frac,archetype_loss,time_s,eval_win_rate,eval_games
1,16,5,11,0,2680,2432,-0.004940,0.088657,1.599269,0.0000,0.436014,11.14,,
2,16,9,7,0,2649,2138,0.000333,0.070173,1.614904,0.0000,0.006209,11.67,,
3,16,8,8,0,2752,2014,-0.003065,0.077699,1.612737,0.0000,0.002601,11.64,,
4,16,11,5,0,2648,2212,-0.000982,0.088565,1.617040,0.0009,0.001780,12.14,,
5,16,12,4,0,2642,1700,-0.006451,0.096628,1.625993,0.0040,0.001415,11.93,,
6,16,8,8,0,2664,1846,0.011079,0.087836,1.559700,0.0202,0.001026,11.33,,
7,16,7,9,0,2644,2068,0.004444,0.084814,1.504194,0.0868,0.000796,11.56,,
8,16,9,7,0,2365,1752,-0.002347,0.089969,1.508918,0.0121,0.000573,10.54,,
9,16,10,6,0,2446,1687,0.000607,0.079354,1.502666,0.0097,0.000458,10.53,,
10,16,11,5,0,2272,1743,-0.003356,0.119651,1.487002,0.0002,0.000308,10.45,0.9000,20
11,16,9,7,0,2877,1792,-0.000878,0.054964,1.505575,0.0017,0.000407,11.75,,
12,16,10,6,0,2624,1904,0.000407,0.086052,1.507614,0.0002,0.000211,12.19,,
13,16,9,7,0,1937,1293,0.044091,0.113411,1.412695,0.0199,0.000151,8.54,,
14,16,5,11,0,2237,1652,-0.005969,0.096085,1.412666,0.0004,0.000107,10.23,,
15,16,6,10,0,2030,1700,-0.006327,0.120907,1.414263,0.0269,0.000089,9.31,,
16,16,9,7,0,1958,1401,-0.012721,0.103901,1.451012,0.0317,0.000059,9.06,,
17,16,6,10,0,1622,1182,-0.001895,0.125386,1.375116,0.0082,0.000049,6.91,,
18,16,5,10,1,1459,1184,-0.001516,0.182820,1.345409,0.0085,0.000080,6.09,,
19,16,12,4,0,1392,1043,-0.007143,0.202667,1.312883,0.0008,0.000048,6.46,,
20,16,9,7,0,2085,1316,-0.017934,0.105166,1.334209,0.0257,0.000051,9.16,0.9000,20
21,16,11,5,0,1551,1059,-0.009352,0.146057,1.261803,0.0227,0.000032,7.09,,
22,16,9,7,0,1018,855,-0.004163,0.178272,1.227340,0.0130,0.000040,4.33,,
23,16,9,6,1,1451,1081,-0.007248,0.135325,1.177988,0.0501,0.000030,6.80,,
24,16,9,7,0,1068,683,-0.003697,0.186860,1.179897,0.0017,0.000015,4.22,,
25,16,10,5,1,1378,1140,-0.002012,0.148196,1.146755,0.0099,0.000013,7.42,,
26,16,7,8,1,1072,636,-0.015590,0.231094,1.147937,0.0027,0.000038,4.30,,
27,16,9,6,1,1213,1033,-0.071354,0.166487,1.186188,0.0470,0.000015,6.06,,
28,16,11,5,0,1385,889,-0.002146,0.106383,1.150783,0.0063,0.000037,6.02,,
29,16,9,7,0,1202,911,-0.006046,0.126400,1.140761,0.0034,0.000024,5.36,,
30,16,6,10,0,1016,742,-0.001068,0.232691,1.146064,0.0000,0.000006,4.28,0.9000,20
31,16,7,9,0,1224,802,-0.018412,0.184519,1.145037,0.0003,0.000022,5.16,,
32,16,10,6,0,1263,1048,0.023865,0.152068,1.160828,0.0063,0.000006,5.67,,
33,16,8,8,0,1057,608,-0.005142,0.148389,1.188386,0.0035,0.000023,4.06,,
34,16,5,11,0,1461,1000,-0.004056,0.163013,1.120719,0.0053,0.000018,6.85,,
35,16,11,5,0,986,781,-0.017737,0.224021,1.097221,0.0049,0.000010,4.17,,
36,16,5,11,0,1404,1090,-0.000442,0.141729,1.181381,0.0160,0.000034,7.26,,
37,16,8,8,0,1153,782,0.118872,0.264542,1.057447,0.0007,0.000012,5.03,,
38,16,10,5,1,1753,1341,-0.014947,0.096636,1.107967,0.0046,0.000007,8.11,,
39,16,8,8,0,1428,1172,-0.005133,0.187070,1.161986,0.0202,0.000015,6.18,,
40,16,11,5,0,913,659,0.007310,0.242561,1.174229,0.0027,0.000003,4.39,0.9500,20
41,16,5,11,0,1527,1094,0.022353,0.154434,1.220084,0.0005,0.000030,6.52,,
42,16,12,4,0,1402,1074,-0.005893,0.131959,1.133305,0.0092,0.000014,6.53,,
43,16,7,9,0,1508,1057,0.017141,0.157945,1.197207,0.0042,0.000005,6.72,,
44,16,11,5,0,1427,935,0.003268,0.158834,1.133417,0.0031,0.000007,5.87,,
45,16,12,4,0,1703,1155,-0.007289,0.173125,1.110448,0.0112,0.000008,7.59,,
46,16,9,7,0,1594,1174,-0.001055,0.163115,1.132267,0.0229,0.000007,6.96,,
47,16,11,5,0,1327,836,-0.018961,0.181865,1.116366,0.0094,0.000003,6.05,,
48,16,10,5,1,1506,1126,-0.003865,0.159462,1.122468,0.0107,0.000005,6.91,,
49,16,9,6,1,1491,1012,-0.003093,0.148123,1.066124,0.0083,0.000005,6.00,,
50,16,5,11,0,1363,948,-0.002704,0.179363,1.118193,0.0234,0.000005,6.57,0.8500,20
51,16,7,9,0,2095,1343,-0.000490,0.100590,1.052300,0.0303,0.000019,8.31,,
52,16,9,7,0,1930,1487,-0.005446,0.096676,1.055818,0.0208,0.000004,8.54,,
53,16,5,11,0,1877,1340,-0.008887,0.119411,1.016346,0.0087,0.000006,7.95,,
54,16,7,9,0,1966,1273,-0.004520,0.093110,0.951166,0.0163,0.000004,8.58,,
55,16,10,5,1,1808,1335,0.001355,0.135141,0.982181,0.0588,0.000003,8.13,,
56,16,9,7,0,1772,1138,-0.003483,0.164291,0.961662,0.0095,0.000004,8.44,,
57,16,8,8,0,1439,1119,-0.001091,0.175275,1.001628,0.0077,0.000004,6.83,,
58,16,9,7,0,1984,1176,-0.000703,0.121906,0.971138,0.0172,0.000014,9.05,,
59,16,7,9,0,2376,1933,-0.002607,0.101991,0.980147,0.0357,0.000007,10.50,,
60,16,9,7,0,2088,1505,-0.003996,0.110097,0.941765,0.0263,0.000002,8.60,0.9750,20
61,16,11,5,0,2066,1341,0.003096,0.150239,0.930076,0.0112,0.000003,8.86,,
62,16,10,6,0,1974,1610,-0.014079,0.114260,0.964114,0.0484,0.000002,8.75,,
63,16,9,7,0,1660,1118,-0.011633,0.115287,0.922899,0.0084,0.000000,7.04,,
64,16,10,6,0,1880,1416,-0.003250,0.124400,0.913981,0.0032,0.000002,8.28,,
65,16,5,11,0,1582,947,0.000503,0.180076,0.939216,0.0037,0.000003,6.39,,
66,16,6,10,0,1762,1116,-0.018477,0.116665,0.923150,0.0188,0.000001,7.10,,
67,16,3,13,0,1667,1322,-0.001698,0.129146,0.922006,0.0096,0.000001,6.94,,
68,16,10,6,0,1729,1138,-0.009520,0.174051,0.865131,0.0140,0.000002,7.60,,
69,16,8,8,0,1719,1168,-0.012309,0.098080,0.936805,0.0068,0.000010,6.94,,
70,16,6,10,0,1733,1299,-0.008729,0.137094,0.926335,0.0166,0.000003,7.81,0.9000,20
71,16,11,5,0,2278,1526,-0.003161,0.126268,0.921517,0.0175,0.000009,10.00,,
72,16,8,8,0,1544,1200,-0.004286,0.112321,0.814152,0.0047,0.000005,6.99,,
