iter,games,wins,losses,draws,samples,pi_loss,v_loss,entropy,clip_frac,archetype_loss,eval_win_rate,eval_games
1,2,2,0,0,,,,,,,,
2,2,1,1,0,,,,,,,,
3,2,1,1,0,328,-0.006187,0.089704,0.753356,0.0020,0.000026,,
4,2,0,2,0,,,,,,,,
5,2,2,0,0,,,,,,,,
6,2,1,1,0,251,-0.001448,0.190659,0.751883,0.0000,0.000001,,
7,2,1,1,0,,,,,,,,
8,2,2,0,0,,,,,,,,
9,2,2,0,0,363,0.004730,0.093896,0.733232,0.0000,0.000006,,
10,2,1,1,0,,,,,,,1.0000,20
11,2,1,1,0,,,,,,,,
12,2,2,0,0,321,0.001241,0.143787,0.691123,0.0000,0.000000,,
13,2,1,1,0,,,,,,,,
14,2,0,2,0,,,,,,,,
15,2,0,2,0,388,-0.003488,0.194904,0.694810,0.0000,0.000059,,
16,2,0,2,0,,,,,,,,
17,2,0,2,0,,,,,,,,
18,2,1,1,0,271,-0.050607,0.156650,0.715098,0.0000,0.000018,,
19,2,1,1,0,,,,,,,,
20,2,1,1,0,,,,,,,1.0000,20
21,2,1,1,0,271,-0.027315,0.132700,0.743870,0.0000,0.000000,,
22,2,1,1,0,,,,,,,,
23,2,2,0,0,,,,,,,,
24,2,1,1,0,384,-0.011492,0.145547,0.696678,0.0000,0.000015,,
25,2,2,0,0,,,,,,,,
26,2,0,2,0,,,,,,,,
27,2,2,0,0,295,0.065047,0.142488,0.701790,0.0007,0.000003,,
28,2,0,2,0,,,,,,,,
29,2,2,0,0,,,,,,,,
30,2,2,0,0,321,0.014944,0.108152,0.698737,0.0007,0.000004,0.9000,20
31,2,1,1,0,,,,,,,,
32,2,0,2,0,,,,,,,,
33,2,1,1,0,339,0.002646,0.123059,0.660697,0.0027,0.000057,,
34,2,1,1,0,,,,,,,,
35,2,1,1,0,,,,,,,,
36,2,1,1,0,255,-0.001016,0.177876,0.754932,0.0000,0.000005,,
37,2,2,0,0,,,,,,,,
38,2,2,0,0,,,,,,,,
39,2,1,1,0,215,0.000500,0.252488,0.707633,0.0000,0.000000,,
40,2,0,2,0,,,,,,,0.9000,20
41,2,0,2,0,,,,,,,,
42,2,2,0,0,221,-0.001855,0.175617,0.833498,0.0000,0.000003,,
43,2,1,1,0,,,,,,,,
44,2,1,1,0,,,,,,,,
45,2,0,2,0,280,0.022382,0.084244,0.808275,0.0007,0.000001,,
46,2,1,1,0,,,,,,,,
47,2,2,0,0,,,,,,,,
48,2,2,0,0,247,-0.000150,0.197071,0.873732,0.0000,0.000004,,
49,2,2,0,0,,,,,,,,
50,2,1,1,0,,,,,,,1.0000,20
51,2,2,0,0,351,-0.023590,0.186175,0.839881,0.0035,0.000002,,
52,2,1,1,0,,,,,,,,
53,2,2,0,0,,,,,,,,
54,2,2,0,0,276,-0.033935,0.063398,0.870387,0.0000,0.000015,,
55,2,1,1,0,,,,,,,,
56,2,2,0,0,,,,,,,,
57,2,0,2,0,289,0.027514,0.235695,0.802019,0.0007,0.000000,,
58,2,1,1,0,,,,,,,,
59,2,0,2,0,,,,,,,,
60,2,2,0,0,334,0.000446,0.176128,0.875047,0.0000,0.000024,1.0000,20
61,2,2,0,0,,,,,,,,
62,2,1,1,0,,,,,,,,
63,2,1,1,0,296,-0.016696,0.159542,0.802354,0.0048,0.000000,,
64,2,2,0,0,,,,,,,,
65,2,1,1,0,,,,,,,,
66,2,1,1,0,296,-0.072962,0.086160,0.781724,0.0000,0.000000,,
67,2,1,1,0,,,,,,,,
68,2,1,1,0,,,,,,,,
69,2,1,1,0,336,-0.017804,0.161692,0.768266,0.0000,0.000002,,
70,2,1,1,0,,,,,,,1.0000,20
71,2,1,1,0,,,,,,,,
72,2,2,0,0,353,-0.015483,0.116378,0.759792,0.0007,0.000017,,
73,2,2,0,0,,,,,,,,
74,2,0,2,0,,,,,,,,
75,2,1,1,0,369,-0.012684,0.106940,0.733738,0.0000,0.000009,,
76,2,2,0,0,,,,,,,,
77,2,2,0,0,,,,,,,,
78,2,2,0,0,277,0.037147,0.067265,0.722670,0.0000,0.000000,,
79,2,1,1,0,,,,,,,,
80,2,2,0,0,,,,,,,1.0000,20
81,2,0,2,0,261,-0.023364,0.208788,0.708836,0.0007,0.000001,,
82,2,2,0,0,,,,,,,,
83,2,0,2,0,,,,,,,,
84,2,2,0,0,277,0.039940,0.134529,0.860354,0.0000,0.000016,,
85,2,2,0,0,,,,,,,,
86,2,2,0,0,,,,,,,,
87,2,1,1,0,271,-0.080426,0.094143,0.825275,0.0000,0.000000,,
88,2,0,2,0,,,,,,,,
89,2,2,0,0,,,,,,,,
90,2,1,1,0,364,0.003979,0.162348,0.744226,0.0000,0.000001,1.0000,20
91,2,1,1,0,,,,,,,,
92,2,1,1,0,,,,,,,,
93,2,1,1,0,279,-0.069635,0.138250,0.769292,0.0000,0.000000,,
94,2,0,2,0,,,,,,,,
95,2,2,0,0,,,,,,,,
96,2,1,1,0,273,0.060456,0.154494,0.866345,0.0000,0.000009,,
97,2,2,0,0,,,,,,,,
98,2,2,0,0,,,,,,,,
99,2,2,0,0,391,0.001293,0.126667,0.811346,0.0000,0.000030,,
100,2,1,1,0,,,,,,,0.9500,20
101,2,1,1,0,,,,,,,,
102,2,1,1,0,294,0.026584,0.179739,0.831095,0.0000,0.000015,,
103,2,2,0,0,,,,,,,,
104,2,1,1,0,,,,,,,,
105,2,1,1,0,330,-0.006417,0.113397,0.781347,0.0000,0.000003,,
106,2,0,2,0,,,,,,,,
107,2,1,1,0,,,,,,,,
108,2,1,1,0,391,-0.003790,0.117971,0.825225,0.0000,0.000031,,
109,2,1,1,0,,,,,,,,
110,2,2,0,0,,,,,,,1.0000,20
111,2,1,1,0,364,-0.008930,0.110703,0.759303,0.0000,0.000000,,
112,2,1,1,0,,,,,,,,
113,2,2,0,0,,,,,,,,
114,2,1,1,0,305,0.010189,0.096659,0.788423,0.0000,0.000000,,
115,2,2,0,0,,,,,,,,
116,2,1,1,0,,,,,,,,
117,2,2,0,0,354,0.019917,0.096542,0.727998,0.0000,0.000000,,
118,2,1,1,0,,,,,,,,
119,2,2,0,0,,,,,,,,
120,2,2,0,0,290,-0.085350,0.070827,0.834849,0.0062,0.000000,1.0000,20
121,2,2,0,0,,,,,,,,
122,2,1,1,0,,,,,,,,
123,2,2,0,0,372,-0.000142,0.104513,0.758476,0.0000,0.000000,,
124,2,1,1,0,,,,,,,,
125,2,2,0,0,,,,,,,,
126,2,0,2,0,341,0.013217,0.197847,0.724149,0.0020,0.000001,,
127,2,1,1,0,,,,,,,,
128,2,2,0,0,,,,,,,,
129,2,1,1,0,364,0.021376,0.092722,0.789745,0.0000,0.000000,,
130,2,1,1,0,,,,,,,0.8500,20
131,2,2,0,0,,,,,,,,
132,2,0,2,0,376,0.018133,0.108368,0.721401,0.0007,0.000000,,
133,2,0,2,0,,,,,,,,
134,2,1,1,0,,,,,,,,
135,2,0,2,0,286,-0.058667,0.127416,0.736885,0.0000,0.000000,,
136,2,1,1,0,,,,,,,,
137,2,2,0,0,,,,,,,,
138,2,2,0,0,316,0.022897,0.201660,0.729762,0.0000,0.000000,,
139,2,1,1,0,,,,,,,,
140,2,1,1,0,,,,,,,0.9500,20
141,2,1,1,0,276,-0.032634,0.151014,0.619668,0.0000,0.000000,,
142,2,2,0,0,,,,,,,,
143,2,2,0,0,,,,,,,,
144,2,1,1,0,341,-0.011094,0.083704,0.714303,0.0020,0.000000,,
145,2,2,0,0,,,,,,,,
146,2,2,0,0,,,,,,,,
147,2,1,1,0,271,0.059912,0.084268,0.812936,0.0000,0.000000,,
148,2,2,0,0,,,,,,,,
149,2,0,2,0,,,,,,,,
150,2,1,1,0,284,-0.022307,0.180619,0.667275,0.0000,0.000000,0.8500,20
151,2,2,0,0,,,,,,,,
152,2,2,0,0,,,,,,,,
153,2,1,1,0,288,0.001908,0.131572,0.660211,0.0000,0.000000,,
154,2,0,2,0,,,,,,,,
155,2,0,2,0,,,,,,,,
156,2,1,1,0,273,-0.014800,0.209447,0.748832,0.0000,0.000000,,
157,2,1,1,0,,,,,,,,
158,2,2,0,0,,,,,,,,
159,2,2,0,0,280,-0.002941,0.130215,0.727362,0.0000,0.000000,,
160,2,2,0,0,,,,,,,0.8000,20
161,2,2,0,0,,,,,,,,
162,2,0,2,0,401,-0.005734,0.098004,0.754881,0.0007,0.000000,,
163,2,1,1,0,,,,,,,,
164,2,0,2,0,,,,,,,,
165,2,1,1,0,299,-0.001416,0.179442,0.671409,0.0000,0.000000,,
166,2,2,0,0,,,,,,,,
167,2,1,1,0,,,,,,,,
168,2,1,1,0,268,-0.011265,0.147195,0.758015,0.0007,0.000000,,
169,2,2,0,0,,,,,,,,
170,2,2,0,0,,,,,,,0.9000,20
171,2,1,1,0,351,-0.017697,0.089481,0.740785,0.0000,0.000000,,
172,2,1,1,0,,,,,,,,
173,2,2,0,0,,,,,,,,
174,2,2,0,0,296,-0.003388,0.106950,0.719814,0.0007,0.000000,,
175,2,2,0,0,,,,,,,,
176,2,1,1,0,,,,,,,,
177,2,2,0,0,267,-0.026304,0.076881,0.742476,0.0007,0.000000,,
178,2,2,0,0,,,,,,,,
179,2,1,1,0,,,,,,,,
180,2,2,0,0,341,0.021453,0.095408,0.804254,0.0052,0.000000,0.8500,20
181,2,1,1,0,,,,,,,,
182,2,0,2,0,,,,,,,,
183,2,1,1,0,274,-0.007700,0.186483,0.798115,0.0007,0.000000,,
184,2,1,1,0,,,,,,,,
185,2,0,2,0,,,,,,,,
186,2,2,0,0,281,-0.032685,0.173876,0.770166,0.0000,0.000000,,
187,2,0,2,0,,,,,,,,
188,2,1,1,0,,,,,,,,
189,2,1,1,0,371,-0.001390,0.144727,0.805637,0.0021,0.000000,,
190,2,2,0,0,,,,,,,0.9000,20
191,2,1,1,0,,,,,,,,
192,2,0,2,0,236,-0.000353,0.154013,0.735041,0.0000,0.000000,,
193,2,2,0,0,,,,,,,,
194,2,2,0,0,,,,,,,,
195,2,1,1,0,254,-0.000426,0.166440,0.764158,0.0000,0.000000,,
196,2,1,1,0,,,,,,,,
197,2,2,0,0,,,,,,,,
198,2,1,1,0,202,-0.000554,0.203317,0.730939,0.0000,0.000000,,
199,2,1,1,0,,,,,,,,
200,2,2,0,0,,,,,,,0.8500,20
201,2,1,1,0,235,-0.001428,0.183213,0.783998,0.0000,0.000000,,
202,2,1,1,0,,,,,,,,
203,2,1,1,0,,,,,,,,
204,2,1,1,0,315,-0.037185,0.165670,0.678280,0.0000,0.000000,,
205,2,0,2,0,,,,,,,,
206,2,2,0,0,,,,,,,,
207,2,1,1,0,226,-0.000536,0.201353,0.744853,0.0000,0.000000,,
208,2,1,1,0,,,,,,,,
209,2,1,0,1,,,,,,,,
210,2,1,1,0,337,-0.020875,0.098271,0.756169,0.0040,0.000000,1.0000,20
211,2,1,1,0,,,,,,,,
212,2,0,2,0,,,,,,,,
213,2,1,1,0,236,-0.001230,0.185013,0.753124,0.0000,0.000000,,
214,2,2,0,0,,,,,,,,
215,2,2,0,0,,,,,,,,
216,2,2,0,0,352,0.016137,0.095058,0.771761,0.0000,0.000000,,
217,2,2,0,0,,,,,,,,
218,2,1,1,0,,,,,,,,
219,2,1,1,0,351,0.008359,0.113775,0.749547,0.0000,0.000011,,
220,2,2,0,0,,,,,,,0.9500,20
221,2,2,0,0,,,,,,,,
222,2,1,1,0,342,0.024926,0.079270,0.739209,0.0000,0.000000,,
223,2,0,2,0,,,,,,,,
224,2,1,1,0,,,,,,,,
225,2,2,0,0,385,0.004761,0.096075,0.833677,0.0000,0.000003,,
226,2,0,2,0,,,,,,,,
227,2,1,1,0,,,,,,,,
228,2,1,1,0,278,-0.018439,0.170881,0.719816,0.0000,0.000000,,
229,2,0,2,0,,,,,,,,
