iter,games,wins,losses,draws,decisions,samples,pi_loss,v_loss,entropy,clip_frac,archetype_loss,time_s,eval_win_rate,eval_games
1,16,7,9,0,2213,2044,-0.001686,0.107163,1.650203,0.0000,0.590166,8.02,,
2,16,8,8,0,3074,2540,-0.001434,0.066599,1.658866,0.0008,0.025140,12.81,,
3,16,10,6,0,2864,1994,-0.002166,0.078484,1.669400,0.0000,0.002076,11.24,,
4,16,7,9,0,2458,2093,-0.000260,0.076336,1.637431,0.0000,0.001013,10.31,,
5,16,9,7,0,2279,1421,0.000751,0.075790,1.679924,0.0000,0.000671,8.43,,
6,16,5,11,0,2902,2015,-0.001637,0.062244,1.656735,0.0051,0.000884,11.52,,
7,16,8,8,0,2533,2030,-0.000934,0.088433,1.666505,0.0000,0.000855,10.44,,
8,16,12,4,0,2212,1638,-0.004496,0.086620,1.673284,0.0031,0.000689,9.27,,
9,16,10,6,0,2791,1959,-0.003876,0.071782,1.577095,0.0117,0.000978,11.52,,
10,16,6,10,0,2230,1739,-0.006170,0.074730,1.572126,0.0222,0.000256,10.07,0.7500,20
11,16,9,7,0,1910,1183,0.003959,0.100158,1.592011,0.0000,0.000321,7.85,,
12,16,9,7,0,1480,953,-0.006851,0.116490,1.498568,0.0009,0.000270,6.28,,
13,16,9,7,0,2043,1302,0.005032,0.113982,1.470688,0.0281,0.000448,8.40,,
14,16,8,8,0,1687,1066,0.014330,0.136010,1.473384,0.0144,0.000174,6.93,,
15,16,10,6,0,1458,1243,-0.003763,0.147603,1.421490,0.0226,0.000117,6.19,,
16,16,12,4,0,1655,1295,0.009806,0.118976,1.373157,0.0176,0.000434,6.80,,
17,16,10,6,0,1741,1221,-0.003098,0.115045,1.388867,0.0122,0.000401,6.97,,
18,16,13,3,0,1604,1315,-0.027928,0.118980,1.333880,0.0335,0.000306,6.74,,
19,16,8,8,0,1276,857,-0.007648,0.125404,1.311278,0.0007,0.000260,4.94,,
20,16,9,7,0,1458,889,-0.002517,0.160662,1.306246,0.0134,0.000107,5.67,1.0000,20
21,16,8,8,0,1718,1224,-0.003284,0.118906,1.285096,0.0321,0.000647,7.32,,
22,16,10,6,0,1460,1128,-0.015182,0.157598,1.290023,0.0016,0.000147,6.16,,
23,16,13,3,0,1412,1026,0.000257,0.199305,1.156368,0.0016,0.000024,5.95,,
24,16,11,5,0,1388,893,-0.004772,0.187069,1.191788,0.0007,0.000154,5.80,,
25,16,10,6,0,1356,994,-0.002347,0.180405,1.181393,0.0037,0.000031,5.26,,
26,16,7,9,0,1707,1213,-0.003145,0.118824,1.204075,0.0029,0.000996,7.24,,
27,16,10,6,0,1225,1054,-0.013149,0.200972,1.169067,0.0033,0.000241,5.09,,
28,16,8,8,0,1434,906,0.003795,0.128901,1.155152,0.0059,0.000342,5.91,,
29,16,10,6,0,1191,736,-0.001980,0.152141,1.099646,0.0004,0.000021,4.27,,
30,16,9,7,0,1593,1153,-0.004946,0.152490,1.126748,0.0153,0.000245,7.30,0.9500,20
31,16,6,10,0,1583,1010,-0.002221,0.174702,1.179588,0.0036,0.000094,6.46,,
32,16,8,8,0,1313,1024,-0.002304,0.140663,1.135297,0.0016,0.000034,6.03,,
33,16,10,6,0,1648,1011,-0.003898,0.162307,1.090392,0.0163,0.000066,6.29,,
34,16,8,8,0,1283,882,-0.003460,0.181061,1.136989,0.0132,0.000058,5.11,,
35,16,10,6,0,1547,1109,-0.011594,0.117547,1.106246,0.0068,0.000242,6.33,,
36,16,7,9,0,1425,1137,-0.007518,0.194693,1.131212,0.0046,0.000035,6.10,,
37,16,11,5,0,1240,816,-0.006466,0.135992,1.087732,0.0225,0.000051,4.82,,
38,16,8,8,0,1486,1162,0.003468,0.158171,1.043448,0.0155,0.000062,6.76,,
39,16,11,5,0,1659,1300,0.024279,0.152642,0.997309,0.0084,0.000156,7.74,,
40,16,11,5,0,1330,960,0.000068,0.176254,1.015833,0.0007,0.000059,5.28,0.9500,20
41,16,12,4,0,1153,820,-0.001646,0.210384,0.935046,0.0194,0.000106,5.11,,
42,16,10,6,0,1279,1027,0.058623,0.181573,1.084843,0.0018,0.000026,5.82,,
43,16,10,6,0,1464,984,-0.003426,0.109554,0.977548,0.0233,0.000050,6.04,,
44,16,10,6,0,1292,854,-0.012260,0.176544,0.994942,0.0094,0.000070,5.06,,
45,16,10,6,0,1467,1030,0.043953,0.168130,0.995508,0.0195,0.000115,6.03,,
46,16,6,10,0,1256,975,0.000786,0.167216,0.937666,0.0045,0.000003,5.40,,
47,16,8,8,0,1407,918,-0.001000,0.152576,0.928751,0.0076,0.000009,5.47,,
48,16,8,8,0,1153,858,0.002087,0.198076,0.838764,0.0029,0.000007,4.96,,
49,16,9,7,0,1417,1036,0.014183,0.159074,0.826484,0.0174,0.000005,5.96,,
50,16,9,7,0,1632,1219,-0.002479,0.140369,0.857958,0.0167,0.000025,7.22,0.8000,20
51,16,11,5,0,1514,974,-0.000467,0.171673,0.824999,0.0082,0.000028,6.03,,
52,16,8,8,0,1470,1057,0.016417,0.134786,0.877649,0.0185,0.000008,6.04,,
53,16,8,8,0,1417,1006,-0.000625,0.173919,0.821676,0.0014,0.000001,6.03,,
54,16,11,5,0,1131,745,-0.002070,0.239754,0.825695,0.0010,0.000003,4.32,,
55,16,5,11,0,1414,1069,0.022638,0.178031,0.804777,0.0177,0.000002,6.13,,
56,16,5,11,0,1305,799,0.016618,0.189630,0.764911,0.0036,0.000001,5.23,,
57,16,9,7,0,1497,1176,-0.002643,0.173605,0.804191,0.0127,0.000002,6.03,,
58,16,6,10,0,1460,881,0.002573,0.163300,0.805226,0.0032,0.000006,6.01,,
59,16,3,13,0,1638,1347,-0.007467,0.150773,0.845238,0.0206,0.000004,7.39,,
60,16,8,8,0,1391,990,-0.000746,0.159946,0.759547,0.0162,0.000007,5.43,1.0000,20
61,16,8,8,0,1476,1065,-0.003337,0.170132,0.776705,0.0073,0.000004,5.97,,
62,16,7,9,0,1429,1171,-0.001122,0.171072,0.784866,0.0061,0.000008,5.84,,
63,16,9,7,0,1335,939,-0.000553,0.164451,0.791807,0.0276,0.000037,6.01,,
64,16,8,8,0,1303,1030,0.040726,0.179137,0.728333,0.0213,0.000003,5.54,,
65,16,9,7,0,1355,871,-0.014327,0.174065,0.756494,0.0200,0.000003,5.30,,
66,16,9,7,0,1564,916,0.000091,0.140124,0.805461,0.0224,0.000003,6.38,,
67,16,12,4,0,1590,1173,-0.009205,0.162569,0.735662,0.0157,0.000008,6.63,,
68,16,10,6,0,1400,932,-0.003595,0.144176,0.751580,0.0181,0.000004,5.59,,
69,16,12,4,0,1409,925,-0.005411,0.216445,0.731074,0.0083,0.000005,5.42,,
70,16,6,10,0,1521,1133,-0.002994,0.157576,0.758601,0.0280,0.000017,7.01,0.9000,20
71,16,10,6,0,1440,1024,-0.002818,0.138742,0.754985,0.0091,0.000018,5.73,,
72,16,8,8,0,1173,863,-0.001611,0.219531,0.728610,0.0147,0.000012,5.04,,
73,16,11,5,0,1289,843,-0.005824,0.195099,0.724366,0.0117,0.000008,5.25,,
74,16,8,8,0,1287,1100,0.012073,0.195618,0.716158,0.0137,0.000011,5.87,,
75,16,9,7,0,1364,1041,0.027693,0.188113,0.746024,0.0170,0.000074,5.55,,
76,16,10,6,0,1377,1013,-0.001927,0.115973,0.716826,0.0089,0.000042,5.52,,
77,16,13,3,0,1309,1003,-0.003419,0.153482,0.736009,0.0105,0.000003,5.39,,
78,16,5,11,0,1176,884,0.001818,0.170767,0.689658,0.0054,0.000005,5.05,,
79,16,10,6,0,1194,878,-0.004877,0.210029,0.682248,0.0042,0.000007,4.82,,
80,16,9,7,0,1182,863,-0.009417,0.185530,0.714402,0.0053,0.000002,5.46,0.8500,20
81,16,6,10,0,1473,1046,0.030543,0.165739,0.711724,0.0161,0.000040,5.92,,
82,16,7,9,0,1187,781,0.006714,0.291863,0.733368,0.0255,0.000011,5.38,,
83,16,6,10,0,1559,1356,-0.010796,0.149357,0.777277,0.0254,0.000016,7.18,,
84,16,8,8,0,1378,1080,-0.004304,0.149239,0.745430,0.0310,0.000006,6.09,,
85,16,7,9,0,1530,1109,-0.014531,0.176501,0.786190,0.0164,0.000009,6.13,,
86,16,9,7,0,1472,1051,0.007822,0.135036,0.729191,0.0311,0.000013,6.23,,
87,16,8,8,0,1426,1192,-0.000641,0.145329,0.766851,0.0035,0.000006,6.19,,
88,16,9,7,0,1113,732,-0.002292,0.227496,0.748438,0.0066,0.000010,5.14,,
89,16,7,9,0,1322,1031,0.010519,0.157615,0.737574,0.0128,0.000004,5.38,,
90,16,9,7,0,1353,1052,-0.017503,0.152951,0.694574,0.0194,0.000002,5.87,0.9000,20
91,16,11,5,0,1442,931,-0.003949,0.147141,0.720934,0.0045,0.000008,5.71,,
92,16,10,6,0,1343,1060,-0.011133,0.165995,0.700880,0.0097,0.000002,5.93,,
93,16,11,5,0,1334,757,-0.000194,0.201927,0.682537,0.0035,0.000003,4.86,,
