iter,games,wins,losses,draws,samples,pi_loss,v_loss,entropy,clip_frac,archetype_loss,eval_win_rate,eval_games
1,2,0,2,0,,,,,,,,
2,2,0,2,0,,,,,,,,
3,2,1,1,0,244,-0.005835,0.204998,0.659408,0.0096,0.000000,,
4,2,0,2,0,,,,,,,,
5,2,0,2,0,,,,,,,,
6,2,0,2,0,205,-0.001424,0.181743,0.712359,0.0000,0.000000,,
7,2,0,2,0,,,,,,,,
8,2,0,2,0,,,,,,,,
9,2,0,2,0,237,-0.002880,0.037020,0.665666,0.0000,0.000000,,
10,2,0,2,0,,,,,,,0.8500,20
11,2,1,1,0,,,,,,,,
12,2,1,1,0,210,-0.003543,0.214635,0.582338,0.0016,0.000005,,
13,2,0,2,0,,,,,,,,
14,2,0,2,0,,,,,,,,
15,2,0,2,0,268,0.005087,0.022184,0.680285,0.0020,0.000000,,
16,2,1,1,0,,,,,,,,
17,2,0,2,0,,,,,,,,
18,2,0,2,0,246,-0.000065,0.125902,0.642981,0.0000,0.000000,,
19,2,1,1,0,,,,,,,,
20,2,0,2,0,,,,,,,0.9250,20
21,2,1,1,0,210,-0.001513,0.194613,0.635932,0.0000,0.000001,,
22,2,0,2,0,,,,,,,,
23,2,0,2,0,,,,,,,,
24,2,0,2,0,231,-0.001130,0.035131,0.629986,0.0000,0.000000,,
25,2,1,1,0,,,,,,,,
26,2,0,2,0,,,,,,,,
27,2,0,2,0,218,-0.000852,0.095080,0.598567,0.0000,0.000001,,
28,2,0,2,0,,,,,,,,
29,2,0,2,0,,,,,,,,
30,2,0,2,0,135,-0.003674,0.057611,0.742013,0.0000,0.000000,0.9750,20
31,2,0,2,0,,,,,,,,
32,2,0,2,0,,,,,,,,
33,2,0,2,0,239,-0.001031,0.029716,0.687181,0.0000,0.000001,,
34,2,2,0,0,,,,,,,,
35,2,0,2,0,,,,,,,,
36,2,0,2,0,231,-0.000463,0.161363,0.612201,0.0000,0.000000,,
37,2,0,2,0,,,,,,,,
38,2,0,2,0,,,,,,,,
39,2,1,1,0,245,-0.001138,0.074943,0.615448,0.0000,0.000000,,
