iter,games,wins,losses,draws,decisions,samples,pi_loss,v_loss,entropy,clip_frac,archetype_loss,time_s,eval_win_rate,eval_games
1,16,10,6,0,2289,2037,-0.001108,0.095642,1.506953,0.0000,0.577084,7.86,,
2,16,9,7,0,2561,1852,-0.008101,0.079823,1.423806,0.0000,0.015671,10.08,,
3,16,10,6,0,2563,1838,-0.006448,0.088401,1.469322,0.0000,0.003130,10.01,,
4,16,6,10,0,2066,1573,-0.002211,0.077177,1.453702,0.0000,0.001704,7.89,,
5,16,7,9,0,1767,989,0.001272,0.132016,1.379797,0.0000,0.001041,5.98,,
6,16,9,7,0,2661,1737,-0.001952,0.100682,1.476470,0.0000,0.001267,9.61,,
7,16,10,6,0,2598,1968,-0.000438,0.109624,1.446815,0.0000,0.001338,9.97,,
8,16,6,10,0,2799,2005,-0.000404,0.086935,1.483401,0.0000,0.000868,10.65,,
9,16,10,6,0,1975,1186,-0.002084,0.115099,1.529081,0.0000,0.000882,7.10,,
10,16,6,10,0,2564,1967,-0.000897,0.083077,1.453139,0.0000,0.000462,10.03,0.8500,20
11,16,9,7,0,2565,1519,-0.003477,0.084336,1.506025,0.0030,0.000273,9.55,,
12,16,10,6,0,2916,2073,0.005238,0.076364,1.493170,0.0001,0.000190,11.58,,
13,16,9,7,0,2902,1893,0.002922,0.101417,1.482501,0.0000,0.000159,11.52,,
14,16,10,6,0,2781,1861,-0.006874,0.082215,1.538907,0.0003,0.000146,11.29,,
15,16,9,7,0,2636,2102,-0.011584,0.076989,1.458247,0.0000,0.000160,10.92,,
16,16,8,8,0,2704,2040,-0.001215,0.093452,1.490481,0.0002,0.000134,10.81,,
17,16,9,7,0,1766,1190,0.001886,0.119532,1.540350,0.0000,0.000087,7.14,,
18,16,10,6,0,2804,2243,-0.002673,0.088474,1.506603,0.0071,0.000130,11.52,,
19,16,8,8,0,2825,2064,-0.032780,0.072383,1.494583,0.0211,0.000107,11.91,,
20,16,8,8,0,2516,1608,-0.008956,0.076330,1.460390,0.0250,0.000086,9.71,0.9000,20
21,16,11,5,0,1979,1401,-0.008481,0.100177,1.507868,0.0237,0.000082,7.76,,
22,16,8,8,0,2985,2305,0.073393,0.072921,1.492428,0.0785,0.000122,12.30,,
23,16,9,7,0,2839,2107,-0.003871,0.078920,1.355101,0.0615,0.000087,10.99,,
24,16,12,4,0,3102,2116,-0.007918,0.064730,1.429469,0.0218,0.000116,12.80,,
25,16,9,7,0,3133,2340,0.002217,0.064713,1.303362,0.0161,0.000051,12.64,,
26,16,10,6,0,2628,1770,-0.004016,0.074846,1.357444,0.0063,0.000058,10.67,,
27,16,7,9,0,3158,2657,-0.006363,0.058125,1.379931,0.0330,0.000056,13.26,,
28,16,11,5,0,2907,1892,-0.001749,0.057652,1.326068,0.0634,0.000021,11.75,,
29,16,11,5,0,2664,1633,-0.003232,0.070401,1.449033,0.1117,0.000023,10.26,,
30,16,10,6,0,3069,2262,-0.002519,0.079349,1.316832,0.0093,0.000044,12.09,0.8500,20
31,16,12,4,0,2893,1838,-0.004082,0.062282,1.316755,0.0305,0.000045,11.38,,
32,16,9,7,0,3082,2426,-0.006111,0.053211,1.221725,0.0143,0.000020,13.13,,
33,16,9,7,0,3068,1871,-0.012018,0.057316,1.356945,0.0219,0.000015,11.67,,
34,16,8,8,0,3016,2162,-0.001480,0.060188,1.243774,0.0046,0.000010,12.79,,
35,16,9,7,0,2624,1979,-0.004459,0.069240,1.139131,0.0326,0.000013,10.63,,
36,16,8,8,0,3039,2562,0.008188,0.071820,1.177652,0.0226,0.000016,13.26,,
37,16,8,8,0,2764,1871,-0.006719,0.070162,1.090315,0.0385,0.000012,11.75,,
38,16,10,6,0,3042,2398,-0.006342,0.072911,1.143316,0.0254,0.000020,12.53,,
39,16,9,7,0,2596,2086,-0.007399,0.077425,1.088365,0.0474,0.000038,11.19,,
40,16,8,8,0,3239,2447,-0.010968,0.050131,0.993734,0.0745,0.000026,13.54,0.9500,20
41,16,6,10,0,3072,2130,0.000043,0.055788,1.006856,0.0373,0.000022,12.10,,
42,16,11,5,0,2796,2194,-0.004437,0.056690,0.919478,0.0243,0.000013,11.96,,
43,16,10,6,0,2623,2014,-0.002460,0.061202,0.925167,0.0347,0.000009,10.56,,
44,16,5,11,0,2928,2000,-0.004253,0.044994,1.017439,0.0301,0.000010,11.89,,
45,16,8,8,0,3120,2363,-0.011916,0.063828,0.883254,0.0408,0.000009,12.76,,
