iter,games,wins,losses,draws,samples,pi_loss,v_loss,entropy,clip_frac,archetype_loss,eval_win_rate,eval_games
1,2,2,0,0,,,,,,,,
2,2,0,2,0,,,,,,,,
3,2,0,2,0,271,-0.032835,0.102236,0.572191,0.0020,0.000001,,
4,2,1,1,0,,,,,,,,
5,2,0,2,0,,,,,,,,
6,2,0,2,0,328,0.016031,0.081920,0.618861,0.0135,0.000000,,
7,2,0,2,0,,,,,,,,
8,2,0,2,0,,,,,,,,
9,2,0,2,0,344,-0.005990,0.056508,0.660312,0.0007,0.000000,,
10,2,1,1,0,,,,,,,0.5000,20
11,2,1,1,0,,,,,,,,
12,2,1,1,0,430,-0.008984,0.165866,0.674651,0.0007,0.000000,,
13,2,1,1,0,,,,,,,,
14,2,1,1,0,,,,,,,,
15,2,1,1,0,413,0.001664,0.100589,0.668641,0.0017,0.000000,,
16,2,0,2,0,,,,,,,,
17,2,2,0,0,,,,,,,,
18,2,0,2,0,401,-0.000185,0.082896,0.645723,0.0023,0.000000,,
19,2,2,0,0,,,,,,,,
20,2,0,2,0,,,,,,,0.5000,20
21,2,0,2,0,437,0.001648,0.074328,0.673277,0.0034,0.000000,,
22,2,1,1,0,,,,,,,,
23,2,0,2,0,,,,,,,,
24,2,2,0,0,316,-0.010264,0.123894,0.718949,0.0000,0.000000,,
25,2,0,2,0,,,,,,,,
26,2,0,2,0,,,,,,,,
27,2,0,2,0,429,-0.008148,0.082072,0.702833,0.0000,0.000000,,
28,2,0,2,0,,,,,,,,
29,2,1,1,0,,,,,,,,
30,2,0,2,0,412,-0.011968,0.060599,0.663075,0.0011,0.000000,0.7500,20
31,2,1,1,0,,,,,,,,
32,2,1,1,0,,,,,,,,
33,2,1,1,0,347,0.004699,0.213393,0.721331,0.0007,0.000000,,
34,2,0,2,0,,,,,,,,
35,2,1,1,0,,,,,,,,
36,2,1,1,0,441,0.003148,0.149459,0.715924,0.0000,0.000000,,
37,2,1,1,0,,,,,,,,
38,2,1,1,0,,,,,,,,
39,2,1,1,0,411,0.006425,0.144065,0.678270,0.0011,0.000000,,
40,2,1,1,0,,,,,,,0.6000,20
41,2,1,1,0,,,,,,,,
42,2,0,2,0,356,-0.012147,0.076289,0.647702,0.0023,0.000000,,
43,2,1,1,0,,,,,,,,
44,2,0,2,0,,,,,,,,
45,2,1,1,0,409,-0.020367,0.066873,0.724857,0.0050,0.000000,,
46,2,0,2,0,,,,,,,,
47,2,1,1,0,,,,,,,,
48,2,0,2,0,491,-0.000279,0.079396,0.732234,0.0014,0.000000,,
49,2,1,1,0,,,,,,,,
50,2,1,1,0,,,,,,,0.7500,20
51,2,0,2,0,322,-0.024672,0.113268,0.664237,0.0000,0.000000,,
52,2,1,1,0,,,,,,,,
53,2,0,2,0,,,,,,,,
54,2,1,1,0,431,0.001391,0.088117,0.708938,0.0010,0.000000,,
55,2,0,2,0,,,,,,,,
56,2,0,2,0,,,,,,,,
57,2,0,2,0,387,0.011950,0.087852,0.679536,0.0000,0.000000,,
58,2,0,2,0,,,,,,,,
59,2,1,1,0,,,,,,,,
60,2,0,2,0,369,-0.002178,0.072817,0.717641,0.0007,0.000000,0.6500,20
61,2,1,1,0,,,,,,,,
62,2,2,0,0,,,,,,,,
63,2,0,2,0,329,0.008341,0.138600,0.642091,0.0046,0.000000,,
64,2,0,2,0,,,,,,,,
65,2,0,2,0,,,,,,,,
66,2,0,2,0,374,-0.004956,0.031677,0.693942,0.0007,0.000000,,
67,2,1,1,0,,,,,,,,
68,2,1,1,0,,,,,,,,
69,2,0,2,0,368,0.017699,0.126467,0.630854,0.0021,0.000000,,
70,2,1,1,0,,,,,,,0.8500,20
71,2,2,0,0,,,,,,,,
72,2,1,1,0,428,0.001325,0.208307,0.673862,0.0019,0.000001,,
73,2,1,1,0,,,,,,,,
74,2,1,1,0,,,,,,,,
75,2,0,2,0,390,-0.014143,0.114607,0.621878,0.0019,0.000000,,
76,2,1,1,0,,,,,,,,
77,2,2,0,0,,,,,,,,
78,2,0,2,0,398,0.002509,0.137017,0.662396,0.0012,0.000002,,
79,2,1,1,0,,,,,,,,
80,2,2,0,0,,,,,,,0.6500,20
81,2,1,1,0,444,-0.003392,0.118244,0.624243,0.0024,0.000003,,
82,2,1,1,0,,,,,,,,
83,2,0,2,0,,,,,,,,
84,2,0,2,0,391,0.002161,0.103965,0.611763,0.0000,0.000000,,
85,2,1,1,0,,,,,,,,
86,2,0,2,0,,,,,,,,
87,2,0,2,0,388,0.009543,0.094856,0.616418,0.0000,0.000000,,
88,2,1,1,0,,,,,,,,
89,2,0,2,0,,,,,,,,
90,2,1,1,0,374,-0.033415,0.100750,0.681216,0.0039,0.000000,0.6000,20
91,2,1,1,0,,,,,,,,
92,2,0,2,0,,,,,,,,
93,2,2,0,0,454,0.003305,0.145426,0.679903,0.0025,0.000000,,
94,2,0,2,0,,,,,,,,
95,2,1,1,0,,,,,,,,
96,2,2,0,0,374,-0.013066,0.109461,0.623681,0.0000,0.000000,,
97,2,1,1,0,,,,,,,,
98,2,0,2,0,,,,,,,,
99,2,1,1,0,318,0.022166,0.108433,0.644546,0.0099,0.000000,,
100,2,0,2,0,,,,,,,0.6500,20
101,2,1,1,0,,,,,,,,
102,2,1,1,0,341,0.009652,0.088519,0.661229,0.0059,0.000000,,
103,2,2,0,0,,,,,,,,
104,2,1,1,0,,,,,,,,
105,2,1,1,0,354,-0.015098,0.141692,0.558379,0.0024,0.000000,,
106,2,0,2,0,,,,,,,,
107,2,0,2,0,,,,,,,,
108,2,1,1,0,399,-0.022910,0.062062,0.629226,0.0012,0.000000,,
109,2,0,2,0,,,,,,,,
110,2,0,2,0,,,,,,,0.5000,20
111,2,1,1,0,444,0.005854,0.067555,0.579325,0.0000,0.000000,,
112,2,0,2,0,,,,,,,,
113,2,0,2,0,,,,,,,,
114,2,1,1,0,455,-0.004457,0.108022,0.589047,0.0000,0.000000,,
115,2,2,0,0,,,,,,,,
116,2,1,1,0,,,,,,,,
117,2,0,2,0,432,0.001384,0.164366,0.576296,0.0000,0.000000,,
118,2,0,2,0,,,,,,,,
119,2,1,1,0,,,,,,,,
120,2,0,2,0,317,0.017492,0.076413,0.600486,0.0088,0.000000,0.5500,20
121,2,2,0,0,,,,,,,,
122,2,1,1,0,,,,,,,,
123,2,1,1,0,370,0.022652,0.136756,0.639213,0.0000,0.000000,,
124,2,0,2,0,,,,,,,,
125,2,1,1,0,,,,,,,,
126,2,1,1,0,405,-0.000952,0.115328,0.577091,0.0040,0.000000,,
127,2,0,2,0,,,,,,,,
