iter,games,wins,losses,draws,decisions,samples,pi_loss,v_loss,entropy,clip_frac,archetype_loss,time_s,eval_win_rate,eval_games
1,16,7,9,0,3287,2795,-0.001456,0.084796,1.461882,0.0000,0.453707,12.48,,
2,16,8,8,0,3468,2631,-0.002010,0.069510,1.500543,0.0000,0.006716,14.36,,
3,16,7,9,0,3236,2198,0.001596,0.078117,1.483517,0.0000,0.001871,13.13,,
4,16,3,13,0,3443,2665,0.003548,0.068262,1.489764,0.0001,0.001390,13.70,,
5,16,5,11,0,3155,1774,-0.000611,0.082774,1.474243,0.0000,0.000970,12.03,,
6,16,6,10,0,2938,1874,-0.004750,0.084007,1.491533,0.0000,0.000837,11.60,,
7,16,7,9,0,2978,2212,-0.000747,0.090630,1.467025,0.0000,0.000719,11.81,,
8,16,7,9,0,3293,2308,0.023375,0.072016,1.492652,0.0008,0.000465,13.25,,
9,16,9,7,0,3112,1952,-0.001757,0.082321,1.486505,0.0000,0.000540,11.76,,
10,16,10,6,0,3211,2246,-0.000546,0.076713,1.437300,0.0000,0.000514,12.76,0.6500,20
11,16,10,6,0,3081,1627,-0.003980,0.089999,1.437043,0.0000,0.000357,11.52,,
12,16,8,8,0,2906,1973,-0.002439,0.078707,1.456322,0.0000,0.000525,12.02,,
13,16,6,10,0,3170,2175,-0.003396,0.069266,1.458151,0.0003,0.000381,12.57,,
14,16,11,5,0,3108,1966,-0.006579,0.060994,1.458785,0.0271,0.000126,12.71,,
15,16,10,6,0,3323,2579,-0.010643,0.077033,1.406625,0.0160,0.000147,14.33,,
16,16,7,9,0,2998,2087,0.003487,0.066720,1.336260,0.0107,0.000057,11.72,,
17,16,8,8,0,2806,1736,-0.001356,0.074143,1.333019,0.0035,0.000036,11.18,,
18,16,6,10,0,2773,2146,0.003430,0.071617,1.339641,0.0151,0.000014,11.65,,
19,16,8,8,0,2516,1681,-0.005978,0.087016,1.368638,0.0178,0.000006,11.06,,
20,16,11,5,0,2338,1527,-0.003798,0.086396,1.337418,0.0298,0.000007,9.40,0.5500,20
21,16,9,7,0,2351,1569,-0.005232,0.101036,1.305464,0.0183,0.000005,9.56,,
22,16,10,6,0,2440,1727,-0.005292,0.107761,1.305781,0.0392,0.000006,9.82,,
23,16,7,9,0,2845,1934,0.001667,0.070800,1.297371,0.0312,0.000005,11.33,,
24,16,8,8,0,2369,1493,-0.001945,0.092290,1.295213,0.0055,0.000004,8.85,,
25,16,7,9,0,2706,1845,-0.011953,0.086042,1.230463,0.0201,0.000004,10.72,,
26,16,10,6,0,2490,1434,-0.002382,0.095124,1.254912,0.0013,0.000002,9.34,,
27,16,7,9,0,2587,1949,-0.000892,0.092033,1.276397,0.0231,0.000002,10.99,,
28,16,10,6,0,2667,1397,-0.008906,0.090248,1.281015,0.0051,0.000003,9.90,,
29,16,9,7,0,2544,1435,-0.005749,0.085776,1.261120,0.0483,0.000001,9.69,,
30,16,9,7,0,2335,1647,-0.009556,0.112117,1.335429,0.0091,0.000002,9.14,0.6500,20
31,16,11,5,0,2356,1314,-0.026886,0.098010,1.298131,0.0293,0.000001,8.85,,
32,16,9,7,0,2691,1950,-0.001492,0.069164,1.256417,0.0202,0.000001,10.66,,
33,16,11,5,0,2390,1311,-0.015964,0.077886,1.255655,0.0506,0.000000,8.75,,
34,16,8,8,0,2854,1947,-0.006163,0.096232,1.208429,0.0591,0.000001,12.40,,
35,16,7,9,0,1985,1392,-0.005773,0.118949,1.173633,0.0092,0.000000,7.68,,
36,16,10,6,0,2613,1980,-0.006803,0.088936,1.150269,0.0319,0.000000,11.35,,
37,16,11,5,0,2050,1159,-0.003615,0.110165,1.132705,0.0128,0.000000,7.64,,
38,16,10,6,0,2173,1572,0.014273,0.096508,1.087374,0.0451,0.000000,9.11,,
39,16,7,9,0,1809,1437,-0.003102,0.113006,1.080487,0.0194,0.000000,7.60,,
40,16,5,11,0,2467,1638,-0.006015,0.097879,1.057856,0.0134,0.000000,10.13,0.7500,20
41,16,8,8,0,2246,1414,-0.000069,0.090413,1.038577,0.0072,0.000000,8.82,,
42,16,8,8,0,2471,1882,-0.007104,0.135707,1.023013,0.0199,0.000000,10.05,,
43,16,8,8,0,2225,1508,-0.000782,0.119804,1.036159,0.0011,0.000000,9.10,,
44,16,5,11,0,2365,1427,-0.004803,0.128205,0.993967,0.0170,0.000000,9.13,,
45,16,6,10,0,2210,1511,-0.002965,0.128326,1.026489,0.0169,0.000000,8.63,,
46,16,8,8,0,2314,1767,-0.002504,0.090026,1.014093,0.0265,0.000001,9.40,,
47,16,9,7,0,2603,1586,-0.012476,0.099167,0.978997,0.0310,0.000000,10.60,,
48,16,8,8,0,2121,1512,-0.003474,0.097266,0.966025,0.0332,0.000000,8.45,,
49,16,9,7,0,2253,1613,-0.005770,0.114937,0.995724,0.0589,0.000000,8.76,,
