iter,games,wins,losses,draws,samples,pi_loss,v_loss,entropy,clip_frac,archetype_loss,eval_win_rate,eval_games
1,2,1,1,0,,,,,,,,
2,2,2,0,0,,,,,,,,
3,2,0,2,0,413,-0.019487,0.066479,0.841366,0.0088,0.000000,,
4,2,0,2,0,,,,,,,,
5,2,2,0,0,,,,,,,,
6,2,0,2,0,340,-0.009669,0.150254,0.881118,0.0000,0.000000,,
7,2,1,1,0,,,,,,,,
8,2,1,1,0,,,,,,,,
9,2,1,1,0,372,-0.011770,0.135364,0.808663,0.0040,0.000000,,
10,2,0,2,0,,,,,,,0.8500,20
11,2,1,1,0,,,,,,,,
12,2,1,1,0,404,-0.008492,0.151076,0.799566,0.0029,0.000000,,
13,2,1,1,0,,,,,,,,
14,2,2,0,0,,,,,,,,
15,2,0,2,0,435,-0.002877,0.087690,0.804479,0.0009,0.000001,,
16,2,0,2,0,,,,,,,,
17,2,2,0,0,,,,,,,,
18,2,2,0,0,401,-0.010498,0.172117,0.775509,0.0000,0.000000,,
19,2,1,1,0,,,,,,,,
20,2,1,1,0,,,,,,,0.9500,20
21,2,0,2,0,347,0.005078,0.097620,0.758903,0.0007,0.000000,,
22,2,1,1,0,,,,,,,,
23,2,1,1,0,,,,,,,,
24,2,1,1,0,384,-0.028164,0.111152,0.809459,0.0000,0.000000,,
25,2,0,2,0,,,,,,,,
26,2,1,1,0,,,,,,,,
27,2,1,1,0,337,0.001286,0.129837,0.802487,0.0054,0.000001,,
28,2,0,2,0,,,,,,,,
29,2,2,0,0,,,,,,,,
30,2,1,1,0,358,-0.019993,0.090409,0.811787,0.0049,0.000000,0.7500,20
31,2,0,2,0,,,,,,,,
32,2,1,1,0,,,,,,,,
33,2,2,0,0,349,-0.024079,0.065097,0.742729,0.0024,0.000000,,
34,2,1,1,0,,,,,,,,
35,2,1,1,0,,,,,,,,
36,2,1,1,0,365,0.016790,0.131721,0.851257,0.0000,0.000000,,
37,2,0,2,0,,,,,,,,
38,2,2,0,0,,,,,,,,
39,2,1,1,0,362,0.002695,0.129012,0.786045,0.0000,0.000000,,
40,2,1,1,0,,,,,,,0.9000,20
41,2,1,1,0,,,,,,,,
42,2,2,0,0,407,0.008940,0.136265,0.754796,0.0029,0.000000,,
43,2,2,0,0,,,,,,,,
44,2,0,2,0,,,,,,,,
45,2,2,0,0,351,0.028604,0.140179,0.713962,0.0000,0.000000,,
46,2,2,0,0,,,,,,,,
47,2,2,0,0,,,,,,,,
48,2,1,1,0,359,0.012137,0.086423,0.657792,0.0055,0.000000,,
49,2,1,1,0,,,,,,,,
50,2,2,0,0,,,,,,,0.9500,20
51,2,0,2,0,352,-0.024732,0.082408,0.769340,0.0000,0.000000,,
52,2,2,0,0,,,,,,,,
53,2,1,1,0,,,,,,,,
54,2,1,1,0,343,-0.035861,0.123627,0.756912,0.0090,0.000000,,
55,2,1,1,0,,,,,,,,
56,2,1,1,0,,,,,,,,
57,2,1,1,0,356,-0.012055,0.079674,0.784921,0.0023,0.000000,,
58,2,1,1,0,,,,,,,,
59,2,1,1,0,,,,,,,,
60,2,1,1,0,416,0.000346,0.136795,0.749596,0.0055,0.000000,0.8000,20
61,2,1,1,0,,,,,,,,
62,2,1,1,0,,,,,,,,
63,2,0,2,0,481,-0.003112,0.088638,0.765752,0.0048,0.000000,,
64,2,1,1,0,,,,,,,,
65,2,1,1,0,,,,,,,,
66,2,1,1,0,428,-0.005939,0.087210,0.796096,0.0016,0.000000,,
67,2,1,1,0,,,,,,,,
68,2,0,2,0,,,,,,,,
69,2,0,2,0,403,0.011252,0.090614,0.723966,0.0011,0.000000,,
70,2,1,1,0,,,,,,,0.9500,20
71,2,0,2,0,,,,,,,,
72,2,2,0,0,362,-0.016449,0.119891,0.813334,0.0057,0.000000,,
73,2,1,1,0,,,,,,,,
74,2,2,0,0,,,,,,,,
75,2,0,2,0,303,0.002575,0.075600,0.813716,0.0000,0.000000,,
76,2,0,2,0,,,,,,,,
77,2,2,0,0,,,,,,,,
78,2,0,2,0,391,-0.002505,0.079210,0.822552,0.0007,0.000000,,
79,2,1,1,0,,,,,,,,
80,2,1,1,0,,,,,,,0.8000,20
81,2,0,2,0,455,-0.006830,0.091665,0.825402,0.0000,0.000000,,
82,2,1,1,0,,,,,,,,
83,2,1,1,0,,,,,,,,
84,2,1,1,0,382,-0.006480,0.060964,0.875754,0.0053,0.000000,,
85,2,2,0,0,,,,,,,,
86,2,0,2,0,,,,,,,,
87,2,0,2,0,251,-0.000353,0.188773,0.809940,0.0000,0.000000,,
88,2,1,1,0,,,,,,,,
89,2,1,1,0,,,,,,,,
90,2,2,0,0,331,-0.049066,0.135216,0.846554,0.0000,0.000000,0.9000,20
91,2,1,1,0,,,,,,,,
92,2,1,1,0,,,,,,,,
93,2,1,1,0,467,-0.003219,0.117414,0.789567,0.0000,0.000000,,
94,2,0,2,0,,,,,,,,
95,2,1,1,0,,,,,,,,
96,2,1,1,0,389,0.013580,0.124913,0.836748,0.0000,0.000001,,
97,2,2,0,0,,,,,,,,
98,2,0,2,0,,,,,,,,
99,2,0,2,0,384,-0.017945,0.092739,0.876414,0.0000,0.000000,,
100,2,2,0,0,,,,,,,0.8000,20
101,2,2,0,0,,,,,,,,
102,2,2,0,0,370,-0.003378,0.089525,0.887137,0.0000,0.000000,,
103,2,1,1,0,,,,,,,,
104,2,1,1,0,,,,,,,,
105,2,1,1,0,301,-0.017587,0.122782,0.885405,0.0000,0.000000,,
106,2,1,1,0,,,,,,,,
107,2,2,0,0,,,,,,,,
108,2,1,1,0,315,-0.014432,0.090447,0.754392,0.0000,0.000000,,
109,2,1,1,0,,,,,,,,
110,2,1,1,0,,,,,,,0.9500,20
111,2,1,1,0,369,-0.011765,0.164653,0.818268,0.0057,0.000000,,
112,2,1,1,0,,,,,,,,
113,2,0,2,0,,,,,,,,
114,2,1,1,0,402,0.002116,0.167949,0.775190,0.0111,0.000000,,
115,2,1,1,0,,,,,,,,
116,2,1,1,0,,,,,,,,
117,2,1,1,0,348,0.004927,0.164460,0.741962,0.0018,0.000000,,
118,2,1,1,0,,,,,,,,
119,2,1,1,0,,,,,,,,
120,2,2,0,0,452,0.001007,0.098234,0.800429,0.0026,0.000001,0.9500,20
121,2,1,1,0,,,,,,,,
122,2,2,0,0,,,,,,,,
123,2,1,1,0,260,0.179343,0.140820,0.827712,0.0000,0.000000,,
124,2,0,2,0,,,,,,,,
125,2,2,0,0,,,,,,,,
126,2,2,0,0,426,-0.019214,0.077061,0.788796,0.0000,0.000000,,
127,2,1,1,0,,,,,,,,
128,2,1,1,0,,,,,,,,
129,2,1,1,0,400,-0.001577,0.086492,0.827773,0.0035,0.000000,,
130,2,1,1,0,,,,,,,0.9000,20
131,2,1,1,0,,,,,,,,
132,2,0,2,0,323,0.028143,0.100420,0.859704,0.0000,0.000000,,
133,2,1,1,0,,,,,,,,
134,2,0,2,0,,,,,,,,
135,2,1,1,0,340,-0.016729,0.104843,0.782366,0.0000,0.000000,,
136,2,1,1,0,,,,,,,,
137,2,0,2,0,,,,,,,,
138,2,1,1,0,325,0.010904,0.132218,0.767670,0.0000,0.000000,,
