iter,games,wins,losses,draws,decisions,samples,pi_loss,v_loss,entropy,clip_frac,archetype_loss,time_s,eval_win_rate,eval_games
1,16,8,8,0,3042,2613,0.000279,0.080246,1.511995,0.0000,0.435070,11.66,,
2,16,9,7,0,2990,2195,-0.000910,0.081358,1.527879,0.0000,0.009071,12.08,,
3,16,9,7,0,3195,2150,-0.004177,0.073342,1.535809,0.0000,0.003889,12.39,,
4,16,8,8,0,3308,2564,-0.033874,0.087219,1.554012,0.0000,0.002207,13.97,,
5,16,6,10,0,3201,1909,0.005609,0.088527,1.474422,0.0000,0.003012,11.77,,
6,16,9,7,0,3234,2073,0.005803,0.088533,1.529290,0.0000,0.001078,12.76,,
7,16,9,7,0,3239,2329,0.000808,0.069402,1.565300,0.0000,0.000816,13.56,,
8,16,6,10,0,3001,2091,0.002879,0.068141,1.553087,0.0000,0.000707,12.55,,
9,16,8,8,0,3083,1971,-0.004094,0.065443,1.511958,0.0145,0.000471,12.08,,
10,16,7,9,0,3322,2369,0.000924,0.070976,1.476704,0.0000,0.000539,13.37,0.6500,20
11,16,7,9,0,2765,1470,-0.001411,0.093423,1.513620,0.0000,0.000225,10.57,,
12,16,7,9,0,2732,1850,-0.011512,0.088924,1.446270,0.0169,0.000375,11.22,,
13,16,12,4,0,2679,1703,-0.005108,0.086393,1.466287,0.0049,0.000176,10.04,,
14,16,11,5,0,2473,1569,-0.000177,0.077231,1.441929,0.0055,0.000161,10.15,,
15,16,9,7,0,2116,1640,-0.001030,0.104581,1.453835,0.0002,0.000426,9.23,,
16,16,6,10,0,2633,1863,-0.005246,0.136540,1.403153,0.0000,0.000254,10.39,,
17,16,7,9,0,3016,1998,-0.004692,0.066349,1.438387,0.0287,0.000332,12.27,,
18,16,8,8,0,2318,1697,-0.003447,0.111870,1.419529,0.0377,0.000183,9.95,,
19,16,7,9,0,2303,1535,-0.004326,0.081586,1.433782,0.0291,0.000115,8.86,,
20,16,7,9,0,2239,1401,-0.004811,0.102123,1.383727,0.0005,0.000093,8.06,0.8750,20
21,16,5,11,0,2505,1572,-0.012754,0.110690,1.412955,0.0000,0.000095,9.79,,
22,16,10,6,0,2592,1786,-0.002386,0.105085,1.366421,0.0060,0.000135,10.17,,
23,16,7,9,0,2716,1709,-0.003878,0.082071,1.400333,0.0397,0.000065,10.28,,
24,16,9,7,0,2570,1531,-0.003342,0.083994,1.378508,0.0118,0.000018,10.13,,
25,16,9,7,0,2294,1515,-0.002963,0.113258,1.330734,0.0030,0.000020,8.93,,
26,16,9,7,0,2319,1414,-0.002509,0.105007,1.342574,0.0088,0.000012,8.57,,
27,16,10,6,0,2066,1619,-0.005959,0.124484,1.295350,0.0043,0.000005,8.34,,
28,16,6,10,0,2099,1294,0.006952,0.108445,1.321797,0.0307,0.000013,8.53,,
29,16,10,6,0,2358,1379,-0.009549,0.097682,1.394534,0.0058,0.000020,8.94,,
30,16,7,9,0,1994,1464,-0.003556,0.108413,1.344451,0.0090,0.000013,7.90,0.7500,20
31,16,8,8,0,2069,1133,0.002397,0.097080,1.276551,0.0057,0.000008,7.57,,
32,16,12,4,0,2644,1823,-0.009191,0.095433,1.244595,0.0260,0.000016,10.94,,
33,16,8,8,0,2584,1431,-0.006383,0.101145,1.305107,0.0140,0.000005,9.96,,
