iter,games,wins,losses,draws,samples,pi_loss,v_loss,entropy,clip_frac,archetype_loss,eval_win_rate,eval_games
1,2,1,1,0,,,,,,,,
2,2,1,1,0,,,,,,,,
3,2,1,1,0,384,0.003766,0.072148,0.788675,0.0046,0.000002,,
4,2,0,2,0,,,,,,,,
5,2,2,0,0,,,,,,,,
6,2,0,2,0,502,-0.004294,0.098122,0.856922,0.0080,0.000002,,
7,2,1,1,0,,,,,,,,
8,2,0,2,0,,,,,,,,
9,2,0,2,0,301,-0.029601,0.137925,0.845672,0.0157,0.000000,,
10,2,0,2,0,,,,,,,0.7000,20
11,2,1,1,0,,,,,,,,
12,2,2,0,0,457,-0.001569,0.120202,0.806699,0.0007,0.000000,,
13,2,0,2,0,,,,,,,,
14,2,0,2,0,,,,,,,,
15,2,0,2,0,672,0.006464,0.030100,0.919727,0.0018,0.000000,,
16,2,0,2,0,,,,,,,,
17,2,2,0,0,,,,,,,,
18,2,0,2,0,369,0.011828,0.110632,0.792775,0.0007,0.000001,,
19,2,0,2,0,,,,,,,,
20,2,0,2,0,,,,,,,0.5500,20
21,2,1,1,0,572,-0.006377,0.045404,0.835097,0.0054,0.000000,,
22,2,1,1,0,,,,,,,,
23,2,0,2,0,,,,,,,,
24,2,1,1,0,388,0.001325,0.080709,0.787028,0.0102,0.000000,,
25,2,0,2,0,,,,,,,,
26,2,1,1,0,,,,,,,,
27,2,0,2,0,342,-0.032494,0.067385,0.774942,0.0039,0.000000,,
28,2,0,2,0,,,,,,,,
29,2,1,1,0,,,,,,,,
30,2,1,1,0,483,-0.001391,0.071170,0.833380,0.0000,0.000000,1.0000,20
31,2,0,2,0,,,,,,,,
32,2,0,2,0,,,,,,,,
33,2,0,2,0,465,-0.006331,0.036579,0.858237,0.0000,0.000000,,
34,2,1,1,0,,,,,,,,
35,2,2,0,0,,,,,,,,
36,2,0,2,0,467,0.000902,0.144320,0.829301,0.0008,0.000000,,
37,2,0,2,0,,,,,,,,
