iter,games,wins,losses,draws,decisions,samples,pi_loss,v_loss,entropy,clip_frac,archetype_loss,time_s,eval_win_rate,eval_games
1,16,9,7,0,2316,2118,-0.003481,0.084888,1.592487,0.0000,0.492896,7.94,,
2,16,10,6,0,2943,2402,0.001890,0.074020,1.618852,0.0000,0.016688,12.20,,
3,16,9,7,0,2763,2003,-0.001016,0.070032,1.591551,0.0000,0.002492,10.97,,
4,16,8,8,0,3272,2765,-0.002069,0.072249,1.641628,0.0000,0.001418,13.45,,
5,16,7,9,0,2632,1765,-0.001273,0.085215,1.582065,0.0000,0.000970,10.39,,
6,16,7,9,0,3304,2350,0.009484,0.079848,1.619340,0.0000,0.001169,13.87,,
7,16,6,10,0,2868,2147,-0.000874,0.075375,1.576073,0.0000,0.000860,11.16,,
8,16,8,8,0,3097,2409,-0.007605,0.057545,1.596884,0.0220,0.000698,13.17,,
9,16,12,4,0,3106,2141,-0.011143,0.073673,1.622748,0.0139,0.000463,14.22,,
10,16,7,9,0,3261,2621,0.006797,0.067473,1.603524,0.0150,0.000413,14.85,0.5000,20
11,16,13,3,0,3138,2030,-0.002360,0.082137,1.598244,0.0012,0.000359,12.66,,
12,16,10,6,0,2906,1997,-0.006052,0.081476,1.512305,0.0725,0.000216,11.37,,
13,16,10,6,0,3256,2359,-0.004406,0.067215,1.636724,0.0001,0.000265,13.48,,
14,16,12,4,0,3143,2290,-0.005923,0.055067,1.547741,0.0570,0.000170,12.77,,
15,16,14,2,0,2818,2456,-0.006146,0.058895,1.530630,0.0502,0.000112,12.31,,
16,16,11,5,0,2972,2234,-0.004420,0.075022,1.619849,0.0145,0.000082,12.77,,
17,16,5,11,0,2369,1825,0.000537,0.082517,1.590387,0.0685,0.000143,10.50,,
18,16,9,7,0,2895,2438,-0.002664,0.073211,1.576593,0.0069,0.000197,12.58,,
19,16,13,3,0,2181,1472,-0.006390,0.081681,1.516731,0.0338,0.000089,8.45,,
20,16,6,10,0,3249,2267,-0.003671,0.077296,1.604031,0.0082,0.000122,13.29,0.9000,20
21,16,6,10,0,2681,1989,0.000337,0.064525,1.567744,0.0057,0.000166,11.64,,
22,16,7,9,0,2711,2014,-0.001709,0.072532,1.543722,0.0018,0.000163,11.63,,
23,16,7,9,0,2663,2002,-0.002224,0.064896,1.615324,0.0017,0.000176,10.86,,
24,16,9,7,0,3186,2198,-0.004775,0.077389,1.539027,0.0574,0.000139,12.64,,
25,16,9,7,0,2927,2165,-0.004533,0.065990,1.514934,0.0147,0.000080,12.54,,
26,16,7,9,0,3270,2257,-0.003244,0.072046,1.599326,0.0188,0.000104,13.71,,
27,16,10,6,0,2999,2519,-0.000491,0.081450,1.497397,0.0004,0.000086,12.96,,
28,16,9,7,0,3121,1894,-0.008968,0.065533,1.560232,0.0004,0.000099,12.49,,
29,16,7,9,0,2708,1760,-0.003683,0.088910,1.521041,0.0031,0.000132,11.48,,
30,16,12,4,0,3342,2449,-0.003385,0.064449,1.501005,0.0274,0.000083,14.18,0.9000,20
31,16,11,5,0,2611,1649,-0.004477,0.089990,1.520265,0.0479,0.000066,10.73,,
32,16,12,4,0,2239,1736,-0.003645,0.093041,1.544513,0.0029,0.000080,9.30,,
33,16,11,5,0,2433,1308,-0.011776,0.110762,1.485553,0.0342,0.000029,9.32,,
34,16,12,4,0,2043,1380,-0.012657,0.104447,1.423249,0.0119,0.000015,8.36,,
35,16,9,7,0,2251,1556,0.022406,0.103791,1.348943,0.0167,0.000013,8.90,,
36,16,9,7,0,2102,1745,-0.002591,0.082548,1.397566,0.0402,0.000017,9.49,,
37,16,9,7,0,2564,1614,-0.001257,0.098800,1.392933,0.0224,0.000011,9.84,,
38,16,10,6,0,2046,1500,-0.000830,0.107780,1.379882,0.0007,0.000019,8.86,,
39,16,8,8,0,2112,1628,-0.008235,0.085344,1.372084,0.0776,0.000025,8.70,,
40,16,9,7,0,1864,1452,-0.004737,0.101568,1.285211,0.0253,0.000020,8.43,0.7000,20
41,16,9,7,0,2074,1528,-0.002345,0.107027,1.302138,0.0059,0.000020,8.84,,
42,16,10,6,0,1631,1298,-0.022444,0.113699,1.300540,0.0065,0.000027,7.28,,
43,16,9,7,0,2594,1819,-0.023996,0.102088,1.264267,0.0161,0.000032,10.94,,
44,16,10,6,0,1734,1145,0.005757,0.124103,1.285129,0.0003,0.000027,6.92,,
45,16,8,8,0,1491,1035,-0.011078,0.127407,1.253524,0.0013,0.000005,6.15,,
46,16,9,7,0,1470,1147,-0.005924,0.180110,1.319154,0.0016,0.000002,6.48,,
47,16,10,6,0,1799,1183,0.000032,0.114052,1.280073,0.0185,0.000007,7.36,,
48,16,8,8,0,2784,2124,-0.010148,0.073583,1.313683,0.0567,0.000032,11.94,,
49,16,7,9,0,1630,1260,-0.004859,0.124712,1.195413,0.0142,0.000008,6.96,,
