iter,games,wins,losses,draws,samples,pi_loss,v_loss,entropy,clip_frac,archetype_loss,eval_win_rate,eval_games
1,2,0,2,0,,,,,,,,
2,2,0,2,0,,,,,,,,
3,2,0,2,0,263,0.117235,0.115869,1.037719,0.1252,0.000000,,
4,2,0,2,0,,,,,,,,
5,2,0,2,0,,,,,,,,
6,2,0,2,0,235,-0.001695,0.033957,1.149348,0.0000,0.000000,,
7,2,0,2,0,,,,,,,,
8,2,0,2,0,,,,,,,,
9,2,0,2,0,235,-0.001722,0.027122,1.258633,0.0000,0.000000,,
10,2,0,2,0,,,,,,,0.9000,20
11,2,0,2,0,,,,,,,,
12,2,0,2,0,210,-0.002552,0.020373,1.140119,0.0000,0.000000,,
13,2,0,2,0,,,,,,,,
14,2,0,2,0,,,,,,,,
15,2,2,0,0,273,0.138900,0.129718,1.102375,0.0020,0.000000,,
16,2,0,2,0,,,,,,,,
17,2,0,2,0,,,,,,,,
18,2,0,2,0,319,0.012725,0.010661,1.157003,0.0066,0.000000,,
19,2,0,2,0,,,,,,,,
20,2,0,2,0,,,,,,,0.9000,20
21,2,0,2,0,327,0.007443,0.013490,1.127317,0.0593,0.000000,,
22,2,0,2,0,,,,,,,,
23,2,0,2,0,,,,,,,,
24,2,0,2,0,376,0.013580,0.015300,1.164559,0.0014,0.000000,,
25,2,0,2,0,,,,,,,,
26,2,0,2,0,,,,,,,,
27,2,0,2,0,402,0.005026,0.010272,1.132592,0.0000,0.000000,,
28,2,0,2,0,,,,,,,,
29,2,0,2,0,,,,,,,,
30,2,0,2,0,325,-0.011915,0.009904,1.157903,0.0000,0.000000,0.9500,20
31,2,0,2,0,,,,,,,,
32,2,0,2,0,,,,,,,,
33,2,0,2,0,373,0.011634,0.014331,1.074276,0.0000,0.000000,,
34,2,0,2,0,,,,,,,,
35,2,0,2,0,,,,,,,,
36,2,0,2,0,488,-0.002415,0.006553,1.086064,0.0000,0.000000,,
37,2,0,2,0,,,,,,,,
38,2,0,2,0,,,,,,,,
39,2,0,2,0,331,0.029848,0.015936,1.009836,0.0000,0.000000,,
