iter,games,wins,losses,draws,decisions,samples,pi_loss,v_loss,entropy,clip_frac,archetype_loss,time_s,eval_win_rate,eval_games
1,16,9,7,0,2587,2408,-0.005578,0.097290,1.554450,0.0007,0.512545,8.67,,
2,16,10,6,0,2999,2406,-0.000234,0.081075,1.549881,0.0019,0.010705,12.45,,
3,16,7,9,0,2988,2218,-0.000925,0.064814,1.531099,0.0045,0.002486,12.76,,
4,16,6,10,0,2882,2527,-0.003065,0.085146,1.570989,0.0020,0.001178,12.69,,
5,16,13,3,0,2823,1818,0.001727,0.076266,1.582564,0.0002,0.000763,11.87,,
6,16,14,2,0,3000,2089,-0.010776,0.089142,1.502826,0.0888,0.000878,13.59,,
7,16,9,7,0,3034,2384,-0.000081,0.068748,1.518539,0.0220,0.000767,13.07,,
8,16,7,9,0,2979,2338,-0.004902,0.053967,1.488430,0.0108,0.000425,13.61,,
9,16,8,8,0,3047,2153,-0.007840,0.060962,1.456918,0.0799,0.000435,13.13,,
10,16,9,7,0,2908,2272,-0.003706,0.074197,1.493193,0.0250,0.000194,12.64,0.7500,20
11,16,12,4,0,2739,1707,-0.005487,0.075931,1.434469,0.0237,0.000185,11.88,,
12,16,8,8,0,3075,2272,-0.001988,0.061569,1.583119,0.0299,0.000399,13.68,,
13,16,11,5,0,2870,2026,-0.003380,0.072625,1.451690,0.0545,0.000140,12.29,,
14,16,10,6,0,2900,2130,-0.002612,0.079755,1.484804,0.0534,0.000184,13.22,,
15,16,7,9,0,3002,2546,-0.004851,0.075987,1.503342,0.1061,0.000145,13.73,,
16,16,10,6,0,3246,2461,-0.003503,0.053479,1.376692,0.0133,0.000113,14.94,,
17,16,7,9,0,2933,1999,-0.004234,0.083958,1.490126,0.0334,0.000217,12.31,,
18,16,6,10,0,3011,2487,-0.004436,0.073106,1.445722,0.0423,0.000113,12.69,,
19,16,10,6,0,3228,2490,-0.002325,0.075562,1.487089,0.0187,0.000185,14.98,,
20,16,7,9,0,2885,1878,0.004151,0.071201,1.413367,0.0515,0.000083,12.27,0.5500,20
21,16,10,6,0,3163,2425,-0.002015,0.050702,1.414606,0.0514,0.000112,14.49,,
22,16,13,3,0,2978,2175,-0.004622,0.065137,1.505923,0.0752,0.000089,12.64,,
23,16,10,6,0,3553,2609,-0.009778,0.052778,1.370111,0.0314,0.000048,15.71,,
24,16,10,6,0,3116,2123,-0.000867,0.068097,1.473647,0.0383,0.000044,13.50,,
25,16,11,5,0,2801,2205,-0.007158,0.092639,1.395048,0.0570,0.000006,12.50,,
26,16,10,6,0,3031,2068,0.006591,0.059070,1.403267,0.0383,0.000003,12.33,,
27,16,7,9,0,2871,2456,-0.000336,0.072013,1.486457,0.0395,0.000002,13.11,,
28,16,9,7,0,3399,2249,-0.003153,0.062007,1.407625,0.0139,0.000002,14.27,,
29,16,5,11,0,2929,1843,-0.010720,0.079475,1.345783,0.0270,0.000004,12.54,,
30,16,6,10,0,2700,2045,-0.004164,0.079037,1.407114,0.0582,0.000002,11.60,0.6000,20
31,16,10,6,0,2881,1870,-0.006973,0.072785,1.410608,0.0367,0.000000,12.59,,
32,16,10,6,0,2648,2109,0.008355,0.076932,1.421973,0.0581,0.000000,11.38,,
33,16,7,9,0,2820,1889,-0.011984,0.092696,1.333034,0.0044,0.000001,11.60,,
34,16,9,7,0,2829,2015,-0.004120,0.071594,1.241593,0.0447,0.000001,12.32,,
35,16,6,10,0,2538,1947,0.000448,0.088175,1.320103,0.0512,0.000001,10.89,,
36,16,10,6,0,2545,2057,0.005253,0.105374,1.308489,0.0221,0.000001,11.00,,
37,16,10,6,0,2634,1883,0.003092,0.062959,1.237832,0.0382,0.000006,11.46,,
38,16,9,7,0,2924,2320,-0.008831,0.067806,1.270564,0.0701,0.000001,12.58,,
39,16,7,9,0,2660,2191,-0.000928,0.065916,1.244941,0.0099,0.000001,11.12,,
40,16,3,13,0,3018,2341,-0.008049,0.065264,1.217743,0.0442,0.000000,13.35,0.7500,20
41,16,10,6,0,2341,1765,-0.005233,0.093321,1.280261,0.0788,0.000008,10.41,,
42,16,9,7,0,2639,2098,0.007287,0.094334,1.262342,0.0356,0.000005,11.57,,
43,16,7,9,0,2677,1985,-0.002977,0.057332,1.157667,0.0153,0.000001,11.40,,
44,16,9,7,0,2301,1735,-0.001974,0.089370,1.219094,0.0142,0.000001,10.56,,
45,16,7,9,0,2106,1567,-0.002986,0.090080,1.156493,0.0487,0.000000,9.22,,
46,16,10,6,0,2549,2000,-0.001149,0.105761,1.171613,0.0450,0.000000,11.06,,
47,16,7,9,0,2972,2116,-0.010805,0.062427,1.091583,0.0496,0.000000,13.23,,
48,16,11,5,0,2160,1802,-0.003540,0.066311,1.071518,0.0140,0.000000,9.84,,
49,16,6,10,0,2741,2301,-0.002905,0.053260,1.029353,0.0207,0.000000,12.47,,
50,16,9,7,0,2588,2102,-0.012569,0.059249,1.031468,0.0242,0.000004,11.98,0.9000,20
51,16,11,5,0,2268,1531,-0.001426,0.096218,1.004395,0.0111,0.000002,9.48,,
52,16,6,10,0,2867,2064,0.007481,0.052628,1.021743,0.0343,0.000000,12.43,,
53,16,8,8,0,3142,2251,-0.005039,0.062578,1.035484,0.0360,0.000000,13.98,,
54,16,12,4,0,2418,1746,-0.003704,0.068290,1.044110,0.0089,0.000000,10.52,,
55,16,11,5,0,2722,2060,-0.012236,0.073675,1.023971,0.0321,0.000000,12.71,,
56,16,8,8,0,2647,1742,-0.004140,0.072267,0.995403,0.0455,0.000000,11.46,,
57,16,10,6,0,3163,2595,-0.004024,0.049704,0.982746,0.0349,0.000000,14.29,,
58,16,8,8,0,2573,1720,-0.005327,0.067514,1.090257,0.0294,0.000000,11.11,,
59,16,7,9,0,3095,2632,0.001795,0.061425,1.026392,0.0326,0.000000,14.38,,
60,16,8,8,0,3217,2379,-0.003753,0.068225,1.047710,0.0369,0.000000,14.39,0.8000,20
61,16,7,9,0,2345,1781,-0.003826,0.081642,1.088761,0.0214,0.000000,10.66,,
62,16,5,11,0,2375,2081,0.005914,0.067373,0.974654,0.0179,0.000000,11.60,,
63,16,8,8,0,3194,2396,0.001913,0.040916,0.988914,0.0202,0.000000,13.59,,
64,16,8,8,0,2749,2301,-0.003113,0.062872,0.986244,0.0181,0.000000,10.22,,
65,16,7,9,0,2490,1765,-0.004858,0.065757,1.033427,0.0825,0.000001,8.51,,
66,16,9,7,0,2530,1584,0.006507,0.093950,1.002258,0.0464,0.000000,8.63,,
67,16,9,7,0,3326,2695,-0.003639,0.037207,1.046697,0.0243,0.000000,12.52,,
68,16,9,7,0,2822,2034,-0.004168,0.057416,1.042283,0.0486,0.000000,10.14,,
69,16,10,6,0,3009,2093,0.002948,0.053492,1.051887,0.0674,0.000001,10.87,,
70,16,12,4,0,3118,2339,-0.003157,0.051238,0.998324,0.0163,0.000000,11.34,0.8000,20
71,16,12,4,0,2858,2060,-0.039009,0.057989,0.955385,0.0320,0.000000,10.42,,
