iter,games,wins,losses,draws,samples,pi_loss,v_loss,entropy,clip_frac,archetype_loss,eval_win_rate,eval_games
1,2,1,1,0,,,,,,,,
2,2,0,2,0,,,,,,,,
3,2,0,2,0,601,0.000048,0.059612,0.696216,0.0275,0.000000,,
4,2,0,2,0,,,,,,,,
5,2,2,0,0,,,,,,,,
6,2,0,2,0,445,0.004521,0.062346,0.657928,0.0031,0.000001,,
7,2,1,1,0,,,,,,,,
8,2,0,2,0,,,,,,,,
9,2,0,2,0,493,0.000411,0.130177,0.717338,0.0049,0.000000,,
10,2,1,1,0,,,,,,,0.6000,20
11,2,1,1,0,,,,,,,,
12,2,0,2,0,394,-0.003922,0.093984,0.692275,0.0080,0.000000,,
13,2,0,2,0,,,,,,,,
14,2,1,1,0,,,,,,,,
15,2,1,1,0,528,-0.002325,0.048936,0.611337,0.0195,0.000000,,
16,2,1,1,0,,,,,,,,
17,2,1,1,0,,,,,,,,
18,2,1,1,0,543,-0.013956,0.056456,0.797603,0.0049,0.000000,,
19,2,0,2,0,,,,,,,,
20,2,0,2,0,,,,,,,0.7500,20
21,2,1,1,0,473,-0.006482,0.052903,0.636145,0.0105,0.000000,,
22,2,1,1,0,,,,,,,,
23,2,0,2,0,,,,,,,,
24,2,1,1,0,535,0.009022,0.077316,0.654314,0.0030,0.000000,,
25,2,1,1,0,,,,,,,,
26,2,1,1,0,,,,,,,,
27,2,1,1,0,525,0.030042,0.095376,0.663344,0.0094,0.000000,,
28,2,1,1,0,,,,,,,,
29,2,1,1,0,,,,,,,,
30,2,1,1,0,509,-0.000752,0.120485,0.634090,0.0000,0.000000,0.4500,20
31,2,0,2,0,,,,,,,,
32,2,1,1,0,,,,,,,,
33,2,1,1,0,595,0.007894,0.056006,0.670869,0.0282,0.000000,,
34,2,1,1,0,,,,,,,,
35,2,0,2,0,,,,,,,,
36,2,0,2,0,441,0.002009,0.055977,0.672157,0.0009,0.000000,,
37,2,2,0,0,,,,,,,,
38,2,0,2,0,,,,,,,,
39,2,1,1,0,592,-0.021829,0.081449,0.632329,0.0036,0.000000,,
40,2,1,1,0,,,,,,,0.4000,20
41,2,2,0,0,,,,,,,,
42,2,1,1,0,519,-0.103545,0.059274,0.622984,0.0000,0.000000,,
43,2,1,1,0,,,,,,,,
44,2,0,2,0,,,,,,,,
45,2,1,1,0,489,-0.001613,0.102689,0.716604,0.0007,0.000000,,
46,2,1,1,0,,,,,,,,
47,2,0,2,0,,,,,,,,
48,2,0,2,0,551,-0.007521,0.102768,0.682956,0.0177,0.000000,,
49,2,1,1,0,,,,,,,,
50,2,0,2,0,,,,,,,0.5500,20
51,2,0,2,0,613,0.013159,0.047567,0.653130,0.0324,0.000000,,
52,2,0,2,0,,,,,,,,
53,2,0,2,0,,,,,,,,
54,2,1,1,0,542,-0.008454,0.052234,0.702267,0.0030,0.000000,,
55,2,1,1,0,,,,,,,,
56,2,0,2,0,,,,,,,,
57,2,0,2,0,499,-0.001141,0.040652,0.690329,0.0007,0.000000,,
58,2,0,2,0,,,,,,,,
59,2,0,2,0,,,,,,,,
60,2,1,1,0,589,-0.001551,0.041928,0.679506,0.0252,0.000000,0.7500,20
61,2,0,2,0,,,,,,,,
62,2,1,1,0,,,,,,,,
63,2,1,1,0,631,0.004299,0.081957,0.727374,0.0004,0.000000,,
64,2,2,0,0,,,,,,,,
