iter,games,wins,losses,draws,decisions,samples,pi_loss,v_loss,entropy,clip_frac,archetype_loss,time_s,eval_win_rate,eval_games
1,16,9,7,0,3808,3436,-0.000034,0.063511,1.508973,0.0000,0.326893,16.29,,
2,16,9,7,0,4201,3323,-0.001433,0.036244,1.499546,0.0000,0.003455,18.14,,
3,16,11,5,0,3881,2827,-0.002482,0.042402,1.529215,0.0000,0.001489,17.17,,
4,16,12,4,0,3912,3202,-0.002350,0.051154,1.496897,0.0006,0.000978,17.20,,
5,16,8,8,0,4624,2950,-0.000794,0.036667,1.516881,0.0000,0.000891,19.33,,
6,16,7,9,0,4580,3231,0.000096,0.029806,1.468483,0.0003,0.000616,19.60,,
7,16,8,8,0,4033,3226,-0.001201,0.042936,1.567463,0.0000,0.000440,17.82,,
8,16,9,7,0,4275,3170,-0.001092,0.037497,1.532758,0.0011,0.000504,19.41,,
9,16,10,6,0,4078,2884,0.004457,0.039059,1.468961,0.0024,0.000303,17.69,,
10,16,8,8,0,4650,3625,-0.003024,0.038974,1.488989,0.0014,0.000369,21.18,1.0000,20
11,16,9,7,0,4335,2546,-0.003892,0.032287,1.479800,0.0362,0.000462,17.25,,
12,16,8,8,0,4394,3141,-0.001119,0.044817,1.547524,0.0110,0.000488,19.58,,
13,16,10,6,0,4395,2994,-0.003121,0.037658,1.551809,0.0020,0.000288,19.05,,
14,16,7,9,0,3939,2717,-0.000184,0.039361,1.530573,0.0104,0.000244,17.78,,
15,16,6,10,0,4416,3695,-0.004051,0.033188,1.452318,0.0311,0.000265,20.00,,
16,16,10,6,0,4267,3086,0.009123,0.039550,1.446602,0.0160,0.000234,18.89,,
17,16,11,5,0,4520,3143,-0.002585,0.029544,1.444417,0.0462,0.000129,19.45,,
18,16,11,5,0,4504,3644,-0.005523,0.029497,1.406119,0.0157,0.000108,20.03,,
19,16,9,7,0,3735,2740,-0.003651,0.051707,1.427046,0.0579,0.000070,16.75,,
20,16,10,6,0,4107,2691,0.001148,0.028167,1.375768,0.0372,0.000036,17.65,0.8500,20
21,16,12,4,0,4264,2965,-0.004736,0.055225,1.358601,0.0132,0.000043,18.77,,
22,16,5,11,0,4209,3186,0.003937,0.043502,1.318158,0.0285,0.000012,18.34,,
23,16,7,9,0,3317,2353,-0.006763,0.051938,1.321704,0.0074,0.000008,13.70,,
24,16,8,8,0,3972,2555,-0.002517,0.044415,1.240561,0.0354,0.000011,16.93,,
25,16,9,7,0,3705,2785,-0.001910,0.056063,1.241110,0.0114,0.000008,15.62,,
26,16,7,9,0,3750,2460,-0.002661,0.039413,1.183960,0.0153,0.000004,15.76,,
27,16,12,4,0,3836,3107,-0.007927,0.049448,1.170410,0.0276,0.000004,17.04,,
28,16,10,6,0,3203,1888,-0.006453,0.045046,1.201611,0.0277,0.000000,13.07,,
29,16,9,7,0,4329,2617,0.002252,0.045509,1.132380,0.0149,0.000001,19.00,,
30,16,6,10,0,3884,2884,-0.003449,0.055048,1.095055,0.0174,0.000002,17.13,0.9000,20
31,16,6,10,0,3619,2347,-0.011130,0.055216,1.089149,0.0162,0.000001,14.93,,
32,16,9,7,0,3556,2686,-0.005741,0.042651,1.090511,0.0623,0.000001,15.70,,
33,16,11,5,0,2955,1822,-0.009538,0.065990,1.089015,0.0438,0.000000,12.37,,
34,16,8,8,0,2995,2247,-0.002626,0.062878,1.037447,0.0127,0.000000,13.00,,
35,16,9,7,0,2879,2144,-0.005303,0.081471,1.043996,0.0032,0.000001,12.57,,
36,16,4,12,0,3078,2505,-0.003352,0.055482,1.043913,0.0216,0.000000,14.20,,
37,16,13,3,0,3271,1876,-0.004879,0.064750,1.035871,0.0284,0.000000,13.56,,
38,16,9,7,0,2775,2316,0.005925,0.065541,1.037757,0.0282,0.000000,12.99,,
39,16,7,9,0,2296,1795,0.018640,0.074141,1.064180,0.0400,0.000000,10.16,,
40,16,6,10,0,2929,2199,0.000355,0.063955,1.019059,0.0201,0.000000,12.77,1.0000,20
41,16,7,9,0,3057,2117,-0.006580,0.068902,1.012818,0.0328,0.000000,13.90,,
42,16,8,8,0,3348,2649,-0.001897,0.068785,1.026146,0.0476,0.000000,15.14,,
43,16,5,11,0,2839,1943,0.001992,0.076729,1.012461,0.0043,0.000001,13.11,,
44,16,7,9,0,2609,1763,-0.004952,0.060694,0.953706,0.0232,0.000000,10.89,,
45,16,9,7,0,2716,1958,-0.007125,0.076230,0.956722,0.0352,0.000000,12.19,,
46,16,10,6,0,3049,2196,-0.003039,0.076878,1.011305,0.0378,0.000002,14.49,,
47,16,6,10,0,3358,2070,0.024438,0.059784,0.908891,0.0143,0.000000,14.30,,
48,16,9,7,0,3055,2275,-0.004977,0.064714,0.944070,0.0401,0.000000,11.65,,
49,16,8,8,0,2901,2226,-0.001997,0.052593,0.991732,0.0287,0.000001,10.51,,
50,16,8,8,0,2734,2070,-0.015890,0.058696,0.955606,0.0232,0.000000,10.19,0.6500,20
51,16,5,11,0,2156,1414,-0.000262,0.087639,1.016481,0.0193,0.000000,7.66,,
52,16,9,7,0,2646,2026,-0.004137,0.058373,1.025290,0.0407,0.000000,10.45,,
53,16,8,8,0,3163,2136,-0.003641,0.085507,0.973010,0.0204,0.000000,11.49,,
54,16,9,7,0,2578,1581,-0.005093,0.063196,1.009917,0.0019,0.000000,9.30,,
55,16,9,7,0,2843,2252,-0.003496,0.068439,0.958749,0.0477,0.000000,10.67,,
