iter,games,wins,losses,draws,samples,pi_loss,v_loss,entropy,clip_frac,archetype_loss,eval_win_rate,eval_games
1,2,0,2,0,,,,,,,,
2,2,1,1,0,,,,,,,,
3,2,2,0,0,352,-0.034712,0.136277,0.576538,0.0113,0.000004,,
4,2,1,1,0,,,,,,,,
5,2,1,1,0,,,,,,,,
6,2,2,0,0,246,-0.001916,0.138001,0.629869,0.0000,0.000001,,
7,2,1,1,0,,,,,,,,
8,2,1,1,0,,,,,,,,
9,2,2,0,0,276,-0.096128,0.112292,0.616729,0.0007,0.000000,,
10,2,1,1,0,,,,,,,0.8500,20
11,2,0,2,0,,,,,,,,
12,2,0,2,0,322,0.003508,0.186994,0.628347,0.0013,0.000000,,
13,2,0,2,0,,,,,,,,
14,2,0,2,0,,,,,,,,
15,2,1,1,0,318,0.043447,0.076626,0.661518,0.0059,0.000000,,
16,2,2,0,0,,,,,,,,
17,2,1,1,0,,,,,,,,
18,2,2,0,0,320,0.018980,0.275486,0.610891,0.0000,0.000000,,
19,2,1,1,0,,,,,,,,
20,2,1,1,0,,,,,,,0.7000,20
21,2,2,0,0,268,0.033073,0.158711,0.702030,0.0000,0.000000,,
22,2,1,1,0,,,,,,,,
23,2,1,1,0,,,,,,,,
24,2,0,2,0,275,0.047234,0.221942,0.623138,0.0000,0.000000,,
25,2,2,0,0,,,,,,,,
26,2,1,1,0,,,,,,,,
27,2,2,0,0,297,0.046297,0.233762,0.640882,0.0000,0.000001,,
28,2,2,0,0,,,,,,,,
29,2,1,1,0,,,,,,,,
30,2,0,2,0,324,0.008585,0.162780,0.641961,0.0031,0.000001,0.6000,20
31,2,1,1,0,,,,,,,,
32,2,1,1,0,,,,,,,,
33,2,1,1,0,346,-0.010932,0.129150,0.627730,0.0000,0.000002,,
34,2,0,2,0,,,,,,,,
35,2,0,2,0,,,,,,,,
36,2,0,2,0,262,0.008089,0.163138,0.744948,0.0007,0.000001,,
37,2,1,1,0,,,,,,,,
38,2,0,2,0,,,,,,,,
39,2,2,0,0,206,-0.000708,0.240578,0.630670,0.0000,0.000000,,
40,2,1,1,0,,,,,,,0.7000,20
41,2,1,1,0,,,,,,,,
42,2,2,0,0,346,-0.012932,0.186564,0.601261,0.0000,0.000000,,
43,2,1,1,0,,,,,,,,
44,2,2,0,0,,,,,,,,
45,2,1,1,0,241,-0.000865,0.216715,0.638011,0.0000,0.000003,,
46,2,1,1,0,,,,,,,,
47,2,1,1,0,,,,,,,,
48,2,1,1,0,309,-0.045933,0.157547,0.689617,0.0000,0.000001,,
49,2,1,1,0,,,,,,,,
50,2,0,2,0,,,,,,,0.9000,20
51,2,1,1,0,321,-0.017852,0.141604,0.607592,0.0026,0.000000,,
52,2,0,2,0,,,,,,,,
53,2,1,1,0,,,,,,,,
54,2,1,1,0,278,-0.095926,0.195874,0.614163,0.0082,0.000000,,
55,2,0,2,0,,,,,,,,
56,2,1,1,0,,,,,,,,
57,2,1,1,0,291,0.013314,0.161222,0.672183,0.0054,0.000003,,
58,2,1,1,0,,,,,,,,
59,2,1,1,0,,,,,,,,
60,2,0,2,0,287,0.001429,0.127099,0.644742,0.0000,0.000005,0.7500,20
61,2,0,2,0,,,,,,,,
62,2,1,1,0,,,,,,,,
63,2,2,0,0,272,0.008219,0.157016,0.677274,0.0000,0.000000,,
64,2,0,2,0,,,,,,,,
65,2,1,1,0,,,,,,,,
66,2,1,1,0,315,-0.065016,0.098291,0.654991,0.0063,0.000000,,
67,2,1,1,0,,,,,,,,
68,2,1,1,0,,,,,,,,
69,2,2,0,0,285,-0.082660,0.158756,0.717722,0.0013,0.000000,,
70,2,1,1,0,,,,,,,0.6500,20
71,2,1,1,0,,,,,,,,
72,2,1,1,0,358,-0.041285,0.136383,0.721316,0.0108,0.000000,,
73,2,1,1,0,,,,,,,,
74,2,1,1,0,,,,,,,,
75,2,1,1,0,300,-0.002630,0.118721,0.728643,0.0044,0.000000,,
76,2,1,1,0,,,,,,,,
77,2,2,0,0,,,,,,,,
78,2,0,2,0,372,0.001845,0.107780,0.734544,0.0027,0.000000,,
79,2,0,2,0,,,,,,,,
80,2,2,0,0,,,,,,,0.7000,20
81,2,0,2,0,305,0.006325,0.169972,0.763212,0.0000,0.000000,,
82,2,1,1,0,,,,,,,,
83,2,2,0,0,,,,,,,,
84,2,0,2,0,343,0.001743,0.145990,0.770461,0.0007,0.000000,,
85,2,2,0,0,,,,,,,,
86,2,1,1,0,,,,,,,,
87,2,1,1,0,315,-0.025535,0.160939,0.732679,0.0048,0.000001,,
88,2,2,0,0,,,,,,,,
89,2,2,0,0,,,,,,,,
90,2,1,1,0,326,-0.013935,0.114572,0.787993,0.0000,0.000001,0.8500,20
91,2,1,1,0,,,,,,,,
92,2,1,1,0,,,,,,,,
93,2,0,2,0,365,-0.016682,0.167036,0.806554,0.0000,0.000002,,
94,2,0,2,0,,,,,,,,
95,2,2,0,0,,,,,,,,
96,2,1,1,0,312,-0.037080,0.145839,0.717643,0.0030,0.000002,,
97,2,2,0,0,,,,,,,,
98,2,1,1,0,,,,,,,,
99,2,2,0,0,250,-0.001473,0.152176,0.787191,0.0000,0.000001,,
100,2,1,1,0,,,,,,,0.9000,20
101,2,1,1,0,,,,,,,,
102,2,2,0,0,315,-0.012647,0.133619,0.807054,0.0007,0.000003,,
103,2,0,2,0,,,,,,,,
104,2,2,0,0,,,,,,,,
105,2,2,0,0,309,-0.072910,0.151301,0.746284,0.0000,0.000000,,
106,2,1,1,0,,,,,,,,
107,2,0,2,0,,,,,,,,
108,2,2,0,0,323,-0.028389,0.134100,0.797557,0.0069,0.000000,,
109,2,1,1,0,,,,,,,,
110,2,0,2,0,,,,,,,0.9000,20
111,2,1,1,0,315,0.057594,0.164641,0.787391,0.0007,0.000000,,
112,2,2,0,0,,,,,,,,
113,2,0,2,0,,,,,,,,
114,2,1,1,0,253,-0.001330,0.174760,0.685550,0.0000,0.000000,,
115,2,0,2,0,,,,,,,,
116,2,2,0,0,,,,,,,,
117,2,2,0,0,329,-0.014454,0.131000,0.686606,0.0023,0.000000,,
118,2,1,1,0,,,,,,,,
119,2,0,2,0,,,,,,,,
120,2,1,1,0,303,0.060496,0.137909,0.715170,0.0007,0.000000,0.8000,20
121,2,0,2,0,,,,,,,,
122,2,2,0,0,,,,,,,,
123,2,0,2,0,298,0.001337,0.159869,0.725796,0.0000,0.000000,,
124,2,1,1,0,,,,,,,,
125,2,0,2,0,,,,,,,,
126,2,0,2,0,329,0.003060,0.071744,0.751647,0.0023,0.000000,,
127,2,0,2,0,,,,,,,,
128,2,0,2,0,,,,,,,,
129,2,1,1,0,270,-0.062194,0.142715,0.753813,0.0000,0.000000,,
130,2,0,2,0,,,,,,,0.6500,20
131,2,1,1,0,,,,,,,,
132,2,1,1,0,191,-0.002502,0.230166,0.853686,0.0017,0.000000,,
133,2,2,0,0,,,,,,,,
134,2,1,1,0,,,,,,,,
135,2,1,1,0,323,-0.008245,0.189380,0.893572,0.0132,0.000000,,
136,2,1,1,0,,,,,,,,
137,2,1,1,0,,,,,,,,
138,2,2,0,0,307,-0.039741,0.192553,0.855017,0.0000,0.000000,,
139,2,1,1,0,,,,,,,,
140,2,1,1,0,,,,,,,0.6250,20
141,2,0,2,0,333,-0.028372,0.144278,0.840658,0.0000,0.000000,,
142,2,1,1,0,,,,,,,,
143,2,1,1,0,,,,,,,,
144,2,1,1,0,247,-0.000600,0.170060,0.792966,0.0000,0.000000,,
145,2,1,1,0,,,,,,,,
146,2,1,1,0,,,,,,,,
147,2,1,1,0,324,0.023913,0.147934,0.829968,0.0007,0.000000,,
148,2,0,2,0,,,,,,,,
149,2,1,1,0,,,,,,,,
150,2,1,1,0,215,-0.001373,0.193389,0.799694,0.0000,0.000000,0.8000,20
151,2,1,1,0,,,,,,,,
152,2,0,2,0,,,,,,,,
153,2,2,0,0,294,-0.028241,0.157486,0.808175,0.0132,0.000000,,
154,2,1,1,0,,,,,,,,
155,2,1,1,0,,,,,,,,
156,2,1,1,0,307,0.006239,0.136890,0.786335,0.0007,0.000000,,
157,2,1,1,0,,,,,,,,
158,2,1,1,0,,,,,,,,
