iter,games,wins,losses,draws,decisions,samples,pi_loss,v_loss,entropy,clip_frac,archetype_loss,time_s,eval_win_rate,eval_games
1,16,10,6,0,3216,2550,-0.000940,0.082947,1.539218,0.0000,0.530899,9.61,,
2,16,8,8,0,2925,2090,-0.017378,0.069340,1.556484,0.0000,0.007529,10.74,,
3,16,7,9,0,3419,2089,0.005222,0.061830,1.517457,0.0000,0.002094,12.07,,
4,16,7,9,0,3228,2285,-0.001045,0.082785,1.546044,0.0000,0.001239,12.13,,
5,16,7,9,0,2859,1592,0.000255,0.095467,1.539603,0.0000,0.001591,10.38,,
6,16,10,6,0,3346,2014,-0.004265,0.060364,1.548606,0.0003,0.001085,11.82,,
7,16,7,9,0,3389,2216,-0.001060,0.069212,1.473719,0.0072,0.000692,12.45,,
8,16,6,10,0,3231,2022,-0.001049,0.066715,1.490014,0.0023,0.000379,11.84,,
9,16,4,12,0,2619,1530,-0.001711,0.099374,1.505609,0.0000,0.000171,9.73,,
10,16,9,7,0,2591,1703,-0.003059,0.080688,1.465906,0.0000,0.000175,9.65,0.7500,20
11,16,9,7,0,3006,1524,-0.002059,0.091062,1.507261,0.0000,0.000275,9.93,,
12,16,11,5,0,2520,1594,-0.008368,0.081798,1.494827,0.0000,0.000254,9.94,,
13,16,5,11,0,2804,1671,-0.004860,0.085696,1.460695,0.0038,0.000227,9.74,,
14,16,9,7,0,2814,1672,-0.008231,0.104606,1.447366,0.0117,0.000322,11.10,,
15,16,9,7,0,2947,2151,-0.007431,0.105938,1.425519,0.0353,0.000568,12.60,,
16,16,11,5,0,3197,2106,-0.017421,0.065570,1.440408,0.0023,0.000500,11.76,,
17,16,9,7,0,2811,1632,-0.000916,0.067301,1.419423,0.0020,0.000167,9.85,,
18,16,9,7,0,2499,1691,0.000454,0.093076,1.415310,0.0048,0.000181,10.13,,
19,16,8,8,0,2111,1268,-0.003301,0.104057,1.371051,0.0011,0.000127,7.34,,
20,16,8,8,0,2971,1662,-0.003587,0.087539,1.346156,0.0237,0.000243,10.67,0.9000,20
21,16,6,10,0,2352,1524,-0.002631,0.118434,1.387662,0.0007,0.000082,7.95,,
22,16,4,12,0,2531,1655,-0.002849,0.070559,1.397021,0.0155,0.000130,9.98,,
23,16,7,9,0,2440,1583,0.000936,0.071439,1.344245,0.0302,0.000055,8.93,,
24,16,10,6,0,2292,1350,0.014608,0.096398,1.317640,0.0129,0.000104,8.52,,
25,16,5,11,0,2352,1569,0.003302,0.099616,1.277445,0.0174,0.000063,8.76,,
26,16,11,5,0,1863,1117,-0.011253,0.118203,1.295716,0.0086,0.000039,7.12,,
27,16,6,10,0,1788,1323,-0.019368,0.130188,1.265281,0.0388,0.000042,7.32,,
28,16,11,5,0,2196,1245,-0.004987,0.112951,1.212687,0.0121,0.000049,8.37,,
29,16,6,10,0,1873,1164,-0.005824,0.145073,1.230675,0.0040,0.000049,7.39,,
30,16,10,6,0,2134,1479,-0.005982,0.105041,1.180298,0.0137,0.000206,7.88,1.0000,20
31,16,11,5,0,1709,1008,-0.004967,0.083527,1.140200,0.0137,0.000046,6.37,,
32,16,6,10,0,1902,1335,0.004319,0.149396,1.140620,0.0170,0.000024,7.40,,
33,16,9,7,0,1809,950,-0.006204,0.160928,1.080884,0.0094,0.000022,6.51,,
34,16,8,8,0,1701,1135,-0.000815,0.112308,1.129216,0.0126,0.000028,7.28,,
35,16,9,7,0,1352,935,-0.001145,0.164746,1.131171,0.0141,0.000217,5.12,,
36,16,10,6,0,1462,1041,-0.018666,0.208010,1.074634,0.0193,0.000045,6.18,,
37,16,6,10,0,1765,1014,-0.005324,0.110848,1.085344,0.0205,0.000069,6.32,,
38,16,11,5,0,1976,1402,-0.008225,0.128803,1.072705,0.0222,0.000075,7.68,,
39,16,8,8,0,1907,1392,-0.012131,0.115945,1.061375,0.0075,0.000112,7.52,,
40,16,6,10,0,1584,1035,0.050836,0.124045,1.083039,0.0144,0.000043,6.09,0.9500,20
41,16,8,8,0,1698,1219,-0.003358,0.155118,1.078596,0.0273,0.000052,7.24,,
42,16,6,10,0,1791,1276,-0.003353,0.139318,1.023114,0.0120,0.000111,6.82,,
43,16,6,10,0,1430,897,0.002441,0.151003,1.032941,0.0032,0.000029,5.97,,
44,16,10,6,0,1739,1194,-0.005979,0.117482,1.051511,0.0249,0.000058,7.04,,
45,16,7,9,0,1691,1213,-0.007193,0.120816,1.077002,0.0307,0.000088,7.19,,
46,16,8,8,0,2032,1485,-0.005660,0.134984,1.071149,0.0508,0.000077,7.63,,
47,16,11,5,0,1849,1089,-0.012667,0.118290,1.068580,0.0091,0.000119,7.38,,
48,16,7,9,0,1492,1045,0.010988,0.193178,1.052218,0.0094,0.000184,5.52,,
49,16,4,12,0,1541,1003,-0.002775,0.167910,1.052913,0.0030,0.000095,6.06,,
50,16,9,7,0,1735,1270,-0.005112,0.122136,1.061450,0.0242,0.000220,7.03,0.8500,20
51,16,5,11,0,1910,1138,0.010599,0.148170,1.050034,0.0183,0.000129,7.24,,
52,16,6,10,0,1932,1299,-0.029248,0.105521,0.998340,0.0301,0.000071,7.29,,
53,16,10,6,0,1704,1144,-0.006086,0.126440,0.990411,0.0198,0.000081,7.26,,
54,16,8,8,0,2066,1137,-0.007675,0.146426,0.992848,0.0247,0.000024,7.38,,
55,16,5,11,0,1893,1255,-0.005367,0.139159,0.966803,0.0191,0.000035,7.06,,
56,16,7,9,0,1862,1053,-0.036152,0.143771,0.958571,0.0744,0.000010,7.21,,
57,16,8,8,0,1638,1180,0.000369,0.153846,0.897392,0.0170,0.000002,6.34,,
58,16,10,6,0,1555,911,-0.006096,0.155295,0.862313,0.0247,0.000002,6.33,,
59,16,8,8,0,1406,1046,0.003669,0.139228,0.848424,0.0424,0.000002,5.40,,
60,16,13,3,0,1538,874,0.000178,0.150733,0.841568,0.0031,0.000002,5.63,0.8500,20
61,16,7,9,0,1702,1175,-0.007037,0.185165,0.860676,0.0339,0.000004,6.84,,
62,16,6,10,0,1535,1161,-0.005791,0.162748,0.846392,0.0242,0.000004,6.75,,
63,16,10,6,0,1484,954,-0.004976,0.167199,0.846403,0.0039,0.000003,6.06,,
64,16,7,9,0,1449,1029,-0.083044,0.182690,0.848059,0.0349,0.000006,5.63,,
65,16,9,7,0,1652,995,-0.001668,0.144810,0.787590,0.0064,0.000012,6.60,,
66,16,8,8,0,1412,765,-0.001852,0.149949,0.800531,0.0018,0.000006,5.37,,
67,16,4,12,0,1661,1141,-0.003389,0.213716,0.856675,0.0128,0.000017,6.39,,
68,16,6,10,0,1625,998,-0.002941,0.163366,0.812786,0.0049,0.000007,6.05,,
69,16,7,9,0,1499,931,-0.002070,0.134277,0.814171,0.0025,0.000007,5.91,,
70,16,8,8,0,1548,1028,-0.061484,0.144308,0.821819,0.0312,0.000004,6.17,0.8000,20
71,16,8,8,0,1757,1197,-0.006353,0.172563,0.784004,0.0380,0.000015,6.87,,
72,16,7,8,1,1640,1086,0.001149,0.140789,0.784170,0.0199,0.000007,6.64,,
73,16,9,7,0,1648,927,-0.007033,0.179530,0.749505,0.0244,0.000005,5.99,,
74,16,8,8,0,1626,1203,-0.001446,0.174883,0.796557,0.0181,0.000007,6.54,,
75,16,8,8,0,1488,1033,0.007527,0.156486,0.775947,0.0139,0.000006,5.94,,
76,16,9,7,0,1547,1038,-0.032750,0.173305,0.828483,0.0298,0.000003,6.16,,
77,16,9,7,0,1545,1043,-0.006728,0.162084,0.765909,0.0263,0.000001,5.88,,
78,16,9,7,0,1452,979,-0.004550,0.227764,0.797224,0.0188,0.000001,5.73,,
79,16,9,7,0,1469,891,0.000002,0.144108,0.811198,0.0214,0.000003,5.77,,
80,16,11,5,0,1681,1155,-0.002719,0.155215,0.820860,0.0145,0.000003,6.54,0.9500,20
81,16,7,9,0,1833,1217,-0.002946,0.151525,0.824433,0.0029,0.000005,7.11,,
82,16,9,7,0,1617,1101,-0.004814,0.158170,0.741336,0.0078,0.000003,6.36,,
83,16,10,6,0,1588,1302,-0.005806,0.159586,0.724942,0.0205,0.000002,6.39,,
84,16,12,3,1,1550,1133,-0.007848,0.163239,0.728469,0.0104,0.000002,6.71,,
85,16,10,6,0,1616,1061,0.019195,0.144503,0.676407,0.0237,0.000004,6.35,,
86,16,10,6,0,1546,1042,0.017218,0.149302,0.703381,0.0115,0.000002,6.74,,
87,16,4,12,0,1534,1153,-0.004843,0.167706,0.696197,0.0122,0.000002,6.79,,
88,16,9,7,0,1585,921,0.001000,0.135834,0.681540,0.0192,0.000003,6.07,,
89,16,8,8,0,1720,1131,0.004170,0.228799,0.666610,0.0095,0.000002,6.62,,
90,16,9,7,0,1607,1113,-0.004131,0.182218,0.638126,0.0207,0.000002,6.75,0.8000,20
91,16,10,5,1,1523,881,-0.001743,0.128594,0.625446,0.0128,0.000001,5.95,,
92,16,11,5,0,1318,1000,-0.000854,0.204480,0.689308,0.0030,0.000002,5.73,,
93,16,8,8,0,1298,737,-0.004780,0.158410,0.644409,0.0029,0.000000,4.98,,
94,16,11,5,0,1272,802,0.006002,0.253563,0.630074,0.0062,0.000000,5.29,,
95,16,7,8,1,1624,1205,-0.001252,0.189997,0.666053,0.0197,0.000002,6.68,,
96,16,7,9,0,1683,975,-0.005233,0.133274,0.589487,0.0079,0.000001,6.32,,
97,16,6,10,0,1701,1089,0.010541,0.124172,0.651300,0.0140,0.000012,7.15,,
98,16,8,8,0,1525,952,-0.000830,0.144888,0.640903,0.0127,0.000003,6.22,,
99,16,10,6,0,1653,1104,-0.023558,0.163291,0.632277,0.0278,0.000002,6.68,,
100,16,9,7,0,1687,1089,-0.000638,0.107676,0.608196,0.0298,0.000001,6.98,0.7000,20
