iter,games,wins,losses,draws,samples,pi_loss,v_loss,entropy,clip_frac,archetype_loss,eval_win_rate,eval_games
1,2,2,0,0,,,,,,,,
2,2,1,1,0,,,,,,,,
3,2,1,1,0,323,0.010439,0.114324,0.672338,0.0354,0.000000,,
4,2,1,1,0,,,,,,,,
5,2,2,0,0,,,,,,,,
6,2,0,2,0,291,-0.004681,0.178692,0.562204,0.0026,0.000001,,
7,2,2,0,0,,,,,,,,
8,2,1,1,0,,,,,,,,
9,2,1,1,0,223,-0.002662,0.130326,0.546772,0.0015,0.000000,,
10,2,2,0,0,,,,,,,0.9500,20
11,2,1,1,0,,,,,,,,
12,2,1,1,0,292,0.039276,0.081935,0.636198,0.0105,0.000000,,
13,2,1,1,0,,,,,,,,
14,2,0,2,0,,,,,,,,
15,2,1,1,0,231,-0.002460,0.202380,0.616363,0.0000,0.000000,,
16,2,1,1,0,,,,,,,,
17,2,1,1,0,,,,,,,,
18,2,1,1,0,362,-0.003635,0.209260,0.595904,0.0102,0.000000,,
19,2,0,2,0,,,,,,,,
20,2,1,1,0,,,,,,,0.8000,20
21,2,0,2,0,242,-0.000035,0.221733,0.626792,0.0000,0.000000,,
22,2,1,1,0,,,,,,,,
23,2,0,2,0,,,,,,,,
24,2,1,1,0,244,-0.000594,0.104016,0.582461,0.0000,0.000000,,
25,2,0,2,0,,,,,,,,
26,2,1,1,0,,,,,,,,
27,2,1,1,0,317,-0.008007,0.106557,0.587261,0.0000,0.000001,,
28,2,1,1,0,,,,,,,,
29,2,2,0,0,,,,,,,,
30,2,0,2,0,304,-0.027155,0.101320,0.576708,0.0007,0.000000,1.0000,20
31,2,1,1,0,,,,,,,,
32,2,1,1,0,,,,,,,,
33,2,1,1,0,342,-0.007024,0.119109,0.574793,0.0039,0.000000,,
34,2,1,1,0,,,,,,,,
35,2,1,1,0,,,,,,,,
36,2,1,1,0,297,0.010992,0.135488,0.553309,0.0007,0.000000,,
37,2,1,1,0,,,,,,,,
38,2,2,0,0,,,,,,,,
39,2,2,0,0,339,-0.009926,0.150863,0.615154,0.0080,0.000000,,
40,2,2,0,0,,,,,,,1.0000,20
41,2,1,1,0,,,,,,,,
42,2,0,2,0,317,-0.003667,0.165697,0.539445,0.0094,0.000000,,
43,2,1,1,0,,,,,,,,
44,2,1,1,0,,,,,,,,
45,2,2,0,0,385,0.013219,0.103835,0.596545,0.0071,0.000000,,
46,2,0,2,0,,,,,,,,
47,2,1,1,0,,,,,,,,
48,2,0,2,0,241,-0.001638,0.158282,0.604599,0.0014,0.000000,,
49,2,1,1,0,,,,,,,,
50,2,1,1,0,,,,,,,0.8000,20
51,2,1,1,0,382,0.006921,0.162955,0.622441,0.0013,0.000000,,
52,2,0,2,0,,,,,,,,
53,2,2,0,0,,,,,,,,
54,2,2,0,0,268,-0.043265,0.134526,0.648404,0.0000,0.000000,,
55,2,2,0,0,,,,,,,,
56,2,0,2,0,,,,,,,,
57,2,1,1,0,328,-0.023085,0.116025,0.648004,0.0036,0.000000,,
58,2,1,1,0,,,,,,,,
59,2,2,0,0,,,,,,,,
60,2,2,0,0,293,-0.033891,0.090430,0.666904,0.0000,0.000000,1.0000,20
61,2,2,0,0,,,,,,,,
62,2,0,2,0,,,,,,,,
63,2,1,1,0,256,-0.001547,0.243591,0.633210,0.0000,0.000000,,
64,2,2,0,0,,,,,,,,
65,2,2,0,0,,,,,,,,
66,2,1,1,0,347,0.001658,0.076237,0.620736,0.0007,0.000000,,
67,2,2,0,0,,,,,,,,
68,2,1,1,0,,,,,,,,
69,2,1,1,0,284,-0.002376,0.133687,0.687153,0.0007,0.000000,,
70,2,1,1,0,,,,,,,0.9500,20
71,2,1,1,0,,,,,,,,
72,2,1,1,0,346,-0.006756,0.081565,0.611833,0.0050,0.000000,,
73,2,1,1,0,,,,,,,,
74,2,1,1,0,,,,,,,,
75,2,2,0,0,373,-0.021955,0.074427,0.628019,0.0021,0.000001,,
76,2,1,1,0,,,,,,,,
77,2,1,1,0,,,,,,,,
78,2,1,1,0,228,-0.000924,0.126226,0.682402,0.0000,0.000000,,
79,2,0,2,0,,,,,,,,
80,2,1,1,0,,,,,,,1.0000,20
81,2,0,2,0,309,0.029195,0.158859,0.657612,0.0007,0.000000,,
82,2,1,1,0,,,,,,,,
83,2,2,0,0,,,,,,,,
84,2,1,1,0,259,-0.007952,0.234247,0.740264,0.0000,0.000000,,
85,2,2,0,0,,,,,,,,
86,2,1,1,0,,,,,,,,
87,2,0,2,0,320,0.024758,0.140315,0.632411,0.0000,0.000000,,
88,2,1,1,0,,,,,,,,
89,2,2,0,0,,,,,,,,
90,2,1,1,0,376,-0.012775,0.083463,0.558397,0.0000,0.000000,0.9500,20
91,2,2,0,0,,,,,,,,
92,2,1,1,0,,,,,,,,
93,2,2,0,0,324,0.008711,0.081390,0.693331,0.0025,0.000000,,
94,2,2,0,0,,,,,,,,
95,2,1,1,0,,,,,,,,
96,2,2,0,0,319,-0.020953,0.121162,0.680535,0.0026,0.000000,,
97,2,2,0,0,,,,,,,,
98,2,1,1,0,,,,,,,,
99,2,1,1,0,307,0.068765,0.155202,0.636863,0.0007,0.000000,,
100,2,0,2,0,,,,,,,1.0000,20
101,2,2,0,0,,,,,,,,
102,2,2,0,0,351,-0.007267,0.126849,0.603640,0.0024,0.000000,,
103,2,1,1,0,,,,,,,,
104,2,0,2,0,,,,,,,,
105,2,1,1,0,331,0.019740,0.116938,0.609358,0.0000,0.000000,,
106,2,0,2,0,,,,,,,,
107,2,0,2,0,,,,,,,,
108,2,2,0,0,309,-0.021444,0.083791,0.649245,0.0031,0.000000,,
109,2,2,0,0,,,,,,,,
110,2,1,1,0,,,,,,,0.9000,20
111,2,1,1,0,370,0.003564,0.148326,0.683176,0.0007,0.000000,,
112,2,2,0,0,,,,,,,,
113,2,1,1,0,,,,,,,,
114,2,2,0,0,336,-0.036688,0.154632,0.657383,0.0000,0.000000,,
115,2,2,0,0,,,,,,,,
116,2,1,1,0,,,,,,,,
117,2,0,2,0,334,-0.011079,0.063834,0.678298,0.0097,0.000000,,
118,2,2,0,0,,,,,,,,
119,2,1,1,0,,,,,,,,
120,2,2,0,0,286,0.013791,0.107385,0.654658,0.0026,0.000000,1.0000,20
121,2,2,0,0,,,,,,,,
122,2,1,1,0,,,,,,,,
123,2,2,0,0,326,0.032311,0.095787,0.682261,0.0078,0.000000,,
124,2,1,1,0,,,,,,,,
125,2,2,0,0,,,,,,,,
126,2,1,1,0,293,-0.020356,0.119905,0.683282,0.0020,0.000000,,
127,2,1,1,0,,,,,,,,
128,2,1,1,0,,,,,,,,
129,2,1,1,0,292,0.032479,0.090124,0.594109,0.0007,0.000000,,
130,2,2,0,0,,,,,,,0.7000,20
131,2,2,0,0,,,,,,,,
132,2,2,0,0,280,-0.018938,0.042533,0.661647,0.0007,0.000000,,
133,2,1,1,0,,,,,,,,
134,2,1,1,0,,,,,,,,
135,2,2,0,0,239,-0.001103,0.184189,0.631975,0.0000,0.000000,,
136,2,0,2,0,,,,,,,,
137,2,1,1,0,,,,,,,,
138,2,1,1,0,311,0.004036,0.167895,0.600151,0.0061,0.000000,,
139,2,2,0,0,,,,,,,,
140,2,2,0,0,,,,,,,0.9500,20
141,2,0,2,0,382,-0.005538,0.121491,0.643482,0.0046,0.000000,,
142,2,2,0,0,,,,,,,,
143,2,0,2,0,,,,,,,,
144,2,2,0,0,226,-0.000498,0.123240,0.681880,0.0000,0.000000,,
145,2,2,0,0,,,,,,,,
146,2,1,1,0,,,,,,,,
147,2,1,1,0,232,-0.001215,0.179265,0.631092,0.0000,0.000000,,
148,2,2,0,0,,,,,,,,
149,2,2,0,0,,,,,,,,
150,2,2,0,0,303,-0.033303,0.098300,0.696075,0.0026,0.000000,0.9500,20
151,2,1,1,0,,,,,,,,
152,2,0,2,0,,,,,,,,
153,2,2,0,0,420,-0.002281,0.122050,0.620229,0.0020,0.000000,,
154,2,1,1,0,,,,,,,,
155,2,1,1,0,,,,,,,,
156,2,1,1,0,269,0.073255,0.128764,0.694577,0.0000,0.000000,,
157,2,0,2,0,,,,,,,,
158,2,1,1,0,,,,,,,,
159,2,0,2,0,318,-0.005810,0.123490,0.687426,0.0107,0.000000,,
160,2,2,0,0,,,,,,,0.9500,20
161,2,2,0,0,,,,,,,,
162,2,2,0,0,264,0.047153,0.193706,0.717292,0.0000,0.000000,,
163,2,0,2,0,,,,,,,,
164,2,1,1,0,,,,,,,,
165,2,1,1,0,244,-0.001261,0.119390,0.645704,0.0000,0.000000,,
166,2,2,0,0,,,,,,,,
167,2,2,0,0,,,,,,,,
168,2,1,1,0,302,-0.039407,0.149237,0.627754,0.0000,0.000000,,
169,2,2,0,0,,,,,,,,
170,2,2,0,0,,,,,,,0.8500,20
171,2,1,1,0,323,0.008442,0.064469,0.570742,0.0000,0.000000,,
172,2,1,1,0,,,,,,,,
173,2,1,1,0,,,,,,,,
174,2,2,0,0,275,0.004669,0.126104,0.526276,0.0000,0.000000,,
175,2,1,1,0,,,,,,,,
176,2,2,0,0,,,,,,,,
177,2,2,0,0,333,-0.021506,0.108918,0.574814,0.0022,0.000000,,
178,2,1,1,0,,,,,,,,
179,2,1,1,0,,,,,,,,
180,2,2,0,0,300,-0.051318,0.149511,0.640669,0.0000,0.000000,0.9500,20
181,2,1,1,0,,,,,,,,
182,2,1,1,0,,,,,,,,
183,2,2,0,0,331,-0.008823,0.107765,0.612160,0.0051,0.000000,,
184,2,1,1,0,,,,,,,,
185,2,2,0,0,,,,,,,,
186,2,2,0,0,328,-0.029366,0.096521,0.663671,0.0013,0.000000,,
187,2,2,0,0,,,,,,,,
188,2,1,1,0,,,,,,,,
189,2,0,2,0,308,0.037103,0.143736,0.630200,0.0064,0.000000,,
190,2,2,0,0,,,,,,,0.8500,20
191,2,2,0,0,,,,,,,,
192,2,2,0,0,376,-0.003861,0.120037,0.670245,0.0000,0.000000,,
193,2,2,0,0,,,,,,,,
194,2,2,0,0,,,,,,,,
195,2,1,1,0,354,-0.023627,0.079238,0.667510,0.0007,0.000000,,
196,2,1,1,0,,,,,,,,
197,2,1,1,0,,,,,,,,
198,2,2,0,0,419,-0.003982,0.096033,0.682606,0.0007,0.000000,,
199,2,1,1,0,,,,,,,,
200,2,2,0,0,,,,,,,0.9000,20
201,2,1,1,0,314,0.012869,0.083028,0.664994,0.0000,0.000001,,
202,2,2,0,0,,,,,,,,
203,2,2,0,0,,,,,,,,
204,2,1,1,0,260,0.084298,0.076453,0.709127,0.0007,0.000000,,
205,2,2,0,0,,,,,,,,
206,2,2,0,0,,,,,,,,
207,2,1,1,0,347,0.048538,0.085662,0.639986,0.0031,0.000000,,
208,2,0,2,0,,,,,,,,
209,2,1,1,0,,,,,,,,
210,2,2,0,0,378,0.008405,0.101381,0.667064,0.0014,0.000000,0.9000,20
211,2,1,1,0,,,,,,,,
212,2,2,0,0,,,,,,,,
213,2,2,0,0,319,0.009863,0.115329,0.614682,0.0033,0.000000,,
214,2,2,0,0,,,,,,,,
215,2,1,1,0,,,,,,,,
216,2,2,0,0,309,0.013134,0.087422,0.641930,0.0031,0.000000,,
217,2,1,1,0,,,,,,,,
218,2,1,1,0,,,,,,,,
219,2,1,1,0,280,-0.009274,0.123023,0.648610,0.0000,0.000000,,
220,2,1,1,0,,,,,,,0.8500,20
221,2,2,0,0,,,,,,,,
222,2,1,1,0,282,0.016917,0.134015,0.643644,0.0020,0.000000,,
223,2,2,0,0,,,,,,,,
224,2,2,0,0,,,,,,,,
225,2,1,1,0,338,-0.011345,0.146167,0.609952,0.0000,0.000000,,
226,2,2,0,0,,,,,,,,
227,2,1,1,0,,,,,,,,
228,2,2,0,0,313,-0.012069,0.064092,0.585867,0.0007,0.000000,,
229,2,2,0,0,,,,,,,,
