iter,games,wins,losses,draws,decisions,samples,pi_loss,v_loss,entropy,clip_frac,archetype_loss,time_s,eval_win_rate,eval_games
1,16,7,9,0,2545,2284,-0.001226,0.077903,1.556316,0.0000,0.562234,8.41,,
2,16,9,7,0,3006,2365,-0.003793,0.084482,1.554707,0.0007,0.014038,12.32,,
3,16,8,8,0,2961,2110,-0.007520,0.071688,1.508933,0.0026,0.002637,12.13,,
4,16,6,10,0,3255,2631,-0.001529,0.071004,1.480187,0.0110,0.001658,13.70,,
5,16,8,8,0,2798,1785,-0.002310,0.081436,1.470537,0.0002,0.001167,11.11,,
6,16,9,7,0,2193,1355,0.007704,0.106650,1.507739,0.0000,0.000570,8.64,,
7,16,6,10,0,2364,1755,-0.000851,0.096889,1.497576,0.0000,0.000533,10.44,,
8,16,13,3,0,1835,1352,0.002580,0.104815,1.471448,0.0238,0.000589,7.31,,
9,16,11,5,0,2227,1439,-0.002380,0.110262,1.460795,0.0020,0.000361,9.03,,
10,16,6,10,0,2696,1996,-0.003569,0.075889,1.397121,0.0026,0.000450,11.47,0.6000,20
11,16,7,9,0,2447,1460,-0.004132,0.082213,1.436407,0.0046,0.000471,10.41,,
12,16,11,5,0,1857,1353,-0.000967,0.086778,1.448985,0.0002,0.000211,8.25,,
13,16,10,6,0,2197,1590,-0.002799,0.112089,1.381966,0.0024,0.000116,9.87,,
14,16,9,7,0,2021,1284,0.045216,0.099087,1.418155,0.0007,0.000042,7.93,,
15,16,8,8,0,1927,1506,-0.006878,0.136397,1.379064,0.0263,0.000145,8.65,,
16,16,8,8,0,2338,1623,-0.010443,0.091561,1.325265,0.0024,0.000041,9.33,,
17,16,10,6,0,2184,1318,0.007290,0.098826,1.349388,0.0059,0.000069,9.38,,
18,16,9,7,0,2161,1594,-0.000229,0.080449,1.327791,0.0409,0.000074,8.83,,
19,16,11,5,0,2225,1682,-0.001277,0.091680,1.260871,0.0332,0.000058,9.16,,
20,16,10,6,0,1971,1245,-0.002267,0.125003,1.243202,0.0011,0.000071,7.90,0.5000,20
21,16,10,6,0,1709,1185,0.000126,0.131501,1.254769,0.0096,0.000011,6.83,,
22,16,11,5,0,1693,1260,-0.002708,0.133681,1.236693,0.0126,0.000018,7.77,,
23,16,10,6,0,1962,1318,0.008730,0.121611,1.229093,0.0088,0.000047,8.42,,
24,16,11,5,0,2240,1408,-0.000972,0.077012,1.283737,0.0221,0.000022,8.88,,
25,16,8,8,0,2098,1488,-0.002335,0.094424,1.353832,0.0049,0.000042,9.17,,
26,16,6,10,0,2376,1521,-0.006910,0.095548,1.250199,0.0399,0.000041,9.26,,
27,16,9,7,0,2030,1701,-0.002176,0.110451,1.226990,0.0093,0.000040,9.89,,
28,16,8,8,0,2259,1384,-0.004074,0.109335,1.208957,0.0168,0.000044,9.59,,
29,16,9,7,0,2308,1418,-0.012869,0.092422,1.250147,0.0157,0.000040,9.61,,
30,16,10,6,0,1562,1112,0.001420,0.113984,1.174804,0.0302,0.000021,6.36,1.0000,20
31,16,10,6,0,1850,1035,-0.015444,0.131277,1.143341,0.0057,0.000011,7.95,,
32,16,7,9,0,1969,1422,-0.005151,0.140115,1.130512,0.0224,0.000029,9.06,,
33,16,7,9,0,2054,1234,-0.004005,0.105389,1.089808,0.0067,0.000021,8.22,,
34,16,11,5,0,2025,1481,-0.002523,0.080246,1.122734,0.0047,0.000011,8.29,,
35,16,7,9,0,1975,1512,-0.002091,0.097030,1.180234,0.0046,0.000010,9.16,,
36,16,8,8,0,1614,1259,-0.003685,0.138779,1.111822,0.0237,0.000005,6.91,,
37,16,6,10,0,1496,844,-0.005357,0.175676,1.097992,0.0003,0.000001,6.41,,
38,16,9,7,0,2041,1562,0.005772,0.099562,1.058392,0.0423,0.000002,8.77,,
39,16,11,5,0,1832,1359,-0.010858,0.099815,1.026454,0.0191,0.000002,8.08,,
40,16,3,13,0,2150,1588,0.002639,0.085691,1.106098,0.0204,0.000006,9.62,0.9500,20
41,16,9,7,0,1874,1151,-0.009269,0.144442,1.026499,0.0026,0.000004,7.75,,
42,16,8,8,0,1954,1550,0.018673,0.119812,1.043535,0.0168,0.000004,8.48,,
43,16,7,9,0,1474,1034,0.027445,0.122146,1.039297,0.0622,0.000001,6.45,,
44,16,8,8,0,2016,1390,-0.001524,0.117327,1.049046,0.0186,0.000004,8.49,,
45,16,6,10,0,2179,1539,-0.011903,0.092962,1.013484,0.0145,0.000001,9.21,,
46,16,11,5,0,1968,1472,-0.003593,0.119892,0.981569,0.0119,0.000000,8.88,,
47,16,7,9,0,2223,1431,-0.003671,0.111747,0.964710,0.0035,0.000002,8.82,,
48,16,11,5,0,2165,1654,-0.003765,0.075858,0.916005,0.0489,0.000002,10.07,,
49,16,12,4,0,2010,1462,-0.001920,0.127996,0.895932,0.0188,0.000000,8.42,,
50,16,4,12,0,1755,1313,0.018942,0.147387,0.958550,0.0118,0.000003,8.15,0.9000,20
51,16,7,9,0,1766,1088,-0.025299,0.123994,0.941780,0.0232,0.000001,7.75,,
52,16,8,8,0,1854,1419,-0.005292,0.073729,0.869914,0.0264,0.000002,7.81,,
53,16,7,9,0,2418,1625,0.006644,0.086827,0.904129,0.0320,0.000007,10.56,,
54,16,6,10,0,2196,1445,0.002199,0.086847,0.858588,0.0189,0.000004,8.81,,
55,16,10,6,0,2093,1605,-0.002207,0.099312,0.834368,0.0303,0.000002,9.38,,
56,16,7,9,0,2132,1347,-0.018764,0.101770,0.845363,0.0064,0.000001,8.86,,
57,16,5,11,0,1713,1392,-0.002408,0.120291,0.831110,0.0262,0.000001,8.18,,
58,16,11,5,0,1704,987,-0.000365,0.096622,0.806933,0.0067,0.000001,7.19,,
59,16,7,9,0,2104,1669,-0.000067,0.094329,0.844632,0.0129,0.000001,9.87,,
60,16,4,12,0,2052,1492,-0.002896,0.113960,0.827549,0.0101,0.000003,9.49,0.9500,20
61,16,10,6,0,2139,1448,-0.002940,0.097539,0.790916,0.0230,0.000001,9.20,,
62,16,9,7,0,2077,1718,-0.002284,0.105462,0.835306,0.0162,0.000001,9.47,,
63,16,8,8,0,1761,1176,0.005104,0.078738,0.844692,0.0112,0.000000,7.57,,
64,16,6,10,0,1727,1382,0.000944,0.102785,0.771826,0.0355,0.000001,8.06,,
65,16,10,6,0,2120,1311,-0.013860,0.085572,0.774541,0.0212,0.000000,9.08,,
66,16,8,8,0,1883,1220,-0.003384,0.108072,0.777950,0.0167,0.000000,7.77,,
67,16,6,10,0,2184,1655,-0.002737,0.065225,0.808763,0.0318,0.000001,9.65,,
68,16,8,8,0,1914,1264,-0.000929,0.093986,0.773739,0.0011,0.000000,8.22,,
69,16,8,8,0,1906,1250,-0.002506,0.111539,0.769282,0.0108,0.000001,7.49,,
70,16,8,8,0,1833,1228,-0.003904,0.108103,0.804092,0.0158,0.000001,7.56,0.9500,20
71,16,10,6,0,1906,1302,0.022501,0.071847,0.723990,0.0221,0.000000,7.88,,
72,16,9,7,0,2146,1550,0.021142,0.077336,0.697592,0.0313,0.000000,9.17,,
73,16,5,11,0,2311,1416,-0.005309,0.120108,0.723829,0.0064,0.000003,9.82,,
74,16,8,8,0,1902,1539,-0.012733,0.076412,0.706124,0.0238,0.000000,8.68,,
75,16,6,10,0,1980,1467,0.000542,0.134269,0.691883,0.0087,0.000000,8.65,,
76,16,4,12,0,2024,1356,-0.006615,0.074812,0.680289,0.0106,0.000000,9.33,,
77,16,10,6,0,2103,1525,-0.002598,0.100143,0.690493,0.0267,0.000001,8.81,,
78,16,6,10,0,1706,1319,-0.004903,0.095133,0.672873,0.0294,0.000000,7.32,,
79,16,10,6,0,2118,1436,0.002278,0.104879,0.702815,0.0035,0.000005,9.12,,
80,16,10,6,0,2161,1484,-0.004487,0.091329,0.707253,0.0134,0.000002,9.24,0.9500,20
81,16,7,9,0,2048,1507,-0.002192,0.138924,0.695690,0.0250,0.000001,9.54,,
82,16,8,8,0,1560,1069,-0.018238,0.104770,0.717895,0.0157,0.000001,7.02,,
83,16,10,6,0,2071,1789,-0.003058,0.094379,0.693135,0.0412,0.000000,9.48,,
84,16,6,10,0,1792,1459,-0.000824,0.123569,0.688324,0.0061,0.000006,8.28,,
85,16,6,10,0,2260,1515,-0.005756,0.073936,0.692448,0.0448,0.000002,9.80,,
86,16,10,6,0,2052,1448,-0.004205,0.091912,0.628703,0.0182,0.000001,8.80,,
87,16,6,10,0,1952,1659,-0.001562,0.104943,0.657680,0.0235,0.000002,8.14,,
88,16,8,8,0,1878,1253,-0.002162,0.113578,0.625093,0.0103,0.000000,6.56,,
89,16,10,6,0,2102,1547,-0.000046,0.088230,0.622084,0.0074,0.000000,7.43,,
90,16,5,11,0,1948,1437,-0.007076,0.100987,0.612853,0.0149,0.000000,7.29,0.9500,20
91,16,9,7,0,1912,1289,-0.070683,0.105538,0.600102,0.0065,0.000000,7.27,,
92,16,8,8,0,2131,1681,-0.003896,0.078524,0.609123,0.0236,0.000000,7.84,,
93,16,12,4,0,1975,1160,-0.004164,0.097291,0.639450,0.0229,0.000010,6.85,,
94,16,9,7,0,1938,1312,0.016324,0.125568,0.635687,0.0178,0.000001,7.32,,
95,16,8,8,0,2033,1611,0.004225,0.114556,0.615678,0.0133,0.000000,7.56,,
96,16,7,9,0,2093,1366,-0.011518,0.098843,0.606649,0.0247,0.000000,7.38,,
97,16,10,6,0,2134,1431,-0.006345,0.134959,0.613654,0.0199,0.000000,7.43,,
98,16,6,10,0,1784,1162,-0.001883,0.114928,0.603056,0.0124,0.000000,6.26,,
99,16,6,10,0,1859,1262,-0.001901,0.099934,0.605307,0.0154,0.000000,6.35,,
100,16,9,7,0,1856,1276,-0.001781,0.121060,0.600006,0.0144,0.000000,6.43,0.9000,20
