iter,games,wins,losses,draws,samples,pi_loss,v_loss,entropy,clip_frac,archetype_loss,eval_win_rate,eval_games
1,2,0,2,0,,,,,,,,
2,2,0,2,0,,,,,,,,
3,2,2,0,0,308,-0.036701,0.100887,0.652263,0.0225,0.000005,,
4,2,0,2,0,,,,,,,,
5,2,1,1,0,,,,,,,,
6,2,2,0,0,217,-0.001859,0.209917,0.703654,0.0000,0.000000,,
7,2,1,1,0,,,,,,,,
8,2,2,0,0,,,,,,,,
9,2,2,0,0,313,0.016963,0.151709,0.654523,0.0085,0.000002,,
10,2,1,1,0,,,,,,,0.7500,20
11,2,1,1,0,,,,,,,,
12,2,0,2,0,335,-0.020845,0.220105,0.809042,0.0026,0.000000,,
13,2,2,0,0,,,,,,,,
14,2,1,1,0,,,,,,,,
15,2,1,1,0,299,0.028745,0.210945,0.791796,0.0000,0.000000,,
16,2,0,2,0,,,,,,,,
17,2,1,1,0,,,,,,,,
18,2,1,1,0,363,-0.029309,0.209067,0.646919,0.0046,0.000001,,
19,2,1,1,0,,,,,,,,
20,2,0,2,0,,,,,,,0.8500,20
21,2,2,0,0,392,-0.018212,0.129915,0.724560,0.0038,0.000002,,
22,2,1,1,0,,,,,,,,
23,2,2,0,0,,,,,,,,
24,2,0,2,0,406,-0.001660,0.090863,0.769281,0.0022,0.000001,,
25,2,2,0,0,,,,,,,,
26,2,0,2,0,,,,,,,,
27,2,2,0,0,256,-0.000829,0.177874,0.829427,0.0000,0.000001,,
28,2,2,0,0,,,,,,,,
29,2,1,1,0,,,,,,,,
30,2,1,1,0,344,-0.022334,0.093924,0.769539,0.0000,0.000002,0.9500,20
31,2,1,1,0,,,,,,,,
32,2,2,0,0,,,,,,,,
33,2,1,1,0,386,-0.025401,0.096481,0.694409,0.0000,0.000003,,
34,2,1,1,0,,,,,,,,
35,2,0,2,0,,,,,,,,
36,2,2,0,0,340,-0.009648,0.113500,0.842166,0.0000,0.000000,,
37,2,0,2,0,,,,,,,,
38,2,1,1,0,,,,,,,,
39,2,2,0,0,353,0.003976,0.113011,0.740445,0.0069,0.000000,,
