iter,games,wins,losses,draws,decisions,samples,pi_loss,v_loss,entropy,clip_frac,archetype_loss,time_s,eval_win_rate,eval_games
1,16,10,6,0,3158,2834,0.005079,0.070842,1.472422,0.0000,0.402163,10.60,,
2,16,8,8,0,3337,2679,-0.003431,0.063114,1.472918,0.0000,0.007082,14.75,,
3,16,11,5,0,3400,2475,-0.002371,0.058221,1.483416,0.0000,0.002131,15.51,,
4,16,7,9,0,3199,2630,-0.004383,0.070106,1.523791,0.0005,0.001759,13.68,,
5,16,7,9,0,3477,2120,-0.005542,0.059141,1.470496,0.0000,0.001247,13.19,,
6,16,10,6,0,3243,2091,0.003987,0.068393,1.459401,0.0003,0.000910,13.09,,
7,16,4,12,0,2861,2267,-0.002544,0.068434,1.492342,0.0007,0.000755,11.73,,
8,16,8,8,0,3443,2497,-0.000024,0.056453,1.521814,0.0023,0.000483,14.09,,
9,16,7,9,0,3377,2251,-0.003224,0.066753,1.458062,0.0036,0.000557,14.08,,
10,16,5,11,0,2771,2051,-0.033723,0.079193,1.475308,0.0033,0.000219,12.63,0.5500,20
11,16,12,4,0,3116,1930,-0.001352,0.060435,1.464288,0.0009,0.000169,12.42,,
12,16,8,8,0,3104,2216,-0.002354,0.080120,1.404764,0.0000,0.000340,12.15,,
13,16,12,4,0,3054,2042,-0.002323,0.075815,1.405354,0.0038,0.000271,12.41,,
14,16,8,8,0,2833,1808,-0.020548,0.085244,1.335224,0.0308,0.000205,11.65,,
15,16,9,7,0,2745,2239,-0.002141,0.080434,1.319494,0.0010,0.000180,11.48,,
16,16,10,6,0,2811,2073,-0.001245,0.073485,1.342067,0.0566,0.000136,12.11,,
17,16,7,9,0,2710,1731,-0.002126,0.077996,1.269826,0.0015,0.000220,11.60,,
18,16,10,6,0,2300,1645,-0.001690,0.083639,1.219236,0.0192,0.000047,8.57,,
19,16,9,7,0,2394,1607,-0.007540,0.079651,1.191393,0.0400,0.000091,9.79,,
20,16,7,9,0,2770,1701,-0.006096,0.082345,1.082209,0.0020,0.000079,10.50,0.5500,20
21,16,7,9,0,2669,1830,-0.010180,0.068727,1.163690,0.0047,0.000077,10.62,,
22,16,3,13,0,2399,1787,-0.002649,0.084614,1.146146,0.0015,0.000050,9.38,,
23,16,8,8,0,2575,1745,-0.002150,0.076106,1.153430,0.0249,0.000038,9.71,,
24,16,9,7,0,2640,1710,-0.001693,0.067682,1.226824,0.0184,0.000051,10.63,,
25,16,9,7,0,2410,1695,-0.003533,0.099990,1.198008,0.0141,0.000051,9.05,,
26,16,10,6,0,2884,1847,-0.003066,0.078435,1.180032,0.0345,0.000048,11.72,,
27,16,9,7,0,2045,1596,-0.011427,0.085950,1.214247,0.0057,0.000016,8.79,,
28,16,11,5,0,2281,1306,-0.012748,0.125522,1.131787,0.0063,0.000052,9.17,,
29,16,8,8,0,1977,1191,-0.000646,0.117556,1.222851,0.0008,0.000061,7.25,,
30,16,8,8,0,1924,1351,0.009460,0.097946,1.216537,0.0034,0.000062,7.96,0.8750,20
31,16,8,8,0,2289,1384,0.000985,0.094447,1.253558,0.0191,0.000026,9.22,,
32,16,9,7,0,2210,1610,-0.010601,0.124446,1.282833,0.0294,0.000019,9.20,,
33,16,7,9,0,2625,1566,0.012534,0.076783,1.244255,0.0416,0.000025,10.49,,
34,16,8,8,0,1993,1366,-0.000753,0.085778,1.236187,0.0303,0.000003,7.96,,
35,16,10,6,0,1764,1302,0.018659,0.115377,1.120006,0.0309,0.000001,7.62,,
36,16,8,8,0,1897,1469,-0.007810,0.133212,1.191656,0.0721,0.000004,7.88,,
