iter,games,wins,losses,draws,samples,pi_loss,v_loss,entropy,clip_frac,archetype_loss,eval_win_rate,eval_games
1,2,0,2,0,,,,,,,,
2,2,0,2,0,,,,,,,,
3,2,1,1,0,286,-0.027491,0.093010,0.707081,0.0255,0.000000,,
4,2,1,1,0,,,,,,,,
5,2,0,2,0,,,,,,,,
6,2,0,2,0,510,-0.003128,0.041547,0.865805,0.0059,0.000001,,
7,2,0,2,0,,,,,,,,
8,2,0,2,0,,,,,,,,
9,2,0,2,0,382,-0.016262,0.030230,0.835821,0.0125,0.000000,,
10,2,0,2,0,,,,,,,1.0000,20
11,2,0,2,0,,,,,,,,
12,2,1,1,0,557,-0.000278,0.065768,0.866473,0.0267,0.000000,,
13,2,0,2,0,,,,,,,,
14,2,0,2,0,,,,,,,,
15,2,0,2,0,430,0.004183,0.015195,0.733267,0.0096,0.000000,,
16,2,0,2,0,,,,,,,,
17,2,0,2,0,,,,,,,,
18,2,0,2,0,596,0.006886,0.007623,0.826684,0.0022,0.000000,,
19,2,0,2,0,,,,,,,,
20,2,0,2,0,,,,,,,1.0000,20
21,2,1,1,0,436,-0.002126,0.041556,0.780015,0.0123,0.000000,,
22,2,0,2,0,,,,,,,,
23,2,0,2,0,,,,,,,,
24,2,1,1,0,598,-0.003100,0.032726,0.824717,0.0139,0.000001,,
25,2,0,2,0,,,,,,,,
26,2,1,1,0,,,,,,,,
27,2,0,2,0,482,-0.000981,0.046970,0.807503,0.0000,0.000000,,
28,2,0,2,0,,,,,,,,
29,2,0,2,0,,,,,,,,
30,2,0,2,0,452,-0.001487,0.019466,0.806933,0.0017,0.000000,0.9500,20
31,2,0,2,0,,,,,,,,
32,2,0,2,0,,,,,,,,
33,2,0,2,0,802,-0.010154,0.015587,0.856419,0.0204,0.000000,,
34,2,1,1,0,,,,,,,,
35,2,0,2,0,,,,,,,,
36,2,1,1,0,448,-0.001747,0.100371,0.890173,0.0000,0.000000,,
37,2,0,2,0,,,,,,,,
38,2,0,2,0,,,,,,,,
39,2,0,2,0,417,0.004512,0.021501,0.869421,0.0119,0.000000,,
