iter,games,wins,losses,draws,decisions,samples,pi_loss,v_loss,entropy,clip_frac,archetype_loss,time_s,eval_win_rate,eval_games
1,16,10,6,0,2553,2382,0.001997,0.087216,1.677475,0.0000,0.484569,8.14,,
2,16,6,10,0,3391,2818,0.012717,0.053483,1.621836,0.0000,0.015491,13.86,,
3,16,5,11,0,2730,1984,0.000528,0.068838,1.659412,0.0000,0.002503,11.45,,
4,16,5,11,0,3091,2704,-0.003561,0.066985,1.707639,0.0006,0.001149,13.36,,
5,16,7,9,0,3204,2017,-0.001837,0.080383,1.682947,0.0000,0.001105,12.93,,
6,16,11,5,0,3098,2015,-0.001244,0.078561,1.697507,0.0000,0.000853,13.37,,
7,16,12,4,0,2854,2159,-0.007525,0.078031,1.575303,0.0182,0.000458,11.47,,
8,16,6,10,0,3498,2628,-0.005401,0.047046,1.558923,0.0319,0.000390,15.29,,
9,16,8,8,0,2994,2320,-0.020649,0.051090,1.597213,0.0072,0.000380,13.42,,
10,16,12,4,0,2570,2137,-0.006391,0.078339,1.549639,0.0155,0.000218,11.13,0.9500,20
11,16,9,7,0,2186,1245,-0.001332,0.118755,1.523036,0.0000,0.000156,8.83,,
12,16,9,7,0,2848,2102,-0.005941,0.066807,1.529287,0.0552,0.000217,12.29,,
13,16,10,6,0,2988,2120,0.000566,0.073606,1.463456,0.0184,0.000252,12.29,,
14,16,9,7,0,2618,1631,-0.007655,0.071972,1.433173,0.0173,0.000109,10.97,,
15,16,9,7,0,2565,2095,-0.000844,0.078077,1.455595,0.0276,0.000051,11.85,,
16,16,6,10,0,2612,1842,-0.004206,0.073260,1.475311,0.0143,0.000026,11.42,,
17,16,9,7,0,2454,1647,-0.004083,0.082867,1.445180,0.0186,0.000017,9.90,,
18,16,5,11,0,2423,1880,-0.010713,0.087419,1.447962,0.0195,0.000051,10.62,,
19,16,10,6,0,2364,1813,-0.003459,0.074212,1.395525,0.0567,0.000024,10.34,,
20,16,10,6,0,1844,1234,-0.003099,0.101539,1.367273,0.0003,0.000008,8.05,0.8500,20
21,16,8,8,0,2051,1521,-0.005885,0.113680,1.332617,0.0265,0.000011,8.27,,
22,16,10,6,0,2228,1676,-0.003059,0.114174,1.259579,0.0009,0.000009,9.47,,
23,16,10,6,0,2342,1745,-0.004551,0.083216,1.251371,0.0138,0.000019,9.96,,
24,16,7,9,0,1814,1142,-0.004690,0.122614,1.182840,0.0003,0.000005,7.10,,
25,16,6,10,0,2077,1594,-0.022808,0.081016,1.189319,0.0253,0.000015,9.03,,
26,16,8,8,0,2861,1837,-0.007789,0.054769,1.221992,0.0185,0.000019,12.08,,
27,16,7,9,0,1961,1670,-0.000913,0.085757,1.203346,0.0083,0.000006,8.16,,
28,16,10,6,0,1868,1272,-0.001819,0.083808,1.232317,0.0008,0.000035,8.56,,
29,16,9,7,0,1981,1287,-0.050232,0.130934,1.280622,0.0050,0.000006,8.22,,
30,16,8,8,0,2137,1695,-0.000787,0.097169,1.230282,0.0080,0.000009,9.29,0.9000,20
31,16,9,7,0,2175,1365,-0.001816,0.059048,1.169882,0.0254,0.000005,8.86,,
32,16,9,7,0,1783,1344,-0.019574,0.093090,1.235579,0.0267,0.000005,8.13,,
33,16,11,5,0,2489,1388,-0.014166,0.099557,1.212487,0.0163,0.000010,9.85,,
34,16,8,8,0,2212,1686,-0.002669,0.084391,1.186755,0.0479,0.000007,9.51,,
35,16,6,10,0,2013,1527,-0.006888,0.067259,1.201029,0.0777,0.000037,9.14,,
36,16,9,7,0,2412,2055,-0.046987,0.069309,1.178374,0.0179,0.000003,11.67,,
37,16,7,9,0,2347,1540,0.008431,0.062420,1.208057,0.0320,0.000002,10.60,,
38,16,11,5,0,2074,1708,-0.002058,0.059714,1.162094,0.0202,0.000000,10.18,,
39,16,4,12,0,2604,2199,-0.004884,0.072053,1.144905,0.0351,0.000002,11.99,,
40,16,7,9,0,2048,1678,-0.006949,0.080640,1.111618,0.0243,0.000001,8.81,0.9000,20
41,16,8,8,0,2524,1866,0.003684,0.070133,1.132372,0.0153,0.000001,10.91,,
42,16,7,9,0,2164,1746,-0.001339,0.101236,1.120257,0.0067,0.000000,9.69,,
43,16,9,7,0,2211,1697,-0.004660,0.065836,1.090480,0.0239,0.000000,9.40,,
