iter,games,wins,losses,draws,samples,pi_loss,v_loss,entropy,clip_frac,archetype_loss,eval_win_rate,eval_games
1,2,1,1,0,,,,,,,,
2,2,0,2,0,,,,,,,,
3,2,1,1,0,207,-0.003252,0.196445,0.677295,0.0000,0.000000,,
4,2,0,2,0,,,,,,,,
5,2,0,2,0,,,,,,,,
6,2,1,1,0,245,-0.001139,0.210884,0.787777,0.0000,0.000005,,
7,2,0,2,0,,,,,,,,
8,2,1,1,0,,,,,,,,
9,2,1,1,0,381,0.009299,0.136421,0.838836,0.0027,0.000002,,
10,2,0,2,0,,,,,,,0.9500,20
11,2,1,1,0,,,,,,,,
12,2,0,2,0,207,-0.002096,0.126385,0.843373,0.0000,0.000000,,
13,2,1,1,0,,,,,,,,
14,2,1,1,0,,,,,,,,
15,2,2,0,0,233,0.000071,0.158540,0.866232,0.0000,0.000000,,
16,2,1,1,0,,,,,,,,
17,2,2,0,0,,,,,,,,
18,2,1,1,0,312,0.039543,0.142637,0.950148,0.0000,0.000011,,
19,2,2,0,0,,,,,,,,
20,2,0,2,0,,,,,,,0.9500,20
21,2,0,2,0,333,0.019615,0.130059,0.801074,0.0007,0.000003,,
22,2,0,2,0,,,,,,,,
23,2,1,1,0,,,,,,,,
24,2,1,1,0,352,0.025371,0.170405,0.794976,0.0106,0.000010,,
25,2,1,1,0,,,,,,,,
26,2,2,0,0,,,,,,,,
27,2,1,1,0,317,-0.050406,0.112660,0.842995,0.0027,0.000012,,
28,2,0,2,0,,,,,,,,
29,2,1,1,0,,,,,,,,
30,2,0,2,0,264,0.021966,0.179113,0.839068,0.0000,0.000004,0.8500,20
31,2,1,1,0,,,,,,,,
32,2,0,2,0,,,,,,,,
33,2,0,2,0,241,-0.001288,0.141365,0.795699,0.0000,0.000000,,
34,2,0,2,0,,,,,,,,
35,2,0,2,0,,,,,,,,
36,2,0,2,0,276,0.004876,0.049824,0.720120,0.0000,0.000002,,
37,2,0,2,0,,,,,,,,
38,2,1,1,0,,,,,,,,
39,2,0,2,0,254,-0.000563,0.097186,0.794240,0.0000,0.000001,,
40,2,1,1,0,,,,,,,0.7500,20
41,2,2,0,0,,,,,,,,
42,2,0,2,0,254,-0.000387,0.235798,0.758822,0.0000,0.000002,,
43,2,0,2,0,,,,,,,,
44,2,1,1,0,,,,,,,,
45,2,1,1,0,234,-0.001155,0.146211,0.757507,0.0000,0.000001,,
46,2,1,1,0,,,,,,,,
47,2,0,2,0,,,,,,,,
48,2,1,1,0,306,-0.046495,0.091191,0.796523,0.0000,0.000001,,
49,2,0,2,0,,,,,,,,
50,2,0,2,0,,,,,,,0.6500,20
51,2,0,2,0,436,-0.001087,0.043953,0.814769,0.0059,0.000003,,
52,2,0,2,0,,,,,,,,
53,2,0,2,0,,,,,,,,
54,2,0,2,0,436,-0.003414,0.027806,0.736247,0.0042,0.000001,,
55,2,1,1,0,,,,,,,,
56,2,1,1,0,,,,,,,,
57,2,0,2,0,380,-0.007647,0.097931,0.736003,0.0013,0.000000,,
58,2,0,2,0,,,,,,,,
59,2,2,0,0,,,,,,,,
60,2,1,1,0,439,0.002082,0.113105,0.794064,0.0029,0.000001,0.8000,20
61,2,0,2,0,,,,,,,,
62,2,1,1,0,,,,,,,,
63,2,0,2,0,354,0.030002,0.082730,0.736045,0.0013,0.000001,,
64,2,0,2,0,,,,,,,,
