iter,games,wins,losses,draws,decisions,samples,pi_loss,v_loss,entropy,clip_frac,archetype_loss,time_s,eval_win_rate,eval_games
1,16,6,10,0,3263,2818,0.012619,0.072263,1.569152,0.0000,0.414602,5.16,,
2,16,9,7,0,3365,2539,-0.001010,0.080103,1.506085,0.0000,0.005381,5.16,,
3,16,11,5,0,3289,2296,-0.000885,0.063458,1.534325,0.0000,0.001861,4.93,,
4,16,8,8,0,2958,2267,-0.001231,0.077388,1.526349,0.0000,0.001431,4.39,,
5,16,5,11,0,3628,2161,-0.003549,0.062516,1.504856,0.0000,0.001565,5.46,,
6,16,11,5,0,3584,2342,0.012787,0.050301,1.539488,0.0000,0.000873,5.32,,
7,16,10,6,0,3203,2334,-0.021082,0.072053,1.503350,0.0000,0.000839,4.85,,
8,16,9,7,0,3276,2217,-0.001144,0.076615,1.538899,0.0036,0.000825,5.06,,
9,16,9,7,0,2915,1892,-0.011135,0.080639,1.492673,0.0005,0.000783,4.34,,
10,16,10,6,0,2954,2186,-0.002191,0.055556,1.534945,0.0038,0.000460,4.47,0.8000,20
11,16,12,4,0,3161,1882,-0.004045,0.053566,1.480833,0.0021,0.000300,4.71,,
12,16,8,8,0,3183,2100,0.001755,0.056236,1.480731,0.0095,0.000258,4.96,,
13,16,11,5,0,3076,2018,-0.003107,0.069175,1.483927,0.0263,0.000325,4.54,,
14,16,9,7,0,3306,2284,-0.002300,0.061274,1.474992,0.0018,0.000399,4.96,,
15,16,8,8,0,3822,3102,0.011332,0.064035,1.457254,0.0349,0.000440,6.06,,
16,16,9,7,0,2935,2062,0.000015,0.061285,1.473095,0.0213,0.000244,4.65,,
17,16,7,9,0,2959,1996,-0.000344,0.066749,1.456847,0.0229,0.000224,4.58,,
18,16,9,7,0,3397,2632,0.002739,0.055704,1.419723,0.0509,0.000224,5.19,,
19,16,6,10,0,2301,1592,0.001491,0.093354,1.439661,0.0034,0.000138,3.51,,
20,16,9,7,0,3184,1983,-0.002742,0.035988,1.431864,0.0131,0.000090,4.75,0.8500,20
21,16,10,6,0,3096,2152,0.002003,0.054950,1.371019,0.0244,0.000104,4.82,,
22,16,10,6,0,2927,2054,0.034550,0.074850,1.386484,0.0111,0.000161,4.75,,
23,16,8,8,0,2847,2048,-0.002480,0.082903,1.439741,0.0238,0.000179,4.62,,
24,16,9,7,0,2761,1711,-0.002984,0.087663,1.366836,0.0000,0.000126,4.22,,
25,16,8,8,0,3019,2181,-0.002884,0.072030,1.353132,0.0217,0.000125,4.76,,
26,16,9,7,0,2201,1320,-0.015319,0.102730,1.327737,0.0319,0.000113,3.41,,
27,16,10,6,0,2349,2007,-0.003721,0.075496,1.286556,0.0112,0.000097,4.16,,
28,16,8,8,0,2255,1476,-0.003279,0.069374,1.232066,0.0304,0.000060,3.52,,
29,16,8,8,0,1955,1222,-0.003365,0.098198,1.217471,0.0062,0.000060,3.03,,
30,16,10,6,0,2207,1708,-0.004322,0.116042,1.225877,0.0202,0.000057,3.79,0.9000,20
31,16,8,8,0,2057,1312,0.008040,0.114058,1.186739,0.0104,0.000033,3.28,,
32,16,7,9,0,2297,1791,-0.002862,0.090645,1.168431,0.0209,0.000019,3.92,,
33,16,9,7,0,2117,1230,0.000449,0.071073,1.249907,0.0009,0.000012,3.45,,
34,16,9,7,0,2063,1436,0.001055,0.117627,1.182299,0.0090,0.000016,3.30,,
35,16,8,8,0,1813,1284,-0.065329,0.098075,1.246233,0.0397,0.000008,2.75,,
36,16,8,8,0,1434,1155,-0.008787,0.107058,1.243051,0.0615,0.000005,2.36,,
37,16,10,6,0,1917,1266,-0.006325,0.113944,1.243283,0.0500,0.000003,2.79,,
38,16,9,7,0,1463,1129,-0.008019,0.108513,1.166669,0.0039,0.000001,2.22,,
39,16,4,12,0,1635,1362,0.001878,0.136358,1.184263,0.0007,0.000008,2.69,,
40,16,7,9,0,1431,1097,-0.003459,0.166600,1.141687,0.0344,0.000005,2.15,0.5000,20
41,16,10,6,0,1140,791,0.019739,0.168538,1.170207,0.0488,0.000002,1.68,,
42,16,8,8,0,1132,957,-0.006354,0.168876,1.240899,0.0383,0.000002,1.69,,
43,16,6,10,0,2620,1846,-0.010725,0.068547,1.242618,0.0359,0.000006,3.94,,
44,16,5,11,0,1452,1043,-0.017146,0.165261,1.197301,0.0016,0.000006,2.22,,
45,16,7,9,0,1040,683,-0.005764,0.152035,1.258390,0.0000,0.000012,1.42,,
46,16,5,11,0,1264,964,-0.006622,0.156040,1.224775,0.0166,0.000006,1.90,,
47,16,9,7,0,1676,1093,0.006651,0.102545,1.186319,0.0457,0.000005,2.51,,
48,16,6,10,0,1572,1124,0.002439,0.109928,1.173914,0.0018,0.000001,2.28,,
49,16,10,6,0,1560,1173,-0.005179,0.152024,1.110260,0.0000,0.000003,2.29,,
50,16,10,6,0,1296,875,-0.000754,0.182149,1.111901,0.0162,0.000003,1.96,0.6000,20
51,16,9,7,0,1880,1250,-0.002876,0.105764,1.061262,0.0211,0.000003,2.79,,
52,16,6,10,0,2405,1605,-0.001111,0.081281,1.077661,0.0129,0.000003,3.47,,
53,16,8,8,0,1641,1145,0.000532,0.143230,1.061759,0.0196,0.000003,2.47,,
54,16,7,9,0,2188,1205,-0.003716,0.097213,1.038140,0.0119,0.000003,3.08,,
55,16,7,9,0,1929,1298,-0.031544,0.115662,1.045871,0.0100,0.000001,2.92,,
56,16,3,13,0,1768,1115,-0.003447,0.153770,1.052487,0.0355,0.000005,2.47,,
57,16,8,8,0,1422,1123,0.000033,0.159792,1.043218,0.0592,0.000002,2.14,,
58,16,9,7,0,2277,1294,0.005822,0.080499,1.075887,0.0072,0.000004,3.25,,
59,16,7,9,0,2318,1931,0.000270,0.069949,1.075673,0.0290,0.000002,3.64,,
60,16,10,6,0,1805,1282,-0.008556,0.078470,0.983078,0.0080,0.000002,2.73,0.8000,20
61,16,9,7,0,1364,977,-0.001556,0.125791,1.046719,0.0191,0.000001,2.04,,
62,16,6,10,0,2054,1587,-0.007633,0.080836,1.003920,0.0218,0.000001,3.22,,
63,16,10,6,0,2175,1487,-0.005023,0.092164,1.047042,0.0409,0.000001,3.22,,
64,16,8,8,0,1864,1436,-0.001628,0.165224,0.968843,0.0158,0.000002,2.70,,
