iter,games,wins,losses,draws,samples,pi_loss,v_loss,entropy,clip_frac,archetype_loss,eval_win_rate,eval_games
1,2,1,1,0,,,,,,,,
2,2,1,1,0,,,,,,,,
3,2,2,0,0,173,-0.002810,0.330301,0.849601,0.0116,0.000046,,
4,2,2,0,0,,,,,,,,
5,2,1,1,0,,,,,,,,
6,2,1,1,0,234,-0.001661,0.259782,0.760673,0.0014,0.000003,,
7,2,2,0,0,,,,,,,,
8,2,2,0,0,,,,,,,,
9,2,2,0,0,221,0.000652,0.147203,0.907473,0.0015,0.000005,,
10,2,2,0,0,,,,,,,1.0000,20
11,2,2,0,0,,,,,,,,
12,2,1,1,0,210,-0.001191,0.115719,0.889593,0.0000,0.000078,,
13,2,1,1,0,,,,,,,,
14,2,1,1,0,,,,,,,,
15,2,1,1,0,252,-0.001426,0.283887,0.862639,0.0013,0.000078,,
16,2,1,1,0,,,,,,,,
17,2,1,1,0,,,,,,,,
18,2,2,0,0,248,-0.001566,0.172217,0.817155,0.0000,0.000547,,
19,2,2,0,0,,,,,,,,
20,2,2,0,0,,,,,,,1.0000,20
21,2,1,1,0,191,-0.001038,0.237820,0.909676,0.0000,0.000286,,
22,2,1,1,0,,,,,,,,
23,2,2,0,0,,,,,,,,
24,2,2,0,0,215,-0.001340,0.141677,0.858155,0.0000,0.000096,,
25,2,2,0,0,,,,,,,,
26,2,2,0,0,,,,,,,,
27,2,2,0,0,195,-0.000303,0.039390,0.889157,0.0000,0.000081,,
28,2,2,0,0,,,,,,,,
29,2,2,0,0,,,,,,,,
30,2,1,1,0,188,-0.002056,0.161457,0.900380,0.0000,0.000164,0.9500,20
31,2,0,2,0,,,,,,,,
32,2,2,0,0,,,,,,,,
33,2,2,0,0,244,-0.000345,0.196809,0.897138,0.0000,0.000012,,
34,2,2,0,0,,,,,,,,
35,2,2,0,0,,,,,,,,
36,2,1,1,0,175,-0.000860,0.139752,1.018368,0.0000,0.000205,,
