iter,games,wins,losses,draws,decisions,samples,pi_loss,v_loss,entropy,clip_frac,archetype_loss,time_s,eval_win_rate,eval_games
1,16,10,6,0,1405,1268,-0.001987,0.183000,1.673290,0.0000,0.619835,2.56,,
2,16,7,9,0,1250,1012,-0.001618,0.209349,1.617188,0.0000,0.026610,1.98,,
3,16,9,7,0,1711,1131,0.008651,0.163543,1.612685,0.0000,0.011777,2.68,,
4,16,11,5,0,1624,1338,0.004381,0.175879,1.607254,0.0000,0.006009,2.64,,
5,16,9,7,0,1397,927,0.003821,0.160844,1.617207,0.0000,0.001466,2.09,,
6,16,9,7,0,1098,753,-0.002626,0.231798,1.576396,0.0000,0.000354,1.67,,
7,16,8,8,0,1027,805,-0.015959,0.220805,1.575127,0.0000,0.001978,1.58,,
8,16,10,6,0,950,766,-0.001796,0.205111,1.536739,0.0000,0.008738,1.44,,
9,16,7,9,0,812,517,0.085324,0.245422,1.589362,0.0000,0.000193,1.20,,
10,16,7,9,0,916,596,-0.001003,0.329586,1.583628,0.0000,0.000207,1.45,0.7500,20
11,16,9,7,0,947,548,0.038682,0.231294,1.556037,0.0000,0.001995,1.36,,
12,16,6,10,0,889,559,-0.000798,0.272725,1.507508,0.0000,0.000858,1.30,,
13,16,8,8,0,1034,700,0.002662,0.154298,1.560084,0.0000,0.000450,1.60,,
14,16,11,5,0,1071,764,-0.001771,0.242300,1.515955,0.0000,0.006261,1.71,,
15,16,7,9,0,570,415,0.002908,0.292748,1.481111,0.0000,0.000129,0.93,,
16,16,8,8,0,943,652,-0.008938,0.233426,1.458497,0.0000,0.000095,1.44,,
17,16,10,6,0,687,456,0.000564,0.263386,1.504622,0.0000,0.000048,0.96,,
18,16,8,8,0,682,533,-0.026693,0.406883,1.537266,0.0000,0.000150,1.08,,
19,16,10,6,0,814,645,-0.007722,0.307012,1.458073,0.0000,0.003139,1.26,,
20,16,12,4,0,652,389,-0.006066,0.300224,1.377883,0.0000,0.000019,0.90,0.9000,20
21,16,6,10,0,625,441,0.000507,0.327686,1.377224,0.0000,0.000019,0.93,,
22,16,6,10,0,658,467,0.001890,0.407763,1.412646,0.0000,0.000097,0.97,,
23,16,10,6,0,594,427,-0.000997,0.340684,1.444031,0.0000,0.000044,0.95,,
24,16,5,11,0,719,420,-0.003501,0.323062,1.302380,0.0000,0.000069,1.05,,
25,16,9,7,0,831,643,0.000596,0.304221,1.322921,0.0000,0.002375,1.26,,
26,16,9,7,0,726,459,-0.004338,0.319949,1.326037,0.0000,0.000059,1.01,,
27,16,10,6,0,535,429,-0.001279,0.396927,1.324456,0.0000,0.000032,0.78,,
28,16,4,12,0,765,452,-0.007341,0.289995,1.374586,0.0000,0.000027,1.10,,
29,16,8,8,0,617,363,0.017161,0.317297,1.305255,0.0000,0.000015,1.03,,
30,16,10,6,0,440,320,-0.003087,0.397035,1.400073,0.0000,0.000005,0.65,0.8000,20
31,16,3,13,0,718,390,-0.020494,0.282756,1.321303,0.0000,0.000104,0.99,,
32,16,7,9,0,660,498,-0.002512,0.351645,1.265057,0.0081,0.000022,1.00,,
33,16,8,8,0,601,316,0.022488,0.364491,1.332560,0.0000,0.000012,0.92,,
34,16,9,7,0,652,440,0.000801,0.293112,1.252639,0.0000,0.000003,0.91,,
35,16,10,6,0,528,366,-0.025439,0.340328,1.278605,0.0000,0.000194,0.82,,
36,16,8,8,0,534,422,-0.005402,0.303803,1.182060,0.0000,0.000009,0.79,,
37,16,4,12,0,555,315,-0.018188,0.365840,1.247979,0.0000,0.000029,0.77,,
38,16,6,10,0,513,392,-0.002847,0.387497,1.207389,0.0000,0.000027,0.78,,
39,16,7,9,0,667,516,-0.029319,0.361433,1.240265,0.0000,0.000124,1.03,,
40,16,6,10,0,561,377,0.001464,0.434127,1.218668,0.0000,0.000061,0.83,0.6500,20
41,16,4,12,0,584,406,0.006369,0.374076,1.193490,0.0000,0.000280,0.90,,
42,16,4,12,0,698,553,-0.026320,0.301392,1.205573,0.0079,0.000066,1.06,,
43,16,11,5,0,581,398,-0.007188,0.340753,1.170578,0.0023,0.000040,0.84,,
44,16,11,5,0,658,448,0.005759,0.336704,1.207893,0.0000,0.000042,1.00,,
45,16,6,10,0,582,390,0.012264,0.316426,1.182065,0.0000,0.000040,0.87,,
46,16,4,12,0,681,508,-0.005014,0.389522,1.223242,0.0007,0.000088,0.97,,
47,16,8,8,0,488,281,0.029494,0.435597,1.237597,0.0000,0.000050,0.71,,
48,16,11,5,0,668,504,0.001419,0.294486,1.191504,0.0000,0.000280,1.01,,
49,16,10,6,0,736,523,0.002680,0.298136,1.182501,0.0000,0.000393,1.12,,
50,16,7,9,0,517,350,-0.024354,0.394135,1.171197,0.0000,0.000008,0.69,0.8500,20
