iter,games,wins,losses,draws,decisions,samples,pi_loss,v_loss,entropy,clip_frac,time_s,eval_win_rate,eval_games
1,8,5,3,0,1129,1068,-0.031833,0.215230,0.650403,0.0737,7.66,,
2,8,4,4,0,1187,1059,-0.002565,0.204692,0.623230,0.0337,0.73,,
3,8,7,1,0,1337,1138,-0.012445,0.172886,0.659988,0.0190,0.78,,
4,8,3,5,0,953,696,-0.005446,0.309980,0.620894,0.0220,0.61,,
5,8,4,4,0,1212,869,0.004555,0.196466,0.633896,0.0431,0.62,,
6,8,4,4,0,1342,1111,-0.014263,0.187016,0.705296,0.0414,0.64,,
7,8,2,6,0,1121,902,-0.006271,0.158079,0.639042,0.0247,0.61,,
8,8,3,5,0,1385,1160,-0.009039,0.164005,0.755965,0.0374,0.60,,
9,8,2,6,0,1264,997,-0.008717,0.197962,0.697072,0.0376,0.61,,
10,8,3,5,0,1318,783,-0.007812,0.147074,0.605503,0.0199,0.45,,
11,8,5,3,0,1092,673,-0.009679,0.170271,0.629571,0.0152,0.38,,
12,8,4,4,0,1341,976,-0.008732,0.156013,0.685694,0.0312,0.56,,
13,8,3,5,0,1099,935,-0.004233,0.132716,0.681018,0.0187,0.56,,
14,8,4,4,0,1591,1023,-0.003400,0.154714,0.712991,0.0121,0.64,,
15,8,7,1,0,1313,1065,-0.002295,0.132938,0.665160,0.0234,0.54,,
16,8,4,4,0,1297,908,-0.003382,0.132448,0.679308,0.0101,0.57,,
17,8,4,4,0,1403,1016,-0.004363,0.138754,0.735682,0.0158,0.52,,
18,8,4,4,0,1341,1039,-0.044654,0.141517,0.697884,0.0292,0.44,,
19,8,2,6,0,1343,994,-0.005884,0.116324,0.689922,0.0232,0.50,,
20,8,6,2,0,1154,842,0.013953,0.178605,0.685372,0.0220,0.49,,
21,8,7,1,0,1329,905,-0.002683,0.122028,0.661198,0.0092,0.59,,
22,8,4,4,0,1442,870,-0.006609,0.150895,0.704925,0.0150,0.53,,
23,8,3,5,0,1432,936,0.000951,0.139853,0.711769,0.0262,0.49,,
24,8,5,3,0,1212,858,-0.008966,0.126383,0.659974,0.0325,0.47,,
25,8,2,6,0,1228,1029,0.087929,0.110607,0.657176,0.0148,0.65,1.0000,20
26,8,4,4,0,1261,729,-0.002886,0.155125,0.663420,0.0078,0.56,,
27,8,4,4,0,1253,1101,-0.005747,0.097246,0.726099,0.0149,0.51,,
28,8,4,4,0,1484,1033,0.041197,0.163650,0.770273,0.0348,0.53,,
29,8,3,5,0,1351,906,-0.005706,0.090639,0.731522,0.0168,0.53,,
30,8,7,1,0,1565,1372,0.000231,0.105386,0.750858,0.0247,0.72,,
31,8,3,5,0,1448,1171,-0.012119,0.080589,0.746021,0.0238,0.57,,
32,8,3,5,0,1261,891,-0.009192,0.161021,0.668144,0.0234,0.47,,
33,8,8,0,0,1272,982,-0.005544,0.150650,0.678067,0.0200,0.58,,
34,8,5,3,0,1414,1032,-0.062979,0.116941,0.668086,0.0130,0.69,,
35,8,4,4,0,1267,991,-0.007099,0.129599,0.751766,0.0227,0.55,,
36,8,4,4,0,1310,1167,-0.010680,0.135425,0.750008,0.0315,0.51,,
37,8,3,5,0,1267,1020,-0.004109,0.101545,0.681165,0.0134,0.47,,
38,8,5,3,0,1343,915,0.000048,0.156359,0.783952,0.0174,0.42,,
39,8,6,2,0,1258,859,-0.004128,0.109212,0.701760,0.0276,0.44,,
40,8,4,4,0,1258,803,-0.042414,0.124634,0.701478,0.0297,0.38,,
41,8,3,5,0,1314,1019,-0.005140,0.131705,0.657254,0.0207,0.50,,
42,8,4,4,0,1346,927,-0.008114,0.133417,0.751482,0.0114,0.46,,
43,8,5,3,0,1196,980,-0.005093,0.116096,0.665298,0.0228,0.76,,
44,8,2,6,0,1548,1120,-0.001069,0.107365,0.792968,0.0299,0.59,,
45,8,2,6,0,1323,1035,0.019837,0.105907,0.742208,0.0251,0.46,,
46,8,3,5,0,1436,1166,-0.004200,0.109908,0.802814,0.0254,0.51,,
47,8,6,2,0,1434,871,-0.007453,0.128877,0.720525,0.0125,0.51,,
48,8,4,4,0,1302,1113,0.003247,0.106537,0.742905,0.0342,0.49,,
49,8,5,3,0,1478,915,-0.008123,0.122833,0.664023,0.0283,0.52,,
50,8,3,5,0,1260,883,-0.017308,0.119244,0.708722,0.0187,0.45,1.0000,20
51,8,3,5,0,1291,988,-0.008061,0.082795,0.725388,0.0249,0.43,,
52,8,4,4,0,1175,831,0.001182,0.133694,0.694042,0.0216,0.38,,
53,8,5,3,0,1112,758,-0.003127,0.145675,0.730192,0.0071,0.39,,
54,8,6,2,0,1482,1312,-0.043069,0.064908,0.784174,0.0414,0.56,,
55,8,4,4,0,1414,1018,-0.003920,0.114986,0.725723,0.0135,0.49,,
56,8,4,4,0,1499,1038,-0.001340,0.094311,0.809086,0.0186,0.50,,
57,8,4,4,0,1287,624,-0.015756,0.110266,0.692402,0.0094,0.52,,
58,8,6,2,0,1192,923,-0.008764,0.101708,0.737770,0.0230,0.42,,
59,8,3,5,0,1382,865,-0.010068,0.157075,0.739709,0.0296,0.46,,
60,8,4,4,0,1388,1205,-0.004970,0.111620,0.732372,0.0443,0.47,,
61,8,2,6,0,1526,960,-0.007963,0.096584,0.720767,0.0190,0.46,,
62,8,5,3,0,1199,809,-0.039215,0.111609,0.707800,0.0217,0.40,,
63,8,3,5,0,1406,1042,0.005847,0.143723,0.755861,0.0263,0.50,,
64,8,2,6,0,1535,1042,0.018276,0.103120,0.737586,0.0300,0.56,,
65,8,4,4,0,1428,1156,-0.007383,0.093540,0.723630,0.0282,0.50,,
66,8,5,3,0,1216,730,-0.005239,0.182136,0.810926,0.0288,0.45,,
67,8,2,6,0,1235,744,-0.004455,0.132900,0.739816,0.0121,0.45,,
68,8,3,5,0,1497,1200,-0.006579,0.111569,0.769099,0.0252,0.56,,
69,8,4,4,0,1313,1047,0.025538,0.072114,0.742233,0.0211,0.48,,
70,8,2,6,0,1272,867,-0.013140,0.113204,0.705090,0.0129,0.41,,
71,8,4,4,0,1447,1093,0.019988,0.099176,0.723279,0.0192,0.47,,
72,8,6,2,0,1257,943,-0.004028,0.101436,0.695572,0.0170,0.42,,
73,8,2,6,0,1587,1185,-0.004076,0.094318,0.739169,0.0426,0.51,,
74,8,2,6,0,1203,764,-0.003584,0.109247,0.748293,0.0148,0.45,,
75,8,3,5,0,1390,961,-0.005981,0.120512,0.702294,0.0219,0.56,1.0000,20
76,8,3,5,0,1523,1197,-0.008580,0.115396,0.742062,0.0426,0.61,,
77,8,5,3,0,1404,1204,-0.004049,0.108934,0.765049,0.0198,0.54,,
78,8,4,4,0,1240,951,-0.006504,0.123891,0.755768,0.0154,0.40,,
79,8,6,2,0,1468,1163,-0.003567,0.082875,0.720131,0.0252,0.58,,
80,8,4,4,0,1618,1380,-0.008488,0.090654,0.806608,0.0302,0.68,,
81,8,4,4,0,1211,828,0.005173,0.133237,0.788141,0.0177,0.43,,
82,8,6,2,0,1552,1026,0.034517,0.106049,0.709619,0.0177,0.83,,
83,8,5,3,0,1588,1195,-0.011061,0.109258,0.794646,0.0299,0.78,,
84,8,8,0,0,1293,1122,-0.006964,0.082864,0.753343,0.0293,0.55,,
85,8,1,7,0,1475,1013,-0.005736,0.125272,0.728314,0.0221,0.50,,
86,8,8,0,0,1469,1026,-0.009256,0.067363,0.767341,0.0180,0.56,,
87,8,3,5,0,1500,1268,-0.005273,0.085564,0.751075,0.0398,0.68,,
88,8,4,4,0,1338,793,0.006281,0.139193,0.733057,0.0233,0.45,,
89,8,3,5,0,1558,1308,0.002256,0.104315,0.775598,0.0582,0.77,,
90,8,3,5,0,1356,903,-0.001166,0.055702,0.723482,0.0148,0.94,,
91,8,4,4,0,1455,1217,-0.008378,0.140820,0.775671,0.0220,0.80,,
92,8,5,3,0,1265,930,-0.008221,0.121446,0.776597,0.0112,0.66,,
93,8,4,4,0,1650,1266,-0.004297,0.132526,0.782812,0.0211,0.95,,
94,8,6,2,0,1473,860,0.000920,0.082654,0.790494,0.0187,0.66,,
95,8,3,5,0,1778,1224,-0.003824,0.140720,0.801153,0.0225,0.64,,
96,8,6,2,0,1373,1118,-0.002939,0.118981,0.768330,0.0179,0.77,,
97,8,5,3,0,1403,1176,-0.008948,0.100858,0.750622,0.0154,0.62,,
98,8,5,3,0,1404,1083,-0.055838,0.114930,0.724235,0.0598,0.65,,
99,8,5,3,0,1425,1141,-0.011008,0.119911,0.752030,0.0158,0.52,,
100,8,2,6,0,1409,1137,0.003487,0.088946,0.750383,0.0206,0.57,1.0000,20
101,8,5,3,0,1450,916,-0.008366,0.122872,0.737971,0.0253,0.62,,
102,8,6,2,0,1408,1025,0.102899,0.093803,0.798292,0.0240,0.51,,
103,8,6,2,0,1489,1172,-0.011680,0.082433,0.740311,0.0583,0.54,,
104,8,4,4,0,1244,829,-0.021056,0.100315,0.710752,0.0316,0.49,,
105,8,5,3,0,1296,748,-0.001736,0.127850,0.712009,0.0121,0.46,,
106,8,4,4,0,1478,1253,-0.011321,0.083896,0.793926,0.0321,0.55,,
107,8,4,4,0,1540,1195,-0.002409,0.115299,0.809684,0.0193,0.60,,
108,8,4,4,0,1369,733,-0.003780,0.101060,0.795389,0.0087,0.38,,
109,8,6,2,0,1664,1354,-0.021090,0.106197,0.776130,0.0472,0.61,,
110,8,5,3,0,1465,1155,-0.012902,0.093017,0.751349,0.0239,0.65,,
111,8,2,6,0,1545,979,-0.005891,0.073632,0.754219,0.0422,0.48,,
112,8,5,3,0,1433,1049,-0.005690,0.117621,0.732001,0.0435,0.47,,
113,8,3,5,0,1407,940,-0.013857,0.081560,0.743697,0.0204,0.47,,
114,8,2,6,0,1436,1131,-0.008407,0.085775,0.753786,0.0263,0.54,,
115,8,2,6,0,1438,1088,0.012631,0.109208,0.740789,0.0299,0.61,,
116,8,4,4,0,1473,810,-0.018396,0.099524,0.711129,0.0101,0.52,,
117,8,3,5,0,1591,1279,-0.006160,0.082713,0.740389,0.0245,0.69,,
118,8,2,6,0,1411,1017,-0.004970,0.107740,0.712165,0.0099,0.46,,
119,8,2,6,0,1323,1085,-0.011194,0.116070,0.716554,0.0200,0.57,,
120,8,6,2,0,1631,1257,-0.004045,0.155841,0.801084,0.0166,0.51,,
121,8,3,5,0,1542,1051,-0.004225,0.090925,0.789088,0.0191,0.59,,
122,8,5,3,0,1341,1019,-0.006121,0.145201,0.713206,0.0200,0.49,,
123,8,2,6,0,1478,1252,-0.005916,0.106070,0.739583,0.0406,0.56,,
124,8,1,7,0,1539,1361,-0.015009,0.107012,0.761712,0.0171,0.61,,
125,8,5,3,0,1537,1035,0.080520,0.104833,0.758668,0.0148,0.60,1.0000,20
126,8,2,6,0,1432,922,0.004141,0.103079,0.726672,0.0114,0.49,,
127,8,2,6,0,1618,1291,0.006370,0.071760,0.774067,0.0239,0.64,,
128,8,4,4,0,1501,1202,-0.005456,0.093576,0.786549,0.0248,0.63,,
129,8,5,3,0,1387,916,-0.002464,0.071647,0.729050,0.0467,0.50,,
130,8,3,5,0,1364,989,-0.005853,0.090172,0.745854,0.0266,0.53,,
131,8,6,2,0,1592,907,-0.002895,0.073944,0.805607,0.0114,0.58,,
132,8,3,5,0,1486,993,-0.006574,0.110630,0.767346,0.0326,0.54,,
133,8,2,6,0,1361,936,0.000295,0.083496,0.763837,0.0097,0.40,,
134,8,5,3,0,1418,1144,0.002668,0.102047,0.793644,0.0428,0.56,,
135,8,5,3,0,1373,1069,0.019149,0.124072,0.793695,0.0254,0.50,,
136,8,5,3,0,1465,949,-0.004428,0.123086,0.790487,0.0347,0.54,,
137,8,7,1,0,1379,947,-0.001252,0.088922,0.764020,0.0229,0.47,,
138,8,6,2,0,1397,1054,0.025262,0.123265,0.826843,0.0102,0.62,,
139,8,3,5,0,1504,1276,-0.006403,0.106956,0.824871,0.0256,0.68,,
140,8,4,4,0,1448,903,-0.010853,0.099742,0.826235,0.0147,0.59,,
141,8,5,3,0,1649,1180,-0.009259,0.054779,0.783304,0.0376,0.58,,
142,8,4,4,0,1243,994,-0.007780,0.151825,0.805395,0.0183,0.55,,
143,8,2,6,0,1309,895,-0.002096,0.088416,0.791484,0.0108,0.51,,
144,8,4,4,0,1415,1088,-0.016659,0.109713,0.825537,0.0255,0.59,,
145,8,2,6,0,1476,1226,-0.006741,0.071390,0.787522,0.0280,0.59,,
146,8,4,4,0,1480,867,-0.021716,0.121792,0.793384,0.0140,0.43,,
147,8,1,7,0,1244,897,-0.007265,0.101498,0.774264,0.0211,0.46,,
148,8,5,3,0,1392,1302,-0.041572,0.101123,0.736723,0.0314,0.63,,
149,8,4,4,0,1421,1053,0.006989,0.105040,0.779510,0.0311,0.59,,
150,8,5,3,0,1534,1322,0.000888,0.120438,0.785504,0.0311,0.60,1.0000,20
151,8,1,7,0,1368,918,0.000607,0.081426,0.740526,0.0139,0.55,,
152,8,1,7,0,1420,1024,-0.009171,0.072078,0.765751,0.0312,0.52,,
153,8,3,5,0,1615,1227,-0.006699,0.097434,0.793456,0.0262,0.71,,
154,8,4,4,0,1333,997,-0.005108,0.111217,0.772640,0.0345,0.46,,
155,8,3,5,0,1313,1145,-0.002938,0.098249,0.797873,0.0266,0.59,,
156,8,5,3,0,1427,1002,-0.004070,0.133732,0.757240,0.0272,0.47,,
157,8,4,4,0,1630,1352,0.000494,0.091508,0.778014,0.0321,0.69,,
158,8,3,5,0,1416,1016,-0.003728,0.080033,0.762570,0.0155,0.52,,
159,8,4,4,0,1548,995,-0.002284,0.101033,0.746433,0.0045,0.53,,
160,8,5,3,0,1649,1384,-0.003210,0.097829,0.825832,0.0167,0.67,,
161,8,3,5,0,1684,1198,-0.001090,0.080741,0.796376,0.0244,0.60,,
162,8,7,1,0,1409,1078,-0.011336,0.106391,0.769560,0.0415,0.59,,
163,8,4,4,0,1342,1177,-0.009747,0.077113,0.756631,0.0288,0.54,,
164,8,3,5,0,1493,1079,-0.010891,0.098376,0.712171,0.0419,0.59,,
165,8,4,4,0,1522,1136,-0.002076,0.089551,0.790456,0.0235,0.61,,
166,8,3,5,0,1449,1262,-0.005402,0.099744,0.784031,0.0184,0.64,,
167,8,4,4,0,1330,1208,-0.002156,0.114774,0.784703,0.0162,0.54,,
168,8,4,4,0,1440,1292,-0.007723,0.096811,0.782481,0.0211,0.66,,
169,8,4,4,0,1467,1110,-0.006918,0.117376,0.795589,0.0301,0.54,,
170,8,6,2,0,1458,1137,-0.009287,0.098334,0.767093,0.0237,0.58,,
171,8,6,2,0,1446,912,-0.017343,0.111257,0.843377,0.0364,0.50,,
172,8,5,3,0,1395,866,-0.028842,0.117706,0.783279,0.0093,0.49,,
173,8,3,5,0,1468,1286,-0.017136,0.105794,0.787591,0.0141,0.55,,
174,8,3,5,0,1510,1197,-0.007068,0.088473,0.762056,0.0310,0.52,,
175,8,2,6,0,1299,958,-0.007909,0.095317,0.751438,0.0179,0.46,1.0000,20
176,8,5,3,0,1398,1019,-0.008434,0.073001,0.784680,0.0259,0.50,,
177,8,3,5,0,1605,1345,-0.003741,0.077146,0.846882,0.0301,0.57,,
178,8,5,3,0,1443,1282,-0.019580,0.156275,0.808885,0.0321,0.52,,
179,8,6,2,0,1579,965,-0.009864,0.072013,0.745686,0.0247,0.51,,
