iter,games,wins,losses,draws,decisions,samples,pi_loss,v_loss,entropy,clip_frac,time_s,eval_win_rate,eval_games
1,16,7,9,0,3190,2878,-0.007058,0.056170,1.491374,0.0000,3.03,,
2,16,9,7,0,3163,2415,0.000185,0.062676,1.443842,0.0000,2.80,,
3,16,8,8,0,3161,2217,-0.002683,0.054146,1.458963,0.0000,2.77,,
4,16,5,11,0,3372,2768,-0.002362,0.063466,1.522292,0.0000,3.00,,
5,16,9,7,0,3186,2016,-0.002705,0.043162,1.534507,0.0000,2.73,,
6,16,7,9,0,3227,2191,-0.001644,0.065890,1.468639,0.0012,2.86,,
7,16,8,8,0,3404,2590,-0.011357,0.046565,1.498160,0.0237,3.09,,
8,16,6,10,0,3259,2466,-0.006858,0.048271,1.476469,0.0165,3.12,,
9,16,8,8,0,3235,2139,-0.010036,0.064208,1.473267,0.0122,2.75,,
10,16,9,7,0,3192,2430,-0.003074,0.064576,1.426939,0.0365,2.83,0.6500,20
11,16,11,5,0,3292,1934,-0.002725,0.065509,1.470678,0.0249,2.88,,
12,16,7,9,0,3055,2200,-0.009185,0.065344,1.431411,0.0479,2.77,,
13,16,11,5,0,2879,1979,-0.003294,0.080467,1.528162,0.0426,2.53,,
14,16,9,7,0,2786,1933,-0.005260,0.075715,1.444730,0.0239,2.54,,
15,16,9,7,0,3186,2725,-0.001193,0.067530,1.449812,0.0253,3.15,,
16,16,9,7,0,3049,2454,-0.003143,0.067246,1.574650,0.0377,3.00,,
17,16,10,6,0,3126,2284,-0.002750,0.060650,1.487831,0.0087,2.99,,
18,16,8,8,0,3182,2633,0.001854,0.072503,1.499174,0.0267,2.96,,
19,16,8,8,0,3148,2404,-0.000108,0.080265,1.479373,0.0458,3.01,,
20,16,8,8,0,3405,2312,-0.009514,0.056430,1.458984,0.0163,3.18,0.9500,20
21,16,3,13,0,3257,2363,-0.001880,0.065959,1.470649,0.0591,2.95,,
22,16,11,5,0,2792,2068,0.001265,0.100494,1.445207,0.0820,2.53,,
23,16,8,8,0,3025,2224,-0.005007,0.088119,1.387774,0.0385,2.76,,
24,16,6,10,0,3100,2043,-0.005131,0.093123,1.348644,0.0498,2.84,,
25,16,9,7,0,2514,1858,-0.009455,0.101176,1.343290,0.0507,2.26,,
26,16,12,4,0,2440,1643,0.005405,0.118891,1.268062,0.0340,2.82,,
27,16,5,11,0,2636,2196,-0.004775,0.123720,1.297809,0.0480,3.70,,
