iter,games,wins,losses,draws,decisions,samples,pi_loss,v_loss,entropy,clip_frac,archetype_loss,time_s,eval_win_rate,eval_games
1,16,9,7,0,3650,3338,0.001896,0.064700,1.471069,0.0007,0.273300,5.95,,
2,16,10,6,0,3273,2571,0.015604,0.072412,1.443449,0.0000,0.001228,1.17,,
3,16,11,5,0,3466,2446,-0.001543,0.073673,1.467397,0.0000,0.000955,1.13,,
4,16,5,11,0,3354,2906,-0.000899,0.051549,1.442476,0.0000,0.000502,1.22,,
5,16,6,9,1,3384,2115,-0.009029,0.055834,1.437367,0.0000,0.000309,1.01,,
6,16,8,8,0,3541,2322,-0.026706,0.062964,1.457012,0.0578,0.000294,1.07,,
7,16,10,6,0,3347,2627,0.003026,0.049413,1.493805,0.0000,0.000202,1.23,,
8,16,13,3,0,3503,2565,-0.009500,0.074011,1.495145,0.0000,0.000208,1.24,,
9,16,8,8,0,3628,2518,-0.001877,0.067216,1.435272,0.0098,0.000162,1.05,,
10,16,8,8,0,3683,2946,-0.004253,0.045044,1.486536,0.0000,0.000070,1.33,,
11,16,8,8,0,3775,2364,-0.016974,0.052346,1.437309,0.0453,0.000043,1.23,,
12,16,7,9,0,3626,2732,-0.000969,0.059854,1.490060,0.0267,0.000043,1.17,,
13,16,8,8,0,3253,2314,0.000534,0.065885,1.414226,0.0878,0.000027,1.12,,
14,16,10,6,0,3348,2320,0.022982,0.061967,1.481957,0.0003,0.000033,1.11,,
15,16,4,12,0,3536,2958,-0.004912,0.070239,1.439388,0.0387,0.000032,1.24,,
16,16,7,9,0,3209,2473,0.000605,0.051523,1.454376,0.0020,0.000018,1.12,,
17,16,9,7,0,3386,2479,-0.003542,0.042099,1.477120,0.0116,0.000015,1.17,,
18,16,9,7,0,2836,2376,-0.005209,0.055797,1.500695,0.0430,0.000014,1.11,,
19,16,6,10,0,3009,2183,-0.005742,0.059382,1.476596,0.0085,0.000007,1.02,,
20,16,10,6,0,2530,1513,-0.004516,0.075615,1.425217,0.0172,0.000003,0.81,0.6500,20
21,16,8,8,0,2806,2068,-0.028345,0.057096,1.400750,0.0154,0.000007,1.02,,
22,16,9,7,0,2132,1495,-0.004321,0.085160,1.379640,0.0194,0.000002,0.82,,
23,16,7,9,0,1977,1285,-0.000552,0.114566,1.332252,0.0254,0.000001,0.91,,
24,16,14,2,0,2354,1560,-0.028470,0.073814,1.374148,0.0316,0.000008,0.81,,
25,16,5,11,0,2367,1720,-0.004295,0.090740,1.369737,0.0007,0.000004,0.84,,
26,16,9,7,0,2340,1574,0.007513,0.083057,1.368662,0.0017,0.000005,0.92,,
27,16,11,5,0,2337,1973,-0.004435,0.066179,1.304970,0.0284,0.000003,0.83,,
28,16,12,3,1,2325,1617,0.001126,0.072292,1.247983,0.0440,0.000004,0.82,,
29,16,9,7,0,2411,1597,-0.011988,0.089502,1.313882,0.0167,0.000006,0.90,,
30,16,5,11,0,2170,1661,-0.002056,0.083911,1.310228,0.0217,0.000004,0.84,,
31,16,10,6,0,1722,1080,-0.003928,0.115575,1.229822,0.0389,0.000002,0.65,,
32,16,11,5,0,2418,1908,0.000518,0.083050,1.280428,0.0339,0.000005,0.91,,
33,16,10,6,0,1983,1315,-0.001528,0.092743,1.197677,0.0053,0.000005,0.70,,
34,16,10,5,1,2016,1502,-0.003131,0.089325,1.178616,0.0060,0.000004,0.79,,
35,16,7,9,0,2338,1725,-0.005620,0.088140,1.202752,0.0142,0.000007,0.87,,
36,16,8,8,0,2352,1884,-0.012418,0.079600,1.162211,0.0788,0.000009,0.89,,
37,16,9,7,0,2247,1401,-0.003432,0.073179,1.164754,0.0295,0.000002,0.89,,
38,16,10,6,0,2540,1975,-0.004953,0.101352,1.126136,0.0304,0.000005,0.95,,
39,16,6,10,0,1959,1540,0.012282,0.135111,1.089263,0.0238,0.000004,0.78,,
40,16,7,9,0,2302,1763,-0.003233,0.073489,1.068539,0.0351,0.000004,0.95,1.0000,20
41,16,6,10,0,2509,1740,-0.001083,0.075084,1.098491,0.0083,0.000002,1.11,,
42,16,12,4,0,2355,1897,-0.008064,0.068996,1.138811,0.0210,0.000004,1.12,,
43,16,10,6,0,2401,1794,-0.042551,0.077611,1.123405,0.0431,0.000007,1.20,,
44,16,8,8,0,1948,1322,-0.007230,0.081287,1.089963,0.0200,0.000003,0.87,,
45,16,8,8,0,2780,2173,-0.011381,0.060233,1.054255,0.0511,0.000003,1.28,,
46,16,9,7,0,2416,2003,-0.003199,0.080815,1.034902,0.0161,0.000002,1.22,,
47,16,6,9,1,2380,1685,-0.002835,0.071380,1.008964,0.0376,0.000005,1.14,,
48,16,9,7,0,2266,1736,-0.004444,0.089604,0.969092,0.0493,0.000002,1.12,,
49,16,8,8,0,2327,1735,-0.003203,0.071229,0.962518,0.0400,0.000003,0.94,,
50,16,8,8,0,2590,1985,-0.003390,0.075077,0.980083,0.0567,0.000004,1.21,,
51,16,9,6,1,2738,1841,-0.015834,0.063697,0.954784,0.0502,0.000005,1.25,,
52,16,9,7,0,2618,1917,-0.009950,0.052180,0.966243,0.0229,0.000002,1.21,,
53,16,9,7,0,2382,1613,-0.004900,0.071417,0.944397,0.0309,0.000003,0.97,,
54,16,8,8,0,2681,1685,-0.005661,0.074758,0.989275,0.0437,0.000007,0.96,,
55,16,8,7,1,2610,2089,-0.013576,0.080099,0.958050,0.0353,0.000006,0.98,,
56,16,9,7,0,2461,1618,0.003053,0.058149,0.985745,0.0489,0.000004,0.87,,
57,16,6,10,0,2597,2027,-0.004866,0.077140,0.983585,0.0427,0.000002,0.96,,
58,16,7,9,0,2326,1403,-0.001740,0.079956,0.965532,0.0211,0.000001,0.76,,
59,16,10,6,0,2622,2116,0.001967,0.082855,0.973598,0.0268,0.000002,0.98,,
60,16,5,11,0,2396,1770,-0.002712,0.072649,0.991802,0.0197,0.000001,0.83,0.8500,20
61,16,8,8,0,2343,1710,-0.002404,0.080518,0.980531,0.0404,0.000002,0.79,,
62,16,9,7,0,2265,1885,0.002913,0.079782,0.942952,0.0247,0.000001,0.88,,
63,16,10,6,0,2495,1671,-0.002951,0.102491,0.934081,0.0406,0.000004,0.84,,
64,16,6,10,0,2449,1906,-0.002593,0.076892,0.975206,0.0493,0.000007,1.16,,
65,16,10,6,0,2543,1736,-0.002338,0.068890,0.981756,0.0136,0.000008,0.82,,
66,16,9,7,0,2853,1692,-0.002496,0.070113,0.953982,0.0156,0.000008,0.86,,
67,16,10,6,0,2448,1897,-0.006975,0.086454,0.971461,0.0406,0.000013,0.97,,
68,16,8,8,0,1952,1280,-0.004474,0.079756,0.960733,0.0091,0.000002,0.68,,
69,16,7,9,0,2751,1832,-0.010135,0.074091,0.937555,0.0264,0.000005,0.89,,
70,16,7,8,1,2435,1635,-0.008516,0.066498,0.905938,0.0220,0.000003,0.83,,
